recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Kmag,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,Mass_calc,Mass,Mass_e
40,204229193,15 56 40.18,-23 09 29.5,,11.8,,6.17,0.22,6.039359821608809,5.95,1.806,,,,"USco,bronze",no,Simbad,1,0.15223063032930292,0.207,0.0570870217639209
51,204248842,15 57 03.67,-23 04 48.6,,10.21,,5.93,0.25,4.449359821608809,5.68,0.9991,0.8303,,,"USco,gold",no,Simbad,1,0.4762077079549959,0.28,0.0570870217639209
54,204896403,15 57 08.50,-20 22 18.0,,11.42,,5.96,0.16,5.6693598216088095,5.8,1.4471,2.7884,,,"USco,bronze",no,Simbad,1,0.19877110597280218,0.247,0.0570870217639209
55,204084492,15 57 12.77,-23 43 46.7,,12.59,,6.9,0.82,6.759359821608809,6.08,1.1411,,,,"USco,gold",no,Simbad,1,,0.181,0.0
62,204442667,15 57 28.47,-22 19 05.3,,11.6,,6.35,0.24,5.839359821608809,6.11,1.3178,,,,"USco,gold",no,Simbad,1,0.17444198183405696,0.175,0.0570870217639209
63,204274743,15 57 29.84,-22 58 44.0,,11.19,,6.17,0.49,5.39935982160881,5.69,1.7686,,,,"USco,gold",yes,Simbad,1,0.2474402319347218,0.28,0.0570870217639209
65,203800211,15 57 36.83,-24 53 02.9,,11.93,,5.86,0.0,6.199359821608809,5.86,0.6137,,,,"USco,bronze",no,Simbad,1,0.13529359677554076,0.229,0.0570870217639209
68,204434699,15 57 39.33,-22 20 57.6,,11.5,,6.01,0.28,5.72935982160881,5.72,2.5101,,,,"USco,bronze",no,Simbad,1,0.18999370040959443,0.269,0.0570870217639209
70,203521205,15 57 42.47,-25 51 35.7,,10.81,,5.7,0.05,5.07935982160881,5.65,0.7418,,,,"USco,gold",no,Simbad,1,0.30764147254877044,0.289,0.0570870217639209
74,203839698,15 57 47.56,-24 44 12.4,,12.05,,6.06,0.32,6.279359821608809,5.74,0.9672,,,,"USco,gold",no,Simbad,1,0.1275256829948685,0.264,0.0570870217639209
80,204849054,15 57 56.02,-20 35 10.5,,12.34,,6.46,0.34,6.56935982160881,6.12,0.9839,,,,"USco,bronze",no,Simbad,1,0.10385056909384748,0.174,0.0570870217639209
91,204553379,15 58 23.36,-21 51 59.1,,11.28,,6.38,0.42,5.4993598216088095,5.96,1.8469,,,,"USco,gold",no,Simbad,1,0.22912521669340916,0.204,0.0570870217639209
96,204066097,15 58 35.97,-23 48 14.0,,12.08,,6.32,0.28,6.309359821608808,6.04,0.3588,,,,"USco,gold",no,Simbad,1,0.12498745726022636,0.188,0.0570870217639209
