recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
752,203884472,16 16 51.30,-24 33 27.7,10.08,7.65,2.43,2.43,0.81,7.55,1.63,1.3796,,,,"USco,gold",no,Simbad,1,0.999984,4804.0,122.0,,,,
753,204241221,16 16 53.37,-23 06 37.7,8.68,7.34,1.34,1.34,0.71,7.25,0.64,0.5278,,,,"USco,bronze",no,Simbad,1,0.999791,6795.0,116.0,1.461,0.245,0.88399,0.868675584243521
754,203768482,16 16 54.29,-24 59 59.2,,10.83,,6.2,0.88,10.72,5.32,2.5824,1.6283,,,"USco,bronze",no,Simbad,1,0.999982,3064.0,157.0,0.599,0.021,0.00802,-1.5236031732746698
755,204611596,16 16 54.57,-21 37 15.4,10.19,8.38,1.81,1.81,0.32,8.34,1.49,,,,,"USco,gold",no,Simbad,1,0.999891,5726.0,268.1,1.022,0.162,0.20604,0.222989444746309
756,203844508,16 16 56.03,-24 43 05.2,,11.37,,6.86,1.24,11.21,5.62,2.1352,,,,"USco,bronze",no,Simbad,1,0.999999,2975.0,157.0,0.521,0.021,0.00533,-1.7126462272852534
757,204144407,16 16 56.10,-23 29 25.2,,9.02,,4.69,0.57,8.95,4.12,3.9926,,,,"USco,bronze",no,Simbad,1,0.99885,,,,,,
758,203527618,16 16 58.00,-25 50 16.6,,11.41,,6.4,1.0,11.28,5.4,3.1465,,,,"USco,bronze",no,Simbad,1,0.999996,3020.0,157.0,0.499,0.021,0.00516,-1.725380380908762
759,204543498,16 16 59.82,-21 54 27.5,,10.64,,5.42,0.18,10.62,5.24,1.9397,,,,"USco,gold",no,Simbad,2,1.0E-6,3268.0,157.0,0.603,0.021,0.01003,-1.4056074496245732
760,204414610,16 17 06.06,-22 25 41.6,,11.24,,5.86,0.21,11.21,5.64,3.6567,0.3393,,,"USco,gold",no,Simbad,1,0.999926,3105.0,157.0,0.575,0.021,0.00762,-1.544393887418133
761,204303402,16 17 13.79,-22 51 58.6,,10.86,,5.73,0.22,10.83,5.51,1.5714,,,,"USco,gold",no,Simbad,1,0.999751,3142.0,157.0,0.594,0.021,0.00855,-1.4891869894875038
762,204150518,16 17 16.48,-23 27 57.3,,10.24,,5.68,0.76,10.14,4.92,5.1763,,,,"USco,gold",no,Simbad,1,0.996487,3263.0,157.0,0.662,0.02,0.01263,-1.3031196283172377
763,203868608,16 17 18.97,-24 37 18.8,,10.76,,7.08,1.17,10.61,5.91,5.6382,1.1066,,,"USco,bronze",no,Simbad,1,0.999999,2897.0,157.0,0.621,0.025,0.00792,-1.5828605902726745
764,204099505,16 17 21.17,-23 40 08.7,,11.59,,6.41,0.77,11.49,5.64,2.0337,,,,"USco,bronze",no,Simbad,1,0.999993,3040.0,157.0,0.518,0.021,0.00571,-1.6800615600196915
765,204162886,16 17 21.61,-23 25 00.6,,10.8,,5.52,0.25,10.77,5.27,6.7457,,,,"USco,gold",no,Simbad,1,0.997667,3231.0,157.0,0.581,0.021,0.00879,-1.4650858955701331
