recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
1023,203912674,16 25 39.58,-24 26 34.9,19.1,8.95,10.15,10.15,5.65,8.23,4.5,,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1024,205048103,16 25 41.30,-19 39 22.9,,10.42,,6.68,0.7,10.33,5.98,,,,,"USco,bronze",no,Simbad,1,0.999998,4823.0,122.0,,,,
1025,204161056,16 25 42.87,-23 25 26.1,,9.2,,7.18,2.54,8.88,4.63,5.306,,,,"ROph,bronze",yes,Simbad,1,0.999899,3949.0,126.6,0.615,0.084,0.04324,-0.4480866765020512
1026,204396010,16 25 43.20,-22 30 03.0,,12.09,,6.56,0.3,12.05,6.26,1.5603,,,,"USco,gold",yes,Simbad,1,0.999998,2907.0,157.0,0.364,0.021,0.00259,-2.0409586076789066
1027,203867167,16 25 47.66,-24 37 39.6,,10.38,,8.27,3.04,9.99,5.23,3.1653,,,,"ROph,gold",yes,Simbad,1,1.0,2866.0,157.0,0.645,0.021,0.00784,-1.558304864359283
1028,204544020,16 25 48.07,-21 54 19.6,,11.15,,5.77,0.15,11.13,5.62,1.8496,,,,"USco,gold",no,Simbad,1,0.999877,3112.0,157.0,0.494,0.021,0.00551,-1.682563503464901
1029,203506352,16 25 49.24,-25 54 37.3,,9.49,,4.69,0.62,9.42,4.07,2.575,,,,"USco,gold",no,Simbad,1,0.999843,3809.0,125.9,0.582,0.085,0.01961,-0.8064580114337826
1030,203807162,16 25 49.65,-24 51 32.0,13.1,8.78,4.32,4.32,0.47,8.72,3.84,11.1828,,,,"USco,bronze",maybe,Simbad,1,0.996487,3863.0,122.0,0.596,,,-0.4679466614856382
1031,202793212,16 25 50.28,-28 20 38.1,,11.76,,5.84,0.25,11.72,5.59,2.1634,,,,"USco,bronze",no,Simbad,1,0.999862,3116.0,157.0,0.473,0.021,0.00516,-1.7171513971653551
1032,203860653,16 25 50.52,-24 39 14.8,15.49,8.33,7.16,7.16,3.81,7.84,3.35,3.5552,,,,"ROph,bronze",no,Simbad,1,0.999998,3193.0,,,,,
1033,203824768,16 25 50.54,-24 47 36.0,,9.12,,8.8,6.61,8.27,2.19,,,,,"ROph,bronze",no,Simbad,1,1.0,8807.0,130.0,,,,
1034,204185983,16 25 52.83,-23 19 36.3,,7.87,,6.03,1.88,7.63,4.15,1.0529,,,,"ROph,bronze",no,Simbad,1,0.999967,,,,,,
1035,203071614,16 25 55.40,-27 21 24.4,,9.98,,5.72,0.0,9.98,5.72,0.4632,0.5305,,,"USco,gold",no,Simbad,1,0.999527,,,,,,
1036,203897692,16 25 56.09,-24 30 14.8,,9.76,,9.17,3.09,9.37,6.08,0.5011,0.6043,,,"ROph,gold",no,Simbad,1,1.0,,,,,,
1037,203935537,16 25 56.16,-24 20 48.5,12.8,7.52,5.28,5.28,1.93,7.27,3.35,,,,,"ROph,bronze",yes,Simbad,1,0.999918,,,,,,
1038,203896485,16 25 57.52,-24 30 32.1,16.37,8.32,8.05,8.05,4.43,7.75,3.62,5.9631,,,,"ROph,silver",maybe,Simbad,1,1.0,,,,,,
1039,203848661,16 25 57.54,-24 42 08.2,,9.54,,10.78,8.29,8.47,2.49,,,,,"ROph,bronze",maybe,Simbad,1,1.0,4906.0,140.0,,,,
1040,203476597,16 25 57.91,-26 00 37.3,,8.53,,4.58,0.71,8.44,3.87,3.2126,1.4403,,,"USco,gold",no,Simbad,1,0.999972,4154.0,122.0,,,,
1041,203801323,16 25 58.93,-24 52 48.3,,10.24,,7.32,2.09,9.97,5.23,1.2549,1.8155,,,"ROph,gold",yes,Simbad,1,0.999978,,,,,,
1042,203933268,16 25 59.65,-24 21 22.3,17.2,9.53,7.67,7.67,1.59,9.33,6.08,2.3892,,,,"ROph,silver",no,Simbad,1,0.999999,3318.0,64.0,,,,
1043,203899767,16 26 01.60,-24 29 44.9,,9.63,,12.5,7.72,8.64,4.78,,,,,"ROph,bronze",maybe,Simbad,1,1.0,,,,,,
1044,203086979,16 26 02.15,-27 18 14.1,,9.05,,3.79,0.44,8.99,3.35,1.5016,0.9109,,,"USco,bronze",no,Simbad,1,0.999146,3984.0,129.5,0.622,0.079,0.04276,-0.5066116647898402
1045,203982074,16 26 02.89,-24 08 47.4,,10.49,,8.69,7.68,9.5,1.01,,,,,"ROph,bronze",no,Simbad,1,0.999999,6170.0,166.0,1.177,,,0.6154260585510546
1046,203924502,16 26 03.03,-24 23 36.5,14.01,6.23,7.78,7.78,5.46,5.52,2.32,3.461,,,,"ROph,bronze",yes,Simbad,1,0.999999,,,,,,
1047,203947410,16 26 03.29,-24 17 47.1,16.49,9.11,7.38,7.38,2.59,8.78,4.78,5.6968,,,,"ROph,gold",no,Simbad,1,0.999999,3035.0,,,,,
1048,203778209,16 26 04.35,-24 57 51.8,,8.3,,4.42,0.59,8.22,3.83,0.7119,,,,"USco,bronze",no,Simbad,1,0.999966,5302.0,124.0,0.912,,,0.20711710633847483
1049,203881373,16 26 09.32,-24 34 12.1,,6.5,,5.45,5.41,5.81,0.04,0.2746,0.2799,,,"ROph,bronze",yes,Simbad,1,0.999956,,,,,,
1050,203803804,16 26 10.91,-24 52 15.5,,9.1,,5.94,3.62,8.63,2.32,,,,,"ROph,bronze",no,Simbad,1,0.999999,4652.0,122.0,,,,
1051,205030871,16 26 12.75,-19 44 24.3,,12.73,,6.95,1.32,12.56,5.63,,,,,"USco,bronze",no,Simbad,1,0.999979,3167.0,157.0,0.424,0.048,0.00666,-1.7772835288524167
1052,203819556,16 26 13.83,-24 48 46.9,,11.85,,6.87,2.25,11.56,4.63,,,,,"ROph,bronze",no,Simbad,1,0.99999,5177.0,126.0,,,,
1053,203929332,16 26 16.84,-24 22 23.1,,8.2,,11.67,8.13,7.15,3.54,3.577,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1054,203937317,16 26 17.08,-24 20 22.0,14.21,8.06,6.15,6.15,2.53,7.74,3.62,2.7158,5.4889,,,"ROph,gold",yes,Simbad,1,0.99999,3492.0,122.0,0.455,,,-0.6829609696016565
1055,203796764,16 26 18.37,-24 53 47.6,,10.71,,6.6,1.93,10.46,4.67,3.5811,,,,"ROph,bronze",no,Simbad,1,0.999999,5608.0,123.0,,,,
1056,203987773,16 26 18.79,-24 07 19.6,,9.35,,7.25,2.47,9.04,4.78,6.4117,4.1313,,,"ROph,gold",maybe,Simbad,1,1.0,3536.0,58.0,0.478,,,-1.3199365725180514
1057,203905576,16 26 18.86,-24 28 19.6,,8.07,,15.69,11.73,6.56,3.96,2.3932,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1058,203055760,16 26 19.10,-27 24 42.1,,9.62,,4.57,0.3,9.58,4.27,1.7614,,,,"USco,bronze",no,Simbad,1,0.999996,4425.0,122.0,,,,
1059,203867961,16 26 19.51,-24 37 27.4,16.67,10.1,6.57,6.57,0.91,9.99,5.65,3.2438,,,,"ROph,silver",yes,Simbad,1,0.999999,6704.0,126.0,1.42,,,0.6980726941824105
1060,204611221,16 26 19.62,-21 37 21.0,,9.42,,5.13,0.62,9.34,4.51,19.502,3.5735,,,"USco,gold",no,Simbad,1,0.996487,3547.0,156.3,0.484,0.099,0.04628,-0.8272219853441473
1061,204277248,16 26 19.95,-22 58 10.2,,10.54,,5.48,0.57,10.46,4.91,3.0873,,,,"USco,gold",no,Simbad,1,0.998258,3219.0,157.0,0.612,0.02,0.00988,-1.414990720097539
1062,204383288,16 26 19.97,-22 33 02.6,,9.82,,5.14,0.03,9.82,5.11,24.0913,,,,"USco,gold",no,Simbad,1,0.992964,3559.0,122.3,0.49,0.091,0.01723,-0.9801362860321566
1063,204382615,16 26 20.15,-22 33 12.8,,10.41,,5.78,0.96,10.29,4.82,2.8218,,,,"USco,gold",,Simbad,2,1.0E-6,3215.0,157.0,0.63,0.02,0.01056,-1.3856301604517114
1064,203760915,16 26 20.61,-25 01 37.0,,12.09,,6.79,1.87,11.85,4.93,,,,,"USco,bronze",no,Simbad,1,0.999986,3309.0,157.0,0.614,0.023,0.01155,-1.3641143147187273
1065,203981774,16 26 20.99,-24 08 52.4,16.52,9.5,7.02,7.02,1.79,9.27,5.23,0.8241,,,,"ROph,bronze",maybe,Simbad,1,0.999995,3103.0,122.0,,,,
1066,203914960,16 26 21.52,-24 26 00.9,,10.92,,10.1,1.63,10.71,8.47,2.4972,,,,"ROph,silver",yes,Simbad,1,1.0,,,0.56,0.022,0.0,-Infinity
1067,203837701,16 26 21.90,-24 44 39.9,,10.86,,9.72,2.34,10.56,7.38,2.6201,,,,"ROph,bronze",yes,Simbad,1,1.0,2798.0,157.0,0.603,0.023,0.00631,-1.6757175447023074
1068,204520625,16 26 22.20,-22 00 09.1,,10.59,,6.49,1.38,10.41,5.12,1.3776,,,,"USco,bronze",no,Simbad,1,0.999978,3079.0,157.0,0.597,0.02,0.00805,-1.5198492747267196
1069,203934728,16 26 23.36,-24 20 59.9,14.7,6.57,8.13,8.13,5.94,5.81,2.19,5.9033,,,,"ROph,silver",yes,Simbad,1,1.0,3137.0,,,,,
1070,202987851,16 26 23.41,-27 39 00.5,10.43,8.06,2.37,2.37,0.41,8.01,1.96,1.5409,,,,"USco,gold",no,Simbad,1,0.999862,4874.0,120.8,,,,
1071,203843911,16 26 23.69,-24 43 13.8,,7.85,,5.97,2.62,7.51,3.35,8.893,,,,"ROph,bronze",yes,Simbad,1,0.999982,3479.0,123.0,,,,
1072,203919797,16 26 24.04,-24 24 48.0,,7.32,,15.26,11.91,5.79,3.35,4.7842,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1073,203953466,16 26 24.07,-24 16 13.4,,6.68,,11.89,8.35,5.61,3.54,6.6218,,,,"ROph,silver",yes,Simbad,1,1.0,4483.0,123.0,,,,
1074,203074940,16 26 25.39,-27 20 42.7,,11.18,,6.42,0.39,11.13,6.03,3.3496,,,,"USco,bronze",no,Simbad,1,0.999983,3076.0,157.0,0.581,0.021,0.00758,-1.5491353076202339
1075,203960268,16 26 25.68,-24 14 27.8,,11.5,,8.71,2.63,11.16,6.08,1.9579,,,,"ROph,silver",no,Simbad,1,1.0,2816.0,157.0,0.47,0.022,0.00372,-1.8982529260536338
1076,203637940,16 26 27.75,-25 27 24.5,,9.21,,6.63,1.9,8.97,4.73,3.2971,,,,"ROph,silver",yes,Simbad,1,0.999697,3472.0,129.0,0.444,,,-1.3577333810973264
1077,203354381,16 26 27.86,-26 25 15.1,,9.85,,5.66,0.62,9.77,5.03,0.5993,,,,"USco,bronze",no,Simbad,1,0.997667,3252.0,,,,,
1078,203640875,16 26 28.02,-25 26 47.9,,9.1,,5.25,0.89,8.98,4.35,9.0968,,,,"USco,gold",yes,Simbad,1,0.999899,3547.0,119.6,0.484,0.093,0.02741,-0.7901366172984531
1079,202976647,16 26 29.90,-27 41 20.2,8.61,7.22,1.39,1.39,0.02,7.22,1.37,2.076,,,,"USco,gold",no,Simbad,1,0.998258,6615.0,136.7,1.38,0.223,0.37844,0.8743733754993549
1080,203917082,16 26 31.35,-24 25 30.2,,11.72,,12.47,7.69,10.73,4.78,,,,,"ROph,silver",yes,Simbad,1,0.999997,,,,,,
1081,203365890,16 26 32.76,-26 22 59.1,,10.49,,7.04,0.51,10.42,6.53,,,,,"USco,gold",no,Simbad,1,0.999998,2914.0,157.0,0.661,0.021,0.00885,-1.5014137911824823
1082,203925053,16 26 34.16,-24 23 28.2,16.53,6.32,10.21,10.21,10.66,4.95,-0.45,6.2302,0.6877,,,"ROph,silver",,Simbad,1,1.0,,,,,,
1083,203713606,16 26 34.94,-25 11 41.2,,9.99,,4.57,0.09,9.98,4.48,4.7668,,,,"USco,gold",no,Simbad,1,0.999739,3723.0,127.2,0.556,0.084,0.01491,-0.9910167961845282
1084,205114690,16 26 35.43,-19 19 53.3,,9.26,,4.03,0.7,9.17,3.33,,,,,"USco,bronze",no,Simbad,1,0.999996,4042.0,545.4,,,,
1085,204223197,16 26 36.61,-23 10 57.0,,9.21,,5.17,0.43,9.16,4.74,9.6885,,,,"USco,bronze",no,Simbad,1,0.999762,3582.0,123.3,0.501,0.093,0.02645,-0.824546173749517
1086,203954898,16 26 36.82,-24 15 51.8,,9.59,,12.38,8.42,8.51,3.96,1.7866,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1087,203954364,16 26 37.13,-24 15 59.9,,10.76,,10.03,3.95,10.25,6.08,,,,,"ROph,bronze",yes,Simbad,1,1.0,2797.0,157.0,0.578,0.021,0.00555,-1.7203330559515444
1088,204525799,16 26 38.63,-21 58 51.8,,10.73,,6.24,0.93,10.61,5.3,2.0115,,,,"USco,bronze",no,Simbad,1,0.999962,3081.0,157.0,0.601,0.021,0.00821,-1.5121548798885645
1089,204377821,16 26 39.65,-22 34 20.3,,10.49,,6.94,1.36,10.31,5.57,1.3506,,,,"USco,bronze",no,Simbad,1,0.999999,,,,,,
1090,204840715,16 26 40.57,-20 37 28.6,,9.14,,4.13,0.7,9.05,3.43,,,,,"USco,bronze",no,Simbad,1,0.999996,5009.0,122.0,,,,
1091,204520585,16 26 41.19,-22 00 09.7,,9.34,,5.06,0.81,9.24,4.25,19.1625,2.1586,,,"USco,gold",no,Simbad,1,0.998613,,,,,,
1092,203856244,16 26 41.22,-24 40 17.7,,9.27,,7.95,1.87,9.03,6.08,4.0675,1.951,,,"ROph,silver",yes,Simbad,1,1.0,,,,,,
1093,203936815,16 26 42.85,-24 20 29.9,,7.88,,10.7,7.16,6.96,3.54,8.9081,,,,"ROph,silver",yes,Simbad,1,0.999999,,,,,,
1094,203138121,16 26 42.88,-27 07 42.0,,11.2,,6.43,0.94,11.08,5.49,0.8274,,,,"USco,bronze",no,Simbad,1,0.999963,3105.0,157.0,0.564,0.021,0.00729,-1.5630426693305504
1095,203972954,16 26 43.13,-24 11 10.3,,9.68,,7.63,3.96,9.17,3.67,12.4936,,,,"ROph,bronze",no,Simbad,1,0.999994,3938.0,120.0,,,,
1096,203803109,16 26 43.50,-24 52 24.8,,10.37,,8.21,4.67,9.77,3.54,,,,,"ROph,silver",no,Simbad,1,1.0,3883.0,95.0,,,,
1097,203952180,16 26 43.75,-24 16 33.3,,9.6,,15.62,11.66,8.1,3.96,1.7728,0.3817,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1098,203843900,16 26 44.33,-24 43 14.0,17.07,9.57,7.5,7.5,2.72,9.22,4.78,1.5434,,,,"ROph,silver",no,Simbad,1,0.999999,3455.0,101.0,,,,
1099,203826403,16 26 44.41,-24 47 14.0,,10.64,,6.64,1.52,10.44,5.12,3.979,,,,"USco,bronze",no,Simbad,1,0.999999,2964.0,157.0,0.604,0.021,0.00736,-1.5728385970740344
1100,203926424,16 26 45.02,-24 23 07.7,,8.95,,18.3,14.34,7.11,3.96,4.208,,,,"ROph,bronze",yes,Simbad,1,0.999999,,,,,,
1101,203969721,16 26 46.41,-24 12 00.0,15.5,7.49,8.01,8.01,6.43,6.66,1.58,3.3516,,,,"ROph,bronze",yes,Simbad,1,0.999999,,,,,,
1102,203838456,16 26 47.05,-24 44 29.8,,10.56,,8.95,3.29,10.13,5.65,3.504,,,,"ROph,gold",yes,Simbad,1,1.0,2807.0,157.0,0.634,0.021,0.00708,-1.6143937264016879
1103,204206295,16 26 47.43,-23 14 50.8,13.84,8.62,5.22,5.22,1.94,8.37,3.29,14.3367,,,,"USco,bronze",maybe,Simbad,1,0.999975,4745.0,141.2,0.762,0.093,0.06004,-0.03246606370038043
1104,203849021,16 26 48.10,-24 42 03.3,,10.65,,9.35,3.27,10.23,6.08,3.9327,,,,"ROph,bronze",maybe,Simbad,1,1.0,2754.0,161.0,0.609,0.022,0.00616,-1.692717952966654
1105,203864032,16 26 48.97,-24 38 25.2,,9.98,,15.04,10.26,8.66,4.78,,,,,"ROph,silver",yes,Simbad,1,0.999999,,,,,,
1106,203938591,16 26 49.23,-24 20 02.9,,8.69,,13.46,4.92,8.05,8.54,2.5615,7.23,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1107,203962559,16 26 50.48,-24 13 52.2,,10.8,,7.93,3.15,10.4,4.78,1.5402,,,,"ROph,gold",no,Simbad,1,1.0,2844.0,157.0,0.565,0.021,0.00551,-1.7146677723561154
1108,203006330,16 26 54.08,-27 35 08.0,,10.68,,5.26,1.57,10.48,3.69,1.0821,,,,"USco,bronze",no,Simbad,1,0.992964,3285.0,157.0,0.598,0.02,0.00993,-1.4061603389187287
1109,204464537,16 26 56.18,-22 13 52.1,,12.41,,7.2,0.78,12.31,6.42,0.2843,,,,"USco,gold",maybe,Simbad,1,0.999999,2823.0,157.0,0.324,0.021,0.00196,-2.176525770829699
1110,203478347,16 26 56.46,-26 00 17.0,,12.01,,7.06,1.37,11.83,5.69,2.8819,,,,"USco,bronze",no,Simbad,1,0.999999,3037.0,157.0,0.449,0.021,0.00431,-1.8038238149600268
1111,203962599,16 26 56.77,-24 13 51.5,,9.25,,13.92,10.3,7.93,3.62,4.2516,,,,"ROph,silver",yes,Simbad,1,1.0,,,,,,
1112,203833873,16 26 58.42,-24 45 31.7,,7.55,,11.13,7.46,6.59,3.67,3.109,,,,"ROph,bronze",yes,Simbad,1,0.999397,,,,,,
1113,210282534,16 26 58.50,-24 45 36.8,,7.06,,8.28,5.79,6.31,2.49,11.2948,,,,"ROph,bronze",yes,Simbad,1,0.999973,5055.0,101.0,,,,
1114,203979309,16 27 04.05,-24 09 32.1,,10.09,,7.55,3.05,9.7,4.5,4.612,,,,"ROph,bronze",yes,Simbad,1,0.999999,3802.0,114.0,,,,
1115,203844856,16 27 04.51,-24 42 59.6,,9.84,,10.46,6.79,8.96,3.67,3.5358,,,,"ROph,bronze",maybe,Simbad,1,1.0,3423.0,124.0,0.41,,,-1.1800614306446047
1116,203848252,16 27 04.56,-24 42 14.0,,9.81,,11.81,7.85,8.8,3.96,14.4927,,,,"ROph,silver",yes,Simbad,1,1.0,3232.0,129.0,,,,
1117,205044245,16 27 05.16,-19 40 30.3,,10.84,,4.88,0.36,10.8,4.52,12.3653,,,,"USco,bronze",no,Simbad,1,0.999998,3665.0,122.0,0.535,,,-1.1249387366083
1118,203988827,16 27 06.55,-24 07 03.1,,10.76,,9.04,3.39,10.33,5.65,4.2381,,,,"ROph,silver",no,Simbad,1,1.0,2812.0,157.0,0.584,0.021,0.00577,-1.700057099977233
1119,203850058,16 27 06.59,-24 41 48.8,,10.77,,9.47,3.39,10.33,6.08,2.8619,,,,"ROph,bronze",yes,Simbad,1,1.0,2798.0,157.0,0.596,0.021,0.00597,-1.6878226435602213
1120,203442191,16 27 06.68,-26 07 31.1,10.4,8.29,2.11,2.11,1.27,8.13,0.84,0.5415,0.5318,,,"USco,bronze",no,Simbad,1,0.999979,6438.0,159.2,1.302,0.217,0.24722,0.5510484559830375
1121,203969672,16 27 09.07,-24 12 00.7,,9.8,,12.11,7.47,8.84,4.64,4.8267,,,,"ROph,gold",yes,Simbad,1,1.0,3780.0,142.0,0.574,,,-0.5699894803694074
1122,203881640,16 27 09.10,-24 34 08.1,,8.91,,16.81,13.14,7.22,3.67,2.4154,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1123,204565982,16 27 09.40,-21 48 45.9,,11.71,,7.82,2.02,11.45,5.8,1.5612,,,,"USco,gold",yes,Simbad,1,1.0,2864.0,157.0,0.442,0.021,0.00347,-1.9182927299026507
1124,203386139,16 27 09.49,-26 18 55.1,,10.77,,5.72,0.21,10.74,5.51,0.909,1.4135,,,"USco,gold",no,Simbad,1,0.992659,,,,,,
1125,203941868,16 27 10.26,-24 19 12.6,14.1,6.72,7.38,7.38,5.8,5.97,1.58,2.0474,2.1516,,,"ROph,bronze",yes,Simbad,1,0.999996,7312.0,123.0,1.655,,,1.1959884385742
1126,203975467,16 27 11.87,-24 10 31.2,18.68,9.64,9.04,9.04,5.08,8.99,3.96,8.3048,,,,"ROph,gold",no,Simbad,1,1.0,,,,,,
1127,203120347,16 27 12.52,-27 11 21.9,8.25,7.19,1.06,1.06,0.0,7.19,1.06,,,,,"USco,bronze",no,Simbad,1,0.996487,6677.0,125.4,1.412,0.23,0.21404,0.7051107387639194
1128,203749770,16 27 12.72,-25 04 02.1,,9.38,,5.38,1.46,9.19,3.92,4.8208,,,,"USco,gold",yes,Simbad,1,0.998613,3525.0,136.9,0.473,0.097,0.03,-0.8787685448503785
1129,203945512,16 27 13.72,-24 18 16.8,,9.29,,,10.2,,,,,,,"ROph,bronze",yes,Simbad,1,1.0,3699.0,171.0,0.548,,,-0.6574391565491682
1130,203842632,16 27 13.82,-24 43 31.6,,9.98,,,,,,,,,,"ROph,bronze",yes,Simbad,1,0.999999,3294.0,163.0,,,,
1131,203390805,16 27 14.36,-26 17 58.7,,9.53,,3.85,0.7,9.44,3.15,4.7328,,,,"USco,bronze",no,Simbad,1,0.997667,3974.0,130.0,0.62,0.081,0.02743,-0.6641010079748881
1132,203807051,16 27 14.48,-24 51 33.7,16.44,10.38,6.06,6.06,0.83,10.27,5.23,2.6051,,,,"USco,bronze",no,Simbad,1,0.999938,3111.0,157.0,0.64,0.021,0.00993,-1.4250432242354931
1133,203806628,16 27 15.11,-24 51 38.8,15.02,9.39,5.63,5.63,1.7,9.17,3.93,,,,,"USco,bronze",yes,Simbad,1,0.992964,3602.0,134.3,0.51,0.095,0.01598,-1.0130939686192788
1134,205488952,16 27 16.44,-17 15 11.6,,12.45,,6.64,1.91,12.2,4.74,,,,,"USco,bronze",no,Simbad,1,0.999968,3184.0,157.0,0.454,0.022,0.00522,-1.713543530253017
1135,203989869,16 27 16.89,-24 06 47.7,,8.6,,8.72,5.97,7.84,2.75,,,,,"ROph,bronze",no,Simbad,1,1.0,4362.0,175.0,,,,
1136,203826602,16 27 17.07,-24 47 11.1,,9.49,,9.57,7.08,8.58,2.49,,,,,"ROph,bronze",no,Simbad,1,1.0,4543.0,127.0,,,,
1137,203791768,16 27 18.34,-24 54 53.9,,10.06,,5.91,0.78,9.96,5.14,2.7065,,,,"USco,bronze",yes,Simbad,1,0.999617,3435.0,129.0,0.422,,,-1.358823453386886
1138,204134902,16 27 18.95,-23 31 38.0,,8.61,,3.95,0.7,8.52,3.25,2.4681,,,,"USco,bronze",no,Simbad,1,0.999991,5334.0,659.7,0.921,0.171,0.48306,0.09543786820505691
1139,203850605,16 27 19.49,-24 41 40.3,13.28,8.41,4.87,4.87,0.02,8.41,4.85,3.9176,3.5199,,,"USco,gold",yes,Simbad,1,0.996487,,,,,,
1140,203946777,16 27 22.91,-24 17 57.3,,9.45,,17.42,13.88,7.67,3.54,5.3734,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1141,203822485,16 27 22.95,-24 48 07.3,,9.39,,6.9,1.67,9.17,5.23,8.8495,,,,"ROph,gold",yes,Simbad,1,0.999994,3407.0,83.0,0.405,,,-1.2933675491267054
1142,204608421,16 27 25.51,-21 38 04.0,,11.26,,6.46,0.88,11.15,5.58,1.8322,,,,"USco,bronze",no,Simbad,1,0.999996,3003.0,157.0,0.499,0.021,0.00504,-1.7347103741391698
1143,203915424,16 27 26.58,-24 25 54.3,,11.84,,8.16,0.7,11.75,7.46,2.8842,,,,"USco,bronze",yes,Simbad,1,0.999998,2892.0,157.0,0.42,0.022,0.00327,-1.9430951486635273
1144,203893434,16 27 27.38,-24 31 16.5,,9.32,,15.72,11.76,7.8,3.96,,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1145,202787821,16 27 27.64,-28 21 50.6,,10.02,,4.69,0.19,9.99,4.5,4.2599,,,,"USco,gold",no,Simbad,2,1.0E-6,3634.0,122.5,0.523,0.087,0.02012,-0.9243435664020658
1146,203793391,16 27 28.72,-24 54 32.1,,11.69,,5.66,0.43,11.64,5.23,0.8805,,,,"ROph,silver",no,Simbad,1,0.99987,3107.0,157.0,0.385,0.021,0.00347,-1.884056823060945
1147,203978911,16 27 28.76,-24 09 37.9,,10.82,,8.16,7.15,9.9,1.01,,,,,"ROph,bronze",no,Simbad,1,1.0,6628.0,140.0,,,,
1148,203825455,16 27 30.83,-24 47 27.0,,9.5,,11.12,6.9,8.61,4.22,1.2444,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1149,203919315,16 27 30.84,-24 24 56.0,,10.07,,12.36,7.58,9.1,4.78,6.1462,,,,"ROph,silver",yes,Simbad,1,1.0,,,,,,
1150,203796922,16 27 32.86,-24 53 45.4,,8.34,,7.31,3.87,7.84,3.44,13.3542,,,,"ROph,bronze",no,Simbad,1,0.999999,4080.0,122.0,,,,
1151,203852282,16 27 33.11,-24 41 15.2,,7.81,,12.37,8.7,6.69,3.67,,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1152,202790830,16 27 33.20,-28 21 10.0,,10.51,,4.93,0.15,10.49,4.78,3.8927,,,,"USco,gold",no,Simbad,2,1.0E-6,3372.0,157.0,0.63,0.021,0.0124,-1.30189945437661
1153,203863479,16 27 35.26,-24 38 33.3,,9.67,,8.49,2.84,9.3,5.65,1.6257,2.2433,,,"ROph,bronze",no,Simbad,1,1.0,3343.0,74.0,,,,
1154,203896277,16 27 37.18,-24 30 35.0,,7.58,,11.31,11.27,6.13,0.04,,,,,"ROph,bronze",yes,Simbad,1,1.0,3126.0,123.0,,,,
1155,203895738,16 27 38.12,-24 30 42.9,,9.66,,14.41,9.18,8.48,5.23,,,,,"ROph,bronze",yes,Simbad,1,1.0,,,,,,
1156,203870022,16 27 38.32,-24 36 58.5,,8.27,,14.53,11.18,6.83,3.35,,,,,"ROph,silver",yes,Simbad,1,1.0,,,,,,
1157,203863066,16 27 38.63,-24 38 39.1,,11.08,,12.85,3.57,10.62,9.28,4.1143,,,,"ROph,bronze",yes,Simbad,1,1.0,2831.0,157.0,0.553,0.032,0.00619,-1.7423214251308154
1158,203860592,16 27 39.42,-24 39 15.5,,8.46,,8.95,5.6,7.74,3.35,6.2229,,,,"ROph,silver",yes,Simbad,1,1.0,3469.0,124.0,0.44,,,-0.7487025363224303
1159,204330922,16 27 39.53,-22 45 23.0,11.65,8.08,3.56,3.56,1.11,7.94,2.45,4.1633,,,,"USco,gold",no,Simbad,1,0.999944,4143.0,122.0,,,,
1160,203930599,16 27 40.27,-24 22 04.1,11.53,7.21,4.33,4.33,0.98,7.08,3.35,,,,,"ROph,bronze",yes,Simbad,1,0.999947,,,,,,
1161,203425127,16 27 40.90,-26 10 56.9,,10.51,,5.96,0.55,10.44,5.41,0.5312,,,,"USco,bronze",no,Simbad,1,0.999877,3173.0,122.0,,,,
1162,203862309,16 27 42.70,-24 38 50.6,,10.54,,13.44,8.94,9.39,4.5,4.3647,,,,"ROph,bronze",yes,Simbad,1,1.0,3260.0,191.0,0.651,0.03,0.01645,-1.3234892897174464
1163,204853319,16 27 43.41,-20 34 01.7,,12.68,,8.68,3.38,12.25,5.3,,,,,"USco,bronze",no,Simbad,1,0.999999,2922.0,158.0,0.379,0.027,0.00315,-2.003050751504619
1164,203751997,16 27 45.21,-25 03 33.1,,11.45,,5.94,0.32,11.41,5.61,2.7362,,,,"USco,bronze",no,Simbad,1,0.999952,3088.0,157.0,0.486,0.021,0.0052,-1.7101881608823786
1165,203891751,16 27 46.29,-24 31 41.1,,11.32,,13.36,4.89,10.69,8.47,,,,,"ROph,bronze",yes,Simbad,1,0.999999,,,,,,
1166,203781195,16 27 47.98,-24 57 13.7,,12.11,,8.43,2.83,11.75,5.6,0.4139,,,,"USco,gold",no,Simbad,1,1.0,2863.0,160.0,0.495,0.035,0.00535,-1.8259401922749745
