recno,EPIC_1,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,Per1,Per2,Per3,Per4,Memb,Simbad_1,single,PSS,(V-Ks)0,P1,P2,Mass,Disk,_RA,_DE,Separation
402,204769996,16 09 36.07,-20 56 25.8,,11.68,,6.31,0.51,11.62,1.7179,,,,"USco,bronze",Simbad,1,0.999998,5.798,1.7179,,0.248,,242.40034,-20.94044,0.27030492165783004
404,204783273,16 09 37.06,-20 52 53.2,,11.98,,6.28,0.19,11.95,1.1105,,,,"USco,gold",Simbad,1,0.999998,6.09,1.1105,,0.179,,242.40445,-20.88138,0.2576713795696409
408,203844180,16 09 43.53,-24 43 10.0,,12.17,,6.02,0.4,12.12,0.8422,,,,"USco,bronze",Simbad,1,0.99999,5.619,0.8422,,0.301,,242.43143,-24.71941,0.21845910458208906
410,204288433,16 09 46.33,-22 55 34.0,,11.03,,6.08,0.35,10.98,1.8162,,,,"USco,gold",Simbad,1,0.999981,5.722,1.8162,,0.269,,242.44307,-22.92598,0.4812579981404864
415,203856109,16 09 51.96,-24 40 20.0,,12.13,,6.95,0.83,12.03,1.4332,,,,"USco,bronze",Simbad,1,0.999999,6.119,1.4332,,0.174,Y,242.46659,-24.67214,0.4174931380277185
416,204982702,16 09 52.06,-19 58 06.8,,10.46,,6.23,0.09,10.45,2.403,,,,"USco,bronze",Simbad,1,0.999848,6.138,2.403,,0.17,Y,242.46694,-19.96849,0.24885557028551886
418,203849738,16 09 52.87,-24 41 53.5,,10.93,,6.17,0.45,10.87,0.619,,,,"USco,gold",Simbad,1,0.999996,5.72,0.619,,0.269,,242.47033,-24.69821,0.13731396773160287
423,204078097,16 09 58.51,-23 45 18.9,,11.62,,7.04,0.74,11.53,1.4106,,,,"USco,gold",Simbad,1,0.999999,6.298,1.4106,,0.145,Y,242.49385,-23.75517,0.34624818745037655
425,205366676,16 09 59.32,-18 00 09.2,,10.34,,5.92,0.32,10.3,3.6874,,,,"USco,gold",Simbad,1,0.999906,5.602,3.6874,,0.306,Y,242.49724,-18.00252,0.2818205273062013
430,203036352,16 10 03.93,-27 28 48.2,,11.2,,5.61,0.0,11.2,0.7104,,,,"USco,gold",Simbad,1,0.99968,5.613,0.7104,,0.303,,242.51642,-27.47999,0.276318591163976
434,205024957,16 10 10.99,-19 46 04.2,,11.38,,6.19,0.47,11.32,1.6656,,,,"USco,gold",Simbad,1,0.999995,5.711,1.6656,,0.272,Y,242.54586,-19.76779,0.2791591763925046
439,202515599,16 10 15.41,-29 23 56.2,,12.08,,6.46,0.0,12.08,0.5851,,,,"USco,bronze",Simbad,1,0.999998,6.46,0.5851,,0.123,,242.56424,-29.39896,0.11401904582094806
442,204133691,16 10 20.85,-23 31 55.8,,11.05,,6.01,0.32,11.01,0.8106,,,,"USco,gold",Simbad,1,0.999996,5.681,0.8106,,0.281,,242.58698,-23.53213,0.3708512673417361
444,202915242,16 10 21.53,-27 54 17.6,,11.2,,6.09,0.28,11.16,1.2661,1.7012,,,"USco,bronze",Simbad,1,0.999995,5.803,1.2661,1.7012,0.246,,242.58979,-27.90482,0.35917692310131494
454,205145188,16 10 28.18,-19 10 44.5,,11.79,,7.03,1.17,11.64,1.7554,,,,"USco,gold",Simbad,1,0.999999,5.862,1.7554,,0.23,Y,242.61748,-19.17902,0.21715795212764966
457,205247191,16 10 30.07,-18 39 06.8,,10.55,,7.35,1.35,10.38,3.906,,,,"USco,gold",Simbad,1,0.999999,6.004,3.906,,0.194,,242.62535,-18.65182,0.31795176555138865
458,204487447,16 10 30.68,-22 08 23.2,,11.76,,7.07,1.17,11.61,2.0221,,,,"USco,bronze",Simbad,1,0.999999,5.894,2.0221,,0.221,Y,242.62791,-22.13971,0.3534017918136889
461,204870669,16 10 35.24,-20 29 17.1,,11.71,,6.91,0.54,11.64,1.3834,,,,"USco,gold",Simbad,1,0.999999,6.365,1.3834,,0.136,,242.64687,-20.48802,0.2593711878791347
464,204495624,16 10 42.58,-22 06 21.5,,11.5,,6.44,0.35,11.45,1.9662,,,,"USco,bronze",Simbad,1,0.999998,6.096,1.9662,,0.178,Y,242.67747,-22.10591,0.28604096060221135
467,202879519,16 10 44.58,-28 01 53.9,,10.77,,6.01,0.0,10.77,5.0729,,,,"USco,bronze",Simbad,1,0.999994,6.011,5.0729,,0.193,,242.68575,-28.03165,0.040000000002949065
471,204468732,16 10 49.95,-22 12 51.7,,11.73,,7.17,0.98,11.6,0.7695,0.4794,,,"USco,bronze",Simbad,1,0.999999,6.19,0.7695,0.4794,0.161,,242.70818,-22.21433,0.2148120665790333
473,205054397,16 10 52.39,-19 37 34.7,,10.73,,6.11,0.54,10.66,1.8094,,,,"USco,gold",Simbad,1,0.999987,5.564,1.8094,,0.319,Y,242.71836,-19.62623,0.3573132033883327
476,204655153,16 10 54.99,-21 26 14.1,,11.78,,6.94,0.6,11.7,0.52,,,,"USco,gold",Simbad,1,0.999999,6.344,0.52,,0.139,,242.72914,-21.4372,0.18688630241754145
478,204501712,16 10 56.91,-22 04 51.5,,11.4,,6.3,0.52,11.33,2.0304,,,,"USco,bronze",Simbad,1,0.999998,5.786,2.0304,,0.251,Y,242.73713,-22.081,0.10138152915394183
480,204117263,16 11 02.10,-23 35 50.7,,10.95,,6.11,0.35,10.91,0.6423,,,,"USco,gold",Simbad,1,0.99999,5.753,0.6423,,0.26,,242.75884,-23.59735,0.38177746499248966
487,204561327,16 11 09.19,-21 49 56.4,,11.6,,6.37,0.75,11.5,0.946,,,,"USco,bronze",Simbad,1,0.999999,5.625,0.946,,0.299,,242.78833,-21.83229,0.2018567654608448
500,203759570,16 11 18.46,-25 01 55.0,,11.31,,5.8,0.22,11.29,1.8105,,,,"USco,bronze",Simbad,1,0.999893,5.58,1.8105,,0.314,,242.82698,-25.0319,0.2612989445587078
504,204099713,16 11 26.29,-23 40 06.3,,12.47,,6.85,0.57,12.4,1.7984,,,,"USco,gold",Simbad,1,0.999998,6.283,1.7984,,0.147,,242.85959,-23.66832,0.38275428910254616
506,204365837,16 11 31.80,-22 37 08.5,,11.85,,6.61,0.3,11.82,1.7422,,,,"USco,gold",Simbad,1,0.999999,6.314,1.7422,,0.143,,242.88253,-22.61895,0.29721824112212125
508,204439854,16 11 34.69,-22 19 44.4,,12.33,,6.92,0.73,12.23,1.184,,,,"USco,gold",Simbad,1,0.999999,6.183,1.184,,0.162,,242.89459,-22.32895,0.24146613466678377
509,204074274,16 11 37.60,-23 46 15.0,,11.21,,5.98,0.41,11.16,1.8029,,,,"USco,gold",Simbad,1,0.999976,5.569,1.8029,,0.317,,242.90674,-23.77076,0.35786632982353395
515,204292655,16 11 45.29,-22 54 33.2,,11.81,,6.82,0.7,11.72,1.558,1.708,,,"USco,bronze",Simbad,1,0.999999,6.115,1.558,1.708,0.174,,242.93875,-22.90914,0.32665964283591875
516,205086621,16 11 45.33,-19 28 13.4,,11.81,,7.26,0.99,11.69,1.7416,,,,"USco,gold",Simbad,1,0.999999,6.274,1.7416,,0.149,Y,242.93893,-19.47034,0.25656260093485544
517,205155253,16 11 46.12,-19 07 42.9,,11.15,,7.06,1.11,11.01,1.7852,,,,"USco,gold",Simbad,1,0.999999,5.95,1.7852,,0.207,Y,242.9422,-19.1286,0.12827206619934362
519,205019241,16 11 49.20,-19 47 43.3,,10.82,,6.46,0.57,10.75,0.92,,,,"USco,bronze",Simbad,1,0.999998,5.89,0.92,,0.222,,242.95501,-19.79532,0.15182674257074483
524,205091879,16 11 57.63,-19 26 39.1,,10.19,,6.9,1.0,10.06,1.0182,,,,"USco,bronze",Simbad,1,0.999997,5.897,1.0182,,0.22,Y,242.99023,-19.4442,0.35700186718865246
527,204912351,16 12 02.22,-20 17 55.3,,11.08,,6.25,0.47,11.02,3.2611,,,,"USco,bronze",Simbad,1,0.999998,5.774,3.2611,,0.254,,243.00931,-20.29865,0.2581491520586646
534,205072354,16 12 10.43,-19 32 27.8,,11.24,,6.8,0.68,11.15,0.7718,,,,"USco,gold",Simbad,1,0.999999,6.121,0.7718,,0.173,,243.04349,-19.541,0.2270287048429144
536,205156547,16 12 12.41,-19 07 19.3,,10.96,,7.3,1.45,10.77,1.8003,,,,"USco,bronze",Simbad,1,0.999999,5.857,1.8003,,0.231,Y,243.05176,-19.12199,0.22221505411853243
538,202709862,16 12 17.22,-28 39 08.5,,11.3,,5.7,0.05,11.29,0.9952,2.0106,,,"USco,gold",Simbad,1,0.999955,5.655,0.9952,2.0106,0.289,,243.07183,-28.65239,0.27329462582382796
540,205102553,16 12 18.44,-19 23 32.6,,12.0,,7.0,0.85,11.89,1.8511,,,,"USco,bronze",Simbad,1,0.999999,6.152,1.8511,,0.168,,243.07689,-19.39235,0.23796625109510067
543,204651122,16 12 22.89,-21 27 16.1,,12.03,,7.0,0.73,11.94,1.5999,,,,"USco,bronze",Simbad,1,0.999999,6.272,1.5999,,0.149,Y,243.09541,-21.45441,0.25284004387905673
545,204940701,16 12 27.36,-20 09 59.9,,11.53,,6.81,0.71,11.44,1.7776,,,,"USco,gold",Simbad,1,0.999998,6.1,1.7776,,0.177,Y,243.11407,-20.16658,0.31764812898558725
548,210282525,16 12 33.53,-25 43 28.0,,10.14,,6.74,0.66,10.06,3.7871,,,,"USco,gold",Simbad,1,0.999928,6.071,3.7871,,0.182,,243.13969,-25.72448,0.14113594807010985
556,205013031,16 12 40.20,-19 49 30.6,,11.29,,6.25,0.45,11.23,3.6251,,,,"USco,bronze",Simbad,1,0.999998,5.807,3.6251,,0.245,,243.16755,-19.82507,0.38701066621388597
562,204105498,16 12 46.91,-23 38 41.0,,12.62,,7.21,0.73,12.53,0.2844,0.2954,,,"USco,gold",Simbad,1,0.999999,6.479,0.2844,0.2954,0.121,,243.19552,-23.64468,0.2538908426675308
563,205167772,16 12 47.25,-19 03 53.3,,11.75,,6.92,1.12,11.6,1.1876,,,,"USco,gold",Simbad,1,0.999999,5.808,1.1876,,0.245,,243.19696,-19.06477,0.3162748914148925
565,204888409,16 12 48.96,-20 24 30.6,,12.08,,6.32,0.32,12.04,1.3743,,,,"USco,bronze",Simbad,1,0.999994,5.993,1.3743,,0.197,,243.20406,-20.40841,0.3820453914400492
572,205082248,16 13 03.05,-19 29 32.3,,12.35,,7.12,1.17,12.2,1.7541,,,,"USco,silver",Simbad,1,0.999999,5.95,1.7541,,0.207,,243.26279,-19.4922,0.47033184891979324
575,204259310,16 13 09.82,-23 02 18.4,,11.76,,6.29,0.47,11.69,1.3301,1.5318,,,"USco,bronze",Simbad,1,0.999998,5.819,1.3301,1.5318,0.242,Y,243.29096,-23.03846,0.15409363057330744
578,204210528,16 13 10.81,-23 13 51.7,,11.61,,5.96,0.0,11.61,0.987,,,,"USco,gold",Simbad,1,0.999996,5.959,0.987,,0.205,,243.29511,-23.23095,0.35986218658261715
580,204491374,16 13 11.71,-22 07 25.6,,11.21,,6.11,0.35,11.17,1.2445,,,,"USco,bronze",Simbad,1,0.999995,5.756,1.2445,,0.259,,243.29884,-22.12367,0.42014979397128654
588,205373716,16 13 20.80,-17 57 52.1,,9.87,,5.83,0.23,9.84,1.1268,4.1193,,,"USco,bronze",Simbad,1,0.999751,5.594,1.1268,4.1193,0.309,,243.33668,-17.96448,0.05356142751360499
598,204149252,16 13 34.76,-23 28 15.8,,12.5,,6.65,0.64,12.41,0.9942,,,,"USco,gold",Simbad,1,0.999998,6.01,0.9942,,0.193,,243.39486,-23.471,0.21852701220969212
600,204152030,16 13 36.46,-23 27 35.6,,11.22,,6.23,0.52,11.15,1.8029,0.8242,1.0198,,"USco,gold",Simbad,1,0.999752,5.719,1.8029,0.8242,0.27,,243.40199,-23.45981,0.3732371563840846
604,204525772,16 13 38.32,-21 58 52.0,,11.0,,5.89,0.32,10.96,1.5467,,,,"USco,gold",Simbad,1,0.999911,5.574,1.5467,,0.316,,243.4098,-21.98112,0.4462562925702902
621,203534383,16 14 02.97,-25 48 53.3,,11.71,,7.05,0.83,11.6,0.2784,0.3234,,,"USco,bronze",Simbad,1,0.999999,6.215,0.2784,0.3234,0.157,,243.51245,-25.81475,0.3147635591668134
623,203459091,16 14 04.91,-26 04 06.6,,10.76,,6.11,0.28,10.73,0.7071,0.7969,,,"USco,bronze",Simbad,1,0.999993,5.831,0.7071,0.7969,0.238,,243.5205,-26.0684,0.38438911261263914
626,204492163,16 14 08.95,-22 07 13.3,,11.48,,5.99,0.32,11.44,0.5673,,,,"USco,bronze",Simbad,1,0.999984,5.669,0.5673,,0.285,,243.53731,-22.12038,0.09144589226752174
627,204449800,16 14 10.10,-22 17 23.7,,9.81,,6.91,0.66,9.72,2.448,1.9503,,,"USco,gold",Simbad,1,0.99964,6.253,2.448,1.9503,0.152,,243.54216,-22.28987,0.3056813394047975
632,204332672,16 14 13.51,-22 44 58.0,,11.42,,5.96,0.33,11.38,2.6312,,,,"USco,gold",Simbad,1,0.99996,5.632,2.6312,,0.297,,243.55628,-22.74938,0.23521100077135498
645,204828211,16 14 36.38,-20 40 49.3,,11.5,,5.62,0.0,11.5,0.7257,,,,"USco,bronze",Simbad,1,0.99964,5.621,0.7257,,0.3,,243.65163,-20.68031,0.24199167514148998
647,203726701,16 14 39.18,-25 08 56.5,,11.99,,6.24,0.49,11.93,1.6873,,,,"USco,bronze",Simbad,1,0.999995,5.756,1.6873,,0.259,,243.66326,-25.14894,0.3176758398735761
649,204408619,16 14 41.19,-22 27 05.6,,10.87,,5.61,0.0,10.87,2.6303,,,,"USco,gold",Simbad,1,0.999389,5.61,2.6303,,0.304,,243.67168,-22.45149,0.29863379243719396
658,203703016,16 14 52.43,-25 13 52.7,,10.45,,6.41,0.71,10.36,4.8533,1.8508,,,"USco,gold",Simbad,1,0.999798,5.699,4.8533,1.8508,0.275,Y,243.7184,-25.23124,0.3029565052954738
667,203770366,16 15 05.24,-24 59 35.4,,11.48,,6.59,0.95,11.36,1.8145,,,,"USco,gold",Simbad,1,0.999999,5.635,1.8145,,0.296,Y,243.77187,-24.99309,0.30081483729469494
670,204079030,16 15 08.91,-23 45 05.2,,11.34,,5.85,0.28,11.3,2.832,,,,"USco,gold",Simbad,1,0.99987,5.575,2.832,,0.315,,243.78717,-23.75134,0.4041814252755368
675,203938167,16 15 12.37,-24 20 09.4,,12.13,,6.27,0.39,12.08,1.6151,,,,"USco,gold",Simbad,1,0.999998,5.88,1.6151,,0.225,Y,243.80164,-24.33587,0.4193560969769554
679,204299578,16 15 15.18,-22 52 54.0,,12.01,,6.45,0.24,11.98,0.7705,,,,"USco,bronze",Simbad,1,0.999998,6.209,0.7705,,0.158,,243.81329,-22.8816,0.27422795562343294
684,204584778,16 15 25.15,-21 44 01.5,,11.78,,6.88,0.61,11.7,1.7439,,,,"USco,bronze",Simbad,1,0.999999,6.266,1.7439,,0.15,Y,243.85486,-21.7337,0.29089208803517647
685,203816510,16 15 27.20,-24 49 27.4,,11.51,,6.76,1.07,11.37,1.8192,,,,"USco,bronze",Simbad,1,0.999998,5.693,1.8192,,0.277,Y,243.86342,-24.82422,0.35135438869041935
691,205198363,16 15 33.40,-18 54 25.1,,11.27,,8.23,2.23,10.98,1.8996,,,,"USco,bronze",Simbad,1,1.0,6.0,1.8996,,0.195,Y,243.88923,-18.90694,0.24491190314402808
694,204204414,16 15 36.47,-23 15 17.5,,13.1,,6.3,0.16,13.09,0.6223,,,,"USco,silver",Simbad,1,0.999997,6.145,0.6223,,0.169,,243.902,-23.25487,0.1414800440537156
696,205124381,16 15 39.13,-19 17 00.8,,10.43,,7.51,1.89,10.19,1.3957,,,,"USco,gold",Simbad,1,0.999964,5.615,1.3957,,0.302,,243.91307,-19.28349,0.2548829838825635
697,204621457,16 15 41.10,-21 34 46.4,,11.7,,6.28,0.45,11.65,0.5626,,,,"USco,bronze",Simbad,1,0.999997,5.838,0.5626,,0.236,,243.92128,-21.57957,0.11309373117680625
700,203122463,16 15 48.68,-27 10 54.9,,11.88,,6.64,0.76,11.79,1.4668,0.8599,,,"USco,bronze",Simbad,1,0.999999,5.876,1.4668,0.8599,0.226,,243.95289,-27.18185,0.3008845489953903
701,204467371,16 15 49.13,-22 13 12.0,,12.12,,6.14,0.2,12.1,1.8066,,,,"USco,bronze",Simbad,1,0.999998,5.931,1.8066,,0.212,Y,243.95476,-22.21994,0.2762327075085031
708,204143627,16 15 59.25,-23 29 36.2,,11.31,,6.0,0.35,11.27,1.125,,,,"USco,gold",Simbad,1,0.999965,5.646,1.125,,0.292,,243.99689,-23.49341,0.09071162693761045
711,204462739,16 16 00.80,-22 14 19.4,,10.98,,6.56,0.48,10.92,1.2944,0.9951,,,"USco,gold",Simbad,1,0.999998,6.08,1.2944,0.9951,0.181,,244.00336,-22.23857,0.5551575792720416
713,204348630,16 16 02.95,-22 41 09.3,,10.77,,5.92,0.18,10.74,1.1663,1.0589,,,"USco,bronze",Simbad,1,0.999956,5.748,1.1663,1.0589,0.262,,244.01231,-22.68587,0.17869541908660783
719,204199333,16 16 11.83,-23 16 26.7,,11.88,,6.01,0.44,11.82,0.8366,,,,"USco,silver",Simbad,1,0.999996,5.577,0.8366,,0.315,,244.04933,-23.27411,0.1590179242407042
726,204082531,16 16 20.10,-23 44 14.4,,10.19,,5.81,0.0,10.19,0.6513,0.4256,,,"USco,gold",Simbad,1,0.999911,5.811,0.6513,0.4256,0.244,,244.08383,-23.73729,0.3063325265550302
731,203568037,16 16 24.38,-25 41 54.1,,10.38,,7.19,1.17,10.23,1.1992,0.436,0.8086,,"USco,bronze",Simbad,1,0.99989,6.028,1.1992,0.436,0.19,,244.10162,-25.69837,0.12317316050559055
734,203710387,16 16 30.66,-25 12 20.4,,11.91,,6.55,0.85,11.8,2.5441,,,,"USco,bronze",Simbad,1,0.999999,5.69,2.5441,,0.278,,244.12785,-25.2056,0.4045927033438484
736,204499729,16 16 32.26,-22 05 20.1,,12.71,,6.6,0.69,12.62,1.5116,1.9907,,,"USco,gold",Simbad,1,0.999999,5.906,1.5116,1.9907,0.218,Y,244.13444,-22.08892,0.07875412286441343
737,203416475,16 16 33.06,-26 12 40.7,,11.82,,6.31,0.32,11.78,13.649,,,,"USco,bronze",Simbad,1,0.99982,5.987,13.649,,0.198,,244.13781,-26.21132,0.20064437879353997
738,204153041,16 16 33.42,-23 27 21.4,,11.34,,6.28,0.56,11.27,0.7567,0.4818,,,"USco,gold",Simbad,1,0.999999,5.725,0.7567,0.4818,0.268,,244.13932,-23.45586,0.38191429904682583
742,203679848,16 16 41.35,-25 18 39.7,,11.04,,6.86,0.92,10.92,0.4985,0.4422,,,"USco,bronze",Simbad,1,0.999999,5.941,0.4985,0.4422,0.209,,244.17236,-25.31094,0.3864074401664883
747,204126288,16 16 45.38,-23 33 41.6,,12.82,,6.58,0.51,12.75,0.2112,,,,"USco,silver",Simbad,1,0.999999,6.074,0.2112,,0.182,,244.18914,-23.5615,0.2737997537440784
750,203627083,16 16 48.72,-25 29 40.4,,11.5,,6.93,1.13,11.35,0.8799,1.2371,,,"USco,bronze",Simbad,2,,5.8,0.8799,1.2371,0.247,,244.20308,-25.49451,0.3073651338822328
756,203844508,16 16 56.03,-24 43 05.2,,11.37,,6.86,1.24,11.21,2.1352,,,,"USco,bronze",Simbad,1,0.999999,5.617,2.1352,,0.302,,244.23352,-24.71805,0.2984402227720019
760,204414610,16 17 06.06,-22 25 41.6,,11.24,,5.86,0.21,11.21,3.6567,0.3393,,,"USco,gold",Simbad,1,0.999926,5.644,3.6567,0.3393,0.293,,244.2753,-22.42812,0.40386608581652517
763,203868608,16 17 18.97,-24 37 18.8,,10.76,,7.08,1.17,10.61,5.6382,1.1066,,,"USco,bronze",Simbad,1,0.999999,5.909,5.6382,1.1066,0.217,,244.32911,-24.62185,0.26384031037150873
764,204099505,16 17 21.17,-23 40 08.7,,11.59,,6.41,0.77,11.49,2.0337,,,,"USco,bronze",Simbad,1,0.999993,5.639,2.0337,,0.295,,244.33827,-23.66906,0.21999352427545413
766,203452629,16 17 23.25,-26 05 25.0,,10.81,,6.61,0.64,10.73,3.7607,,,,"USco,bronze",Simbad,1,0.99997,5.974,3.7607,,0.201,,244.3469,-26.09029,0.0920291191946032
779,203563208,16 17 38.94,-25 42 55.6,,10.55,,6.6,0.91,10.44,0.4307,0.5757,,,"USco,bronze",Simbad,1,0.999999,5.687,0.4307,0.5757,0.279,,244.4123,-25.71538,0.28306189558912087
780,203789628,16 17 46.96,-24 55 21.1,,10.47,,6.78,1.17,10.32,1.2829,,,,"USco,bronze",Simbad,1,0.999996,5.606,1.2829,,0.305,,244.44567,-24.92253,0.01350665356439253
781,203789325,16 17 47.68,-24 55 25.1,,11.74,,6.88,1.14,11.59,2.0229,1.2828,,,"USco,bronze",Simbad,1,0.999999,5.74,2.0229,1.2828,0.264,Y,244.44869,-24.92364,0.07628204495162601
785,202632400,16 17 56.07,-28 56 40.1,,11.97,,6.07,0.0,11.97,1.3723,,,,"USco,bronze",Simbad,1,0.999996,6.073,1.3723,,0.182,,244.4837,-28.94443,0.2809438708592896
788,203542463,16 18 08.68,-25 47 12.8,,12.14,,8.43,2.15,11.86,1.5633,,,,"USco,bronze",Simbad,1,1.0,6.282,1.5633,,0.148,Y,244.53619,-25.78683,0.2250881546625084
789,202910245,16 18 09.10,-27 55 19.8,,11.4,,6.27,0.24,11.37,0.5882,,,,"USco,bronze",Simbad,1,0.999996,6.025,0.5882,,0.19,,244.53798,-27.9221,0.3133449501991699
794,205272194,16 18 37.58,-18 31 06.7,,11.13,,6.69,0.49,11.07,0.3751,0.4368,,,"USco,bronze",Simbad,1,0.999999,6.191,0.3751,0.4368,0.161,,244.65662,-18.5185,0.16020712468808748
797,203004488,16 18 44.30,-27 35 30.6,,12.24,,6.94,1.09,12.1,1.4538,,,,"USco,bronze",Simbad,1,0.999998,5.85,1.4538,,0.233,,244.68465,-27.59178,0.28654373803330013
802,204435866,16 19 23.92,-22 20 41.5,,11.9,,6.69,0.7,11.81,1.398,,,,"USco,bronze",Simbad,1,0.999992,5.993,1.398,,0.197,Y,244.84972,-22.34479,0.31156347263109685
810,204418342,16 19 48.77,-22 24 47.6,,10.83,,5.98,0.0,10.83,0.4761,0.6337,,,"USco,silver",Simbad,1,0.999997,5.984,0.4761,0.6337,0.199,,244.95322,-22.41319,0.12232560987201772
813,204260042,16 19 50.91,-23 02 08.2,,12.14,,6.39,0.32,12.1,1.3344,,,,"USco,bronze",Simbad,1,0.999996,6.07,1.3344,,0.182,,244.96219,-23.0356,0.21902480452485323
815,204168477,16 19 51.85,-23 23 41.0,,10.79,,6.56,0.64,10.71,0.7376,0.5238,,,"USco,bronze",Simbad,1,0.999999,5.926,0.7376,0.5238,0.213,,244.96611,-23.39467,0.29380113951808723
816,204364130,16 19 54.96,-22 37 32.5,,11.46,,6.92,0.57,11.39,1.2696,,,,"USco,bronze",Simbad,1,0.999998,6.352,1.2696,,0.138,,244.97904,-22.62563,0.267378111404682
820,204321959,16 20 06.85,-22 47 32.2,,10.79,,6.15,0.4,10.74,0.7811,,,,"USco,gold",Simbad,1,0.999981,5.755,0.7811,,0.26,,245.02859,-22.79224,0.21030555344320923
823,204932248,16 20 08.97,-20 12 22.5,,10.62,,6.51,0.77,10.52,3.7208,,,,"USco,bronze",Simbad,1,0.999992,5.736,3.7208,,0.265,,245.03745,-20.20621,0.291442847277849
825,204956337,16 20 21.62,-20 05 35.1,,10.96,,6.45,0.88,10.85,7.7648,,,,"USco,gold",Simbad,1,0.999999,5.569,7.7648,,0.317,,245.09015,-20.09301,0.347127983421606
828,204287798,16 20 26.08,-22 55 43.1,,11.84,,7.13,0.76,11.74,0.9748,,,,"USco,bronze",Simbad,1,1.0,6.371,0.9748,,0.135,,245.10871,-22.92858,0.2560983973281638
837,204666965,16 20 36.40,-21 23 12.3,,10.02,,5.86,0.21,9.99,13.3557,0.4891,,,"USco,gold",Simbad,1,0.999964,5.652,13.3557,0.4891,0.29,,245.15169,-21.38666,0.33330723231492154
839,203478236,16 20 40.39,-26 00 18.2,,11.51,,6.63,0.82,11.4,1.7358,,,,"USco,bronze",Simbad,1,0.999997,5.806,1.7358,,0.245,,245.16835,-26.00503,0.20996732296373335
845,203636498,16 21 05.09,-25 27 42.6,,10.94,,6.34,0.35,10.9,0.7794,,,,"USco,bronze",Simbad,1,0.999997,5.987,0.7794,,0.198,,245.27123,-25.46178,0.2045080504160534
848,203425996,16 21 14.32,-26 10 46.4,,11.02,,6.84,1.19,10.87,5.2152,,,,"USco,bronze",Simbad,1,0.999996,5.65,5.2152,,0.291,,245.30964,-26.17949,0.2512332736696226
849,203625455,16 21 14.92,-25 30 01.2,,11.35,,6.89,0.73,11.26,1.0829,,,,"USco,bronze",Simbad,1,0.999999,6.158,1.0829,,0.167,,245.31221,-25.50028,0.2380955045259058
852,204346718,16 21 16.80,-22 41 36.8,,12.23,,7.36,1.09,12.09,0.6431,,,,"USco,bronze",Simbad,1,0.999999,6.276,0.6431,,0.148,,245.32006,-22.69352,0.2368450397723319
860,204644117,16 21 29.61,-21 29 03.9,,11.23,,6.34,0.16,11.2,0.5736,,,,"USco,gold",Simbad,1,0.999998,6.178,0.5736,,0.163,,245.37341,-21.48439,0.15153360074255107
866,202873945,16 21 39.90,-28 03 06.9,,11.24,,7.38,1.21,11.09,0.6258,,,,"USco,bronze",Simbad,1,1.0,6.161,0.6258,,0.166,,245.41635,-28.05185,0.39816874212865916
868,204471912,16 21 41.26,-22 12 05.7,,9.94,,5.91,0.35,9.9,0.7562,0.8027,,,"USco,gold",Simbad,1,0.999838,5.562,0.7562,0.8027,0.32,,245.42192,-22.20154,0.15639513830724275
869,204211116,16 21 41.98,-23 13 43.5,,10.96,,7.92,2.02,10.7,2.1605,,,,"USco,bronze",Simbad,1,0.999999,5.898,2.1605,,0.22,Y,245.42498,-23.22868,0.3277220092674495
888,204810161,16 22 14.80,-20 45 40.0,,11.23,,6.33,0.31,11.19,1.6579,1.5853,,,"USco,bronze",Simbad,1,0.999999,6.02,1.6579,1.5853,0.191,Y,245.56172,-20.76106,0.2570759124321897
893,204449274,16 22 21.59,-22 17 30.9,,12.62,,6.6,0.52,12.55,1.5494,1.2709,,,"USco,gold",Simbad,1,0.999999,6.08,1.5494,1.2709,0.181,Y,245.59001,-22.29186,0.26689710604874806
911,204683343,16 23 04.73,-21 18 59.6,,12.16,,6.81,0.66,12.08,0.4643,,,,"USco,bronze",Simbad,1,0.999999,6.153,0.4643,,0.167,,245.7698,-21.31648,0.4104792678260702
916,204524752,16 23 17.40,-21 59 07.1,,10.16,,6.03,0.3,10.12,2.9538,,,,"USco,gold",Simbad,1,0.99982,5.738,2.9538,,0.264,,245.82254,-21.98527,0.18496976184282496
917,202906224,16 23 17.61,-27 56 10.9,,11.69,,6.61,0.73,11.59,0.7152,6.4585,,,"USco,bronze",Simbad,1,0.999998,5.876,0.7152,6.4585,0.226,,245.8234,-27.93638,0.10462400861012584
925,204274536,16 23 32.83,-22 58 47.1,,10.29,,7.19,1.62,10.08,5.12,,,,"USco,bronze",Simbad,1,0.999999,5.569,5.12,,0.317,Y,245.88681,-22.97968,0.2592220571664248
926,202795175,16 23 41.85,-28 20 12.9,,12.74,,7.29,1.41,12.56,0.8361,,,,"USco,bronze",Simbad,1,0.999999,5.883,0.8361,,0.224,,245.92446,-28.33686,0.3378698818451388
958,204268916,16 24 35.20,-23 00 02.5,,10.99,,5.87,0.18,10.96,1.7534,,,,"USco,bronze",Simbad,1,0.999893,5.687,1.7534,,0.279,,246.14666,-23.0008,0.38064163751786473
968,203343161,16 24 55.87,-26 27 18.3,,11.16,,6.73,0.73,11.07,2.2417,,,,"USco,bronze",Simbad,1,0.999997,5.991,2.2417,,0.197,Y,246.23282,-26.45503,0.2126103373724813
