recno,EPIC_1,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,Per1,Per2,Per3,Per4,Memb,Simbad_1,single,PSS,(V-Ks)0,P1,P2,Mass,Disk,_RA,_DE,Separation
31,204269918,15 56 23.39,-22 59 49.4,,11.62,,6.91,0.52,11.56,0.8346,,,,"USco,bronze",Simbad,1,0.999998,6.39,0.8346,,0.132,,239.0975,-22.99698,0.30504056954632525
34,204918279,15 56 25.09,-20 16 16.2,,9.86,,6.67,0.44,9.8,0.4594,0.4665,,,"USco,gold",Simbad,1,0.999604,6.231,0.4594,0.4665,0.155,,239.10462,-20.27105,0.49636501359421903
38,204963464,15 56 34.24,-20 03 33.4,,10.87,,6.25,0.26,10.83,0.369,,,,"USco,gold",Simbad,1,0.999996,5.99,0.369,,0.197,,239.14273,-20.05924,0.25370144853577553
40,204229193,15 56 40.18,-23 09 29.5,,11.8,,6.17,0.22,11.77,1.806,,,,"USco,bronze",Simbad,1,0.999996,5.952,1.806,,0.207,,239.16748,-23.15809,0.4304881810453703
51,204248842,15 57 03.67,-23 04 48.6,,10.21,,5.93,0.25,10.18,0.9991,0.8303,,,"USco,gold",Simbad,1,0.999955,5.684,0.9991,0.8303,0.28,,239.26538,-23.08009,0.4021932975570891
54,204896403,15 57 08.50,-20 22 18.0,,11.42,,5.96,0.16,11.4,1.4471,2.7884,,,"USco,bronze",Simbad,1,0.999994,5.8,1.4471,2.7884,0.247,,239.28555,-20.37176,0.5615835759301836
55,204084492,15 57 12.77,-23 43 46.7,,12.59,,6.9,0.82,12.49,1.1411,,,,"USco,gold",Simbad,1,0.999998,6.08,1.1411,,0.181,,239.3033,-23.7296,0.33296311676261564
62,204442667,15 57 28.47,-22 19 05.3,,11.6,,6.35,0.24,11.57,1.3178,,,,"USco,gold",Simbad,1,0.999998,6.111,1.3178,,0.175,,239.36871,-22.31808,0.3536620536912884
63,204274743,15 57 29.84,-22 58 44.0,,11.19,,6.17,0.49,11.13,1.7686,,,,"USco,gold",Simbad,1,0.997153,5.685,1.7686,,0.28,Y,239.37443,-22.97885,0.3496384845826086
65,203800211,15 57 36.83,-24 53 02.9,,11.93,,5.86,0.0,11.93,0.6137,,,,"USco,bronze",Simbad,1,0.999987,5.864,0.6137,,0.229,,239.40349,-24.88414,0.10349362871633805
68,204434699,15 57 39.33,-22 20 57.6,,11.5,,6.01,0.28,11.46,2.5101,,,,"USco,bronze",Simbad,1,0.999994,5.723,2.5101,,0.269,,239.41398,-22.34928,0.39885856173628387
70,203521205,15 57 42.47,-25 51 35.7,,10.81,,5.7,0.05,10.81,0.7418,,,,"USco,gold",Simbad,1,0.999806,5.655,0.7418,,0.289,,239.42697,-25.85987,0.17219873993871226
74,203839698,15 57 47.56,-24 44 12.4,,12.05,,6.06,0.32,12.01,0.9672,,,,"USco,gold",Simbad,1,0.999992,5.74,0.9672,,0.264,,239.44823,-24.73671,0.320027494665489
80,204849054,15 57 56.02,-20 35 10.5,,12.34,,6.46,0.34,12.3,0.9839,,,,"USco,bronze",Simbad,1,0.999998,6.119,0.9839,,0.174,,239.48348,-20.58624,0.21645550672072383
91,204553379,15 58 23.36,-21 51 59.1,,11.28,,6.38,0.42,11.23,1.8469,,,,"USco,gold",Simbad,1,0.999998,5.961,1.8469,,0.204,,239.59739,-21.86635,0.3056849301914534
96,204066097,15 58 35.97,-23 48 14.0,,12.08,,6.32,0.28,12.04,0.3588,,,,"USco,gold",Simbad,1,0.999998,6.041,0.3588,,0.188,,239.64993,-23.8038,0.3677196388683584
101,204238921,15 58 39.87,-23 07 10.8,,11.71,,6.12,0.0,11.71,1.9986,,,,"USco,bronze",Simbad,1,0.999998,6.12,1.9986,,0.173,,239.66623,-23.11963,0.37185846176876336
102,204594600,15 58 48.10,-21 41 34.2,,12.52,,6.84,0.53,12.45,0.6008,,,,"USco,silver",Simbad,1,0.999999,6.308,0.6008,,0.144,,239.70055,-21.69274,0.558406061408978
105,203397761,15 59 01.92,-26 16 33.1,,11.26,,5.94,0.0,11.26,0.5179,0.5938,,,"USco,gold",Simbad,1,0.999995,5.938,0.5179,0.5938,0.21,,239.75806,-26.27582,0.2437549734711822
108,204367110,15 59 12.43,-22 36 50.4,,11.79,,6.56,0.52,11.72,0.944,,,,"USco,gold",Simbad,1,0.999998,6.045,0.944,,0.187,,239.80186,-22.61395,0.28977292113969194
110,204477741,15 59 18.38,-22 10 43.2,16.27,10.07,6.19,6.19,0.33,10.03,0.8214,0.7623,,,"USco,gold",Simbad,1,0.999982,5.863,0.8214,0.7623,0.229,,239.82663,-22.17861,0.2565501862801328
112,204247509,15 59 25.90,-23 05 08.3,,11.57,,6.62,0.56,11.5,0.6198,,,,"USco,silver",Simbad,1,0.999999,6.065,0.6198,,0.183,,239.85799,-23.08561,0.2641901274988942
113,203462615,15 59 38.05,-26 03 23.6,,10.25,,6.24,0.16,10.23,0.5201,0.4421,,,"USco,gold",Simbad,1,0.999988,6.08,0.5201,0.4421,0.181,,239.90863,-26.05652,0.31304373870376306
122,204096760,16 00 07.04,-23 40 49.0,,10.61,,6.16,0.46,10.55,0.5255,1.8177,,,"USco,gold",Simbad,1,0.999998,5.701,0.5255,1.8177,0.275,,240.02937,-23.6802,0.30498092666310417
128,204270520,16 00 26.30,-22 59 41.4,,11.34,,6.49,0.42,11.28,0.5123,,,,"USco,gold",Simbad,1,0.999998,6.074,0.5123,,0.182,,240.10963,-22.9948,0.1957469170420016
129,204769599,16 00 26.69,-20 56 31.8,18.6,12.51,6.09,6.09,0.44,12.45,1.6401,,,,"USco,gold",Simbad,1,0.999998,5.655,1.6401,,0.289,Y,240.11125,-20.94211,0.24747033443738115
131,204894208,16 00 29.45,-20 22 53.9,,11.29,,6.29,0.69,11.2,1.6968,,,,"USco,bronze",Simbad,1,0.999998,5.608,1.6968,,0.304,Y,240.12274,-20.38156,0.30343974697658976
