Model,RMSE,MAE,R2,AIC,Best Params,Score
Bayesian Regression,0.07691013709288862,0.06748049394484534,0.9419150693974121,-511.02351788083683,"{'model__alpha_1': 0.001, 'model__alpha_2': 1e-06, 'model__compute_score': True, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 0.001}",0.9968357726447618
Linear Regression,0.07690907633107749,0.06748044933808864,0.941916671627069,-511.02627634458804,"{'model__fit_intercept': True, 'model__positive': False}",0.9968222829632669
ElasticNet Regression,0.07714664648092559,0.06753175837992896,0.9415572816082753,-510.40943372729873,"{'model__alpha': 0.01, 'model__fit_intercept': True, 'model__l1_ratio': 0.01, 'model__positive': False, 'model__precompute': True, 'model__selection': 'cyclic'}",0.9999999999999999
Support Vector Regressor,0.006377926217702042,0.005717111309419896,0.9996005565670443,-988.9824557422197,"{'model__C': 1, 'model__epsilon': 0.01, 'model__kernel': 'rbf'}",0.10373192640074395
Decision Tree Regressor,0.001768646906956101,0.00163855408827914,0.99996928301528,-1243.5080968182567,"{'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.04140415977900508
Random Forest Regressor,0.0007615631677542254,0.0006729798223458227,0.9999943048106583,-1400.0274874647655,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.018184420064675383
Gradient Boosting Regressor,0.0006118546101412456,0.000531221355252529,0.9999963238537809,-1437.8031737607394,"{'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 15, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.013366378548038866
AdaBoost Regressor,0.00849209915216185,0.006632262772374841,0.9992918481136143,-943.7238118519888,"{'model__learning_rate': 1.0, 'model__loss': 'square', 'model__n_estimators': 100}",0.12267195596583019
KNeighbors Regressor,0.0003773415858495867,0.00036909904985745937,0.9999986018117617,-1560.4719434964602,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.0
