   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.52500  0.00000000000E+00   1.36317   4.35030  10.34708 -30.00000   0.49983   0.00000  0.00000E+00  9.52880E-01  4.69200E-02  4.88800E-06     0.00740     0.99420     0.00000     0.00060    -0.00098  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0000000000
        2    0.52500  1.53490000000E+04   1.36346   4.35031  10.34720 -30.00000   0.49983   0.00000  0.00000E+00  9.52570E-01  4.72200E-02  1.14500E-05     0.00740     0.99560     0.00000     0.00060    -0.00245  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0003908369
        3    0.52500  3.45360000000E+04   1.36368   4.35032  10.34730 -30.00000   0.49983   0.00000  0.00000E+00  9.52190E-01  4.75900E-02  1.97200E-05     0.00760     0.99730     0.00000     0.00060    -0.00429  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0008794021
        4    0.52500  5.85190000000E+04   1.36383   4.35032  10.34737 -30.00000   0.49983   0.00000  0.00000E+00  9.51700E-01  4.80600E-02  3.01600E-05     0.00770     0.99910     0.00000     0.00060    -0.00613  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0014900896
        5    0.52500  8.84980000000E+04   1.36392   4.35032  10.34742 -30.00000   0.49983   0.00000  0.00000E+00  9.51100E-01  4.86500E-02  4.33800E-05     0.00770     1.00070     0.00000     0.00060    -0.00783  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0022534552
        6    0.52500  1.25972000000E+05   1.36394   4.35030  10.34745 -30.00000   0.49983   0.00000  0.00000E+00  9.50350E-01  4.93900E-02  6.01600E-05     0.00780     1.00210     0.00000     0.00060    -0.00920  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0032076687
        7    0.52500  1.72814000000E+05   1.36392   4.35028  10.34749 -30.00000   0.49983   0.00000  0.00000E+00  9.49400E-01  5.03100E-02  8.15000E-05     0.00780     1.00290     0.00000     0.00060    -0.01011  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0044004227
        8    0.52500  2.31367000000E+05   1.36390   4.35025  10.34755 -30.00000   0.49983   0.00000  0.00000E+00  9.48220E-01  5.14600E-02  1.08800E-04     0.00790     1.00330     0.00000     0.00060    -0.01051  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0058913780
        9    0.52500  3.04558000000E+05   1.36395   4.35020  10.34767 -30.00000   0.49983   0.00000  0.00000E+00  9.46750E-01  5.29000E-02  1.43700E-04     0.00790     1.00330     0.00000     0.00060    -0.01052  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0077550658
       10    0.52500  3.96046000000E+05   1.36413   4.35013  10.34791 -30.00000   0.49983   0.00000  0.00000E+00  9.44910E-01  5.47000E-02  1.88800E-04     0.00790     1.00310     0.00000     0.00060    -0.01031  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0100846565
