   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       20    0.55000  2.74955600000E+06   1.41031   4.26634  10.53856 -30.00000   0.49982   0.00000  0.00000E+00  9.11740E-01  8.67500E-02  1.28100E-03     0.03840     0.97180     0.00000     0.00050    -0.00959  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0731296674
       21    0.55000  3.01466600000E+06   1.41091   4.26608  10.53938 -30.00000   0.49982   0.00000  0.00000E+00  9.07940E-01  9.03900E-02  1.43700E-03     0.03810     0.97220     0.00000     0.00050    -0.00967  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0801807717
       22    0.55000  3.28669600000E+06   1.41151   4.26582  10.54021 -30.00000   0.49982   0.00000  0.00000E+00  9.04270E-01  9.39000E-02  1.59600E-03     0.03770     0.97240     0.00000     0.00050    -0.00960  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0874159265
       23    0.55000  3.57545600000E+06   1.41214   4.26553  10.54110 -30.00000   0.49982   0.00000  0.00000E+00  9.00060E-01  9.79200E-02  1.78300E-03     0.03740     0.97270     0.00000     0.00050    -0.00953  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0950960475
       24    0.55000  3.84261600000E+06   1.41281   4.26526  10.54198 -30.00000   0.49982   0.00000  0.00000E+00  8.96160E-01  1.01600E-01  1.96400E-03     0.03710     0.97280     0.00000     0.00050    -0.00931  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1022016755
       25    0.55000  4.10912600000E+06   1.41348   4.26498  10.54286 -30.00000   0.49982   0.00000  0.00000E+00  8.92420E-01  1.05200E-01  2.14600E-03     0.03670     0.97330     0.00000     0.00050    -0.00949  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1092900154
       26    0.55000  4.38551600000E+06   1.41416   4.26470  10.54377 -30.00000   0.49982   0.00000  0.00000E+00  8.88550E-01  1.08900E-01  2.34100E-03     0.03640     0.97370     0.00000     0.00050    -0.00953  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1166411328
       27    0.55000  4.66280600000E+06   1.41484   4.26442  10.54467 -30.00000   0.49982   0.00000  0.00000E+00  8.84700E-01  1.12500E-01  2.54300E-03     0.03610     0.97400     0.00000     0.00050    -0.00953  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1240161873
       28    0.55000  4.94129600000E+06   1.41553   4.26413  10.54559 -30.00000   0.49982   0.00000  0.00000E+00  8.80670E-01  1.16300E-01  2.75900E-03     0.03580     0.97420     0.00000     0.00050    -0.00935  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1314231581
       29    0.55000  5.20919600000E+06   1.41621   4.26386  10.54648 -30.00000   0.49982   0.00000  0.00000E+00  8.76800E-01  1.20000E-01  2.97500E-03     0.03550     0.97440     0.00000     0.00060    -0.00930  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1385484678
