   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.50300  0.00000000000E+00   1.32261   4.48096  10.06547 -30.00000   0.49986   0.00000  0.00000E+00  9.52880E-01  4.69200E-02  4.87900E-06     0.00000     1.00060     0.00000     0.00060     0.00000  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0000000000
        2    0.50300  1.53490000000E+04   1.32263   4.48097  10.06547 -30.00000   0.49986   0.00000  0.00000E+00  9.52590E-01  4.72000E-02  1.11700E-05     0.00000     1.00260     0.00000     0.00060    -0.00198  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0003618506
        3    0.50300  3.45360000000E+04   1.32265   4.48097  10.06547 -30.00000   0.49986   0.00000  0.00000E+00  9.52230E-01  4.75500E-02  1.91000E-05     0.00000     1.00470     0.00000     0.00060    -0.00405  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0008141816
        4    0.50300  5.85190000000E+04   1.32265   4.48097  10.06547 -30.00000   0.49986   0.00000  0.00000E+00  9.51780E-01  4.79900E-02  2.91100E-05     0.00000     1.00670     0.00000     0.00060    -0.00609  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0013795776
        5    0.50300  8.84980000000E+04   1.32262   4.48096  10.06548 -30.00000   0.49986   0.00000  0.00000E+00  9.51210E-01  4.85400E-02  4.17700E-05     0.00000     1.00860     0.00000     0.00060    -0.00792  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0020863285
        6    0.50300  1.25972000000E+05   1.32257   4.48095  10.06549 -30.00000   0.49986   0.00000  0.00000E+00  9.50500E-01  4.92300E-02  5.78200E-05     0.00000     1.01000     0.00000     0.00060    -0.00935  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0029697731
        7    0.50300  1.72814000000E+05   1.32250   4.48092  10.06551 -30.00000   0.49986   0.00000  0.00000E+00  9.49620E-01  5.01000E-02  7.82300E-05     0.00000     1.01090     0.00000     0.00060    -0.01027  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0040740669
        8    0.50300  2.31367000000E+05   1.32246   4.48088  10.06556 -30.00000   0.49986   0.00000  0.00000E+00  9.48510E-01  5.11800E-02  1.04300E-04     0.00000     1.01130     0.00000     0.00060    -0.01065  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0054544461
        9    0.50300  3.04558000000E+05   1.32251   4.48084  10.06566 -30.00000   0.49986   0.00000  0.00000E+00  9.47130E-01  5.25300E-02  1.37600E-04     0.00000     1.01120     0.00000     0.00060    -0.01059  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0071799141
       10    0.50300  3.96046000000E+05   1.32270   4.48081  10.06582 -30.00000   0.49986   0.00000  0.00000E+00  9.45400E-01  5.42100E-02  1.80500E-04     0.00000     1.01100     0.00000     0.00060    -0.01032  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0093367315
