   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.59000  0.00000000000E+00   1.45528   4.17654  10.74065 -30.00000   0.49980   0.00000  0.00000E+00  9.52870E-01  4.69200E-02  4.91300E-06     0.16960     0.89360     0.00000     0.00050    -0.06299  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0000000000
        2    0.59000  1.53490000000E+04   1.45915   4.17582  10.74402 -30.00000   0.49980   0.00000  0.00000E+00  9.52540E-01  4.72400E-02  1.18200E-05     0.13790     0.88620     0.00000     0.00050    -0.02383  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0004287255
        3    0.59000  3.45360000000E+04   1.46248   4.17503  10.74727 -30.00000   0.49980   0.00000  0.00000E+00  9.52130E-01  4.76500E-02  2.05300E-05     0.14760     0.87920     0.00000     0.00050    -0.02648  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0009646532
        4    0.59000  5.85190000000E+04   1.46582   4.17405  10.75090 -30.00000   0.49980   0.00000  0.00000E+00  9.51610E-01  4.81500E-02  3.15100E-05     0.15140     0.87280     0.00000     0.00050    -0.02386  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0016345420
        5    0.59000  8.84980000000E+04   1.46960   4.17313  10.75462 -30.00000   0.49980   0.00000  0.00000E+00  9.50970E-01  4.87800E-02  4.54100E-05     0.14870     0.86780     0.00000     0.00050    -0.01610  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0024719099
        6    0.59000  1.25972000000E+05   1.47306   4.17240  10.75782 -30.00000   0.49980   0.00000  0.00000E+00  9.50160E-01  4.95800E-02  6.30600E-05     0.14640     0.86510     0.00000     0.00050    -0.01102  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0035186269
        7    0.59000  1.72814000000E+05   1.47566   4.17188  10.76017 -30.00000   0.49980   0.00000  0.00000E+00  9.49140E-01  5.05700E-02  8.56100E-05     0.14460     0.86470     0.00000     0.00050    -0.00876  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0048270090
        8    0.59000  2.31367000000E+05   1.47731   4.17155  10.76164 -30.00000   0.49980   0.00000  0.00000E+00  9.47860E-01  5.18200E-02  1.14500E-04     0.14330     0.86560     0.00000     0.00050    -0.00837  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0064625007
        9    0.59000  3.04558000000E+05   1.47813   4.17139  10.76238 -30.00000   0.49980   0.00000  0.00000E+00  9.46260E-01  5.33800E-02  1.51800E-04     0.14240     0.86680     0.00000     0.00050    -0.00868  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0085068584
       10    0.59000  3.96046000000E+05   1.47838   4.17132  10.76265 -30.00000   0.49980   0.00000  0.00000E+00  9.44250E-01  5.53400E-02  2.00000E-04     0.14180     0.86770     0.00000     0.00050    -0.00899  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0110622844
