Unnamed: 0,recno,RA_ICRS_x,DE_ICRS_x,SourceCP_x,RVCP_x,PlxCP_x,GmagCP_x,pmRACP_x,pmDECP_x,bx_x,by_x,bz_x,vx_x,vy_x,vz_x,distC_x,Source_x,Gmag_x,BPmag_x,RPmag_x,E(BR/RP)_x,RV_x,e_RV_x,2MASS_x,Jmag_x,e_Jmag_x,Hmag_x,e_Hmag_x,Kmag_x,e_Kmag_x,WISE_x,SDSS_x,ps1name_x,SimbadName_x,gsc9name_x,Lod19_Mass,_RA.icrs_x,_DE.icrs_x,single_x,Teff_x,logL_x,Tess_Mass,Tess_s_Mass_x,Lod19_Mass_calc,Lod19_Mass_e,RA_ICRS_y,DE_ICRS_y,SourceCP_y,RVCP_y,PlxCP_y,GmagCP_y,pmRACP_y,pmDECP_y,bx_y,by_y,bz_y,vx_y,vy_y,vz_y,distC_y,Source_y,Gmag_y,BPmag_y,RPmag_y,E(BR/RP)_y,RV_y,e_RV_y,2MASS_y,Jmag_y,e_Jmag_y,Hmag_y,e_Hmag_y,Kmag_y,e_Kmag_y,WISE_y,SDSS_y,ps1name_y,SimbadName_y,gsc9name_y,L19_Mass,_RA.icrs_y,_DE.icrs_y,single_y,Teff_y,logL_y,TESS_Mass,Tess_s_Mass_y,TESS_Mass_calc,TESS_Mass_e,Del00_Mass,Age_calc (Myr),Age_e (Myr),Mass_calc,Mass_e
1027,1046,56.515375,25.8745278,70036695963457792,,7.96672,16.676001,20.758,-49.383,-112.196,29.805,-47.744,,,,10.5366,70036695963457792,11.19164993495972,18.4604,15.3936,1.53,0.0,0.0,03460366+2552290,13.568,0.031,12.934,0.036,12.705,0.023,J034603.67+255228.5,,,Cl* Melotte   22     DH     416,J034603.67+255228.7,0.215,56.5152757,25.8747404,1,3263.6,-2.139662005925681,0.26,0.021,0.1964287387393912,0.0151712214702844,56.515375,25.8745278,70036695963457792,,7.96672,16.676001,20.758,-49.383,-112.196,29.805,-47.744,,,,10.5366,70036695963457792,16.6762,18.4604,15.3936,1.53,0.0,0.0,03460366+2552290,13.568,0.031,12.934,0.036,12.705,0.023,J034603.67+255228.5,,,Cl* Melotte   22     DH     416,J034603.67+255228.7,0.215,56.5152757,25.8747404,1,3263.6,-2.139662005925681,0.26,0.021,0.2016883116883116,0.0147834206196253,0.2562812112812432,75.874,44.546,0.1819,0.0423
1028,1047,56.5172917,23.4053333,64981137202021376,2.49,7.77201,12.406,20.273,-48.165,-114.324,26.558,-52.724,-3.41262,-28.904499,-13.2294,6.62304,64981137202021376,6.921449934959719,13.0486,11.6516,1.259,2.4872,7.5268,03460412+2324199,10.54,0.02,10.014,0.021,9.836,0.017,J034604.14+232419.4,,,V* V812 Tau,J034604.13+232419.6,0.729,56.5171966,23.4055407,1,5158.7,-0.3716417261089569,0.702,0.079,0.7278707451321136,0.0151712214702844,56.5172917,23.4053333,64981137202021376,2.49,7.77201,12.406,20.273,-48.165,-114.324,26.558,-52.724,-3.41262,-28.904499,-13.2294,6.62304,64981137202021376,12.406,13.0486,11.6516,1.259,2.4872,7.5268,03460412+2324199,10.54,0.02,10.014,0.021,9.836,0.017,J034604.14+232419.4,,,V* V812 Tau,J034604.13+232419.6,0.729,56.5171966,23.4055407,1,5158.7,-0.3716417261089569,0.702,0.079,0.8870025839793282,0.0147834206196253,,76.034,42.165,0.9,0.0372
1029,1048,56.518,23.9278611,65216643145862144,,7.07203,15.747,18.7,-43.401,-125.819,30.118,-57.07,,,,6.25404,65216643145862144,10.261949934959718,17.048599,14.5285,1.529,0.0,0.0,03460429+2355408,12.754,0.026,12.112,0.03,11.832,0.021,J034604.31+235540.4,,,Cl* Melotte   22    HHJ     363,J034604.30+235540.6,0.334,56.5179119,23.928048,1,3469.2,-1.6411138076025016,0.425,0.021,0.3110218115290288,0.0151712214702844,56.518,23.9278611,65216643145862144,,7.07203,15.747,18.7,-43.401,-125.819,30.118,-57.07,,,,6.25404,65216643145862144,15.7465,17.048599,14.5285,1.529,0.0,0.0,03460429+2355408,12.754,0.026,12.112,0.03,11.832,0.021,J034604.31+235540.4,,,Cl* Melotte   22    HHJ     363,J034604.30+235540.6,0.334,56.5179119,23.928048,1,3469.2,-1.6411138076025016,0.425,0.021,0.3479646017699113,0.0147834206196253,0.3874739708309603,54.358,34.692,0.3299,0.0665
1030,1049,56.5190833,24.1653611,65229184450247296,,7.43596,17.323999,18.685,-44.927,-119.736,29.045,-53.897,,,,0.787167,65229184450247296,11.83994993495972,18.8941,15.9887,1.631,0.0,0.0,03460455+2409561,14.133,0.034,13.509,0.037,13.151,0.023,J034604.57+240955.5,,,Gaia DR2 65229184450247296,J034604.56+240955.7,0.167,56.5189951,24.1655545,1,3185.7,-2.197226279956557,0.226,0.021,0.1443629516127268,0.0151712214702844,56.5190833,24.1653611,65229184450247296,,7.43596,17.323999,18.685,-44.927,-119.736,29.045,-53.897,,,,0.787167,65229184450247296,17.3245,18.8941,15.9887,1.631,0.0,0.0,03460455+2409561,14.133,0.034,13.509,0.037,13.151,0.023,J034604.57+240955.5,,,Gaia DR2 65229184450247296,J034604.56+240955.7,0.167,56.5189951,24.1655545,1,3185.7,-2.197226279956557,0.226,0.021,0.1678275862068965,0.0147834206196253,0.2057739677099306,61.39,38.553,0.1512,0.0392
1031,1050,56.5213333,23.7595556,65201245688454144,,7.63901,19.712999,18.216,-44.725,-116.431,27.6,-53.09,,,,4.27832,65201245688454144,14.22894993495972,19.002399,17.7896,3.917,0.0,0.0,03460509+2345351,15.58,0.067,14.78,0.069,14.514,0.089,,,,Cl* Melotte   22    SHF      25,J034605.10+234534.9,0.064,56.5212476,23.7597482,1,,-inf,0.121,0.023,,0.0,56.5213333,23.7595556,65201245688454144,,7.63901,19.712999,18.216,-44.725,-116.431,27.6,-53.09,,,,4.27832,65201245688454144,19.7135,19.002399,17.7896,3.917,0.0,0.0,03460509+2345351,15.58,0.067,14.78,0.069,14.514,0.089,,,,Cl* Melotte   22    SHF      25,J034605.10+234534.9,0.064,56.5212476,23.7597482,1,,-inf,0.121,0.023,,0.0147834206196253,0.1098593418467278,,,,
1032,1051,56.5219583,22.9814167,64856312568645248,,7.53858,13.431,20.372,-47.749,-117.725,26.662,-55.011,,,,3.43939,64856312568645248,7.946749934959719,14.2991,12.5247,1.312,0.0,0.0,03460524+2258539,11.33,0.02,10.654,0.021,10.5,0.018,J034605.25+225853.3,,,V* V749 Tau,J034605.25+225853.5,0.62,56.521863,22.9816223,1,4201.8,-1.0406246807970614,0.612,0.02,0.6001217813191452,0.0151712214702844,56.5219583,22.9814167,64856312568645248,,7.53858,13.431,20.372,-47.749,-117.725,26.662,-55.011,,,,3.43939,64856312568645248,13.4313,14.2991,12.5247,1.312,0.0,0.0,03460524+2258539,11.33,0.02,10.654,0.021,10.5,0.018,J034605.25+225853.3,,,V* V749 Tau,J034605.25+225853.5,0.62,56.521863,22.9816223,1,4201.8,-1.0406246807970614,0.612,0.02,0.8,0.0147834206196253,0.654562517436185,101.253,43.456,0.6391,0.0243
1033,1052,56.5232917,23.7570556,65201249983083392,,7.27885,14.401,20.521,-44.357,-122.194,28.959,-55.718,,,,2.30423,65201249983083392,8.916649934959718,15.6811,13.2665,1.437,0.0,0.0,03460556+2345261,11.444,0.02,10.616,0.023,10.314,0.018,J034605.58+234525.6,,1.3651056523834403e+17,Cl* Melotte   22    SRS   66467,J034605.57+234525.9,0.508,56.5231952,23.7572466,1,4880.9,-1.2148125828062937,0.649,0.02,0.4929751304194831,0.0151712214702844,56.5232917,23.7570556,65201249983083392,,7.27885,14.401,20.521,-44.357,-122.194,28.959,-55.718,,,,2.30423,65201249983083392,14.4012,15.6811,13.2665,1.437,0.0,0.0,03460556+2345261,11.444,0.02,10.616,0.023,10.314,0.018,J034605.58+234525.6,,1.3651056523834403e+17,Cl* Melotte   22    SRS   66467,J034605.57+234525.9,0.508,56.5231952,23.7572466,1,4880.9,-1.2148125828062937,0.649,0.02,0.815219638242894,0.0147834206196253,0.6943546395545456,117.855,32.948,0.6641,0.0251
1034,1053,56.5235833,24.6121667,66800180408292992,,7.39434,15.09,21.403,-44.68,-120.549,29.963,-53.476,,,,1.46874,66800180408292992,9.60514993495972,16.4146,13.942,1.442,0.0,0.0,03460562+2436444,12.344,0.034,11.7,0.041,11.494,0.024,J034605.64+243644.0,,,Cl* Melotte   22     SK     488,J034605.63+243644.2,0.425,56.5234819,24.6123591,1,3504.7,-1.5554868076460544,0.465,0.021,0.4073906928835266,0.0151712214702844,56.5235833,24.6121667,66800180408292992,,7.39434,15.09,21.403,-44.68,-120.549,29.963,-53.476,,,,1.46874,66800180408292992,15.0897,16.4146,13.942,1.442,0.0,0.0,03460562+2436444,12.344,0.034,11.7,0.041,11.494,0.024,J034605.64+243644.0,,,Cl* Melotte   22     SK     488,J034605.63+243644.2,0.425,56.5234819,24.6123591,1,3504.7,-1.5554868076460544,0.465,0.021,0.3793805309734512,0.0147834206196253,0.4492931897927928,49.813,31.635,0.3597,0.0683
1035,1054,56.5237917,24.6136944,66800244832257280,,7.26404,17.257,21.137,-45.219,-122.712,30.503,-54.432,,,,2.9187,66800244832257280,11.77264993495972,18.9041,15.9183,1.623,0.0,0.0,03460568+2436499,13.922,0.035,13.382,0.051,13.048,0.04,J034605.70+243649.5,,,Gaia DR2 66800244832257280,J034605.69+243649.7,0.171,56.5236916,24.6138891,1,3179.6,-2.1681302248235923,0.243,0.021,0.1487799709584568,0.0151712214702844,56.5237917,24.6136944,66800244832257280,,7.26404,17.257,21.137,-45.219,-122.712,30.503,-54.432,,,,2.9187,66800244832257280,17.2572,18.9041,15.9183,1.623,0.0,0.0,03460568+2436499,13.922,0.035,13.382,0.051,13.048,0.04,J034605.70+243649.5,,,Gaia DR2 66800244832257280,J034605.69+243649.7,0.171,56.5236916,24.6138891,1,3179.6,-2.1681302248235923,0.243,0.021,0.1657241379310344,0.0147834206196253,0.2164838299591347,54.848,35.233,0.15,0.0405
1036,1055,56.5252917,23.9718611,65217326044027392,,7.87225,18.315001,18.378,-45.705,-113.049,27.118,-51.194,,,,8.12245,65217326044027392,12.83034993495972,18.7355,16.8564,2.13,0.0,0.0,03460604+2358193,14.889,0.038,14.238,0.053,13.961,0.049,J034606.06+235818.9,,,Cl* Melotte   22    SHF      26,J034606.05+235819.1,0.105,56.5252051,23.9720579,1,3058.2,-2.1944991263566056,0.146,0.021,,0.0,56.5252917,23.9718611,65217326044027392,,7.87225,18.315001,18.378,-45.705,-113.049,27.118,-51.194,,,,8.12245,65217326044027392,18.3149,18.7355,16.8564,2.13,0.0,0.0,03460604+2358193,14.889,0.038,14.238,0.053,13.961,0.049,J034606.06+235818.9,,,Cl* Melotte   22    SHF      26,J034606.05+235819.1,0.105,56.5252051,23.9720579,1,3058.2,-2.1944991263566056,0.146,0.021,0.11,0.0147834206196253,0.1395323429157841,29.478,18.164,0.1058,0.0311
1037,1056,56.5271667,24.5672222,66799763794633856,,7.29816,12.423,19.934,-46.413,-122.128,30.275,-54.249,,,,2.3184,66799763794633856,6.938549934959719,13.0418,11.6875,1.254,0.0,0.0,03460649+2434027,10.793,0.027,10.236,0.03,10.113,0.019,J034606.51+243402.2,,,V* V813 Tau,J034606.50+243402.4,0.727,56.5270723,24.567422,1,4646.3,-0.67070384149066,0.75,0.091,0.7258514961503536,0.0151712214702844,56.5271667,24.5672222,66799763794633856,,7.29816,12.423,19.934,-46.413,-122.128,30.275,-54.249,,,,2.3184,66799763794633856,12.4231,13.0418,11.6875,1.254,0.0,0.0,03460649+2434027,10.793,0.027,10.236,0.03,10.113,0.019,J034606.51+243402.2,,,V* V813 Tau,J034606.50+243402.4,0.727,56.5270723,24.567422,1,4646.3,-0.67070384149066,0.75,0.091,0.7595161290322581,0.0147834206196253,0.7368310618408527,79.12,45.012,0.7678,0.0283
1038,1057,56.52725,23.8388056,65202830531043968,,7.0743,14.631,19.599,-45.765,-125.758,29.936,-57.188,,,,6.21798,65202830531043968,9.14654993495972,15.7949,13.5378,1.417,0.0,0.0,03460651+2350204,11.951,0.021,11.168,0.021,10.922,0.018,J034606.53+235019.9,,,Cl* Melotte   22    HHJ     435,J034606.52+235020.1,0.48,56.5271577,23.8390026,1,4088.6,-1.3117581888876468,0.568,0.02,0.464456379889194,0.0151712214702844,56.52725,23.8388056,65202830531043968,,7.0743,14.631,19.599,-45.765,-125.758,29.936,-57.188,,,,6.21798,65202830531043968,14.6311,15.7949,13.5378,1.417,0.0,0.0,03460651+2350204,11.951,0.021,11.168,0.021,10.922,0.018,J034606.53+235019.9,,,Cl* Melotte   22    HHJ     435,J034606.52+235020.1,0.48,56.5271577,23.8390026,1,4088.6,-1.3117581888876468,0.568,0.02,0.7,0.0147834206196253,0.5646203131775739,122.601,39.117,0.5653,0.024
