,Model,RMSE,MAE,R2,AIC,cv_diff,Best Params,Score
0,Bayesian Regression,0.05155856126195672,0.040117365458771724,0.9769786645162477,-1777.0222032710933,-0.001334799368361006,"{'model__alpha_1': 0.001, 'model__alpha_2': 1e-06, 'model__compute_score': True, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 0.001}",1.1933888574683025
1,Linear Regression,0.05155791481982453,0.04011653682477205,0.9769792417964331,-1777.0297261286241,-0.0013351674298619498,"{'model__fit_intercept': True, 'model__positive': False}",1.193305478172811
2,ElasticNet Regression,0.05187288730236145,0.040383684362049796,0.9766971103859052,-1773.3754167772572,-0.0013044508912366526,"{'model__alpha': 0.01, 'model__fit_intercept': True, 'model__l1_ratio': 0.01, 'model__positive': False, 'model__precompute': True, 'model__selection': 'cyclic'}",1.2056952187164456
3,Support Vector Regressor,0.006829824125071189,0.006198770009533122,0.9995960310601737,-2969.873813651956,-1.972269530681192e-05,"{'model__C': 10, 'model__epsilon': 0.01, 'model__kernel': 'rbf'}",0.5511374744461167
4,Decision Tree Regressor,0.0027757616021296875,0.0019176132037926614,0.9999332742811124,-3508.098070932408,-0.00017597093449694956,"{'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.3629763488930511
5,Random Forest Regressor,0.0014637427507924244,0.0009513208583328359,0.9999814451072487,-3880.0551573329053,-7.741881339451417e-05,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.2905639881750491
6,Gradient Boosting Regressor,0.0010866615304971276,0.0007138779268205743,0.9999897737237791,-4052.7870592915115,-3.774174434856281e-05,"{'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.258162442292181
7,AdaBoost Regressor,0.009751236065835583,0.007554434118386717,0.9991765290658305,-2768.2167356147843,1.3180199729512232e-05,"{'model__learning_rate': 1.0, 'model__loss': 'square', 'model__n_estimators': 100}",0.6256700716178614
8,KNeighbors Regressor,0.0009948751973605928,0.0006349508108782479,0.9999914283162065,-4131.735955076602,-6.0805246202777496e-05,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.2362822012089889
