recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
139,1-6-2526,08 00 15.08,-61 23 37.80,2.315,16.3,14.46,12.42,58,8.86,,36.4,*,-0.88,0.024,35,-1.17,0.51,0.61,-4.39,0.7,1,1,0.992964
140,1-6-2689,08 00 20.46,-61 18 53.32,,19.28,16.63,14.26,16,39.77,<,8.0,*,-1.67,,86,,-0.01,-0.07,,0.4,0,1,0.999389
141,1-6-2837,08 00 24.76,-61 18 05.70,8.698,17.39,15.3,13.32,32,1.11,<,8.0,,-1.18,0.012,49,-0.75,0.36,0.46,-4.56,0.59,1,1,0.997667
142,1-6-2926,08 00 27.50,-61 18 13.06,,20.26,17.3,14.7,10,2.66,,26.9,,-1.89,,111,,0.06,0.14,-5.38,0.3,0,1,0.99994
143,1-6-3083,08 00 32.04,-61 16 34.00,0.488,20.82,17.82,14.96,7,2.0,,46.5,,-2.1,0.03,141,-2.46,0.73,0.59,-4.32,0.23,1,1,0.999973
144,1-6-3124,08 00 33.56,-61 17 27.57,,17.76,15.4,13.23,27,24.47,,41.3,*,-1.2,,50,,0.08,0.05,-5.25,0.58,0,1,0.998613
145,1-6-3322,08 00 40.87,-61 17 48.34,,16.33,14.54,12.56,52,41.68,<,8.0,*,-0.92,,36,,0.04,0.03,-5.48,0.69,0,1,0.998258
146,1-6-3339,08 00 42.16,-61 25 03.80,0.499,20.53,17.57,14.99,9,0.39,,31.9,,-2.0,0.046,126,-2.4,0.23,0.18,-4.82,0.26,1,1,0.999982
147,1-6-34,07 58 49.60,-61 25 10.56,,16.43,14.84,13.86,32,2.71,<,8.0,*,-1.04,,42,,-0.03,-0.01,,0.65,0,1,0.99999
148,1-6-3404,08 00 44.81,-61 25 08.60,1.467,18.29,15.92,13.67,23,0.63,,16.8,,-1.41,0.019,63,-1.64,0.57,0.59,-4.37,0.5,1,1,0.998613
149,1-6-3423,08 00 45.00,-61 18 58.59,,20.93,17.86,15.11,6,5.8,,14.6,*,-2.1,,141,,0.12,0.03,-5.1,0.22,0,1,0.999989
150,1-6-3435,08 00 45.65,-61 23 51.90,1.415,18.78,16.28,14.02,20,0.23,,20.8,,-1.54,0.007,74,-1.72,0.69,0.66,-4.3,0.45,1,1,0.996487
151,1-6-3564,08 00 49.54,-61 21 43.60,0.635,20.51,17.57,15.02,7,0.54,,32.6,,-2.0,0.011,126,-2.3,0.23,0.37,-4.81,0.26,1,1,0.999932
152,1-6-3599,08 00 50.46,-61 20 53.83,,16.64,14.84,12.9,45,95.35,<,8.0,*,-1.04,,42,,0.05,0.03,-5.36,0.65,0,1,0.999442
153,1-6-3648,08 00 52.40,-61 17 51.64,,19.96,16.98,14.37,11,13.24,<,8.0,*,-1.76,,96,,0.04,-0.03,-5.6,0.35,0,1,0.999781
154,1-6-4071,08 01 07.05,-61 25 04.30,0.793,19.82,17.0,14.46,11,0.3,,25.5,,-1.79,0.025,99,-2.1,0.14,0.34,-5.03,0.35,1,1,0.999904
155,1-6-41,07 58 49.08,-61 18 12.50,,16.29,14.48,13.38,41,48.14,<,8.0,*,-0.89,,35,,-0.01,-0.01,,0.7,0,1,0.999972
156,1-6-4112,08 01 08.19,-61 23 29.50,2.391,18.76,16.27,13.94,17,1.02,<,8.0,,-1.53,0.007,74,-1.49,0.49,0.53,-4.44,0.45,1,1,0.998258
157,1-6-4160,08 01 09.85,-61 23 51.70,1.225,18.81,16.17,13.78,18,0.59,,12.6,,-1.48,0.012,69,-1.75,0.32,0.36,-4.64,0.47,1,1,0.992964
158,1-6-59,07 58 50.93,-61 24 48.82,,20.52,17.68,15.19,5,13.91,<,8.0,*,-2.06,,135,,0.07,-0.06,-5.34,0.25,0,1,0.999986
159,1-6-610,07 59 09.96,-61 22 42.33,,20.63,17.65,15.33,7,0.08,,37.4,,-2.03,,130,,0.55,0.22,-4.44,0.25,0,1,0.999983
160,1-6-612,07 59 09.80,-61 18 45.92,,20.86,17.97,14.83,5,16.88,,26.6,*,-2.17,,153,,0.25,0.07,-4.78,0.21,0,1,0.999997
161,1-6-697,07 59 12.88,-61 19 10.00,2.223,18.27,15.92,13.53,16,0.03,,13.6,,-1.41,0.011,64,-1.46,0.56,0.61,-4.38,0.5,1,1,0.992964
162,1-6-88,07 58 51.35,-61 19 45.99,,16.14,14.11,13.04,63,34.9,<,8.0,*,-0.7,,28,,-0.04,-0.02,,0.75,0,1,0.999981
163,1-6-91,07 58 52.18,-61 23 59.20,2.237,18.89,16.36,14.05,17,0.63,,11.4,,-1.57,0.018,77,-1.53,0.56,0.66,-4.39,0.44,1,1,0.998258
164,1-7-105,07 58 50.90,-61 11 44.30,0.762,18.22,15.78,13.45,26,0.02,,16.6,,-1.34,0.005,59,-1.89,0.5,0.58,-4.43,0.52,1,1,0.996487
165,1-7-1184,07 59 24.05,-61 11 28.00,0.581,20.51,17.49,14.6,9,0.68,,28.7,,-1.96,0.045,120,-2.31,0.1,0.32,-5.18,0.27,1,1,0.999978
166,1-7-1246,07 59 26.54,-61 15 30.51,,20.24,17.38,14.86,10,0.93,,30.4,,-1.94,,117,,0.33,0.38,-4.65,0.29,0,1,0.999901
167,1-7-1315,07 59 27.53,-61 09 02.21,,19.88,17.07,14.69,10,0.85,,24.4,,-1.82,,102,,0.24,0.4,-4.79,0.33,0,1,0.999712
168,1-7-1678,07 59 40.72,-61 15 54.03,,20.16,17.1,14.45,13,0.93,,37.0,,-1.8,,100,,0.25,0.28,-4.8,0.33,0,1,0.99998
169,1-7-1773,07 59 41.78,-61 11 18.09,,16.18,14.49,12.56,53,8.96,<,8.0,*,-0.91,,36,,0.12,0.13,-5.01,0.7,0,1,0.996487
170,1-7-1862,07 59 45.39,-61 11 06.40,1.415,18.79,16.27,13.88,13,0.93,,10.2,,-1.53,0.01,73,-1.72,0.56,0.64,-4.39,0.45,1,1,0.998613
171,1-7-1959,07 59 48.65,-61 11 50.35,,20.47,17.38,14.84,9,2.46,,23.9,,-1.9,,113,,0.24,0.26,-4.81,0.29,0,1,0.99998
172,1-7-1986,07 59 49.49,-61 10 26.79,,20.11,17.24,14.78,9,1.76,,8.9,,-1.88,,110,,0.31,0.31,-4.68,0.31,0,1,0.999887
173,1-7-2049,07 59 51.44,-61 08 01.60,2.805,18.13,15.74,13.52,25,0.19,,16.3,,-1.33,0.01,58,-1.32,0.49,0.52,-4.44,0.53,1,1,0.997667
174,1-7-2545,08 00 09.34,-61 13 28.40,1.749,18.24,15.87,13.53,26,1.35,,9.1,,-1.38,0.011,62,-1.55,0.5,0.57,-4.43,0.51,1,1,0.998258
175,1-7-2921,08 00 22.05,-61 13 58.20,0.749,19.82,17.03,14.58,11,0.94,,26.4,,-1.81,0.01,101,-2.13,0.32,0.29,-4.65,0.34,1,1,0.99979
176,1-7-2945,08 00 22.90,-61 14 25.01,,20.35,17.44,14.93,8,0.45,,9.3,,-1.95,,119,,0.26,0.36,-4.75,0.28,0,1,0.999982
177,1-7-3076,08 00 27.20,-61 09 30.10,0.545,20.33,17.52,15.09,5,3.0,,24.7,,-2.0,0.022,126,-2.36,0.1,0.29,-5.16,0.27,1,1,0.999966
178,1-7-3212,08 00 32.34,-61 13 14.10,6.795,17.4,15.25,13.12,33,1.02,,10.9,,-1.15,0.006,48,-0.85,0.35,0.46,-4.57,0.6,1,1,0.996487
179,1-7-3219,08 00 33.01,-61 15 10.70,0.863,19.82,17.01,14.51,13,0.9,,19.1,,-1.8,0.011,100,-2.06,0.43,0.35,-4.53,0.34,1,1,0.999661
180,1-7-3292,08 00 35.55,-61 11 38.69,,20.8,17.85,15.05,5,2.13,,16.8,,-2.12,,144,,0.06,0.03,-5.43,0.23,0,1,0.999948
181,1-7-3688,08 00 47.13,-61 11 49.60,0.308,20.26,17.29,14.93,7,0.7,,29.1,,-1.88,0.021,110,-2.55,0.45,0.26,-4.53,0.3,1,1,0.999937
182,1-7-3741,08 00 49.32,-61 12 15.70,0.916,17.92,15.59,13.28,24,1.42,,29.7,,-1.28,0.015,55,-1.78,0.66,0.73,-4.31,0.55,1,1,0.99885
183,1-7-3757,08 00 50.02,-61 13 54.45,,16.44,14.34,12.38,48,31.66,<,8.0,*,-0.79,,31,,0.07,0.03,-5.25,0.72,0,2,0.585271
184,1-7-3787,08 00 50.94,-61 11 46.67,,17.0,14.88,12.86,30,22.28,<,8.0,*,-1.01,,40,,0.05,0.06,-5.4,0.65,0,1,0.996487
185,1-7-3887,08 00 53.19,-61 07 18.50,4.584,19.31,16.68,14.35,7,0.07,,10.9,,-1.69,0.013,88,-1.28,0.06,0.18,-5.35,0.39,1,1,0.999488
186,1-7-4606,08 01 18.72,-61 13 35.64,,19.16,16.54,14.3,10,0.59,,17.9,,-1.64,,83,,0.42,0.37,-4.52,0.41,0,1,0.999661
187,1-7-533,07 59 02.95,-61 08 32.82,,19.99,17.26,12.96,9,0.55,,26.5,,-1.91,,113,,0.46,0.29,-4.49,0.3,0,1,0.999926
188,1-7-698,07 59 08.19,-61 12 30.95,,20.9,17.93,15.34,6,2.01,,21.1,,-2.14,,148,,1.73,1.92,-3.94,0.22,0,1,0.999982
189,1-7-907,07 59 15.05,-61 11 26.53,,20.14,17.16,14.67,12,5.59,<,8.0,*,-1.83,,104,,0.05,0.11,-5.46,0.32,0,1,0.99996
190,1-8-1118,07 59 24.44,-61 00 18.17,,15.71,14.2,12.2,53,2.67,<,8.0,*,-0.78,,31,,0.11,0.15,-5.06,0.74,0,1,0.992964
191,1-8-1232,07 59 28.77,-61 05 23.90,1.184,20.28,17.39,15.21,9,0.39,,20.3,,-1.94,0.028,117,-1.99,0.25,0.27,-4.77,0.28,1,1,0.999884
192,1-8-1419,07 59 33.96,-60 59 07.50,1.465,19.02,16.48,14.09,17,0.05,,17.2,,-1.62,0.015,81,-1.74,0.32,0.4,-4.64,0.42,2,1,0.999324
193,1-8-1620,07 59 40.66,-60 59 34.50,,20.48,17.53,14.91,7,4.3,,41.7,,-1.98,,123,,0.34,0.27,-4.64,0.26,0,1,0.99998
194,1-8-1621,07 59 40.92,-61 01 26.57,,18.42,15.86,13.73,21,20.71,<,8.0,*,-1.37,,61,,0.02,-0.04,-5.91,0.51,0,1,0.992964
195,1-8-1630,07 59 41.26,-61 02 06.19,,20.28,17.37,14.98,9,36.86,<,8.0,*,-1.93,,116,,0.09,-0.06,-5.22,0.29,0,1,0.99989
196,1-8-175,07 58 52.73,-61 02 02.10,4.073,18.49,16.06,13.77,23,1.45,,10.1,,-1.46,0.016,67,-1.22,0.56,0.6,-4.38,0.48,1,1,0.998258
197,1-8-1946,07 59 52.47,-61 02 00.90,8.198,16.93,15.1,13.15,27,0.52,<,8.0,,-1.14,0.013,47,-0.76,0.32,0.37,-4.58,0.62,1,1,0.999019
198,1-8-1964,07 59 54.16,-61 06 17.70,0.482,20.39,17.42,14.89,8,0.14,,30.3,,-1.94,0.017,117,-2.39,0.26,0.37,-4.76,0.28,1,1,0.999973
199,1-8-1974,07 59 53.64,-61 00 41.70,0.63,19.49,16.81,14.49,10,0.92,,31.9,,-1.74,0.015,93,-2.17,0.36,0.32,-4.59,0.37,1,1,0.999389
200,1-8-2018,07 59 55.83,-61 02 49.90,6.488,17.4,15.39,13.49,24,0.45,<,8.0,,-1.22,0.006,51,-0.9,0.23,0.31,-4.76,0.58,1,1,0.996487
201,1-8-2316,08 00 07.45,-60 59 51.12,,20.34,17.55,15.13,6,18.09,<,8.0,*,-2.01,,128,,-0.01,-0.16,,0.26,0,1,0.999926
202,1-8-2812,08 00 24.25,-61 00 15.74,,17.01,15.01,13.02,20,24.32,<,8.0,*,-1.06,,43,,0.06,0.06,-5.33,0.63,0,1,0.998258
203,1-8-310,07 58 57.72,-61 06 21.85,,16.71,14.82,13.48,36,349.24,<,8.0,*,-1.01,,40,,0.01,-0.04,-6.15,0.66,0,1,0.99999
204,1-8-3126,08 00 37.02,-61 03 07.77,,17.02,14.87,12.79,19,0.31,,13.1,,-1.0,,40,,0.57,0.57,-4.37,0.65,0,1,0.896753
205,1-8-3156,08 00 38.67,-61 06 24.51,,18.87,16.29,14.1,11,0.46,,9.9,,-1.54,,74,,0.47,0.49,-4.47,0.45,0,1,0.999389
206,1-8-355,07 58 58.97,-61 06 10.26,,16.66,14.79,13.76,33,23.51,<,8.0,*,-1.0,,40,,-0.05,-0.05,,0.66,0,1,0.999987
207,1-8-3644,08 00 44.50,-60 58 16.19,,15.8,14.05,12.35,41,0.05,<,8.0,,-0.74,,29,,0.48,0.58,-4.4,0.76,0,1,0.92198
208,1-8-3730,08 00 59.16,-61 06 24.30,0.36,17.82,15.43,13.38,19,3.6,,62.0,,-1.21,0.014,51,-2.15,0.47,0.55,-4.46,0.57,1,1,0.997667
209,1-8-39,07 58 48.77,-60 58 50.50,,19.08,16.52,14.38,15,1.43,<,8.0,,-1.63,,83,,0.05,-0.02,-5.42,0.42,0,1,0.999019
210,1-8-421,07 59 00.77,-61 01 13.29,,20.52,17.64,15.36,7,1.41,,32.1,,-2.04,,131,,0.18,0.31,-4.91,0.25,0,1,0.999938
211,1-8-441,07 59 01.32,-61 02 09.70,,19.13,16.56,14.44,17,5.69,<,8.0,*,-1.65,,84,,0.05,-0.04,-5.43,0.41,0,1,0.99885
212,1-8-475,07 59 03.06,-61 06 24.40,5.065,17.89,15.69,13.51,24,0.17,<,8.0,,-1.33,0.011,58,-1.06,0.48,0.51,-4.44,0.54,1,1,0.998613
213,1-8-555,07 59 05.79,-61 01 51.97,,20.82,17.92,15.29,6,33.2,<,8.0,*,-2.15,,149,,0.25,-0.02,-4.78,0.22,0,1,0.999985
214,1-8-587,07 59 07.15,-61 05 03.90,0.505,17.67,15.51,13.5,29,2.13,,26.5,*,-1.26,0.015,54,-2.03,0.41,0.66,-4.51,0.56,1,1,0.996487
215,1-8-617,07 59 07.49,-61 00 30.20,,17.85,15.69,13.24,23,4.95,<,8.0,*,-1.33,,58,,0.15,0.13,-4.95,0.54,0,1,0.999019
216,1-8-688,07 59 10.34,-61 02 55.70,5.229,17.03,15.1,13.2,35,0.03,<,8.0,,-1.11,0.004,45,-0.94,0.32,0.32,-4.61,0.62,1,1,0.999245
217,1-8-770,07 59 13.31,-61 05 47.84,,16.57,14.7,13.99,40,71.17,<,8.0,*,-0.97,,38,,0.04,0.02,-5.55,0.67,0,1,0.999988
218,1-8-862,07 59 15.57,-60 59 17.30,1.545,20.04,17.18,15.02,10,0.61,,21.4,,-1.86,0.041,107,-1.84,0.28,0.33,-4.73,0.32,2,1,0.999751
219,1-8-946,07 59 19.29,-61 02 51.90,1.142,20.03,17.18,14.71,11,0.41,,19.0,,-1.86,0.015,107,-1.97,0.29,0.25,-4.71,0.32,1,1,0.999939
220,2-1-1063,07 59 21.09,-60 50 52.74,,19.32,16.33,13.84,19,0.23,,30.2,,-1.5,,71,,0.43,0.49,-4.55,0.45,0,1,0.999442
221,2-1-1237,07 59 26.93,-60 56 00.49,,19.26,16.6,14.42,15,0.29,,9.6,,-1.66,,85,,0.2,0.24,-4.85,0.41,0,1,0.999442
222,2-1-1265,07 59 27.46,-60 51 39.10,0.586,20.5,17.57,15.23,7,0.21,,28.1,,-2.0,0.015,126,-2.33,0.21,0.41,-4.86,0.26,1,1,0.99995
223,2-1-144,07 58 53.58,-60 54 24.20,1.603,16.76,14.72,12.67,44,0.8,,42.3,,-0.95,0.023,37,-1.37,0.57,0.69,-4.36,0.67,1,2,1.0E-6
224,2-1-1776,07 59 44.71,-60 58 30.30,2.716,17.8,15.58,13.54,26,0.87,<,8.0,,-1.28,0.024,55,-1.31,0.55,0.59,-4.38,0.55,1,1,0.999245
225,2-1-1843,07 59 46.58,-60 51 21.30,1.647,18.81,16.24,14.02,15,1.01,,9.9,,-1.52,0.009,72,-1.64,0.38,0.39,-4.56,0.46,1,1,0.998613
226,2-1-2066,07 59 56.29,-60 57 27.62,,19.64,16.85,14.65,11,29.4,<,8.0,*,-1.74,,93,,0.08,-0.06,-5.23,0.37,0,1,0.99968
227,2-1-2166,07 59 59.62,-60 51 47.50,0.321,20.8,17.77,15.72,5,7.07,,45.5,,-2.07,0.016,137,-2.63,0.11,0.3,-5.16,0.23,1,1,0.99999
228,2-1-2213,08 00 01.44,-60 55 17.70,1.025,19.95,17.1,14.77,7,1.44,<,8.0,,-1.83,0.017,103,-2.0,0.21,0.46,-4.84,0.33,1,1,0.999893
229,2-1-228,07 58 55.49,-60 55 59.60,1.051,17.4,15.31,13.26,27,1.52,,26.6,,-1.18,0.025,49,-1.67,0.93,1.03,-4.15,0.59,1,1,0.998258
230,2-1-2573,08 00 13.25,-60 55 16.48,,20.05,17.01,14.55,9,4.01,,43.3,,-1.76,,96,,0.15,0.28,-5.01,0.34,0,1,0.999904
231,2-1-2586,08 00 13.07,-60 53 12.90,1.3,16.45,14.53,12.49,33,21.54,,23.1,*,-0.88,0.008,35,-1.43,0.27,0.27,-4.67,0.69,1,1,0.992964
232,2-1-259,07 58 56.58,-60 52 15.90,0.959,17.51,15.29,13.24,32,0.14,,28.7,,-1.17,0.022,48,-1.7,0.46,0.56,-4.47,0.59,1,1,0.992964
233,2-1-2681,08 00 15.95,-60 53 29.20,1.904,19.59,16.85,14.62,8,0.09,,19.8,,-1.74,0.01,94,-1.69,0.25,0.32,-4.75,0.37,1,1,0.999901
234,2-1-2752,08 00 16.98,-60 51 12.45,,19.68,17.06,14.87,6,38.1,<,8.0,*,-1.84,,105,,0.17,-0.16,-4.91,0.34,0,1,0.999772
235,2-1-304,07 58 58.18,-60 56 32.90,7.835,16.57,14.9,13.06,37,0.01,<,8.0,,-1.07,0.008,43,-0.74,0.29,0.41,-4.61,0.65,1,1,0.999488
236,2-1-4131,08 01 05.46,-60 53 14.35,,21.01,17.93,15.27,5,4.72,,12.7,*,-2.13,,146,,0.61,0.44,-4.41,0.22,0,2,
237,2-1-4208,08 01 08.39,-60 54 13.20,5.72,18.79,16.3,14.04,21,0.42,<,8.0,,-1.55,0.005,75,-1.12,0.33,0.34,-4.61,0.45,1,1,0.999019
238,2-1-4379,08 01 15.19,-60 56 11.10,0.267,18.8,16.27,14.03,17,2.0,,57.9,,-1.53,0.007,73,-2.44,0.35,0.48,-4.59,0.45,1,1,0.998613
239,2-1-641,07 59 08.80,-60 57 02.70,6.575,17.3,15.25,13.27,31,0.47,<,8.0,,-1.16,0.013,48,-0.86,0.36,0.46,-4.57,0.6,1,1,0.999146
240,2-1-683,07 59 09.59,-60 50 51.50,0.761,17.57,15.36,13.35,30,0.71,,28.1,,-1.19,0.031,50,-1.82,0.52,0.57,-4.41,0.58,1,1,0.996487
241,2-1-833,07 59 14.87,-60 57 31.43,,17.75,15.54,13.46,24,1.72,<,8.0,*,-1.27,,54,,0.18,0.17,-4.88,0.56,0,1,0.999245
242,2-1-912,07 59 17.09,-60 54 12.50,0.481,20.51,17.48,15.01,8,3.86,,44.2,,-1.95,0.032,119,-2.39,0.36,0.31,-4.64,0.27,1,1,0.999931
243,2-1-943,07 59 18.48,-60 55 06.11,,17.98,15.62,13.5,26,21.12,,11.7,*,-1.29,,55,,0.03,0.0,-5.67,0.55,0,1,0.992964
244,2-2-1247,07 59 36.56,-60 47 23.31,,18.33,15.97,,15,1.61,,8.0,,-1.43,,65,,0.37,0.39,-4.56,0.5,0,1,0.99979
245,2-2-1299,07 59 39.16,-60 50 15.39,,20.97,17.94,15.52,5,1.24,<,8.0,,-2.14,,148,,0.21,0.31,-4.87,0.22,0,1,0.999962
246,2-2-1311,07 59 39.14,-60 45 37.30,0.367,18.66,16.08,13.83,9,7.24,,44.1,,-1.45,0.024,67,-2.26,0.43,0.45,-4.51,0.48,1,1,0.999146
247,2-2-1402,07 59 42.35,-60 50 27.86,,16.17,14.6,12.89,41,1.61,<,8.0,*,-0.94,,37,,0.27,0.33,-4.67,0.68,0,1,0.999019
248,2-2-169,07 58 56.42,-60 47 22.80,0.452,17.11,15.2,13.13,18,3.1,,55.3,,-1.16,0.024,48,-2.02,0.53,0.56,-4.38,0.6,1,1,0.999389
249,2-2-19,07 58 50.90,-60 48 36.04,,20.15,17.29,,7,1.19,,21.3,,-1.9,,112,,0.36,0.25,-4.61,0.3,0,1,0.999848
250,2-2-1907,08 00 02.42,-60 48 44.73,,19.35,16.69,14.51,10,2.2,,21.0,,-1.69,,88,,0.29,0.37,-4.68,0.39,0,1,0.999245
251,2-2-2153,08 00 11.63,-60 48 32.40,6.784,17.0,15.05,13.08,20,1.94,<,8.0,*,-1.08,0.015,44,-0.81,0.37,0.48,-4.55,0.63,1,1,0.999389
252,2-2-2387,08 00 18.18,-60 48 17.20,2.247,18.37,15.98,13.88,11,0.09,,9.6,,-1.43,0.009,65,-1.46,0.48,0.5,-4.45,0.49,1,1,0.99885
253,2-2-3180,08 00 42.27,-60 46 50.69,,18.66,16.27,14.2,15,13.37,<,8.0,*,-1.54,,74,,-0.02,0.02,,0.45,0,1,0.999146
254,2-2-3311,08 00 47.43,-60 46 21.43,,20.51,17.6,15.12,9,0.93,,55.4,,-2.02,,128,,0.16,0.48,-4.96,0.26,0,1,0.999963
255,2-2-3336,08 00 48.53,-60 48 12.13,,21.26,18.17,15.42,6,1.93,,13.8,,-2.22,,162,,0.21,0.31,-4.88,0.19,0,1,0.999992
256,2-2-3494,08 00 52.80,-60 49 09.26,,15.64,14.27,12.45,57,7.38,<,8.0,*,-0.8,,31,,0.05,0.11,-5.38,0.73,0,1,0.999751
257,2-2-3759,08 01 03.29,-60 48 15.96,,20.3,17.29,14.75,12,2.3,,40.4,,-1.88,,110,,0.4,0.4,-4.58,0.3,0,1,0.989704
258,2-2-3845,08 01 04.95,-60 41 55.99,,19.48,16.92,14.64,10,2.6,<,8.0,*,-1.79,,99,,0.03,-0.01,-5.61,0.36,0,1,0.999019
259,2-2-3933,08 01 07.66,-60 43 35.20,8.677,17.95,15.78,13.62,27,70.99,<,8.0,*,-1.36,0.016,60,-0.84,0.69,0.4,-4.28,0.52,1,1,0.998258
260,2-2-4051,08 01 12.71,-60 48 25.30,10.033,18.08,15.79,13.64,27,1.09,<,8.0,,-1.36,0.018,60,-0.78,0.56,0.59,-4.38,0.52,1,1,0.999324
261,2-2-464,07 59 06.93,-60 46 50.78,,16.29,14.8,13.19,32,33.03,<,8.0,*,-1.02,,41,,0.14,0.16,-4.94,0.66,0,1,0.99982
262,2-2-511,07 59 09.08,-60 47 57.00,0.392,19.56,16.64,14.3,10,1.15,,40.3,,-1.63,0.041,83,-2.32,0.42,0.16,-4.55,0.4,1,1,0.999826
263,2-2-745,07 59 17.98,-60 45 18.82,,17.62,15.3,13.09,21,0.12,,14.8,,-1.16,,48,,0.46,0.52,-4.47,0.59,0,1,0.996487
264,2-2-90,07 58 54.31,-60 50 05.75,,19.05,16.44,14.22,14,53.42,<,8.0,*,-1.6,,79,,0.06,-0.02,-5.37,0.43,0,1,0.999389
265,2-3-1157,07 59 36.36,-60 33 04.90,3.402,17.79,15.5,13.36,33,1.0,,12.0,,-1.24,0.02,53,-1.19,0.53,0.54,-4.41,0.56,1,2,1.0E-6
266,2-3-1199,07 59 37.51,-60 32 45.57,,18.61,16.14,,19,0.53,,34.8,,-1.48,,70,,0.51,0.49,-4.42,0.47,0,1,0.998613
267,2-3-1361,07 59 44.31,-60 32 19.72,,18.13,15.65,13.41,28,2.26,,41.1,,-1.29,,56,,0.63,0.65,-4.34,0.54,0,2,1.0E-6
268,2-3-1480,07 59 48.60,-60 33 33.71,,18.27,16.02,13.8,22,8.33,<,8.0,*,-1.45,,67,,0.1,0.08,-5.15,0.49,0,1,0.998613
269,2-3-1757,07 59 55.85,-60 37 45.71,,19.7,16.72,14.12,10,0.15,,43.3,,-1.66,,85,,0.26,0.28,-4.76,0.39,0,1,0.999714
270,2-3-1984,07 59 55.72,-60 33 47.15,,20.22,17.19,14.64,10,1.26,,24.5,,-1.84,,104,,0.23,0.16,-4.83,0.31,0,1,0.999924
271,2-3-2156,08 00 06.39,-60 38 21.46,,19.24,16.64,14.37,9,33.29,,21.6,*,-1.68,,87,,0.04,0.05,-5.52,0.4,0,1,0.99964
272,2-3-2191,08 00 07.19,-60 33 38.48,,19.78,17.03,14.49,14,17.87,,9.3,*,-1.81,,102,,0.02,-0.07,-5.85,0.34,0,1,0.999866
273,2-3-2256,08 00 09.22,-60 39 30.45,,17.6,15.03,12.84,17,9.51,<,8.0,*,-1.03,,41,,0.1,-0.01,-5.12,0.63,0,1,0.998258
274,2-3-2921,08 00 37.60,-60 36 22.76,,15.49,14.07,12.59,30,0.71,<,8.0,,-0.72,,29,,0.32,0.38,-4.6,0.75,0,1,0.999924
275,2-3-2979,08 00 40.83,-60 39 47.18,,18.24,15.5,13.25,7,16.75,,20.8,*,-1.2,,50,,0.19,-0.02,-4.88,0.56,0,1,0.992964
276,2-3-3015,08 00 42.32,-60 36 56.30,1.392,20.31,17.38,15.06,6,0.85,,18.8,,-1.93,0.023,116,-1.92,0.34,0.34,-4.64,0.29,1,1,0.999897
277,2-3-3402,08 00 57.82,-60 33 33.00,3.168,17.3,15.09,12.91,30,0.33,,9.4,,-1.08,0.013,44,-1.14,0.41,0.46,-4.51,0.62,1,1,0.997667
278,2-3-3475,08 01 00.97,-60 34 20.60,0.713,20.12,17.06,14.64,8,0.07,,27.9,,-1.78,0.015,98,-2.14,0.24,0.33,-4.82,0.34,1,1,0.999926
279,2-3-3537,08 01 04.02,-60 35 22.40,6.364,17.77,15.58,13.54,14,0.86,<,8.0,,-1.28,0.015,55,-0.94,0.44,0.57,-4.48,0.55,1,1,0.999019
280,2-3-3611,08 01 07.20,-60 35 46.63,,18.66,16.15,14.08,10,1.54,,30.0,,-1.49,,70,,0.51,0.5,-4.43,0.47,0,1,0.998613
281,2-3-415,07 59 08.61,-60 32 59.74,,18.0,15.7,13.72,12,1.34,<,8.0,,-1.32,,58,,0.51,0.53,-4.42,0.53,0,1,0.998613
282,2-3-851,07 59 25.70,-60 35 00.08,,19.73,17.05,14.77,8,0.03,,18.8,,-1.83,,104,,0.2,0.27,-4.84,0.34,0,1,0.999826
283,2-3-933,07 59 29.02,-60 39 41.70,0.332,17.47,15.35,13.33,9,1.63,,67.5,,-1.2,0.017,50,-2.18,0.15,0.69,-4.96,0.58,1,1,0.997667
284,2-4-1242,07 59 34.86,-60 30 09.00,3.345,19.09,16.4,14.1,15,20.47,,9.8,*,-1.57,0.017,77,-1.36,0.23,0.23,-4.79,0.44,1,1,0.999324
285,2-4-1691,07 59 48.19,-60 30 03.49,,18.74,16.31,14.08,19,25.47,<,8.0,*,-1.56,,75,,-0.01,-0.03,,0.45,0,1,0.999245
286,2-4-1867,07 59 52.01,-60 29 13.44,,17.75,15.38,13.11,35,0.54,,55.8,,-1.19,,50,,0.48,0.65,-4.45,0.58,0,2,1.0E-6
287,2-4-1870,07 59 53.99,-60 29 16.88,,19.15,16.54,14.38,13,1.98,,17.4,,-1.64,,83,,0.39,0.36,-4.55,0.41,0,1,0.999245
288,2-4-1973,07 59 58.37,-60 24 17.18,,15.88,14.52,12.47,22,0.42,,63.8,,-0.89,,35,,0.51,0.73,-4.41,0.7,0,1,0.992964
289,2-4-2028,07 59 50.36,-60 31 47.51,,16.45,14.29,12.61,71,61.66,,20.5,*,-0.77,,31,,0.02,-0.01,-5.87,0.73,0,1,0.99997
290,2-4-2110,08 00 02.13,-60 30 30.90,1.159,18.64,16.31,14.13,22,0.65,,20.8,,-1.56,0.012,76,-1.82,0.51,0.6,-4.42,0.45,1,1,0.992964
