,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
21,22,1-2-126,07 56 19.96,-61 19 29.50,0.869,20.09,17.27,14.81,7,0.32,<,8.0,,-1.9,0.021,112,-2.11,0.83,0.78,-4.24,1,1,3285.0,161.0,0.35,0.044,0.01388,0.00551,0.23672566371681417,0.033371469090881234
22,23,1-2-1835,07 57 21.32,-61 16 48.64,,15.64,13.9,12.12,45,11.01,<,8.0,*,-0.67,,27,,0.12,0.16,-4.99,0,1,3751.0,157.0,0.574,0.057,0.06051,0.02412,0.4923566878980892,0.033371469090881234
23,24,1-2-1929,07 57 24.32,-61 17 29.60,1.244,18.36,15.92,13.55,20,1.18,,24.2,,-1.4,0.016,63,-1.71,0.36,0.5,-4.58,1,1,,,,,,,,0.033371469090881234
24,25,1-2-2281,07 57 36.33,-61 21 29.30,10.374,17.24,15.23,13.25,26,0.12,<,8.0,,-1.15,0.015,48,-0.66,0.32,0.33,-4.62,1,1,3774.0,157.0,0.57,0.022,0.06112,0.01436,0.5076923076923077,0.033371469090881234
25,26,1-2-2473,07 57 43.60,-61 17 27.61,,19.53,16.93,14.5,10,7.78,<,8.0,*,-1.79,,99,,0.06,-0.07,-5.38,0,1,3344.0,158.0,0.288,0.028,0.01084,0.00341,0.2628318584070796,0.033371469090881234
26,27,1-2-2479,07 57 43.86,-61 23 14.03,,16.19,14.81,12.99,36,106.67,<,8.0,*,-1.01,,40,,-0.14,-0.15,,0,1,4640.0,122.0,,,,,1.1,0.033371469090881234
27,28,1-2-2491,07 57 44.72,-61 23 32.70,1.739,18.55,16.12,14.02,18,0.91,,10.7,,-1.48,0.006,69,-1.6,0.51,0.51,-4.43,1,1,3480.0,157.0,0.475,0.026,0.0301,0.00819,0.3292134831460674,0.033371469090881234
28,29,1-2-2564,07 57 46.96,-61 18 55.33,,15.91,14.58,12.73,39,6.8,<,8.0,*,-0.92,,36,,0.5,0.61,-4.42,0,1,4062.0,157.0,0.645,0.022,0.11169,0.02487,0.7241666666666666,0.033371469090881234
29,30,1-2-2597,07 57 48.84,-61 21 50.72,,19.86,17.09,14.85,8,11.76,<,8.0,*,-1.83,,104,,0.22,0.29,-4.82,0,1,3330.0,160.0,0.349,0.036,0.01461,0.00513,0.25663716814159293,0.033371469090881234
30,31,1-2-271,07 56 24.97,-61 21 39.24,,18.24,15.96,13.7,18,0.64,,11.3,,-1.43,,65,,0.49,0.61,-4.44,0,1,3533.0,157.0,0.499,0.024,0.03519,0.00917,0.35898876404494384,0.033371469090881234
31,32,1-2-2802,07 57 54.11,-61 18 09.73,,19.84,17.01,14.65,7,0.41,<,8.0,,-1.79,,99,,0.33,0.42,-4.65,0,1,3310.0,159.0,0.363,0.035,0.01524,0.0052,0.24778761061946902,0.033371469090881234
