,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
103,104,1-4-3974,07 58 34.23,-60 59 50.30,0.362,20.79,17.73,15.35,8,2.08,,40.1,,-2.05,0.021,134,-2.57,0.24,0.22,-4.81,1,1,3546.0,140.0,,,,,0.36629213483146067,0.033371469090881234
104,105,1-4-401,07 56 29.76,-60 59 59.79,,17.22,15.16,13.0,34,0.05,,23.0,,-1.12,,46,,0.28,0.3,-4.67,0,1,3580.0,157.0,0.611,0.022,0.05859,0.01425,0.3853932584269663,0.033371469090881234
105,106,1-4-4038,07 58 36.78,-61 03 54.80,0.269,18.64,16.06,13.78,23,0.26,,84.7,,-1.45,0.023,66,-2.39,0.57,0.63,-4.38,1,1,3404.0,157.0,0.487,0.026,0.02889,0.00791,0.2893805309734513,0.033371469090881234
106,107,1-4-4069,07 58 38.22,-61 03 31.20,0.446,20.45,17.55,,9,0.52,,40.5,,-2.0,0.023,126,-2.45,0.41,0.33,-4.56,1,1,3385.0,134.0,,,,,0.2809734513274336,0.033371469090881234
107,108,1-4-470,07 56 31.38,-60 59 32.93,,17.23,14.99,12.81,37,0.52,<,8.0,,-1.04,,42,,0.38,0.38,-4.54,0,1,3601.0,157.0,0.626,0.021,0.0638,0.01533,0.39719101123595507,0.033371469090881234
108,109,1-4-559,07 56 34.98,-60 59 29.01,,18.42,16.03,13.95,20,9.05,<,8.0,*,-1.45,,67,,0.02,-0.01,-5.83,0,1,3461.0,157.0,0.356,0.024,0.01759,0.00467,0.3185393258426966,0.033371469090881234
109,110,1-4-673,07 56 39.05,-61 03 46.60,,17.32,15.37,13.34,35,0.89,<,8.0,,-1.21,,51,,0.4,0.47,-4.51,0,1,3777.0,157.0,0.557,0.022,0.05812,0.01363,0.5097902097902098,0.033371469090881234
110,111,1-4-679,07 56 39.13,-61 06 46.61,,18.93,16.36,14.09,19,1.09,,9.2,,-1.56,,76,,0.37,0.42,-4.57,0,1,3436.0,157.0,0.455,0.027,0.02634,0.00736,0.3044943820224719,0.033371469090881234
111,112,1-4-778,07 56 42.61,-61 05 48.36,,19.24,16.55,14.32,20,26.23,<,8.0,*,-1.63,,82,,0.13,0.12,-5.02,0,1,3325.0,157.0,0.404,0.03,0.01859,0.00571,0.25442477876106195,0.033371469090881234
112,113,1-4-891,07 56 46.88,-60 59 25.30,1.999,18.88,16.36,14.13,15,1.1,<,8.0,,-1.57,0.011,77,-1.58,0.41,0.45,-4.52,1,1,3425.0,158.0,0.441,0.029,0.02451,0.00714,0.2986725663716814,0.033371469090881234
113,114,1-4-917,07 56 47.21,-61 01 23.55,,18.69,16.27,14.07,21,0.64,<,8.0,,-1.54,,74,,0.39,0.48,-4.55,0,1,3425.0,157.0,0.428,0.026,0.02324,0.00636,0.2986725663716814,0.033371469090881234
114,115,1-5-1156,07 59 28.03,-61 26 01.00,0.895,19.48,16.76,14.35,13,1.73,,23.4,,-1.71,0.009,90,-2.0,0.17,0.07,-4.91,1,1,3366.0,158.0,0.421,0.033,0.02104,0.00662,0.27256637168141595,0.033371469090881234
115,116,1-5-121,07 58 52.91,-61 30 44.40,,18.88,16.47,14.22,10,24.24,,16.0,*,-1.63,,82,,0.0,-0.06,-6.65,0,1,3514.0,157.0,0.421,0.028,0.02497,0.0071,0.34831460674157305,0.033371469090881234
116,117,1-5-1336,07 59 35.64,-61 26 30.50,,19.4,16.73,14.36,15,13.85,<,8.0,*,-1.71,,90,,-0.03,-0.08,,0,1,3346.0,157.0,0.38,0.031,0.01717,0.00533,0.26371681415929205,0.033371469090881234
117,118,1-5-176,07 58 54.20,-61 30 33.74,,16.92,15.16,13.19,24,17.57,<,8.0,*,-1.18,,49,,0.13,0.09,-4.97,0,1,,,,,,,,0.033371469090881234
118,119,1-5-2025,08 00 02.88,-61 25 58.51,,16.41,14.42,13.01,59,26.94,<,8.0,*,-0.83,,33,,-0.06,-0.06,,0,1,5163.0,122.0,,,,,1.3384615384615384,0.033371469090881234
119,120,1-5-2081,08 00 04.93,-61 25 49.01,,16.58,14.88,13.94,35,52.84,<,8.0,*,-1.06,,43,,0.01,0.02,-6.04,0,1,5724.0,122.0,1.02,,0.81224,,1.1,0.033371469090881234
120,121,1-5-230,07 58 56.29,-61 31 12.50,0.375,17.63,15.5,13.4,19,2.69,,53.0,,-1.25,0.025,53,-2.15,0.55,0.66,-4.38,1,1,3642.0,157.0,0.547,0.022,0.04835,0.01181,0.4229299363057325,0.033371469090881234
121,122,1-5-2323,08 00 14.23,-61 27 10.50,5.716,17.19,15.1,13.23,39,1.32,<,8.0,,-1.1,0.024,45,-0.89,0.45,0.53,-4.47,1,1,3795.0,157.0,0.581,0.022,0.0653,0.01522,0.5223776223776224,0.033371469090881234
122,123,1-5-2593,08 00 24.53,-61 25 53.96,,20.73,17.57,14.81,8,9.2,,11.0,*,-1.97,,121,,0.2,0.36,-4.9,0,1,3166.0,164.0,0.219,0.028,0.00558,0.00206,0.18578947368421053,0.033371469090881234
123,124,1-5-2756,08 00 31.01,-61 25 57.11,,20.91,17.91,15.27,7,0.99,,21.0,,-2.13,,146,,0.26,0.47,-4.77,0,1,3481.0,145.0,,,,,0.3297752808988764,0.033371469090881234
124,125,1-5-283,07 58 57.97,-61 32 39.40,0.698,17.73,15.5,13.25,19,3.16,,24.9,*,-1.25,0.007,53,-1.88,0.67,0.8,-4.3,1,1,3556.0,157.0,0.584,0.022,0.05106,0.01267,0.37191011235955057,0.033371469090881234
125,126,1-5-2858,08 00 33.84,-61 25 58.40,,17.36,15.21,13.28,36,11.17,<,8.0,*,-1.14,,47,,0.02,0.0,-5.74,0,1,,,,,,,,0.033371469090881234
126,127,1-5-925,07 59 19.07,-61 27 59.70,1.314,19.19,16.58,14.49,7,1.98,,35.0,,-1.65,0.008,85,-1.81,0.22,0.41,-4.8,1,1,3387.0,158.0,0.389,0.032,0.01879,0.00587,0.281858407079646,0.033371469090881234
127,128,1-6-1056,07 59 25.20,-61 23 10.37,,20.51,17.63,14.96,8,1.77,,24.6,,-2.03,,131,,0.3,0.1,-4.69,0,1,3456.0,164.0,0.338,0.047,0.01604,0.00662,0.31573033707865167,0.033371469090881234
128,129,1-6-1146,07 59 27.62,-61 17 42.93,,19.01,16.48,14.25,17,8.21,<,8.0,*,-1.62,,81,,0.03,0.0,-5.69,0,1,3371.0,157.0,0.359,0.028,0.01604,0.00475,0.2747787610619469,0.033371469090881234
129,130,1-6-1165,07 59 29.02,-61 22 14.85,,20.08,17.13,14.68,8,0.66,,35.7,,-1.82,,103,,0.25,0.18,-4.79,0,1,3165.0,161.0,0.459,0.051,0.01929,0.00794,0.18539473684210528,0.033371469090881234
130,131,1-6-1250,07 59 32.09,-61 19 10.20,,20.49,17.64,15.05,7,50.14,,47.9,*,-2.04,,132,,0.28,0.37,-4.71,0,1,3288.0,162.0,0.451,0.081,0.02168,0.01168,0.23805309734513275,0.033371469090881234
131,132,1-6-1371,07 59 36.07,-61 21 06.80,0.941,20.14,17.28,14.59,11,1.82,,25.8,,-1.9,0.026,112,-2.07,0.13,0.16,-5.04,1,1,3253.0,159.0,0.342,0.035,0.01284,0.00448,0.22256637168141594,0.033371469090881234
132,133,1-6-1450,07 59 38.51,-61 16 44.25,,20.49,17.34,14.95,10,0.82,,20.9,,-1.88,,109,,0.16,0.11,-4.99,0,1,,,,,,,,0.033371469090881234
133,134,1-6-1655,07 59 44.93,-61 19 03.83,,19.42,16.57,14.15,18,14.41,<,8.0,*,-1.62,,81,,0.06,0.03,-5.37,0,1,3304.0,158.0,0.315,0.026,0.01193,0.00355,0.24513274336283186,0.033371469090881234
134,135,1-6-1682,07 59 45.85,-61 17 55.63,,17.66,15.43,13.31,34,0.7,<,8.0,,-1.22,,51,,0.04,0.08,-5.54,0,1,3581.0,157.0,0.645,0.024,0.06747,0.01712,0.3859550561797753,0.033371469090881234
135,136,1-6-189,07 58 55.13,-61 18 34.40,12.232,17.9,15.77,13.65,20,0.63,<,8.0,,-1.36,0.014,60,-0.69,0.26,0.26,-4.71,1,1,3616.0,157.0,0.513,0.023,0.04088,0.01026,0.4063694267515924,0.033371469090881234
136,137,1-6-215,07 58 56.18,-61 23 16.22,,18.17,15.8,13.64,20,1.53,<,8.0,,-1.36,,60,,0.04,0.01,-5.5,0,1,,,,,,,,0.033371469090881234
137,138,1-6-2353,08 00 09.53,-61 22 32.62,,20.92,17.94,15.32,6,3.81,,25.7,,-2.15,,149,,-0.04,0.22,,0,1,3475.0,147.0,,,,,0.32640449438202246,0.033371469090881234
138,139,1-6-2526,08 00 15.08,-61 23 37.80,2.315,16.3,14.46,12.42,58,8.86,,36.4,*,-0.88,0.024,35,-1.17,0.51,0.61,-4.39,1,1,3952.0,122.0,0.62,,0.17892,,0.6362204724409448,0.033371469090881234
139,140,1-6-2689,08 00 20.46,-61 18 53.32,,19.28,16.63,14.26,16,39.77,<,8.0,*,-1.67,,86,,-0.01,-0.07,,0,1,3386.0,158.0,0.416,0.03,0.02112,0.0064,0.2814159292035398,0.033371469090881234
140,141,1-6-2837,08 00 24.76,-61 18 05.70,8.698,17.39,15.3,13.32,32,1.11,<,8.0,,-1.18,0.012,49,-0.75,0.36,0.46,-4.56,1,1,3740.0,157.0,0.556,0.022,0.05569,0.01326,0.5,0.033371469090881234
141,142,1-6-2926,08 00 27.50,-61 18 13.06,,20.26,17.3,14.7,10,2.66,,26.9,,-1.89,,111,,0.06,0.14,-5.38,0,1,3367.0,164.0,0.305,0.036,0.01218,0.00451,0.27300884955752214,0.033371469090881234
142,143,1-6-3083,08 00 32.04,-61 16 34.00,0.488,20.82,17.82,14.96,7,2.0,,46.5,,-2.1,0.03,141,-2.46,0.73,0.59,-4.32,1,1,3467.0,148.0,,,,,0.3219101123595506,0.033371469090881234
143,144,1-6-3124,08 00 33.56,-61 17 27.57,,17.76,15.4,13.23,27,24.47,,41.3,*,-1.2,,50,,0.08,0.05,-5.25,0,1,3510.0,157.0,0.582,0.022,0.04801,0.01207,0.34606741573033706,0.033371469090881234
144,145,1-6-3322,08 00 40.87,-61 17 48.34,,16.33,14.54,12.56,52,41.68,<,8.0,*,-0.92,,36,,0.04,0.03,-5.48,0,1,3786.0,157.0,0.581,0.021,0.06474,0.01483,0.5160839160839161,0.033371469090881234
145,146,1-6-3339,08 00 42.16,-61 25 03.80,0.499,20.53,17.57,14.99,9,0.39,,31.9,,-2.0,0.046,126,-2.4,0.23,0.18,-4.82,1,1,3299.0,163.0,0.272,0.038,0.00937,0.00378,0.24292035398230089,0.033371469090881234
146,147,1-6-34,07 58 49.60,-61 25 10.56,,16.43,14.84,13.86,32,2.71,<,8.0,*,-1.04,,42,,-0.03,-0.01,,0,1,6008.0,122.0,1.11,,1.99948,,,0.033371469090881234
147,148,1-6-3404,08 00 44.81,-61 25 08.60,1.467,18.29,15.92,13.67,23,0.63,,16.8,,-1.41,0.019,63,-1.64,0.57,0.59,-4.37,1,1,3513.0,157.0,0.511,0.025,0.03621,0.00948,0.34775280898876404,0.033371469090881234
148,149,1-6-3423,08 00 45.00,-61 18 58.59,,20.93,17.86,15.11,6,5.8,,14.6,*,-2.1,,141,,0.12,0.03,-5.1,0,1,3419.0,146.0,,,,,0.2960176991150442,0.033371469090881234
149,150,1-6-3435,08 00 45.65,-61 23 51.90,1.415,18.78,16.28,14.02,20,0.23,,20.8,,-1.54,0.007,74,-1.72,0.69,0.66,-4.3,1,1,3426.0,157.0,0.461,0.026,0.0267,0.00737,0.29911504424778756,0.033371469090881234
150,151,1-6-3564,08 00 49.54,-61 21 43.60,0.635,20.51,17.57,15.02,7,0.54,,32.6,,-2.0,0.011,126,-2.3,0.23,0.37,-4.81,1,1,3263.0,160.0,0.313,0.044,0.01121,0.00468,0.2269911504424779,0.033371469090881234
151,152,1-6-3599,08 00 50.46,-61 20 53.83,,16.64,14.84,12.9,45,95.35,<,8.0,*,-1.04,,42,,0.05,0.03,-5.36,0,1,,,,,,,,0.033371469090881234
152,153,1-6-3648,08 00 52.40,-61 17 51.64,,19.96,16.98,14.37,11,13.24,<,8.0,*,-1.76,,96,,0.04,-0.03,-5.6,0,1,3372.0,166.0,0.28,0.03,0.01068,0.00368,0.27522123893805306,0.033371469090881234
153,154,1-6-4071,08 01 07.05,-61 25 04.30,0.793,19.82,17.0,14.46,11,0.3,,25.5,,-1.79,0.025,99,-2.1,0.14,0.34,-5.03,1,1,3252.0,158.0,0.411,0.035,0.01755,0.00586,0.22212389380530972,0.033371469090881234
154,155,1-6-41,07 58 49.08,-61 18 12.50,,16.29,14.48,13.38,41,48.14,<,8.0,*,-0.89,,35,,-0.01,-0.01,,0,1,5976.0,122.0,1.1,,5.22274,,1.2,0.033371469090881234
155,156,1-6-4112,08 01 08.19,-61 23 29.50,2.391,18.76,16.27,13.94,17,1.02,<,8.0,,-1.53,0.007,74,-1.49,0.49,0.53,-4.44,1,1,3430.0,157.0,0.456,0.026,0.0263,0.00719,0.30112359550561796,0.033371469090881234
156,157,1-6-4160,08 01 09.85,-61 23 51.70,1.225,18.81,16.17,13.78,18,0.59,,12.6,,-1.48,0.012,69,-1.75,0.32,0.36,-4.64,1,1,3311.0,157.0,0.476,0.026,0.02471,0.00691,0.2482300884955752,0.033371469090881234
157,158,1-6-59,07 58 50.93,-61 24 48.82,,20.52,17.68,15.19,5,13.91,<,8.0,*,-2.06,,135,,0.07,-0.06,-5.34,0,1,3251.0,159.0,0.297,0.049,0.01015,0.00461,0.22168141592920354,0.033371469090881234
158,159,1-6-610,07 59 09.96,-61 22 42.33,,20.63,17.65,15.33,7,0.08,,37.4,,-2.03,,130,,0.55,0.22,-4.44,0,1,3366.0,144.0,,,,,0.27256637168141595,0.033371469090881234
159,160,1-6-612,07 59 09.80,-61 18 45.92,,20.86,17.97,14.83,5,16.88,,26.6,*,-2.17,,153,,0.25,0.07,-4.78,0,1,,,,,,,,0.033371469090881234
160,161,1-6-697,07 59 12.88,-61 19 10.00,2.223,18.27,15.92,13.53,16,0.03,,13.6,,-1.41,0.011,64,-1.46,0.56,0.61,-4.38,1,1,3519.0,157.0,0.542,0.024,0.04132,0.01071,0.351123595505618,0.033371469090881234
161,162,1-6-88,07 58 51.35,-61 19 45.99,,16.14,14.11,13.04,63,34.9,<,8.0,*,-0.7,,28,,-0.04,-0.02,,0,1,6061.0,122.0,1.13,,1.53563,,,0.033371469090881234
162,163,1-6-91,07 58 52.18,-61 23 59.20,2.237,18.89,16.36,14.05,17,0.63,,11.4,,-1.57,0.018,77,-1.53,0.56,0.66,-4.39,1,1,3418.0,157.0,0.444,0.026,0.02468,0.00684,0.29557522123893804,0.033371469090881234
163,164,1-7-105,07 58 50.90,-61 11 44.30,0.762,18.22,15.78,13.45,26,0.02,,16.6,,-1.34,0.005,59,-1.89,0.5,0.58,-4.43,1,1,3399.0,157.0,0.55,0.06,0.03705,0.01576,0.28716814159292037,0.033371469090881234
164,165,1-7-1184,07 59 24.05,-61 11 28.00,0.581,20.51,17.49,14.6,9,0.68,,28.7,,-1.96,0.045,120,-2.31,0.1,0.32,-5.18,1,1,3265.0,163.0,0.409,0.055,0.01771,0.00768,0.22787610619469026,0.033371469090881234
165,166,1-7-1246,07 59 26.54,-61 15 30.51,,20.24,17.38,14.86,10,0.93,,30.4,,-1.94,,117,,0.33,0.38,-4.65,0,1,3292.0,165.0,0.319,0.043,0.01198,0.0049,0.23982300884955754,0.033371469090881234
166,167,1-7-1315,07 59 27.53,-61 09 02.21,,19.88,17.07,14.69,10,0.85,,24.4,,-1.82,,102,,0.24,0.4,-4.79,0,1,3260.0,160.0,0.318,0.038,0.0115,0.00435,0.2256637168141593,0.033371469090881234
167,168,1-7-1678,07 59 40.72,-61 15 54.03,,20.16,17.1,14.45,13,0.93,,37.0,,-1.8,,100,,0.25,0.28,-4.8,0,1,3169.0,164.0,0.329,0.047,0.01082,0.00469,0.18697368421052632,0.033371469090881234
168,169,1-7-1773,07 59 41.78,-61 11 18.09,,16.18,14.49,12.56,53,8.96,<,8.0,*,-0.91,,36,,0.12,0.13,-5.01,0,1,3832.0,157.0,0.585,0.021,0.06894,0.01564,0.5482517482517483,0.033371469090881234
169,170,1-7-1862,07 59 45.39,-61 11 06.40,1.415,18.79,16.27,13.88,13,0.93,,10.2,,-1.53,0.01,73,-1.72,0.56,0.64,-4.39,1,1,3440.0,157.0,0.558,0.03,0.04012,0.01178,0.30674157303370786,0.033371469090881234
170,171,1-7-1959,07 59 48.65,-61 11 50.35,,20.47,17.38,14.84,9,2.46,,23.9,,-1.9,,113,,0.24,0.26,-4.81,0,1,,,,,,,,0.033371469090881234
171,172,1-7-1986,07 59 49.49,-61 10 26.79,,20.11,17.24,14.78,9,1.76,,8.9,,-1.88,,110,,0.31,0.31,-4.68,0,1,3286.0,160.0,0.356,0.046,0.0143,0.00576,0.23716814159292035,0.033371469090881234
172,173,1-7-2049,07 59 51.44,-61 08 01.60,2.805,18.13,15.74,13.52,25,0.19,,16.3,,-1.33,0.01,58,-1.32,0.49,0.52,-4.44,1,1,3482.0,157.0,0.508,0.067,0.03452,0.01561,0.3303370786516854,0.033371469090881234
173,174,1-7-2545,08 00 09.34,-61 13 28.40,1.749,18.24,15.87,13.53,26,1.35,,9.1,,-1.38,0.011,62,-1.55,0.5,0.57,-4.43,1,1,3461.0,157.0,0.509,0.028,0.03372,0.00945,0.3185393258426966,0.033371469090881234
174,175,1-7-2921,08 00 22.05,-61 13 58.20,0.749,19.82,17.03,14.58,11,0.94,,26.4,,-1.81,0.01,101,-2.13,0.32,0.29,-4.65,1,1,3311.0,161.0,0.415,0.04,0.01918,0.00685,0.2482300884955752,0.033371469090881234
175,176,1-7-2945,08 00 22.90,-61 14 25.01,,20.35,17.44,14.93,8,0.45,,9.3,,-1.95,,119,,0.26,0.36,-4.75,0,1,3302.0,163.0,0.287,0.042,0.01021,0.00427,0.24424778761061947,0.033371469090881234
176,177,1-7-3076,08 00 27.20,-61 09 30.10,0.545,20.33,17.52,15.09,5,3.0,,24.7,,-2.0,0.022,126,-2.36,0.1,0.29,-5.16,1,1,3237.0,158.0,0.282,0.043,0.00916,0.00393,0.21548672566371682,0.033371469090881234
177,178,1-7-3212,08 00 32.34,-61 13 14.10,6.795,17.4,15.25,13.12,33,1.02,,10.9,,-1.15,0.006,48,-0.85,0.35,0.46,-4.57,1,1,3684.0,157.0,0.586,0.022,0.05916,0.01407,0.4496815286624204,0.033371469090881234
178,179,1-7-3219,08 00 33.01,-61 15 10.70,0.863,19.82,17.01,14.51,13,0.9,,19.1,,-1.8,0.011,100,-2.06,0.43,0.35,-4.53,1,1,3331.0,161.0,0.327,0.032,0.01313,0.00438,0.2570796460176991,0.033371469090881234
179,180,1-7-3292,08 00 35.55,-61 11 38.69,,20.8,17.85,15.05,5,2.13,,16.8,,-2.12,,144,,0.06,0.03,-5.43,0,1,,,,,,,,0.033371469090881234
180,181,1-7-3688,08 00 47.13,-61 11 49.60,0.308,20.26,17.29,14.93,7,0.7,,29.1,,-1.88,0.021,110,-2.55,0.45,0.26,-4.53,1,1,3380.0,181.0,0.276,0.036,0.01053,0.00429,0.27876106194690264,0.033371469090881234
181,182,1-7-3741,08 00 49.32,-61 12 15.70,0.916,17.92,15.59,13.28,24,1.42,,29.7,,-1.28,0.015,55,-1.78,0.66,0.73,-4.31,1,1,3521.0,157.0,0.565,0.023,0.04533,0.01141,0.35224719101123597,0.033371469090881234
182,183,1-7-3757,08 00 50.02,-61 13 54.45,,16.44,14.34,12.38,48,31.66,<,8.0,*,-0.79,,31,,0.07,0.03,-5.25,0,2,,,,,,,,0.033371469090881234
183,184,1-7-3787,08 00 50.94,-61 11 46.67,,17.0,14.88,12.86,30,22.28,<,8.0,*,-1.01,,40,,0.05,0.06,-5.4,0,1,3706.0,157.0,0.607,0.022,0.06598,0.01564,0.4636942675159236,0.033371469090881234
184,185,1-7-3887,08 00 53.19,-61 07 18.50,4.584,19.31,16.68,14.35,7,0.07,,10.9,,-1.69,0.013,88,-1.28,0.06,0.18,-5.35,1,1,3361.0,158.0,0.408,0.033,0.01976,0.00627,0.2703539823008849,0.033371469090881234
185,186,1-7-4606,08 01 18.72,-61 13 35.64,,19.16,16.54,14.3,10,0.59,,17.9,,-1.64,,83,,0.42,0.37,-4.52,0,1,3395.0,158.0,0.387,0.029,0.01879,0.00565,0.2853982300884956,0.033371469090881234
186,187,1-7-533,07 59 02.95,-61 08 32.82,,19.99,17.26,12.96,9,0.55,,26.5,,-1.91,,113,,0.46,0.29,-4.49,0,1,,,,,,,,0.033371469090881234
187,188,1-7-698,07 59 08.19,-61 12 30.95,,20.9,17.93,15.34,6,2.01,,21.1,,-2.14,,148,,1.73,1.92,-3.94,0,1,3281.0,135.0,,,,,0.23495575221238937,0.033371469090881234
188,189,1-7-907,07 59 15.05,-61 11 26.53,,20.14,17.16,14.67,12,5.59,<,8.0,*,-1.83,,104,,0.05,0.11,-5.46,0,1,3397.0,173.0,0.194,0.025,0.00604,0.00209,0.28628318584070794,0.033371469090881234
189,190,1-8-1118,07 59 24.44,-61 00 18.17,,15.71,14.2,12.2,53,2.67,<,8.0,*,-0.78,,31,,0.11,0.15,-5.06,0,1,3580.0,157.0,0.555,0.021,0.04665,0.0111,0.3853932584269663,0.033371469090881234
190,191,1-8-1232,07 59 28.77,-61 05 23.90,1.184,20.28,17.39,15.21,9,0.39,,20.3,,-1.94,0.028,117,-1.99,0.25,0.27,-4.77,1,1,3347.0,162.0,0.239,0.039,0.00806,0.00348,0.26415929203539823,0.033371469090881234
191,192,1-8-1419,07 59 33.96,-60 59 07.50,1.465,19.02,16.48,14.09,17,0.05,,17.2,,-1.62,0.015,81,-1.74,0.32,0.4,-4.64,2,1,3425.0,158.0,0.438,0.03,0.02421,0.00717,0.2986725663716814,0.033371469090881234
192,193,1-8-1620,07 59 40.66,-60 59 34.50,,20.48,17.53,14.91,7,4.3,,41.7,,-1.98,,123,,0.34,0.27,-4.64,0,1,3385.0,168.0,0.368,0.089,0.01701,0.0105,0.2809734513274336,0.033371469090881234
193,194,1-8-1621,07 59 40.92,-61 01 26.57,,18.42,15.86,13.73,21,20.71,<,8.0,*,-1.37,,61,,0.02,-0.04,-5.91,0,1,3397.0,157.0,0.41,0.024,0.02077,0.00551,0.28628318584070794,0.033371469090881234
194,195,1-8-1630,07 59 41.26,-61 02 06.19,,20.28,17.37,14.98,9,36.86,<,8.0,*,-1.93,,116,,0.09,-0.06,-5.22,0,1,3193.0,161.0,0.199,0.03,0.00493,0.00196,0.19644736842105265,0.033371469090881234
195,196,1-8-175,07 58 52.73,-61 02 02.10,4.073,18.49,16.06,13.77,23,1.45,,10.1,,-1.46,0.016,67,-1.22,0.56,0.6,-4.38,1,1,3498.0,157.0,0.509,0.026,0.03524,0.00948,0.33932584269662924,0.033371469090881234
196,197,1-8-1946,07 59 52.47,-61 02 00.90,8.198,16.93,15.1,13.15,27,0.52,<,8.0,,-1.14,0.013,47,-0.76,0.32,0.37,-4.58,1,1,3842.0,157.0,0.588,0.022,0.07078,0.01651,0.5552447552447553,0.033371469090881234
197,198,1-8-1964,07 59 54.16,-61 06 17.70,0.482,20.39,17.42,14.89,8,0.14,,30.3,,-1.94,0.017,117,-2.39,0.26,0.37,-4.76,1,1,3282.0,161.0,0.331,0.05,0.01257,0.00552,0.23539823008849559,0.033371469090881234
198,199,1-8-1974,07 59 53.64,-61 00 41.70,0.63,19.49,16.81,14.49,10,0.92,,31.9,,-1.74,0.015,93,-2.17,0.36,0.32,-4.59,1,1,3348.0,158.0,0.389,0.036,0.01794,0.00601,0.2646017699115044,0.033371469090881234
199,200,1-8-2018,07 59 55.83,-61 02 49.90,6.488,17.4,15.39,13.49,24,0.45,<,8.0,,-1.22,0.006,51,-0.9,0.23,0.31,-4.76,1,1,3749.0,157.0,0.523,0.023,0.04919,0.01185,0.4910828025477707,0.033371469090881234
200,201,1-8-2316,08 00 07.45,-60 59 51.12,,20.34,17.55,15.13,6,18.09,<,8.0,*,-2.01,,128,,-0.01,-0.16,,0,1,3309.0,160.0,0.291,0.057,0.01053,0.0053,0.24734513274336284,0.033371469090881234
201,202,1-8-2812,08 00 24.25,-61 00 15.74,,17.01,15.01,13.02,20,24.32,<,8.0,*,-1.06,,43,,0.06,0.06,-5.33,0,1,3712.0,157.0,0.57,0.022,0.05717,0.01355,0.467515923566879,0.033371469090881234
202,203,1-8-310,07 58 57.72,-61 06 21.85,,16.71,14.82,13.48,36,349.24,<,8.0,*,-1.01,,40,,0.01,-0.04,-6.15,0,1,5248.0,122.0,,,,,1.0,0.033371469090881234
203,204,1-8-3126,08 00 37.02,-61 03 07.77,,17.02,14.87,12.79,19,0.31,,13.1,,-1.0,,40,,0.57,0.57,-4.37,0,1,3804.0,184.0,,,,,0.5286713286713287,0.033371469090881234
204,205,1-8-3156,08 00 38.67,-61 06 24.51,,18.87,16.29,14.1,11,0.46,,9.9,,-1.54,,74,,0.47,0.49,-4.47,0,1,3416.0,157.0,0.448,0.03,0.02503,0.00734,0.29469026548672567,0.033371469090881234
205,206,1-8-355,07 58 58.97,-61 06 10.26,,16.66,14.79,13.76,33,23.51,<,8.0,*,-1.0,,40,,-0.05,-0.05,,0,1,5586.0,122.0,0.99,,3.47468,,1.1,0.033371469090881234
206,207,1-8-3644,08 00 44.50,-60 58 16.19,,15.8,14.05,12.35,41,0.05,<,8.0,,-0.74,,29,,0.48,0.58,-4.4,0,1,,,,,,,,0.033371469090881234
207,208,1-8-3730,08 00 59.16,-61 06 24.30,0.36,17.82,15.43,13.38,19,3.6,,62.0,,-1.21,0.014,51,-2.15,0.47,0.55,-4.46,1,1,3525.0,157.0,0.546,0.024,0.04213,0.01094,0.3544943820224719,0.033371469090881234
208,209,1-8-39,07 58 48.77,-60 58 50.50,,19.08,16.52,14.38,15,1.43,<,8.0,,-1.63,,83,,0.05,-0.02,-5.42,0,1,3368.0,158.0,0.225,0.023,0.00747,0.00221,0.2734513274336283,0.033371469090881234
209,210,1-8-421,07 59 00.77,-61 01 13.29,,20.52,17.64,15.36,7,1.41,,32.1,,-2.04,,131,,0.18,0.31,-4.91,0,1,3435.0,164.0,0.21,0.038,0.00723,0.00328,0.3039325842696629,0.033371469090881234
210,211,1-8-441,07 59 01.32,-61 02 09.70,,19.13,16.56,14.44,17,5.69,<,8.0,*,-1.65,,84,,0.05,-0.04,-5.43,0,1,3348.0,157.0,0.332,0.028,0.01369,0.00417,0.2646017699115044,0.033371469090881234
211,212,1-8-475,07 59 03.06,-61 06 24.40,5.065,17.89,15.69,13.51,24,0.17,<,8.0,,-1.33,0.011,58,-1.06,0.48,0.51,-4.44,1,1,3597.0,157.0,0.535,0.024,0.04373,0.0111,0.39494382022471913,0.033371469090881234
212,213,1-8-555,07 59 05.79,-61 01 51.97,,20.82,17.92,15.29,6,33.2,<,8.0,*,-2.15,,149,,0.25,-0.02,-4.78,0,1,,,,,,,,0.033371469090881234
213,214,1-8-587,07 59 07.15,-61 05 03.90,0.505,17.67,15.51,13.5,29,2.13,,26.5,*,-1.26,0.015,54,-2.03,0.41,0.66,-4.51,1,1,3612.0,157.0,0.529,0.022,0.04344,0.0107,0.40382165605095544,0.033371469090881234
214,215,1-8-617,07 59 07.49,-61 00 30.20,,17.85,15.69,13.24,23,4.95,<,8.0,*,-1.33,,58,,0.15,0.13,-4.95,0,1,3814.0,125.0,,,,,0.5356643356643357,0.033371469090881234
