,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS,Mass_calc,Mass_e
30,31,1-2-271,07 56 24.97,-61 21 39.24,,10.309990748440745,15.96,13.7,18,0.64,,11.3,,-1.43,,65,,0.49,0.61,-4.44,0.5,0,1,0.998258,0.43081496843868655,0.054546516370542725
31,32,1-2-2802,07 57 54.11,-61 18 09.73,,11.909990748440746,17.01,14.65,7,0.41,<,8.0,,-1.79,,99,,0.33,0.42,-4.65,0.34,0,1,0.999488,0.25526087669049286,0.054546516370542725
32,33,1-2-2824,07 57 56.96,-61 18 43.90,2.076,11.109990748440746,16.53,14.15,13,0.69,,15.3,,-1.64,0.01,83,-1.6,0.46,0.41,-4.47,0.42,1,1,0.999245,0.34016973792404215,0.054546516370542725
33,34,1-2-2994,07 58 02.87,-61 24 36.14,,9.149990748440745,15.12,13.12,31,5.74,<,8.0,*,-1.11,,45,,0.07,0.11,-5.25,0.62,0,1,0.999245,0.5459991377513449,0.054546516370542725
34,35,1-2-31,07 56 16.53,-61 17 12.77,,12.459990748440747,17.4,14.93,12,1.09,,13.6,,-1.93,,116,,0.32,0.28,-4.67,0.28,0,1,0.99989,0.20296193373658872,0.054546516370542725
35,36,1-2-3412,07 58 15.90,-61 18 29.08,,10.159990748440746,15.87,13.82,18,10.33,<,8.0,*,-1.4,,63,,-0.02,0.02,,0.51,0,1,0.999146,0.44571380414156136,0.054546516370542725
36,37,1-2-3472,07 58 18.25,-61 21 09.00,4.432,9.519990748440746,15.37,13.42,23,0.98,<,8.0,,-1.21,0.021,50,-1.06,0.46,0.57,-4.46,0.58,1,1,0.998258,0.5105102404693375,0.054546516370542725
37,38,1-2-3503,07 58 19.17,-61 23 52.24,,8.289990748440745,14.67,12.77,36,0.13,<,8.0,,-0.97,,38,,0.43,0.5,-4.46,0.68,0,1,0.999245,0.6291913380885246,0.054546516370542725
38,39,1-2-3572,07 58 21.56,-61 17 15.91,,11.299990748440747,16.65,14.43,10,42.37,<,8.0,*,-1.68,,87,,0.11,0.11,-5.11,0.4,0,1,0.999245,0.3173142239737823,0.054546516370542725
39,40,1-2-369,07 56 28.62,-61 17 11.80,0.275,9.139990748440747,15.0,12.86,40,18.12,,105.1,*,-1.06,0.023,42,-2.19,0.88,1.38,-4.17,0.63,1,1,0.992964,0.5471959256690996,0.054546516370542725
40,41,1-2-4076,07 58 40.52,-61 16 46.90,,10.349990748440748,15.65,13.48,23,60.75,,13.7,*,-1.28,,55,,0.1,0.01,-5.16,0.54,0,1,0.998613,0.4266215607106022,0.054546516370542725
41,42,1-2-4256,07 58 47.02,-61 23 46.60,0.808,12.539990748440745,17.57,14.93,6,2.5,,30.9,,-2.0,0.017,127,-2.2,0.18,0.38,-4.92,0.26,1,1,0.999989,0.1967848731565174,0.054546516370542725
42,43,1-2-463,07 56 32.23,-61 21 46.47,,9.939990748440747,15.57,13.37,26,3.75,,9.7,*,-1.27,,54,,0.19,0.21,-4.85,0.55,0,1,0.998613,0.4680244248434095,0.054546516370542725
43,44,1-2-619,07 56 38.03,-61 23 59.93,,11.519990748440746,16.73,14.31,13,0.15,,19.5,,-1.7,,89,,0.37,0.39,-4.58,0.39,0,1,0.999442,0.2924865947781526,0.054546516370542725
44,45,1-2-752,07 56 42.49,-61 17 48.59,,9.879990748440745,15.39,13.2,27,31.35,<,8.0,*,-1.19,,50,,0.03,0.0,-5.64,0.58,0,1,0.997667,0.4740919120827457,0.054546516370542725
45,46,1-2-816,07 56 45.30,-61 24 21.22,,11.039990748440745,16.31,13.99,15,9.88,<,8.0,*,-1.54,,74,,0.07,0.04,-5.31,0.45,0,1,0.999019,0.34830536854895,0.054546516370542725
46,47,1-2-836,07 56 46.03,-61 17 09.30,1.271,11.739990748440748,16.99,14.45,16,0.34,,19.2,,-1.81,0.027,101,-1.9,0.37,0.4,-4.57,0.35,1,1,0.999591,0.27148887841265146,0.054546516370542725
47,48,1-3-118,07 56 19.66,-61 12 05.80,0.639,12.579990748440748,17.61,15.12,10,1.47,,33.3,,-2.02,0.038,129,-2.3,0.44,0.45,-4.53,0.25,1,1,0.999951,0.19393548774001276,0.054546516370542725
48,49,1-3-1198,07 56 54.17,-61 16 04.97,,12.089990748440746,17.29,14.93,12,16.11,,10.6,*,-1.92,,115,,0.02,-0.03,-5.96,0.3,0,1,0.999862,0.23811629086538358,0.054546516370542725
49,50,1-3-1523,07 57 04.55,-61 09 14.10,,12.429990748440746,17.52,15.34,9,12.05,<,8.0,*,-1.99,,125,,-0.01,-0.09,,0.27,0,1,0.999958,0.20567191430818685,0.054546516370542725
50,51,1-3-1638,07 57 03.73,-61 09 44.37,,11.729990748440747,17.04,14.65,16,29.98,<,8.0,*,-1.84,,104,,0.04,-0.01,-5.59,0.34,0,1,0.999874,0.2726973955336162,0.054546516370542725
51,52,1-3-1683,07 57 09.42,-61 14 23.80,0.77,13.199990748440745,18.04,15.04,7,2.22,,17.6,,-2.17,0.019,153,-2.3,0.12,0.33,-5.13,0.2,1,1,0.999976,0.15621174086141734,0.054546516370542725
52,53,1-3-1740,07 57 10.65,-61 11 16.00,,8.639990748440747,14.82,12.96,39,0.78,<,8.0,,-1.04,,42,,0.31,0.38,-4.58,0.66,0,1,0.999617,0.5954975172935018,0.054546516370542725
53,54,1-3-1747,07 57 11.17,-61 13 06.36,,12.019990748440746,17.03,14.6,13,21.21,<,8.0,*,-1.79,,99,,0.16,0.07,-4.98,0.34,0,1,0.999527,0.24491303335153583,0.054546516370542725
54,55,1-3-1888,07 57 09.67,-61 08 53.16,,8.159990748440746,14.57,12.61,57,0.0,<,8.0,,-0.93,,37,,0.24,0.33,-4.71,0.69,0,1,0.998258,0.6420623645190251,0.054546516370542725
55,56,1-3-1904,07 57 15.88,-61 15 44.80,,13.829990748440748,18.38,15.43,5,0.67,,36.1,,-2.26,,170,,0.17,0.15,-5.01,0.17,0,1,0.999993,0.12916908972856334,0.054546516370542725
56,57,1-3-1918,07 57 16.40,-61 07 46.42,,8.599990748440748,14.85,12.95,41,0.62,<,8.0,,-1.05,,42,,0.27,0.36,-4.65,0.65,0,1,0.99885,0.5989342646289735,0.054546516370542725
57,58,1-3-1944,07 57 17.63,-61 15 31.00,,13.099990748440748,17.85,15.07,8,2.21,,55.6,,-2.08,,138,,0.3,0.36,-4.73,0.23,0,1,0.999992,0.16152794982701643,0.054546516370542725
58,59,1-3-2082,07 57 22.07,-61 09 18.17,,9.029990748440747,14.67,12.6,44,4.65,<,8.0,*,-0.91,,36,,0.02,-0.02,-5.74,0.68,0,1,0.997667,0.5573851528425369,0.054546516370542725
59,60,1-3-2128,07 57 23.80,-61 08 51.10,0.634,12.589990748440746,17.55,15.04,10,1.75,,19.9,,-1.99,0.023,124,-2.29,0.27,0.36,-4.75,0.26,1,1,0.999978,0.19335734618585815,0.054546516370542725
60,61,1-3-2179,07 57 25.28,-61 15 31.11,,11.859990748440746,16.81,14.64,13,47.24,<,8.0,*,-1.69,,88,,0.01,0.01,-6.03,0.37,0,1,0.999884,0.2600017849594575,0.054546516370542725
61,62,1-3-2213,07 57 26.10,-61 11 55.72,,12.979990748440747,17.94,15.1,6,1.13,<,8.0,,-2.15,,149,,0.31,0.31,-4.68,0.22,0,1,0.999985,0.16791463337828727,0.054546516370542725
62,63,1-3-2266,07 57 27.39,-61 13 30.95,,11.899990748440745,17.07,14.59,10,43.73,,10.6,*,-1.83,,103,,-0.04,0.0,,0.33,0,1,0.999781,0.2564415784200618,0.054546516370542725
63,64,1-3-232,07 56 22.81,-61 12 36.00,1.192,10.889990748440747,16.29,14.04,24,0.34,,9.2,,-1.54,0.007,74,-1.79,0.47,0.51,-4.46,0.45,1,1,0.998258,0.36658590069076963,0.054546516370542725
64,65,1-3-2379,07 57 32.93,-61 07 25.10,0.681,12.129990748440745,17.13,14.72,11,1.86,,26.6,,-1.83,0.022,103,-2.18,0.37,0.32,-4.61,0.32,1,1,0.99989,0.23443343475612968,0.054546516370542725
65,66,1-3-2588,07 57 33.66,-61 15 18.40,0.393,9.349990748440748,15.04,12.89,31,1.9,,55.9,,-1.06,0.014,43,-2.04,0.65,0.7,-4.31,0.63,1,1,0.996487,0.5267057083872942,0.054546516370542725
66,67,1-3-2668,07 57 42.51,-61 09 44.70,0.539,12.549990748440747,17.53,14.8,8,0.22,,31.5,,-1.98,0.025,123,-2.36,0.31,0.41,-4.68,0.26,1,1,0.999958,0.19592730094543565,0.054546516370542725
67,68,1-3-2945,07 57 52.94,-61 15 35.99,,12.179990748440746,17.28,14.96,7,0.27,<,8.0,,-1.9,,112,,0.18,0.35,-4.92,0.3,0,1,0.999911,0.22966165063543353,0.054546516370542725
68,69,1-3-3005,07 57 55.36,-61 15 12.30,0.297,12.039990748440745,17.15,14.7,7,6.48,,53.0,,-1.85,0.012,106,-2.55,0.39,0.41,-4.57,0.32,1,1,0.999899,0.24302315061598978,0.054546516370542725
69,70,1-3-4292,07 58 39.61,-61 13 24.45,,13.069990748440746,17.92,15.58,5,2.63,,29.0,,-2.12,,145,,-0.19,0.12,,0.22,0,1,0.999979,0.16318872505854154,0.054546516370542725
70,71,1-3-4335,07 58 40.90,-61 14 54.40,,11.639990748440747,16.92,14.58,9,7.8,<,8.0,*,-1.78,,98,,0.01,0.43,-6.08,0.36,0,1,0.99982,0.28128045706127736,0.054546516370542725
71,72,1-3-4380,07 58 41.83,-61 12 02.07,,9.549990748440747,15.13,13.01,37,18.6,<,8.0,*,-1.09,,44,,0.26,0.29,-4.72,0.61,0,1,0.996487,0.5070859233615863,0.054546516370542725
72,73,1-3-4503,07 58 46.35,-61 14 31.95,,11.729990748440747,17.01,14.85,11,21.05,<,8.0,*,-1.82,,102,,-0.04,0.04,,0.34,0,1,0.999527,0.2726973955336162,0.054546516370542725
73,74,1-3-461,07 56 27.54,-61 09 05.00,0.42,12.719990748440745,17.71,15.22,9,0.53,,46.3,,-2.06,0.049,134,-2.5,0.33,0.25,-4.65,0.24,1,1,0.999983,0.18466868401305794,0.054546516370542725
74,75,1-3-470,07 56 27.73,-61 09 16.57,,10.539990748440745,15.94,13.8,29,25.3,<,8.0,*,-1.4,,63,,0.04,0.0,-5.52,0.5,0,1,0.992964,0.40733520405782725,0.054546516370542725
75,76,1-3-664,07 56 35.06,-61 10 08.60,2.561,9.819990748440746,15.57,13.41,32,0.02,,9.3,,-1.28,0.024,55,-1.33,0.48,0.55,-4.44,0.55,1,1,0.998258,0.4802053705192626,0.054546516370542725
76,77,1-3-699,07 56 36.59,-61 13 17.60,1.59,11.319990748440746,16.62,14.33,20,0.57,,14.8,,-1.67,0.01,86,-1.73,0.46,0.48,-4.48,0.4,1,1,0.999324,0.31490239728277303,0.054546516370542725
77,78,1-3-927,07 56 45.57,-61 14 31.30,1.36,10.889990748440747,16.33,14.17,22,0.92,<,8.0,,-1.56,0.008,76,-1.75,0.39,0.45,-4.54,0.45,1,1,0.999146,0.36658590069076963,0.054546516370542725
78,79,1-4-1142,07 56 54.83,-61 05 26.21,,9.119990748440747,15.11,13.16,38,34.23,<,8.0,*,-1.11,,45,,0.07,0.08,-5.27,0.62,0,1,0.999245,0.5488167945106303,0.054546516370542725
79,80,1-4-1225,07 56 58.33,-61 02 08.10,0.741,12.689990748440747,17.68,15.0,8,1.26,<,8.0,,-2.04,0.021,132,-2.25,0.25,0.09,-4.77,0.25,1,1,0.999949,0.18663947171445625,0.054546516370542725
80,81,1-4-1313,07 57 01.29,-61 01 10.10,3.532,10.889990748440747,16.31,13.97,18,0.62,<,8.0,,-1.55,0.009,75,-1.33,0.36,0.41,-4.58,0.45,1,1,0.999389,0.36658590069076963,0.054546516370542725
81,82,1-4-1401,07 57 02.76,-61 05 20.20,0.352,11.709990748440747,16.78,14.38,16,0.61,,51.7,,-1.7,0.024,89,-2.4,0.41,0.48,-4.56,0.38,1,1,0.999813,0.27433164651523867,0.054546516370542725
82,83,1-4-155,07 56 23.06,-61 00 01.20,,12.309990748440745,17.38,14.88,8,8.95,<,8.0,*,-1.94,,117,,0.05,-0.04,-5.46,0.29,0,1,0.999958,0.21709897444925497,0.054546516370542725
83,84,1-4-1609,07 57 10.37,-61 01 13.50,0.742,10.789990748440745,16.19,13.83,22,1.39,,26.8,,-1.5,0.015,71,-1.98,0.45,0.5,-4.48,0.47,1,1,0.997667,0.37829809954542487,0.054546516370542725
84,85,1-4-1930,07 57 21.55,-61 03 56.50,6.065,11.189990748440747,16.55,14.26,18,0.96,<,8.0,,-1.64,0.015,84,-1.14,0.83,0.79,-4.22,0.41,1,1,0.999324,0.33019570806388726,0.054546516370542725
85,86,1-4-2288,07 57 37.23,-61 04 22.86,,9.319990748440746,14.82,12.75,35,1.39,<,8.0,,-0.96,,38,,0.04,0.01,-5.57,0.66,0,1,0.996487,0.5294443798360379,0.054546516370542725
86,87,1-4-2755,07 57 54.32,-61 05 29.60,2.741,11.719990748440745,16.95,14.51,9,0.28,,8.4,,-1.79,0.014,99,-1.56,0.3,0.29,-4.67,0.35,1,1,0.999712,0.2735312080466967,0.054546516370542725
87,88,1-4-2793,07 57 55.65,-61 04 17.20,0.595,11.879990748440745,17.03,14.63,5,2.08,,32.1,,-1.81,0.009,101,-2.23,0.26,0.35,-4.75,0.34,1,1,0.999896,0.2583705235556262,0.054546516370542725
88,89,1-4-2846,07 57 57.76,-61 02 03.80,0.918,11.359990748440746,16.65,14.32,16,0.02,,31.1,,-1.68,0.012,87,-1.98,0.45,0.36,-4.48,0.4,1,1,0.999488,0.31008728281845604,0.054546516370542725
89,90,1-4-3146,07 58 06.99,-60 58 32.21,,11.669990748440748,16.85,14.34,15,2.88,,41.9,,-1.74,,94,,0.34,0.38,-4.63,0.37,0,1,0.999838,0.278411818612557,0.054546516370542725
90,91,1-4-3259,07 58 10.51,-61 04 10.97,,12.799990748440747,17.76,14.99,6,0.86,,26.4,,-2.08,,137,,0.2,0.1,-4.87,0.24,0,1,0.999978,0.1794698696685195,0.054546516370542725
91,92,1-4-3317,07 58 12.62,-61 04 29.70,0.599,11.719990748440745,16.87,14.67,13,0.27,,43.7,,-1.75,0.025,94,-2.2,0.3,0.37,-4.68,0.37,1,1,0.999826,0.2735312080466967,0.054546516370542725
92,93,1-4-3373,07 58 11.90,-61 01 41.90,0.148,11.189990748440747,16.33,13.82,18,16.09,,125.9,,-1.53,0.013,73,-2.69,0.55,0.47,-4.42,0.45,1,1,0.996487,0.33019570806388726,0.054546516370542725
93,94,1-4-3379,07 58 14.39,-61 00 00.90,6.422,10.029990748440747,15.69,13.48,28,10.4,,10.1,*,-1.32,0.011,58,-0.95,0.47,0.46,-4.45,0.54,1,1,0.998613,0.4587608584332756,0.054546516370542725
94,95,1-4-3439,07 58 16.00,-61 05 53.40,0.704,11.729990748440747,16.72,14.34,13,1.09,,31.2,,-1.66,0.017,85,-2.08,0.28,0.2,-4.72,0.39,1,1,0.999762,0.2726973955336162,0.054546516370542725
95,96,1-4-3464,07 58 16.53,-60 58 24.37,,10.939990748440747,16.26,14.0,23,17.44,,19.7,*,-1.52,,73,,0.21,0.28,-4.82,0.46,0,1,0.997667,0.36026429781868635,0.054546516370542725
96,97,1-4-3531,07 58 18.77,-61 03 07.75,,12.509990748440748,17.53,15.03,8,1.74,,22.4,,-1.99,,124,,0.16,0.21,-4.98,0.26,0,1,0.999948,0.19878211830722767,0.054546516370542725
97,98,1-4-355,07 56 28.90,-61 02 01.10,2.392,9.869990748440747,15.46,13.22,31,0.89,,9.0,,-1.23,0.014,52,-1.33,0.42,0.48,-4.51,0.57,1,1,0.999019,0.4752625700298379,0.054546516370542725
98,99,1-4-3693,07 58 24.23,-60 58 53.04,,10.309990748440745,15.89,13.71,25,27.76,<,8.0,*,-1.39,,63,,0.09,0.03,-5.16,0.51,0,1,0.92974,0.43081496843868655,0.054546516370542725
99,100,1-4-3776,07 58 27.23,-61 02 45.40,0.639,12.059990748440745,17.03,14.53,12,2.55,,25.0,,-1.78,0.011,98,-2.19,0.2,0.29,-4.88,0.34,1,1,0.99979,0.24113755314686625,0.054546516370542725
100,101,1-4-3820,07 58 28.72,-61 03 18.26,,9.049990748440747,15.15,13.26,34,10.75,<,8.0,*,-1.16,,48,,0.11,0.13,-5.06,0.61,0,1,0.999862,0.5558188972009895,0.054546516370542725
101,102,1-4-3893,07 58 31.27,-61 04 33.80,1.036,11.089990748440746,16.24,13.74,21,3.17,,34.6,*,-1.49,0.019,70,-1.83,0.41,0.4,-4.54,0.46,1,1,0.999245,0.34222672447851604,0.054546516370542725
102,103,1-4-3936,07 58 32.59,-60 59 45.95,,8.859990748440746,15.02,13.09,38,0.76,<,8.0,,-1.12,,46,,0.52,0.64,-4.36,0.63,0,1,0.999561,0.5736378704396468,0.054546516370542725
103,104,1-4-3974,07 58 34.23,-60 59 50.30,0.362,12.859990748440746,17.73,15.35,8,2.08,,40.1,,-2.05,0.021,134,-2.57,0.24,0.22,-4.81,0.24,1,1,0.999827,0.17540165266470717,0.054546516370542725
104,105,1-4-401,07 56 29.76,-60 59 59.79,,9.289990748440745,15.16,13.0,34,0.05,,23.0,,-1.12,,46,,0.28,0.3,-4.67,0.61,0,1,0.998258,0.532244669612402,0.054546516370542725
105,106,1-4-4038,07 58 36.78,-61 03 54.80,0.269,10.709990748440747,16.06,13.78,23,0.26,,84.7,,-1.45,0.023,66,-2.39,0.57,0.63,-4.38,0.48,1,1,0.997667,0.3879946691454768,0.054546516370542725
106,107,1-4-4069,07 58 38.22,-61 03 31.20,0.446,12.519990748440746,17.55,,9,0.52,,40.5,,-2.0,0.023,126,-2.45,0.41,0.33,-4.56,0.26,1,1,0.999959,0.19792704647142484,0.054546516370542725
107,108,1-4-470,07 56 31.38,-60 59 32.93,,9.299990748440747,14.99,12.81,37,0.52,<,8.0,,-1.04,,42,,0.38,0.38,-4.54,0.63,0,1,0.992964,0.5317768140040451,0.054546516370542725
108,109,1-4-559,07 56 34.98,-60 59 29.01,,10.489990748440748,16.03,13.95,20,9.05,<,8.0,*,-1.45,,67,,0.02,-0.01,-5.83,0.49,0,1,0.998258,0.4125016910532498,0.054546516370542725
109,110,1-4-673,07 56 39.05,-61 03 46.60,,9.389990748440747,15.37,13.34,35,0.89,<,8.0,,-1.21,,51,,0.4,0.47,-4.51,0.58,0,1,0.999527,0.5226872946282197,0.054546516370542725
110,111,1-4-679,07 56 39.13,-61 06 46.61,,10.999990748440746,16.36,14.09,19,1.09,,9.2,,-1.56,,76,,0.37,0.42,-4.57,0.44,0,1,0.999932,0.3534282433804298,0.054546516370542725
111,112,1-4-778,07 56 42.61,-61 05 48.36,,11.309990748440745,16.55,14.32,20,26.23,<,8.0,*,-1.63,,82,,0.13,0.12,-5.02,0.41,0,1,0.99885,0.31587689359952537,0.054546516370542725
112,113,1-4-891,07 56 46.88,-60 59 25.30,1.999,10.949990748440745,16.36,14.13,15,1.1,<,8.0,,-1.57,0.011,77,-1.58,0.41,0.45,-4.52,0.44,1,1,0.999019,0.3591801969299604,0.054546516370542725
113,114,1-4-917,07 56 47.21,-61 01 23.55,,10.759990748440748,16.27,14.07,21,0.64,<,8.0,,-1.54,,74,,0.39,0.48,-4.55,0.45,0,1,0.998613,0.3820290846466362,0.054546516370542725
114,115,1-5-1156,07 59 28.03,-61 26 01.00,0.895,11.549990748440747,16.76,14.35,13,1.73,,23.4,,-1.71,0.009,90,-2.0,0.17,0.07,-4.91,0.38,1,1,0.999726,0.28958586534708125,0.054546516370542725
115,116,1-5-121,07 58 52.91,-61 30 44.40,,10.949990748440745,16.47,14.22,10,24.24,,16.0,*,-1.63,,82,,0.0,-0.06,-6.65,0.42,0,1,0.999324,0.3591801969299604,0.054546516370542725
116,117,1-5-1336,07 59 35.64,-61 26 30.50,,11.469990748440745,16.73,14.36,15,13.85,<,8.0,*,-1.71,,90,,-0.03,-0.08,,0.39,0,1,0.997667,0.2975386015352732,0.054546516370542725
117,118,1-5-176,07 58 54.20,-61 30 33.74,,8.989990748440748,15.16,13.19,24,17.57,<,8.0,*,-1.18,,49,,0.13,0.09,-4.97,0.61,0,1,0.997298,0.56158648506698,0.054546516370542725
118,119,1-5-2025,08 00 02.88,-61 25 58.51,,8.479990748440747,14.42,13.01,59,26.94,<,8.0,*,-0.83,,33,,-0.06,-0.06,,0.71,0,1,0.999989,0.6111261984498341,0.054546516370542725
119,120,1-5-2081,08 00 04.93,-61 25 49.01,,8.649990748440745,14.88,13.94,35,52.84,<,8.0,*,-1.06,,43,,0.01,0.02,-6.04,0.65,0,1,0.999994,0.5943053116094942,0.054546516370542725
