 0.010	0887.	-4.72  4.57  0.110    1.000  16.15  13.99  12.54
 0.015	1110.	-4.51  4.62  0.113    1.000  15.34  13.43  12.16
 0.020	1333.	-4.30  4.66  0.115    1.000  14.53  12.86  11.77
 0.030  1779.   -3.88  4.75  0.120    1.000  12.91  11.73  11.00 
 0.040  2225.   -3.46  4.84  0.125    1.000  11.29  10.60  10.23  
 0.050  2471.   -3.23  4.89  0.133    0.997  10.68  10.09   9.77  
 0.060  2635.   -3.06  4.92  0.141    0.901  10.31   9.73   9.42  
 0.070  2757.   -2.94  4.93  0.149    0.244  10.03   9.46   9.15  
 0.072  2780.   -2.91  4.94  0.151    0.111   9.98   9.40   9.10  
 0.075  2810.   -2.88  4.94  0.154    0.017   9.91   9.33   9.02  
 0.080  2853.   -2.83  4.94  0.158    0.000   9.79   9.22   8.92  
 0.090  2924.   -2.74  4.95  0.167    0.000   9.59   9.02   8.73  
 0.100  2978.   -2.67  4.95  0.175    0.000   9.42   8.85   8.57  
 0.110  3026.   -2.60  4.95  0.183    0.000   9.28   8.70   8.42  
 0.130  3105.   -2.48  4.95  0.199    0.000   9.03   8.44   8.17  
 0.150  3162.   -2.38  4.95  0.215    0.000   8.81   8.22   7.95  
 0.170  3210.   -2.30  4.95  0.229    0.000   8.62   8.02   7.76  
 0.200  3270.   -2.19  4.94  0.251    0.000   8.36   7.76   7.51  
 0.300  3411.   -1.91  4.91  0.318    0.000   7.72   7.11   6.87  
 0.400  3536.   -1.68  4.87  0.384    0.000   7.19   6.57   6.33  
 0.500  3727.   -1.42  4.79  0.471    0.000   6.58   5.94   5.72  
 0.600  4030.   -1.15  4.74  0.546    0.000   6.02   5.34   5.16  
 0.700  4400.   -0.88  4.69  0.626    0.000   5.45   4.80   4.67  
 0.800  4825.   -0.61  4.64  0.708    0.005   4.91   4.38   4.27  
 0.900  5208.   -0.37  4.58  0.801    0.082   4.42   3.99   3.90  
 1.000  5547.   -0.16  4.53  0.904    0.307   4.00   3.64   3.56  
 1.100  5889.    0.05  4.46  1.021    0.574   3.58   3.29   3.22  
 1.200  6172.    0.24  4.39  1.154    0.770   3.21   2.96   2.90  
 1.300  6455.    0.41  4.33  1.286    0.880   2.88   2.67   2.61  
 1.400  6767.    0.56  4.29  1.394    0.938   2.60   2.43   2.37  
