 0.010  1367.	-4.22  4.55  0.111    1.000  13.33  12.24  11.72
 0.015  1537.	-4.06  4.59  0.116    1.000  12.90  11.89  11.40
 0.020  1707.	-3.90  4.62  0.120    1.000  12.46  11.54  11.08
 0.030  2047.   -3.58  4.69  0.129    1.000  11.59  10.84  10.44  
 0.040  2387.   -3.26  4.76  0.138    1.000  10.72  10.14   9.80  
 0.050  2586.   -3.06  4.80  0.148    0.999  10.27   9.70   9.38  
 0.060  2709.   -2.92  4.82  0.158    0.985   9.97   9.39   9.08  
 0.070  2829.   -2.78  4.83  0.169    0.864   9.68   9.11   8.80  
 0.072  2845.   -2.76  4.83  0.171    0.801   9.63   9.06   8.76  
 0.075  2869.   -2.73  4.83  0.174    0.680   9.56   8.99   8.70  
 0.080  2905.   -2.69  4.83  0.179    0.407   9.46   8.89   8.59  
 0.090  2962.   -2.60  4.84  0.190    0.020   9.27   8.69   8.41  
 0.100  3010.   -2.54  4.84  0.198    0.000   9.11   8.54   8.26  
 0.110  3052.   -2.47  4.84  0.208    0.000   8.97   8.39   8.12  
 0.130  3120.   -2.36  4.84  0.227    0.000   8.73   8.14   7.87  
 0.150  3173.   -2.26  4.84  0.245    0.000   8.51   7.92   7.66  
 0.170  3217.   -2.18  4.83  0.261    0.000   8.32   7.73   7.47  
 0.200  3275.   -2.08  4.83  0.285    0.000   8.08   7.48   7.22  
 0.300  3406.   -1.82  4.81  0.355    0.000   7.48   6.87   6.63  
 0.400  3522.   -1.61  4.79  0.421    0.000   7.01   6.38   6.15  
 0.500  3668.   -1.40  4.75  0.496    0.000   6.52   5.87   5.65  
 0.600  4039.   -1.09  4.68  0.583    0.000   5.87   5.18   5.01  
 0.700  4497.   -0.83  4.68  0.636    0.000   5.35   4.72   4.60  
 0.800  4830.   -0.61  4.64  0.705    0.005   4.91   4.38   4.28  
 0.900  5212.   -0.37  4.59  0.799    0.082   4.43   4.00   3.91  
 1.000  5533.   -0.17  4.53  0.901    0.307   4.01   3.65   3.57  
 1.100  5876.    0.05  4.46  1.019    0.574   3.59   3.29   3.23  
 1.200  6164.    0.24  4.39  1.152    0.770   3.22   2.96   2.90  
 1.300  6451.    0.41  4.33  1.283    0.880   2.88   2.67   2.61  
 1.400  6766.    0.56  4.30  1.391    0.938   2.60   2.44   2.38  
