ST,logL,R,Teff,Mass,Bol,BC,B-V,V-R,V-I,Mu,Mv,Mb,Mr,Mi,Mj,Mh,Mk,Ml,flag,check,Mass_calc,Mass_e
M6,0.0851,1.05,2928,0.1,7.43,-3.6,1.87,1.54,3.56,14.53,11.03,12.9,9.49,7.47,4.02,3.34,2.93,2.53,0,1,0.1,0.008023946307856779
M6,0.303,1.83,3075,0.2,6.05,-2.96,1.72,1.35,3.13,12.3,9.01,10.72,7.66,5.88,2.89,2.23,1.87,1.52,0,0,0.20270270270270271,0.008023946307856779
M5,0.679,2.29,3359,0.3,5.17,-2.0,1.55,1.09,2.45,10.08,7.17,8.72,6.08,4.72,2.73,2.12,1.84,1.61,0,0,0.29864864864864865,0.008023946307856779
M2,0.769,2.13,3593,0.4,5.04,-1.46,1.5,0.96,2.03,9.2,6.49,7.99,5.53,4.47,3.18,2.53,2.31,2.15,0,0,0.39910313901345296,0.008023946307856779
M1,0.921,2.12,3767,0.5,4.84,-1.25,1.43,0.9,1.83,8.76,6.09,7.52,5.19,4.25,3.19,2.51,2.33,2.18,0,0,0.5053435114503817,0.008023946307856779
M0,1.14,2.19,3908,0.6,4.6,-1.08,1.36,0.86,1.69,8.31,5.69,7.05,4.83,4.0,3.04,2.37,2.21,2.08,0,0,0.6154545454545455,0.008023946307856779
M0,1.4,2.28,4021,0.7,4.39,-0.96,1.31,0.82,1.58,7.92,5.34,6.65,4.52,3.76,2.83,2.17,2.02,1.9,0,0,0.7196078431372549,0.008023946307856779
K7,1.67,2.38,4125,0.8,4.19,-0.84,1.26,0.79,1.48,7.53,5.04,6.3,4.25,3.55,2.67,2.02,1.89,1.77,0,0,0.8241758241758242,0.008023946307856779
K6,1.97,2.48,4209,0.9,4.01,-0.75,1.22,0.75,1.41,7.17,4.77,5.98,4.01,3.36,2.52,1.89,1.77,1.66,0,0,0.9185185185185185,0.008023946307856779
K6,2.31,2.6,4281,1.0,3.84,-0.68,1.18,0.72,1.35,6.83,4.52,5.7,3.8,3.18,2.35,1.73,1.61,1.51,0,0,1.009090909090909,0.008023946307856779
K6,2.62,2.69,4345,1.1,3.71,-0.62,1.15,0.7,1.29,6.55,4.33,5.47,3.63,3.03,2.21,1.6,1.49,1.39,0,0,1.1064516129032258,0.008023946307856779
K5,2.99,2.8,4401,1.2,3.56,-0.57,1.12,0.68,1.25,6.31,4.14,5.25,3.46,2.88,2.06,1.46,1.35,1.25,0,0,1.1,0.008023946307856779
K5,3.37,2.91,4447,1.3,3.43,-0.54,1.09,0.66,1.22,6.1,3.97,5.06,3.31,2.75,1.92,1.33,1.22,1.12,0,0,1.2,0.008023946307856779
K5,3.71,2.99,4498,1.4,3.33,-0.5,1.07,0.64,1.18,5.92,3.83,4.89,3.19,2.65,1.81,1.22,1.12,1.02,0,0,1.3,0.008023946307856779
K5,4.12,3.09,4537,1.5,3.21,-0.47,1.05,0.62,1.15,5.74,3.68,4.73,3.06,2.53,1.69,1.11,1.01,0.91,0,0,1.3,0.008023946307856779
