recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,TIC,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag_x,e_Vmag,umag,e_umag,gmag_x,e_gmag_x,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag_xa,e_Gmag_xa,Tmag,e_Tmag,f_Tmag,Flag,Teff_x,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V)_x,E_E(B-V)_xa,f_E(B-V),e_Mass_x,E_Mass_xa,e_Rad_x,E_Rad_xa,e_rho_x,E_rho_xa,e_logg_x,E_logg_xa,e_Lum_x,E_Lum_xa,e_Dist_x,E_Dist_xa,r_Dist,e_Teff_x,E_Teff_xa,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID,angDist
379,204448136,16 09 08.81,-22 17 47.0,,12.07,,6.12,0.04,12.07,6.08,0.3899,,,,"USco,silver",no,Simbad,1,0.999996,18.189999,16.434992,,,48965609,242.28681592511,-22.29629921838,242.287,-22.296,90.0,,,,16090884-2217466,,J160908.81-221746.9,6242857530223444608,,,STAR,tmgaia2,tmgaia2,-21.463,0.276,-32.837,0.206,gaia2,10.0331,0.1653,gaia2,19.866,0.163,,,,,,,,,,,,,12.973,0.03,12.334,0.026,12.073,0.021,AAA-222-111-000-0-0,11.874,0.024,11.639,0.022,11.829,0.372,8.806,,16.4582,0.001189,14.934,0.008,cdwrf,cdwrf,2946.0,157.0,4.9248,0.0039,,,0.301,0.01,0.278,0.021,10.1936,0.2447,DWARF,0.00614,0.00173,99.4346,1.6475,0.0,0.0,384,0.2048,,,0.0,0.0,0.0,,,,,,,,,,,,1.6207,1.6744,bj2018,,,cdwrf,18.6258,0.020617,15.0719,0.002728,1,,bpbj,cooldwarfs_v8,4.35694773548,3.18695875087,242.28671604569,-22.29644059822,0.15879596783,0.06610937328,1,0,1037198659,0.482326
380,204328391,16 09 09.38,-22 45 59.2,,10.53,,5.41,0.7,10.44,4.71,5.4266,,,,"USco,gold",no,Simbad,1,0.996487,15.849999,14.479387,3488.1,0.8307,48966279,242.2891407328,-22.76640428541,242.289,-22.767,90.0,,,337-078575,16090940-2245590,,J160909.38-224559.2,6242453768937886080,11478387,,STAR,tmgaia2,tmgaia2,-10.088,0.151,-22.851,0.096,gaia2,6.7425,0.0888,gaia2,17.458,-0.143,16.249,0.297,,,,,,,,,,,11.526,0.028,10.739,0.023,10.53,0.025,AAA-222-111-000-0-0,10.386,0.023,10.218,0.019,10.097,0.085,8.648,,14.5203,0.001308,13.22,0.009,cdwrf,cdwrf,3299.0,157.0,4.5921,0.0129,,,0.672,0.021,0.643,0.021,2.1231,0.1289,DWARF,0.04813,0.01221,147.727,1.953,0.0256,0.0104,377,0.0225,,,0.0,0.0144,0.0064,panstarrs,,,,,,,,,,,1.928,1.978,bj2018,,,cdwrf,16.0559,0.007694,13.2973,0.005327,1,ucac4,apassdr9,cooldwarfs_v8,2.38134119694,1.48817549951,242.28909362753,-22.76650266952,0.0826529583,0.03279967582,1,0,1037198882,0.239178
381,205034152,16 09 13.38,-19 43 28.4,,10.6,,5.59,0.42,10.54,5.17,3.62,,,,"USco,gold",no,Simbad,1,0.996487,16.130001,14.70593,3458.3,0.9608,48962531,242.30578404906,-19.72448516084,242.306,-19.725,90.0,,,352-077230,16091338-1943281,,J160913.37-194328.4,6245672383068041344,,,STAR,tmgaia2,tmgaia2,-8.96,0.143,-23.96,0.117,gaia2,7.1479,0.0789,gaia2,17.971,0.162,16.397,0.08,,,,,,,,,,,11.583,0.024,10.867,0.024,10.595,0.019,AAA-222-111-000-0-0,10.479,0.023,10.312,0.021,10.25,0.073,8.461,,14.728,0.001002,13.392,0.008,cdwrf,cdwrf,3227.0,157.0,4.622,0.0119,,,0.635,0.019,0.616,0.02,2.4055,0.1388,DWARF,0.03938,0.01011,139.369,1.545,0.0335,0.0253,272,0.0199,,,0.0,0.0195,0.0312,panstarrs,,,,,,,,,,,1.528,1.562,bj2018,,,cdwrf,16.388,0.006529,13.4803,0.002763,1,ucac4,bpbj,cooldwarfs_v8,2.25748611229,1.81441066091,242.30574306866,-19.72458832325,0.07296461273,0.04021225176,1,0,1037946703,0.278452
382,202539362,16 09 13.64,-29 18 15.6,9.11,8.07,1.04,1.04,0.03,8.06,1.01,0.5689,,,,"USco,gold",no,Simbad,1,0.999392,9.1,9.08287,6786.7,0.1421,67978974,242.30681525973,-29.30433807538,242.307,-29.304,90.0,79142,6792-01935-1,304-086703,16091364-2918155,,J160913.63-291815.7,6041628932196395904,13017717,,STAR,tmgaia2,tmgaia2,-7.664,0.352,-13.83,0.203,gaia2,3.4466,0.1649,gaia2,9.545,0.047,9.12,0.03,,,,,,,,,,,8.288,0.023,8.08,0.036,8.066,0.024,AAA-111-111-000-0-0,7.967,0.022,7.991,0.019,7.958,0.022,7.836,0.247,9.02257,2.72E-4,8.716,0.006,rered,gaia2,7120.0,177.9,3.6949,0.098,,,2.96,0.184,1.583,0.279,0.061,0.0168,DWARF,20.29,2.755,288.926,14.152,0.1187,0.0237,812,0.0119,,,7.52E-4,0.0292,0.0182,panstarrs,0.211,0.346,0.124,0.243,0.0152,0.0184,0.0926,0.1034,3.08187,2.42814,13.471,14.833,bj2018,168.5,187.3,dered,9.25694,7.05E-4,8.66414,9.43E-4,1,hipvmag,tycho2b3,,5.63638681411,3.14715906353,242.30677741776,-29.30439762294,0.14658715766,0.07292725511,1,0,1037954760,0.059251
383,205056060,16 09 15.80,-19 37 06.4,,11.46,,5.9,0.14,11.44,5.76,1.7251,,,,"USco,gold",no,Simbad,1,0.999974,17.34,15.734283,3370.6,1.0116,48962413,242.31589029057,-19.61840145387,242.316,-19.618,90.0,,,,16091580-1937063,1237674654229659665,J160915.80-193706.4,6245722479566604288,,,STAR,tmgaia2,tmgaia2,-8.154,0.226,-21.121,0.168,gaia2,6.3947,0.1105,gaia2,18.668,0.162,,,21.27,0.145,18.321,0.007,16.77,0.005,14.992,0.004,13.998,0.004,12.383,0.026,11.739,0.023,11.462,0.027,AAA-222-111-000-0-0,11.271,0.022,11.047,0.021,10.903,0.146,8.57,,15.764,8.26E-4,14.314,0.008,cdwrf,cdwrf,3051.0,157.0,4.7167,0.0104,,,0.524,0.017,0.521,0.021,3.6265,0.2053,DWARF,0.02141,0.00584,155.761,2.702,0.0307,0.0304,289,0.2736,,,0.0,0.0184,0.0425,panstarrs,,,,,,,,,,,2.656,2.748,bj2018,,,cdwrf,17.7192,0.017285,14.4316,0.002304,1,,bpbj,cooldwarfs_v8,3.55850900901,2.59841914189,242.31585302002,-19.61849239023,0.09858822042,0.05600593619,1,0,1037946616,0.247501
384,204093677,16 09 16.88,-23 41 32.5,,10.97,,6.25,0.29,10.94,5.96,0.3628,,,,"USco,gold",no,Simbad,1,0.999996,17.189999,15.425806,3416.7,1.0716,48967559,242.32038279599,-23.69232391485,242.32,-23.692,90.0,,,,16091689-2341324,,J160916.88-234132.6,6242151918636039296,,,STAR,tmgaia2,tmgaia2,-11.378,0.211,-23.662,0.145,gaia2,6.8853,0.1218,gaia2,18.959,0.162,,,,,,,,,,,,,11.927,0.024,11.257,0.023,10.974,0.021,AAA-222-111-000-0-0,10.814,0.023,10.58,0.021,10.334,0.084,8.85,,15.459,0.001237,13.971,0.008,cdwrf,cdwrf,3005.0,157.0,4.6678,0.0117,,,0.58,0.019,0.572,0.021,2.9241,0.1723,DWARF,0.02475,0.0068,144.713,2.571,0.0201,0.033,428,0.0388,,,0.0,0.0149,0.0512,panstarrs,,,,,,,,,,,2.526,2.616,bj2018,,,cdwrf,17.4938,0.014851,14.097,0.003801,1,,bpbj,cooldwarfs_v8,3.33961366959,2.25347126866,242.32032929794,-23.69242579464,0.11129187819,0.05864661455,1,0,1037950198,0.210995
385,205558283,16 09 20.41,-16 46 40.3,11.4,8.15,3.25,3.25,0.7,8.06,2.55,,,,,"USco,bronze",no,Simbad,1,0.999997,11.31,10.935565,,,411098932,242.33507847573,-16.7778381055,242.335,-16.778,90.0,,6201-01991-1,367-071814,16092041-1646403,,J160920.41-164640.5,6249689654958044800,8833101,,STAR,tmgaia2,tmgaia2,-3.819,0.116,-31.563,0.079,gaia2,0.4328,0.0481,gaia2,12.769,0.293,11.396,0.042,,,,,,,,,,,8.977,0.024,8.306,0.044,8.151,0.029,AAA-111-111-000-0-0,8.037,0.023,8.106,0.02,8.019,0.022,7.983,0.223,10.9349,7.98E-4,10.16,0.007,rered,gaia2,4675.0,122.0,,,,,26.574,,,,,,GIANT,,,2183.88,240.8,0.2072,0.0044,,,,,,0.0035,0.0053,panstarrs,,,,,,,,,,,215.16,266.44,bj2018,,,dered,11.6675,0.001174,10.1288,0.001112,1,tycho2v3,tycho2b3,,1.81538912744,1.22714083066,242.33506129977,-16.77797400124,0.0463186151,0.03032415142,0,0,1038107053,0.151511
386,205092303,16 09 20.54,-19 26 32.1,,12.08,,6.94,0.7,11.99,6.24,1.7205,,,,"USco,gold",yes,Simbad,1,0.999998,18.93,16.881954,3003.7,1.5879,48962216,242.33565119531,-19.44219749669,242.336,-19.442,90.0,,,,16092054-1926318,,J160920.54-192632.1,6245733612121878400,,,STAR,tmgaia2,tmgaia2,-8.766,0.386,-24.032,0.26,gaia2,7.0442,0.2229,gaia2,19.254,0.162,,,,,,,,,,,,,13.292,0.026,12.589,0.026,12.079,0.024,AAA-222-111-000-0-0,11.527,0.024,10.992,0.022,9.477,0.043,7.343,0.149,16.9053,0.004399,15.324,0.02,cdwrf,cdwrf,2937.0,157.0,4.829,0.0078,,,0.397,0.015,0.389,0.023,6.1885,0.3506,DWARF,0.01059,0.00311,141.65,4.5135,0.0991,0.0484,291,1.8234,,,0.0,0.0741,0.0228,panstarrs,,,,,,,,,,,4.373,4.654,bj2018,,,cdwrf,19.0417,0.047346,15.4633,0.02015,1,,bpbj,cooldwarfs_v8,6.07715571275,4.02396109538,242.33561117261,-19.44230096608,0.17144598228,0.09824872151,1,0,1037946473,0.297988
387,204429883,16 09 20.62,-22 22 05.9,15.9,9.5,6.4,6.4,0.66,9.41,5.74,0.3236,0.3286,1.4699,0.3586,"USco,gold",no,Simbad,1,0.999995,15.809999,14.213929,,,48965702,242.33598847224,-22.36824506837,242.336,-22.368,90.0,,,339-076542,16092063-2222057,,J160920.62-222205.9,6242855743517041408,11478706,,STAR,tmgaia2,tmgaia2,-8.495,2.251,-18.201,2.242,hsoy,,,,17.052,-0.092,16.224,0.286,,,,,,,,,,,10.498,0.028,9.842,0.027,9.499,0.021,AAA-222-111-000-0-0,9.286,0.023,8.998,0.021,8.942,0.033,8.056,,14.201,0.001457,12.885,0.007,gbprp,,,,,,,,,,,,,,GIANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2015,0.017101,12.7129,0.004586,0,ucac4,apassdr9,,35.57525858945,34.75080612418,242.33594892093,-22.36832343422,0.7593469233,0.28892667608,-1,-1,1037948901,0.32336
388,205089268,16 09 20.88,-19 27 25.9,8.04,7.48,0.56,0.56,0.52,7.41,0.04,,,,,"USco,gold",yes,Simbad,1,0.993139,7.97,8.025105,,,48962232,242.33703479619,-19.45721083295,242.337,-19.457,90.0,79156,6209-00834-1,353-078689,16092089-1927259,,J160920.88-192726.1,6245732753128416000,8833117,,STAR,tmgaia2,tmgaia2,-7.79,0.133,-23.428,0.095,gaia2,6.6402,0.0792,gaia2,8.218,0.028,8.06,0.03,,,,,,,,,,,7.587,0.023,7.576,0.044,7.476,0.02,AAA-111-111-000-0-0,7.39,0.035,7.373,0.022,7.135,0.017,6.323,0.068,8.01216,4.07E-4,7.883,0.006,rered,gaia2,8488.0,319.5,4.2605,0.0784,,,1.782,0.057,2.11,0.332,0.3728,0.0731,DWARF,14.85262,2.54188,149.983,1.7945,0.1035,0.0389,300,0.0592,,,0.0,0.0518,0.026,panstarrs,0.261,0.403,0.061,0.053,0.0718,0.0743,0.0784,0.0783,3.6182,1.46557,1.774,1.815,bj2018,433.7,205.2,dered,8.12446,0.001791,7.83839,0.002004,1,hipvmag,tycho2b3,,2.09170016038,1.46996238331,242.33699922269,-19.45731170307,0.06319311409,0.03738920922,1,0,1037946485,0.132028
389,204602441,16 09 21.36,-21 39 34.4,,11.03,,6.56,0.42,10.97,6.14,,,,,"USco,gold",yes,Simbad,1,0.999979,17.53,16.16012,,,1259620226,242.33902875004,-21.65962407811,242.339,-21.66,90.0,,,,,,,6242962945896342528,,,STAR,gaia2,gaia2,-9.931,0.453,-23.965,0.305,gaia2,7.5722,0.2635,gaia2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6825,0.003929,16.253,0.6,goffs,gaia2,,,,,,,,,,,,,,,,131.864,4.626,0.0826,0.0024,,,,48964786,,0.0023,0.0024,schlegel,,,,,,,,,,,4.466,4.786,bj2018,,,,,0.0,,0.0,-1,,,,7.14925110095,4.72452415964,242.33898274394,-21.65972726248,0.23888624741,0.10480780198,-1,-1,1038684565,0.264773
390,203581504,16 09 26.93,-25 39 08.4,,11.7,,6.26,0.7,11.61,5.56,0.5917,0.6765,,,"USco,bronze",no,Simbad,1,0.999998,17.869999,16.184473,,,67988542,242.36231283528,-25.65225880163,242.362,-25.652,90.0,,,,16092695-2539081,,J160926.94-253908.4,6043533629936316800,,,STAR,tmgaia2,tmgaia2,-14.635,2.09,-27.299,2.09,hsoy,,,,19.371,0.162,,,,,,,,,,,,,12.624,0.026,12.057,0.023,11.697,0.029,AAA-222-111-000-0-0,11.48,0.023,11.238,0.021,10.747,0.114,8.625,,16.1535,0.00147,14.606,0.008,cdwrf,cdwrf,2957.0,157.0,4.8866,0.0038,,,0.337,0.013,0.319,0.023,8.3277,0.4059,DWARF,0.00784,0.00231,,,,,553,0.1418,,,0.0,,,,,,,,,,,,,,,,,,,cdwrf,18.2629,0.010016,14.7418,0.002516,0,,bpbj,cooldwarfs_v8,33.22976161745,32.3977260525,242.36224293242,-25.65237633987,0.29799776716,0.12626568089,1,0,1037958349,0.432435
391,205203376,16 09 29.19,-18 52 53.7,,8.38,,4.36,0.38,8.33,3.98,11.3478,12.0726,,,"USco,gold",no,Simbad,1,0.999981,12.690001,12.00127,5613.9,2.0255,48961610,242.37165639546,-18.88158006868,242.372,-18.882,90.0,,,356-077728,16092918-1852536,,J160929.19-185253.9,6248790460606425856,8833339,,STAR,tmgaia2,tmgaia2,-9.03,2.158,-20.875,2.145,hsoy,,,,14.162,0.035,12.745,0.08,,,,,,,,,,,9.461,0.027,8.624,0.04,8.375,0.038,AAA-211-111-000-0-0,8.181,0.022,8.146,0.021,8.077,0.026,7.681,0.157,11.9223,0.001918,11.017,0.006,gbprp,,,,,,,,,,,,,,GIANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8899,0.007649,10.9359,0.006613,0,ucac4,apassdr9,,33.91630191036,33.24489096292,242.37161530525,-18.88166994543,0.73048372863,0.56673303472,1,0,1037946053,0.107586
392,204086791,16 09 29.38,-23 43 12.1,,13.22,,7.9,0.64,13.13,7.26,0.5256,0.4435,,,"USco,silver",no,Simbad,1,0.999999,21.03,18.409388,3150.0,2.2379,48967583,242.37243652477,-23.71998719031,242.372,-23.72,90.0,,,,16092938-2343121,,J160929.36-234312.1,6242148723175187968,,,STAR,tmgaia2,tmgaia2,-11.18,0.65,-23.961,0.44,gaia2,6.5132,0.3601,gaia2,20.153,0.163,,,,,,,,,,,,,14.203,0.029,13.576,0.036,13.215,0.03,AAA-222-111-000-0-0,12.959,0.025,12.67,0.026,12.431,,8.949,,18.4444,0.003174,16.76,0.024,cdwrf,cdwrf,2899.0,172.0,4.9495,0.0061,,,0.279,0.016,0.253,0.025,11.6269,0.8249,DWARF,0.00496,0.00176,153.75,8.7685,0.0828,0.0604,,,,,,0.0675,0.0533,panstarrs,,,,,,,,,,,8.278,9.259,bj2018,,,cdwrf,20.6111,0.289438,16.9086,0.010903,1,,bpbj,cooldwarfs_v8,10.29222862166,6.81645831401,242.37238394513,-23.72009035617,0.31762044095,0.18183793772,1,0,1037950218,0.160104
393,204517282,16 09 29.69,-22 00 58.2,,9.57,,4.88,0.66,9.49,4.22,5.715,,,,"USco,gold",no,Simbad,1,0.998258,14.37,13.394144,3725.7,0.8461,48965245,242.37377069064,-22.01610268507,242.374,-22.016,90.0,,,340-078871,16092969-2200579,,J160929.69-220058.1,6242917865923662336,11478977,,STAR,tmgaia2,tmgaia2,-10.071,0.1,-24.867,0.067,gaia2,7.1236,0.0548,gaia2,16.13,-0.039,14.746,0.114,,,,,,,,,,,10.586,0.026,9.789,0.023,9.571,0.019,AAA-222-111-000-0-0,9.437,0.023,9.354,0.019,9.196,0.036,8.122,,13.414,0.001821,12.359,0.007,rered,gaia2,3591.0,119.4,4.1604,0.1695,,,0.978,0.127,0.505,0.09,0.5393,0.2604,DWARF,0.1434,0.02315,139.825,1.0805,0.0119,0.0099,332,0.0717,,,0.0,0.0074,0.0124,panstarrs,0.079,0.102,0.14,0.114,0.2496,0.2712,0.1617,0.1774,0.02097,0.02534,1.072,1.089,bj2018,122.9,115.9,dered,14.6966,0.008698,12.2849,0.005019,1,ucac4,apassdr9,,1.58048413721,1.04154416438,242.37372391871,-22.01620975219,0.04871100159,0.02823631724,1,0,1037948593,0.310429
394,204756726,16 09 30.18,-20 59 53.6,,12.98,,7.44,0.77,12.89,6.67,1.5928,,,,"USco,gold",yes,Simbad,1,0.999999,20.33,17.94432,2850.8,0.5668,48963999,242.37579516818,-20.99824848451,242.376,-20.998,90.0,,,,16093019-2059536,,J160930.18-205953.9,6243843994013465088,,,STAR,tmgaia2,tmgaia2,-7.047,0.473,-21.62,0.357,gaia2,6.2165,0.3252,gaia2,21.332,0.163,,,,,,,,,,,,,13.997,0.03,13.354,0.024,12.985,0.034,AAA-222-111-000-0-0,12.755,0.025,12.426,0.025,12.049,0.364,8.681,,17.9763,0.001905,16.315,0.015,cdwrf,cdwrf,2885.0,158.0,4.908,0.0086,,,0.316,0.017,0.295,0.026,9.3263,0.6903,DWARF,0.00625,0.00206,160.954,8.6725,0.0445,0.0633,,,,,,0.0286,0.098,panstarrs,,,,,,,,,,,8.214,9.131,bj2018,,,cdwrf,20.225,0.10367,16.4685,0.011313,1,,bpbj,cooldwarfs_v8,7.45735971909,5.52876211188,242.37576266734,-20.99834157234,0.28008451352,0.13874204589,1,0,1037947721,0.178841
395,203362293,16 09 30.22,-26 23 41.9,,12.49,,6.25,0.39,12.44,5.86,1.0369,,,,"USco,bronze",no,Simbad,1,0.999996,18.689999,16.901276,,,67987247,242.37596279745,-26.39490003462,242.376,-26.395,90.0,,,,16093023-2623416,,J160930.22-262341.8,6043426457612493312,,,STAR,tmgaia2,tmgaia2,-11.753,0.299,-20.785,0.209,gaia2,6.3529,0.1356,gaia2,20.171,0.163,,,,,,,,,,,,,13.444,0.029,12.801,0.025,12.49,0.029,AAA-222-111-000-0-0,12.297,0.024,12.048,0.023,11.692,0.253,8.908,,16.9302,0.001228,15.416,0.008,cdwrf,cdwrf,2974.0,157.0,4.8532,0.0041,,,0.372,0.013,0.359,0.022,6.9991,0.311,DWARF,0.00973,0.00275,156.828,3.3625,0.0402,0.0332,576,0.3404,,,0.0,0.0266,0.0398,panstarrs,,,,,,,,,,,3.292,3.433,bj2018,,,cdwrf,19.0231,0.032548,15.5478,0.003765,1,,bpbj,cooldwarfs_v8,4.76969794677,3.24004020941,242.37590630355,-26.39498952432,0.12754156067,0.0624660127,1,0,1037957860,0.29944
396,203842174,16 09 30.34,-24 43 37.8,,9.5,,5.17,0.75,9.41,4.43,2.4318,,,,"USco,bronze",no,Simbad,2,1.0E-6,14.58,13.775115,,,1258821417,242.37637371827,-24.72714945637,242.376,-24.727,90.0,,,,,,,6049821977446383616,,,STAR,gaia2,gaia2,-7.716,0.194,-23.037,0.154,gaia2,5.6489,0.1119,gaia2,,,14.917,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,13.7887,0.002384,12.701,0.008,rered,gaia2,3537.0,116.0,,,,,,,,,,,,,,176.252,3.503,0.0264,0.0136,515,1.1259,DUPLICATE,68045508,0.0,0.0103,0.017,panstarrs,,,,,,,,,,,3.435,3.571,bj2018,126.4,105.6,dered,15.0757,0.011534,12.5635,0.01362,1,gaia2,,,3.07886718588,2.38536276462,242.37633714444,-24.72724864475,0.09976361751,0.04967353404,1,0,1038676408,0.153497
397,204824603,16 09 31.08,-20 41 46.3,,10.14,,6.36,0.54,10.07,5.82,3.0965,,,,"USco,gold",no,Simbad,1,0.999994,16.43,14.649384,3538.7,1.2815,48963636,242.37958986311,-20.69609198599,242.38,-20.696,90.0,,,347-077412,16093108-2041460,,J160931.09-204146.2,6243904815048332416,11479018,,STAR,tmgaia2,tmgaia2,-12.269,0.265,-24.719,0.174,gaia2,7.3829,0.1211,gaia2,17.772,0.162,16.889,0.114,,,,,,,,,,,11.129,0.028,10.452,0.024,10.138,0.023,AAA-222-111-000-0-0,9.944,0.023,9.711,0.021,9.537,0.046,8.6,,14.6716,0.001842,13.375,0.007,rered,,3047.0,122.0,,,,,,,,,,,,,,134.987,2.2245,0.0151,0.0169,,,,,,0.0093,0.0246,panstarrs,,,,,,,,,,,2.188,2.261,bj2018,,,dered,16.6916,0.007767,13.3233,0.004282,1,ucac4,bpbj,,4.18266032574,2.70089892418,242.37953339237,-20.69619841718,0.12461237763,0.06174756188,-1,0,1037947466,0.477112
398,204398857,16 09 31.65,-22 29 22.4,,9.15,,5.13,0.63,9.07,4.5,12.8007,,,,"USco,gold",yes,Simbad,2,1.0E-6,14.2,13.159822,,,48965883,242.38189406631,-22.48955239872,242.382,-22.49,90.0,,,338-080614,16093164-2229224,,J160931.64-222922.5,6242475862249989888,11479033,,STAR,tmgaia2,tmgaia2,-12.957,2.252,-20.627,2.242,hsoy,,,,15.879,-0.034,14.344,0.103,,,,,,,,,,,10.143,0.028,9.383,0.023,9.148,0.027,AAA-222-111-000-0-0,8.872,0.021,8.655,0.019,6.17,0.014,4.228,0.03,13.0797,0.003129,11.982,0.007,gbprp,,,,,,,,,,,,,,GIANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4752,0.011104,11.9031,0.011021,0,ucac4,apassdr9,,35.59777304612,34.75224678661,242.38183368877,-22.48964121115,0.41741039077,0.20872013109,1,0,1037949015,0.064429
399,204397879,16 09 32.29,-22 29 35.9,,10.48,,5.67,0.35,10.44,5.31,3.6661,,,,"USco,bronze",yes,Simbad,1,0.999324,16.11,14.661633,,,48965887,242.38456638676,-22.49332241808,242.385,-22.493,90.0,,,338-080619,16093229-2229360,,J160932.29-222936.0,6242475862249989248,,,STAR,tmgaia2,tmgaia2,-8.707,2.075,-16.157,2.067,hsoy,,,,17.871,0.162,16.252,0.092,,,,,,,,,,,11.453,0.027,10.74,0.026,10.485,0.022,AAA-222-111-000-0-0,10.27,0.023,10.098,0.02,9.241,0.038,6.217,0.081,14.6663,0.004319,13.239,0.009,cdwrf,cdwrf,3260.0,157.0,4.5839,0.0145,,,0.682,0.023,0.651,0.022,2.0518,0.1374,DWARF,0.04731,0.01234,,,,,413,0.6242,,,0.0,,,,,,,,,,,,,,,,,,,cdwrf,16.1611,0.007669,13.322,0.005174,0,ucac4,bpbj,cooldwarfs_v8,32.79224593975,32.04496139414,242.38452580967,-22.49339198466,0.17035757296,0.08257590895,1,0,1037949018,0.102204
400,205164400,16 09 33.77,-19 04 56.5,,9.85,,5.23,0.19,9.83,5.04,13.3686,,,,"USco,gold",no,Simbad,1,0.992964,15.059999,13.772078,3617.9,0.9152,49037975,242.39079210907,-19.0822718621,242.391,-19.082,90.0,,,355-077333,16093378-1904562,1237674654766399698,J160933.78-190456.4,6245779276214380928,8833445,,STAR,tmgaia2,tmgaia2,-10.109,0.114,-24.143,0.076,gaia2,7.2746,0.0594,gaia2,16.684,0.033,15.187,0.114,18.848,0.026,16.147,0.004,14.516,0.004,13.494,0.001,12.429,0.004,10.907,0.029,10.075,0.027,9.851,0.023,AAA-222-111-000-0-0,9.673,0.023,9.534,0.02,9.346,0.041,8.892,,13.7944,0.003242,12.676,0.008,rered,gaia2,3467.0,110.2,4.151,0.1734,,,0.924,0.122,0.441,0.089,0.5587,0.2822,DWARF,0.11117,0.02172,136.936,1.1225,0.0286,0.0283,293,0.0353,,,0.0,0.0196,0.0369,panstarrs,0.083,0.095,0.131,0.113,0.1787,0.3856,0.2187,0.128,0.01516,0.02828,1.113,1.132,bj2018,68.7,151.8,dered,15.2317,0.013469,12.6147,0.008007,1,ucac4,apassdr9,,1.79447312531,1.17472667608,242.39074605345,-19.08237581328,0.05253835601,0.0288239548,1,0,1037950951,0.429497
401,204608292,16 09 35.74,-21 38 05.9,,9.91,,5.29,0.79,9.81,4.5,4.3972,0.8302,,,"USco,gold",no,Simbad,1,0.992964,15.1,13.946349,3618.8,0.8836,49033805,242.39898186245,-21.63494995709,242.399,-21.635,90.0,,,342-078076,16093575-2138057,,J160935.75-213806.0,6242963770534304512,11479143,,STAR,tmgaia2,tmgaia2,-10.642,2.241,-21.622,2.241,hsoy,,,,16.779,-0.068,15.262,0.057,,,,,,,,,,,10.927,0.028,10.128,0.024,9.91,0.025,AAA-222-111-000-0-0,9.767,0.023,9.614,0.02,9.512,0.056,8.384,,13.9511,0.001234,12.661,0.008,cdwrf,cdwrf,3315.0,157.0,4.6593,0.0165,,,0.59,0.023,0.58,0.024,2.8187,0.2193,DWARF,0.03793,0.01026,,,,,345,0.0652,,,0.0,,,,,,,,,,,,,,,,,,,cdwrf,15.4639,0.006165,12.7365,0.003236,0,ucac4,apassdr9,cooldwarfs_v8,35.36928992776,34.73867140501,242.39893257248,-21.63504305397,0.38764623142,0.19304845782,1,0,1037950703,0.232428
402,204769996,16 09 36.07,-20 56 25.8,,11.68,,6.31,0.51,11.62,5.8,1.7179,,,,"USco,bronze",no,Simbad,1,0.999998,17.93,16.257397,,,49035417,242.40037105828,-20.94044657061,242.4,-20.941,90.0,,,,16093608-2056255,,J160936.08-205625.8,6243844822944577536,,,STAR,tmgaia2,tmgaia2,-9.237,0.238,-21.886,0.179,gaia2,6.5001,0.1697,gaia2,19.661,0.163,,,,,,,,,,,,,12.669,0.029,11.995,0.023,11.684,0.024,AAA-222-111-000-0-0,11.539,0.023,11.298,0.022,11.92,0.399,8.251,,16.2774,0.001206,14.747,0.008,cdwrf,cdwrf,2948.0,157.0,4.7531,0.0105,,,0.482,0.017,0.48,0.022,4.2849,0.2552,DWARF,0.01581,0.00452,153.359,4.0275,0.1011,0.0879,331,0.0348,,,0.0,0.0918,0.0841,panstarrs,,,,,,,,,,,3.924,4.131,bj2018,,,cdwrf,18.4324,0.01289,14.8845,0.002352,1,,bpbj,cooldwarfs_v8,3.74979198463,2.78218013064,242.4003284762,-20.94054080373,0.14210546795,0.07162553157,1,0,1038699020,0.329014
