recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,TIC,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag_x,e_Vmag,umag,e_umag,gmag_x,e_gmag_x,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag_xa,e_Gmag_xa,Tmag,e_Tmag,f_Tmag,Flag,Teff_x,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V)_x,E_E(B-V)_xa,f_E(B-V),e_Mass_x,E_Mass_xa,e_Rad_x,E_Rad_xa,e_rho_x,E_rho_xa,e_logg_x,E_logg_xa,e_Lum_x,E_Lum_xa,e_Dist_x,E_Dist_xa,r_Dist,e_Teff_x,E_Teff_xa,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID,angDist
1205,202644133,16 28 18.22,-28 54 01.3,11.94,8.27,3.67,3.67,0.0,8.27,3.67,,,,,"USco,bronze",no,Simbad,1,0.999998,11.940001,11.275851,4562.7,0.8651,175822827,247.07577257361,-28.90030955481,247.076,-28.9,90.0,,6807-00755-1,306-091004,16281818-2854011,,J162818.18-285401.2,6044148737974024832,13023052,,STAR,tmgaia2,tmgaia2,-9.887,0.104,-11.047,0.086,gaia2,1.1893,0.0475,gaia2,13.007,0.427,11.941,0.038,,,,,,,,,,,9.142,0.032,8.481,0.036,8.266,0.029,AAA-111-111-000-0-0,8.126,0.023,8.212,0.02,8.155,0.027,7.837,0.187,11.281,7.88E-4,10.417,0.009,rered,gaia2,4620.0,122.0,,,,,10.166,,,,,,GIANT,,,822.764,32.485,0.3204,0.0129,,,,,,0.0129,0.0129,panstarrs,,,,,,,,,,,31.227,33.743,bj2018,,,dered,12.1275,0.002385,10.4087,0.001227,1,tycho2v3,tycho2b3,,1.66061533526,1.33671105491,247.07572394876,-28.90035711959,0.04847305722,0.03596639476,0,0,1073443347,0.490596
1206,202709894,16 28 18.69,-28 39 08.1,,9.53,,3.89,0.7,9.44,3.19,,,,,"USco,bronze",no,Simbad,1,0.999998,13.33,12.736473,,,175754389,247.07787271606,-28.65226127198,247.078,-28.652,90.0,,,307-088085,16281869-2839081,,J162818.68-283908.3,6044167601471174912,13023057,,STAR,tmgaia2,tmgaia2,-4.759,0.118,-13.554,0.085,gaia2,0.681,0.0456,gaia2,14.986,0.032,13.447,0.126,,,,,,,,,,,10.388,0.022,9.687,0.022,9.53,0.024,AAA-222-111-000-0-0,9.364,0.022,9.451,0.022,9.321,0.044,8.237,,12.7504,6.25E-4,11.826,0.008,rered,gaia2,4542.0,122.0,,,,,10.063,,,,,,GIANT,,,1415.8,94.025,0.3806,0.01,,,,,,0.0094,0.0106,panstarrs,,,,,,,,,,,87.92,100.13,bj2018,,,dered,13.6637,0.00248,11.8172,0.002781,1,ucac4,apassdr9,,1.88922048768,1.31056744016,247.07784936508,-28.65231962905,0.04786526834,0.03404757783,0,0,1073442890,0.041216
1207,203779568,16 28 19.22,-24 57 34.3,,9.93,,7.42,2.64,9.58,4.78,11.984,,,,"ROph,gold",no,Simbad,1,0.999998,17.0,14.914098,3536.0,1.9661,175745128,247.08010706263,-24.95948308972,247.08,-24.96,90.0,,,326-082131,16281922-2457340,,J162819.21-245734.3,6049049811047121536,11503373,,STAR,tmgaia2,tmgaia2,-5.807,0.202,-22.795,0.143,gaia2,6.9257,0.1003,gaia2,18.804,0.175,14.929,1.133,,,,,,,,,,,11.261,0.021,10.317,0.023,9.925,0.021,AAA-222-111-000-0-0,9.699,0.024,9.536,0.021,9.464,0.067,8.777,,14.9464,0.002081,13.65,0.007,rered,spect,3633.0,101.0,4.7984,,-0.23,0.14,0.478,,0.523,,4.8001,,DWARF,0.0358,,143.846,2.0915,0.0109,0.0056,,,,,,0.0029,0.0083,panstarrs,,,,,,,,,,,,,bj2018,,,spect,16.9648,0.011264,13.5914,0.006485,1,ucac4,bpbj,,3.20026186458,2.2237657612,247.08007948319,-24.95958123529,0.0873589448,0.05797154973,1,0,1073437628,0.178548
1208,203925751,16 28 20.03,-24 23 18.0,,10.62,,9.32,4.54,10.03,4.78,1.8132,,,,"ROph,bronze",no,Simbad,1,1.0,19.349998,17.201395,3600.8,3.8105,175744614,247.08355239529,-24.38830606176,247.084,-24.388,90.0,,,,16282004-2423178,,J162820.04-242318.0,6049107535407613184,,,STAR,tmgaia2,tmgaia2,-6.249,0.288,-24.325,0.216,gaia2,6.9227,0.1495,gaia2,21.277,0.262,,,,,,,,,,,,,12.566,0.024,11.245,0.023,10.618,0.025,AAA-222-111-000-0-0,10.294,0.023,10.015,0.02,10.249,0.161,8.667,,17.2239,0.001394,15.505,0.009,cdwrf,cdwrf,2823.0,157.0,4.6146,0.0136,,,0.644,0.021,0.623,0.021,2.3317,0.1503,DWARF,0.02373,0.00689,143.978,3.1255,0.0202,0.0192,94,0.0175,,,0.0,0.011,0.0273,panstarrs,,,,,,,,,,,3.059,3.192,bj2018,,,cdwrf,19.9499,0.048736,15.6972,0.003692,1,,bpbj,cooldwarfs_v8,4.57190044048,3.34396288202,247.08352285397,-24.38841079612,0.13307699371,0.07722723162,1,0,1073437313,0.323657
1209,203931209,16 28 21.50,-24 21 55.2,,10.18,,9.0,4.36,9.62,4.64,6.7455,,,,"ROph,gold",yes,Simbad,1,1.0,18.619999,16.584259,3936.1,3.9142,175744578,247.08967238815,-24.36529560602,247.09,-24.365,90.0,,,,16282151-2421549,,J162821.50-242155.3,6049107638486828928,,,STAR,tmgaia2,tmgaia2,-6.427,0.221,-24.418,0.159,gaia2,7.1794,0.1084,gaia2,,,,,,,,,,,,,,,12.078,0.024,10.742,0.023,10.182,0.025,AAA-222-111-000-0-0,9.832,0.024,9.62,0.02,9.681,0.084,7.868,0.336,16.6013,9.21E-4,15.16,0.008,rered,,,,,,,,,,,,,,,,,138.787,2.104,0.0138,0.0116,,,,,,0.0061,0.0171,panstarrs,,,,,,,,,,,2.073,2.135,bj2018,,,,19.2552,0.028303,15.1148,0.003861,1,,,,3.51293693657,2.47051485863,247.08964201234,-24.36540073994,0.09501494212,0.05468755352,-1,0,1073437290,0.32208
1210,203947556,16 28 21.56,-24 17 44.9,,10.55,,8.23,6.81,9.67,1.42,,,,,"ROph,bronze",no,Simbad,1,1.0,17.9,16.76497,8638.4,6.1897,175744524,247.08987271102,-24.29584783843,247.09,-24.296,90.0,,,,16282156-2417449,,J162821.56-241744.9,6049155398523162112,,,STAR,tmgaia2,tmgaia2,-0.645,0.217,4.835,0.158,gaia2,0.2924,0.117,gaia2,20.397,0.198,,,,,,,,,,,,,12.371,0.024,11.07,0.024,10.545,0.024,AAA-222-111-000-0-0,10.205,0.023,10.13,0.02,10.116,0.139,7.873,,16.7923,8.03E-4,15.008,0.007,rered,gaia2,4931.0,129.0,,,,,17.185,,,,,,GIANT,,,3199.11,1442.72,1.8217,0.005,,,,,,0.0089,0.0011,schlegel,,,,,,,,,,,956.95,1928.5,bj2018,,,dered,18.9138,0.019712,15.3886,0.002981,1,,bpbj,,3.43590577632,2.45283851874,247.08986966455,-24.29582701995,0.10518840884,0.05760490213,0,0,1073437253,0.19966
1211,203904033,16 28 22.08,-24 28 42.1,,11.31,,7.56,2.41,11.0,5.16,,,,,"USco,bronze",no,Simbad,1,0.999998,18.56,16.328823,,,175744716,247.09201277179,-24.47839990292,247.092,-24.478,90.0,,,,16282207-2428421,,J162822.08-242842.2,6049104580470109824,,,STAR,tmgaia2,tmgaia2,-0.732,0.164,-6.033,0.111,gaia2,0.091,0.0765,gaia2,19.857,0.165,,,,,,,,,,,,,12.788,0.026,11.692,0.023,11.307,0.019,AAA-222-111-000-0-0,11.068,0.024,11.069,0.021,10.488,0.141,7.768,0.263,16.3623,7.35E-4,14.907,0.006,rered,spect,5137.0,99.0,,,,,20.621,,,,,,GIANT,,,5973.45,2226.36,1.3929,,,,,,,,,schlegel,,,,,,,,,,,,,bj2018,,,spect,17.9706,0.013684,15.1057,0.002177,1,,bpbj,,2.59467718027,1.72310038222,247.09200931023,-24.47842588006,0.07298295702,0.04053645828,0,0,1073437373,0.145785
1212,203820868,16 28 22.96,-24 48 28.9,,10.95,,9.47,3.39,10.51,6.08,1.4517,,,,"ROph,bronze",maybe,Simbad,1,1.0,19.98,17.330849,3541.2,3.5373,175744919,247.09570013861,-24.8080695948,247.096,-24.808,90.0,,,,16282296-2448289,,J162822.95-244829.4,6049078187895045376,,,STAR,tmgaia2,tmgaia2,-7.076,0.349,-22.904,0.243,gaia2,6.4317,0.1739,gaia2,,,,,,,,,,,,,,,12.684,0.023,11.498,0.024,10.946,0.019,AAA-222-111-000-0-0,10.628,0.023,10.349,0.02,10.188,0.116,8.365,,17.358,0.001523,15.579,0.015,cdwrf,cdwrf,2819.0,157.0,4.6406,0.0139,,,0.613,0.021,0.598,0.022,2.6029,0.1733,DWARF,0.02135,0.00627,154.997,4.214,0.014,0.0236,111,0.2367,,,0.0,0.0066,0.0405,panstarrs,,,,,,,,,,,4.102,4.326,bj2018,,,cdwrf,20.129,0.163604,15.7791,0.005819,1,,,cooldwarfs_v8,5.54662334601,3.7753485411,247.09566657389,-24.80816821054,0.15887648082,0.10254994306,1,0,1073437490,0.186082
1213,203944388,16 28 23.30,-24 18 33.8,,8.69,,13.57,9.35,7.48,4.22,,,,,"ROph,bronze",no,Simbad,1,1.0,21.05,15.909101,4688.9,5.7202,175744532,247.09715016542,-24.3094301601,247.097,-24.309,90.0,,,,16282330-2418338,,J162823.31-241833.9,6049155192364731648,,,STAR,tmgaia2,tmgaia2,-0.18,0.224,-1.758,0.159,gaia2,0.0407,0.119,gaia2,19.968,0.3,,,,,,,,,,,,,11.011,0.024,9.381,0.023,8.685,0.022,AAA-222-111-000-0-0,8.327,0.023,8.335,0.019,8.014,0.099,6.813,0.395,15.933,8.08E-4,13.834,0.006,rered,gaia2,3866.0,123.0,,,,,91.998,,,,,,GIANT,,,5789.74,2481.95,1.7875,1.0E-4,,,,,,2.0E-4,0.0,schlegel,,,,,,,,,,,1884.23,3079.67,bj2018,,,dered,18.7537,0.021375,14.417,0.003834,1,,bpbj,,3.55156732229,2.4701696218,247.09714931375,-24.30943772716,0.10758259274,0.057232918,0,0,1073437260,0.264861
1214,203928175,16 28 23.32,-24 22 40.9,,8.62,,12.17,8.61,7.51,3.56,4.3728,,,,"ROph,bronze",yes,Simbad,1,0.999998,19.68,16.671652,3585.3,2.7289,175744599,247.09727301159,-24.37796214015,247.097,-24.378,90.0,,,329-081211,16282333-2422405,,J162823.33-242240.7,6049107569767351680,,,STAR,tmgaia2,tmgaia2,-6.891,0.218,-24.239,0.157,gaia2,6.7575,0.1191,gaia2,20.174,0.224,15.507,1.133,,,,,,,,,,,11.814,0.024,9.871,0.024,8.623,0.022,AAA-222-111-000-0-0,7.486,0.028,6.778,0.02,6.001,0.016,3.828,0.028,16.7323,0.050497,15.406,0.067,rered,spect,4487.0,155.0,,,-0.0264,0.1254,,,,,,,DWARF,,,147.44,2.611,0.0145,0.0125,,,,,,0.0059,0.0192,panstarrs,,,,,,,,,,,,,bj2018,,,spect,18.7338,0.15699,15.2212,0.150738,1,ucac4,bpbj,,3.45362787332,2.43312631411,247.09724043966,-24.37806650252,0.10179741051,0.05753362052,1,0,1073437303,0.421228
