recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,Mass_calc,Mass_e
1108,203006330,16 26 54.08,-27 35 08.0,,10.68,,5.26,1.57,10.48,3.69,1.0821,,,,"USco,bronze",no,Simbad,1,0.992964,15.74,8.962627238465815,3417.0,0.6531,-1.4061603244093963,0.24857142857142855,0.013866982803217402
1109,204464537,16 26 56.18,-22 13 52.1,,12.41,,7.2,0.78,12.31,6.42,0.2843,,,,"USco,gold",maybe,Simbad,1,0.999999,19.51,11.921549238465817,2834.9,0.7439,-2.1765257737350687,0.1,0.013866982803217402
1110,203478347,16 26 56.46,-26 00 17.0,,12.01,,7.06,1.37,11.83,5.69,2.8819,,,,"USco,bronze",no,Simbad,1,0.999999,18.89,11.241957238465815,3380.3,1.5281,-1.8038238163770817,0.2310952380952382,0.013866982803217402
1111,203962599,16 26 56.77,-24 13 51.5,,9.25,,13.92,10.3,7.93,3.62,4.2516,,,,"ROph,silver",yes,Simbad,1,1.0,21.85,12.445399238465814,4002.0,5.9752,,,0.013866982803217402
1112,203833873,16 26 58.42,-24 45 31.7,,7.55,,11.13,7.46,6.59,3.67,3.109,,,,"ROph,bronze",yes,Simbad,1,0.999397,17.720001,9.509608238465816,,,,,0.013866982803217402
1113,210282534,16 26 58.50,-24 45 36.8,,7.06,,8.28,5.79,6.31,2.49,11.2948,,,,"ROph,bronze",yes,Simbad,1,0.999973,14.59,8.995038238465815,,,,,0.013866982803217402
1114,203979309,16 27 04.05,-24 09 32.1,,10.09,,7.55,3.05,9.7,4.5,4.612,,,,"ROph,bronze",yes,Simbad,1,0.999999,17.25,10.063332238465817,,,,,0.013866982803217402
1115,203844856,16 27 04.51,-24 42 59.6,,9.84,,10.46,6.79,8.96,3.67,3.5358,,,,"ROph,bronze",maybe,Simbad,1,1.0,19.42,11.016510238465816,4732.1,4.8511,-1.1800614361149062,0.8314397905759163,0.013866982803217402
1116,203848252,16 27 04.56,-24 42 14.0,,9.81,,11.81,7.85,8.8,3.96,14.4927,,,,"ROph,silver",yes,Simbad,1,1.0,20.61,11.795296238465816,4479.6,5.5085,,,0.013866982803217402
1117,205044245,16 27 05.16,-19 40 30.3,,10.84,,4.88,0.36,10.8,4.52,12.3653,,,,"USco,bronze",no,Simbad,1,0.999998,15.68,9.213128238465815,5165.6,2.4391,-1.124938719350988,0.9503225806451614,0.013866982803217402
1118,203988827,16 27 06.55,-24 07 03.1,,10.76,,9.04,3.39,10.33,5.65,4.2381,,,,"ROph,silver",no,Simbad,1,1.0,19.369999,11.371256238465817,3574.7,3.5791,-1.7000570875857044,0.33185897435897427,0.013866982803217402
1119,203850058,16 27 06.59,-24 41 48.8,,10.77,,9.47,3.39,10.33,6.08,2.8619,,,,"ROph,bronze",yes,Simbad,1,1.0,19.8,11.319100238465817,3150.8,2.2395,-1.6878226480637744,0.14820189274447956,0.013866982803217402
1120,203442191,16 27 06.68,-26 07 31.1,10.4,8.29,2.11,2.11,1.27,8.13,0.84,0.5415,0.5318,,,"USco,bronze",no,Simbad,1,0.999979,10.24,4.512197238465815,7063.7,1.0099,0.5510484565699407,1.5,0.013866982803217402
1121,203969672,16 27 09.07,-24 12 00.7,,9.8,,12.11,7.47,8.84,4.64,4.8267,,,,"ROph,gold",yes,Simbad,1,1.0,20.95,12.258372238465814,3894.2,5.777,-0.5699894763839917,0.5380219780219779,0.013866982803217402
1122,203881640,16 27 09.10,-24 34 08.1,,8.91,,16.81,13.14,7.22,3.67,2.4154,,,,"ROph,bronze",yes,Simbad,1,1.0,24.029999,13.773093238465815,,,,,0.013866982803217402
1123,204565982,16 27 09.40,-21 48 45.9,,11.71,,7.82,2.02,11.45,5.8,1.5612,,,,"USco,gold",yes,Simbad,1,1.0,19.27,11.322485238465816,3313.8,1.7517,-1.9182927237260483,0.199621451104101,0.013866982803217402
1124,203386139,16 27 09.49,-26 18 55.1,,10.77,,5.72,0.21,10.74,5.51,0.909,1.4135,,,"USco,gold",no,Simbad,1,0.992659,16.46,9.731181238465815,,,,,0.013866982803217402
1125,203941868,16 27 10.26,-24 19 12.6,14.1,6.72,7.38,7.38,5.8,5.97,1.58,2.0474,2.1516,,,"ROph,bronze",yes,Simbad,1,0.999996,13.35,7.086832238465815,,,1.1959884351728527,,0.013866982803217402
