recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,S18_Mass,Tess_Mass,Tess_s_Mass,iso_Mass_calc,iso_Mass_e,rml_Mass_calc,rml_Mass_e
297,203753432,16 07 48.61,-25 03 14.3,,11.43,,5.62,0.0,11.43,5.62,1.1744,,,,"USco,bronze",no,Simbad,1,0.999781,17.05,9.978880238465814,,,-1.6460837655731713,0.3,0.512,0.021,,0.013866982803217402,0.1570248757549757,0.009083756291806893
300,203843009,16 07 55.65,-24 43 27.1,,12.71,,6.94,1.33,12.54,5.61,1.351,,,,"USco,gold",yes,Simbad,1,0.999996,19.48,11.884273238465816,,,-2.0824944847976137,0.304,0.334,0.024,,0.013866982803217402,,0.0
301,204830256,16 07 57.12,-20 40 17.7,,11.65,,6.63,0.66,11.56,5.98,3.65,,,,"USco,bronze",no,Simbad,1,0.999999,18.19,10.837559238465817,,,-1.8018930006836824,0.201,0.497,0.025,,0.013866982803217402,,0.0
306,204829482,16 08 00.50,-20 40 29.1,,11.33,,6.43,0.71,11.24,5.72,1.9464,2.5668,,,"USco,gold",no,Simbad,1,0.999999,17.67,10.381175238465817,,,-1.6829819154814831,0.27,0.556,0.023,,0.013866982803217402,0.12516167846327783,0.009083756291806893
309,204273100,16 08 02.17,-22 59 05.9,,11.26,,6.44,0.38,11.21,6.06,0.5122,,,,"USco,gold",no,Simbad,1,0.999998,17.65,10.227957238465816,,,-1.6796459582813186,0.184,0.551,0.022,,0.013866982803217402,0.1363549690315453,0.009083756291806893
310,204895410,16 08 02.37,-20 22 34.0,,10.62,,6.54,0.48,10.56,6.06,2.1105,2.4133,,,"USco,gold",no,Simbad,1,0.999998,17.1,9.594333238465817,3481.3,1.3534,-1.5195618439851604,0.184,0.637,0.022,0.27919047619047627,0.013866982803217402,0.19598867559021074,0.009083756291806893
315,203844446,16 08 06.10,-24 43 05.9,,11.53,,5.98,0.0,11.53,5.98,1.2936,0.8414,,,"USco,bronze",no,Simbad,1,0.999996,17.51,10.295425238465816,3375.5,1.0495,-1.689731622762288,0.201,0.529,0.022,0.22880952380952382,0.013866982803217402,0.130848085027597,0.009083756291806893
318,204397408,16 08 10.80,-22 29 43.1,,11.68,,6.66,0.35,11.63,6.31,1.6454,,,,"USco,gold",yes,Simbad,1,0.999999,18.29,10.715663238465815,,,-1.902742697362628,0.143,0.442,0.023,,0.013866982803217402,0.1041483916928455,0.009083756291806893
327,204634894,16 08 20.77,-21 31 23.7,,10.83,,5.79,0.23,10.8,5.57,1.9677,,,,"USco,gold",no,Simbad,1,0.999881,16.59,9.477052238465816,3534.4,1.0397,-1.5225893061170737,0.318,0.584,0.021,0.30602564102564106,0.013866982803217402,0.21167009863021236,0.009083756291806893
328,204451272,16 08 22.28,-22 17 03.2,,12.03,,6.72,0.6,11.95,6.12,0.9726,,,,"USco,gold",no,Simbad,1,0.999992,18.67,11.121344238465817,,,,0.174,,,,0.013866982803217402,,0.0
337,204611292,16 08 28.68,-21 37 20.1,,10.76,,6.0,0.27,10.73,5.74,1.7674,,,,"USco,gold",yes,Simbad,1,0.999987,16.73,9.510436238465816,3376.4,1.0278,-1.5489815554041615,0.265,0.591,0.021,0.2292380952380953,0.013866982803217402,0.20713931653544368,0.009083756291806893
341,204472612,16 08 34.54,-22 11 56.1,,11.53,,6.49,0.71,11.44,5.78,1.9243,,,,"USco,gold",yes,Simbad,1,0.999996,17.93,10.491863238465816,,,-1.814741227936228,0.253,0.46,0.021,,0.013866982803217402,0.11779376948780965,0.009083756291806893
347,205192701,16 08 41.71,-18 56 10.7,,11.21,,6.93,0.72,11.12,6.21,2.1986,1.5705,,,"USco,gold",no,Simbad,1,0.999999,18.05,10.541063238465814,,,-1.7708302954755446,0.158,0.532,0.022,,0.013866982803217402,0.11469202720806174,0.009083756291806893
348,205177770,16 08 43.07,-19 00 52.1,,10.27,,6.05,0.4,10.22,5.65,1.1423,0.9348,,,"USco,gold",no,Simbad,1,0.995302,16.27,9.168010238465817,,,,0.29,,,,0.013866982803217402,0.25584591759754965,0.009083756291806893
355,204094503,16 08 48.36,-23 41 21.1,,11.59,,6.41,0.57,11.52,5.84,1.6533,,,,"USco,gold",yes,Simbad,1,0.999998,17.93,10.514382238465814,,,-1.825358814611864,0.236,0.46,0.022,,0.013866982803217402,0.11631365546968506,0.009083756291806893
363,205152244,16 09 00.01,-19 08 37.1,,10.96,,6.29,0.67,10.87,5.62,1.8142,,,,"USco,gold",yes,Simbad,1,0.999993,17.16,9.851491238465815,3428.1,1.0842,-1.6278247031284152,0.3,0.559,0.021,0.25385714285714284,0.013866982803217402,0.16784391708875387,0.009083756291806893
364,202957873,16 09 00.50,-27 45 19.7,,11.24,,6.13,0.05,11.24,6.08,0.7722,0.3686,,,"USco,gold",no,Simbad,1,0.999997,17.369999,10.076422238465817,,,-1.7734000884171668,0.181,0.489,0.022,,0.013866982803217402,0.14878415002389103,0.009083756291806893
368,202978875,16 09 01.67,-27 40 52.3,,11.95,,6.97,0.52,11.88,6.45,0.3057,,,,"USco,bronze",no,Simbad,1,0.999999,18.85,11.270359238465817,,,-1.908333026893695,0.125,0.456,0.022,,0.013866982803217402,,0.0
377,204100531,16 09 07.75,-23 39 54.5,,11.13,,6.37,0.38,11.08,5.99,1.2548,,,,"USco,gold",no,Simbad,1,0.999998,17.45,10.194597238465816,,,-1.7307206212842925,0.196,0.533,0.022,,0.013866982803217402,0.1391594667978572,0.009083756291806893
379,204448136,16 09 08.81,-22 17 47.0,,12.07,,6.12,0.04,12.07,6.08,0.3899,,,,"USco,silver",no,Simbad,1,0.999996,18.189999,10.865275238465816,,,-2.2118316156418114,0.181,0.278,0.021,,0.013866982803217402,,0.0
383,205056060,16 09 15.80,-19 37 06.4,,11.46,,5.9,0.14,11.44,5.76,1.7251,,,,"USco,gold",no,Simbad,1,0.999974,17.34,10.164566238465817,3370.6,1.0116,-1.669383341241523,0.258,0.521,0.021,0.22647619047619044,0.013866982803217402,0.1416576841086997,0.009083756291806893
384,204093677,16 09 16.88,-23 41 32.5,,10.97,,6.25,0.29,10.94,5.96,0.3628,,,,"USco,gold",no,Simbad,1,0.999996,17.189999,9.856089238465817,3416.7,1.0716,-1.6064247990836824,0.204,0.572,0.021,0.24842857142857133,0.013866982803217402,0.1674326844258351,0.009083756291806893
386,205092303,16 09 20.54,-19 26 32.1,,12.08,,6.94,0.7,11.99,6.24,1.7205,,,,"USco,gold",yes,Simbad,1,0.999998,18.93,11.312237238465816,3003.7,1.5879,-1.9751040366903792,0.154,0.389,0.023,0.10179810725552045,0.013866982803217402,,0.0
387,204429883,16 09 20.62,-22 22 05.9,15.9,9.5,6.4,6.4,0.66,9.41,5.74,0.3236,0.3286,1.4699,0.3586,"USco,gold",no,Simbad,1,0.999995,15.809999,8.644212238465816,,,,0.265,,,,0.013866982803217402,0.3376558212406488,0.009083756291806893
395,203362293,16 09 30.22,-26 23 41.9,,12.49,,6.25,0.39,12.44,5.86,1.0369,,,,"USco,bronze",no,Simbad,1,0.999996,18.689999,11.331559238465816,,,-2.0118871575500967,0.229,0.359,0.022,,0.013866982803217402,,0.0
397,204824603,16 09 31.08,-20 41 46.3,,10.14,,6.36,0.54,10.07,5.82,3.0965,,,,"USco,gold",no,Simbad,1,0.999994,16.43,9.079667238465817,3538.7,1.2815,,0.241,,,,0.013866982803217402,0.2685172655300135,0.009083756291806893
402,204769996,16 09 36.07,-20 56 25.8,,11.68,,6.31,0.51,11.62,5.8,1.7179,,,,"USco,bronze",no,Simbad,1,0.999998,17.93,10.687680238465816,,,-1.8010681361422338,0.248,0.48,0.022,,0.013866982803217402,0.10572652196754097,0.009083756291806893
404,204783273,16 09 37.06,-20 52 53.2,,11.98,,6.28,0.19,11.95,6.09,1.1105,,,,"USco,gold",no,Simbad,1,0.999998,18.23,10.937062238465815,,,-1.8840568299189424,0.179,0.439,0.022,,0.013866982803217402,,0.0
408,203844180,16 09 43.53,-24 43 10.0,,12.17,,6.02,0.4,12.12,5.62,0.8422,,,,"USco,bronze",no,Simbad,1,0.99999,18.14,10.895729238465815,3332.9,0.9044,-1.9193734983292128,0.301,0.388,0.021,0.20852380952380958,0.013866982803217402,,0.0
410,204288433,16 09 46.33,-22 55 34.0,,11.03,,6.08,0.35,10.98,5.72,1.8162,,,,"USco,gold",maybe,Simbad,1,0.999981,17.06,9.814982238465817,3376.6,1.0364,-1.6008456584215822,0.269,0.555,0.021,0.2293333333333333,0.013866982803217402,0.1712483174031185,0.009083756291806893
415,203856109,16 09 51.96,-24 40 20.0,,12.13,,6.95,0.83,12.03,6.12,1.4332,,,,"USco,bronze",yes,Simbad,1,0.999999,18.98,11.380839238465814,,,-1.9408153930640968,0.174,0.422,0.026,,0.013866982803217402,,0.0
416,204982702,16 09 52.06,-19 58 06.8,,10.46,,6.23,0.09,10.45,6.14,2.403,,,,"USco,bronze",yes,Simbad,1,0.999848,16.68,9.870437238465817,3000.6,0.2173,-1.3883828813677732,0.17,0.646,0.021,0.10082018927444793,0.013866982803217402,0.16615923726500695,0.009083756291806893
418,203849738,16 09 52.87,-24 41 53.5,,10.93,,6.17,0.45,10.87,5.72,0.619,,,,"USco,gold",no,Simbad,1,0.999996,17.04,9.880014238465815,,,-1.5984271444250722,0.269,0.585,0.021,,0.013866982803217402,0.165320851508651,0.009083756291806893
423,204078097,16 09 58.51,-23 45 18.9,,11.62,,7.04,0.74,11.53,6.3,1.4106,,,,"USco,gold",yes,Simbad,1,0.999999,18.57,11.154133238465814,,,-1.843753819140542,0.145,0.498,0.026,,0.013866982803217402,,0.0
425,205366676,16 09 59.32,-18 00 09.2,,10.34,,5.92,0.32,10.3,5.6,3.6874,,,,"USco,gold",yes,Simbad,1,0.999906,16.220001,9.054643238465816,3468.2,1.0247,-1.4230830639207028,0.306,0.644,0.021,0.27295238095238084,0.013866982803217402,0.27205905098980065,0.009083756291806893
430,203036352,16 10 03.93,-27 28 48.2,,11.2,,5.61,0.0,11.2,5.61,0.7104,,,,"USco,gold",no,Simbad,1,0.99968,16.81,9.752990238465816,3418.1,0.9036,-1.5505216057783269,0.303,0.563,0.021,0.24909523809523804,0.013866982803217402,0.17810985560050033,0.009083756291806893
434,205024957,16 10 10.99,-19 46 04.2,,11.38,,6.19,0.47,11.32,5.71,1.6656,,,,"USco,gold",yes,Simbad,1,0.999995,17.51,10.228805238465815,3325.8,1.0835,-1.7176044814903546,0.272,0.503,0.022,0.20514285714285724,0.013866982803217402,0.1363307647226974,0.009083756291806893
439,202515599,16 10 15.41,-29 23 56.2,,12.08,,6.46,0.0,12.08,6.46,0.5851,,,,"USco,bronze",no,Simbad,1,0.999998,18.54,11.049899238465816,,,-2.069050957391668,0.123,0.357,0.021,,0.013866982803217402,,0.0
442,204133691,16 10 20.85,-23 31 55.8,,11.05,,6.01,0.32,11.01,5.68,0.8106,,,,"USco,gold",no,Simbad,1,0.999996,17.02,9.867905238465816,,,-1.6827726560107488,0.281,0.537,0.022,,0.013866982803217402,0.16648320374287856,0.009083756291806893
444,202915242,16 10 21.53,-27 54 17.6,,11.2,,6.09,0.28,11.16,5.8,1.2661,1.7012,,,"USco,bronze",no,Simbad,1,0.999995,17.25,10.005733238465815,,,-1.6304131009407974,0.246,0.559,0.022,,0.013866982803217402,0.1546771233523427,0.009083756291806893
454,205145188,16 10 28.18,-19 10 44.5,,11.79,,7.03,1.17,11.64,5.86,1.7554,,,,"USco,gold",yes,Simbad,1,0.999999,18.67,11.036813238465816,,,-1.8262311772450464,0.23,0.455,0.021,,0.013866982803217402,,0.0
457,205247191,16 10 30.07,-18 39 06.8,,10.55,,7.35,1.35,10.38,6.0,3.906,,,,"USco,gold",no,Simbad,1,0.999999,17.73,9.966794238465816,,,-1.610302467337859,0.194,0.618,0.021,,0.013866982803217402,0.15812770192036485,0.009083756291806893
458,204487447,16 10 30.68,-22 08 23.2,,11.76,,7.07,1.17,11.61,5.89,2.0221,,,,"USco,bronze",yes,Simbad,1,0.999999,18.68,11.005791238465816,,,-1.890759026902888,0.221,0.454,0.022,,0.013866982803217402,,0.0
461,204870669,16 10 35.24,-20 29 17.1,,11.71,,6.91,0.54,11.64,6.37,1.3834,,,,"USco,gold",no,Simbad,1,0.999999,18.55,10.864138238465816,,,-1.8944898233511145,0.136,0.45,0.022,,0.013866982803217402,,0.0
464,204495624,16 10 42.58,-22 06 21.5,,11.5,,6.44,0.35,11.45,6.1,1.9662,,,,"USco,bronze",yes,Simbad,1,0.999998,17.89,10.449776238465816,3020.3,1.1776,-1.8233300726227908,0.178,0.473,0.022,0.10703470031545748,0.013866982803217402,0.12054770845859468,0.009083756291806893
467,202879519,16 10 44.58,-28 01 53.9,,10.77,,6.01,0.0,10.77,6.01,5.0729,,,,"USco,bronze",,Simbad,1,0.999994,16.78,9.532262238465815,3477.2,1.1219,-1.5015516080479088,0.193,0.63,0.021,0.2772380952380952,0.013866982803217402,0.20401544157455073,0.009083756291806893
471,204468732,16 10 49.95,-22 12 51.7,,11.73,,7.17,0.98,11.6,6.19,0.7695,0.4794,,,"USco,bronze",no,Simbad,1,0.999999,18.77,11.030426238465814,,,-1.8709549386408115,0.161,0.476,0.023,,0.013866982803217402,,0.0
473,205054397,16 10 52.39,-19 37 34.7,,10.73,,6.11,0.54,10.66,5.56,1.8094,,,,"USco,gold",yes,Simbad,1,0.999987,16.77,9.551493238465817,,,-1.5191310708892685,0.319,0.607,0.021,,0.013866982803217402,0.20107380027809438,0.009083756291806893
476,204655153,16 10 54.99,-21 26 14.1,,11.78,,6.94,0.6,11.7,6.34,0.52,,,,"USco,gold",no,Simbad,1,0.999999,18.64,11.120483238465816,,,-1.9219058372020608,0.139,0.448,0.023,,0.013866982803217402,,0.0
478,204501712,16 10 56.91,-22 04 51.5,,11.4,,6.3,0.52,11.33,5.79,2.0304,,,,"USco,bronze",yes,Simbad,1,0.999998,17.630001,10.313749238465816,3380.1,1.1396,-1.7253803621613792,0.251,0.514,0.023,0.23099999999999996,0.013866982803217402,0.1295014355077936,0.009083756291806893
480,204117263,16 11 02.10,-23 35 50.7,,10.95,,6.11,0.35,10.91,5.75,0.6423,,,,"USco,gold",no,Simbad,1,0.99999,17.02,9.750511238465815,,,-1.596879481177452,0.26,0.567,0.021,,0.013866982803217402,0.1785151215590703,0.009083756291806893
487,204561327,16 11 09.19,-21 49 56.4,,11.6,,6.37,0.75,11.5,5.63,0.946,,,,"USco,bronze",no,Simbad,1,0.999999,17.869999,10.685677238465814,,,-1.8797551939834567,0.299,0.443,0.025,,0.013866982803217402,0.10593221048399713,0.009083756291806893
500,203759570,16 11 18.46,-25 01 55.0,,11.31,,5.8,0.22,11.29,5.58,1.8105,,,,"USco,bronze",no,Simbad,1,0.999893,17.09,9.968149238465816,3423.8,1.011,-1.589391466070345,0.314,0.55,0.021,0.25180952380952387,0.013866982803217402,0.15786393294213666,0.009083756291806893
504,204099713,16 11 26.29,-23 40 06.3,,12.47,,6.85,0.57,12.4,6.28,1.7984,,,,"USco,gold",no,Simbad,1,0.999998,19.25,11.620171238465815,,,-2.0629838821359097,0.147,0.349,0.024,,0.013866982803217402,,0.0
506,204365837,16 11 31.80,-22 37 08.5,,11.85,,6.61,0.3,11.82,6.31,1.7422,,,,"USco,gold",no,Simbad,1,0.999999,18.43,10.884938238465814,,,-1.9226320878381908,0.143,0.422,0.022,,0.013866982803217402,,0.0
508,204439854,16 11 34.69,-22 19 44.4,,12.33,,6.92,0.73,12.23,6.18,1.184,,,,"USco,gold",no,Simbad,1,0.999999,19.15,11.464113238465814,,,-2.0803989546754,0.162,0.349,0.023,,0.013866982803217402,,0.0
509,204074274,16 11 37.60,-23 46 15.0,,11.21,,5.98,0.41,11.16,5.57,1.8029,,,,"USco,gold",no,Simbad,1,0.999976,17.14,9.949440238465815,3375.5,1.0228,-1.6080069175685503,0.317,0.549,0.021,0.22880952380952382,0.013866982803217402,0.1594717777709164,0.009083756291806893
515,204292655,16 11 45.29,-22 54 33.2,,11.81,,6.82,0.7,11.72,6.12,1.558,1.708,,,"USco,bronze",no,Simbad,1,0.999999,18.54,11.091023238465816,,,-1.977159382406383,0.174,0.416,0.022,,0.013866982803217402,,0.0
516,205086621,16 11 45.33,-19 28 13.4,,11.81,,7.26,0.99,11.69,6.27,1.7416,,,,"USco,gold",yes,Simbad,1,0.999999,18.95,11.146491238465815,3005.7,1.6871,-1.8661418814726205,0.149,0.435,0.022,0.10242902208201887,0.013866982803217402,,0.0
517,205155253,16 11 46.12,-19 07 42.9,,11.15,,7.06,1.11,11.01,5.95,1.7852,,,,"USco,gold",yes,Simbad,1,0.999999,18.07,10.410732238465815,3368.3,1.4866,-1.737311673313769,0.207,0.52,0.021,0.22538095238095246,0.013866982803217402,0.12309160560581177,0.009083756291806893
519,205019241,16 11 49.20,-19 47 43.3,,10.82,,6.46,0.57,10.75,5.89,0.92,,,,"USco,bronze",no,Simbad,1,0.999998,17.21,9.811391238465816,3428.1,1.2292,-1.592609089247742,0.222,0.594,0.021,0.25385714285714284,0.013866982803217402,0.1714672515414716,0.009083756291806893
524,205091879,16 11 57.63,-19 26 39.1,,10.19,,6.9,1.0,10.06,5.9,1.0182,,,,"USco,bronze",yes,Simbad,1,0.999997,16.960001,9.389322238465816,,,-1.4436975179281346,0.22,0.669,0.021,,0.013866982803217402,0.22437488753418697,0.009083756291806893
527,204912351,16 12 02.22,-20 17 55.3,,11.08,,6.25,0.47,11.02,5.77,3.2611,,,,"USco,bronze",no,Simbad,1,0.999998,17.27,10.062400238465814,3415.8,1.2478,-1.6129662932282829,0.254,0.587,0.023,0.24800000000000008,0.013866982803217402,0.149935456643681,0.009083756291806893
534,205072354,16 12 10.43,-19 32 27.8,,11.24,,6.8,0.68,11.15,6.12,0.7718,,,,"USco,gold",no,Simbad,1,0.999999,17.95,10.364404238465816,,,-1.7162466136640546,0.173,0.527,0.022,,0.013866982803217402,0.12621265215846264,0.009083756291806893
536,205156547,16 12 12.41,-19 07 19.3,,10.96,,7.3,1.45,10.77,5.86,1.8003,,,,"USco,bronze",yes,Simbad,1,0.999999,18.07,10.325223238465815,,,-1.6516951491983405,0.231,0.563,0.021,,0.013866982803217402,0.128808735644556,0.009083756291806893
538,202709862,16 12 17.22,-28 39 08.5,,11.3,,5.7,0.05,11.29,5.65,0.9952,2.0106,,,"USco,gold",no,Simbad,1,0.999955,16.99,9.894319238465815,3317.8,0.824,-1.6961562435388633,0.289,0.5,0.021,0.20133333333333342,0.013866982803217402,0.16408590761848096,0.009083756291806893
540,205102553,16 12 18.44,-19 23 32.6,,12.0,,7.0,0.85,11.89,6.15,1.8511,,,,"USco,bronze",no,Simbad,1,0.999999,18.89,11.375163238465817,,,-1.9408153930640968,0.168,0.405,0.022,,0.013866982803217402,,0.0
543,204651122,16 12 22.89,-21 27 16.1,,12.03,,7.0,0.73,11.94,6.27,1.5999,,,,"USco,bronze",yes,Simbad,1,0.999999,18.939999,11.397591238465814,,,-1.98380265167473,0.149,0.407,0.022,,0.013866982803217402,,0.0
545,204940701,16 12 27.36,-20 09 59.9,,11.53,,6.81,0.71,11.44,6.1,1.7776,,,,"USco,gold",yes,Simbad,1,0.999998,18.25,10.798035238465816,,,-1.837734377426664,0.177,0.488,0.022,,0.013866982803217402,,0.0
548,210282525,16 12 33.53,-25 43 28.0,,10.14,,6.74,0.66,10.06,6.07,3.7871,,,,"USco,gold",no,Simbad,1,0.999928,16.8,9.250020238465815,,,,0.182,,,,0.013866982803217402,0.24422465574744506,0.009083756291806893
556,205013031,16 12 40.20,-19 49 30.6,,11.29,,6.25,0.45,11.23,5.81,3.6251,,,,"USco,bronze",no,Simbad,1,0.999998,17.48,10.249017238465814,3415.8,1.2416,-1.7512912767069624,0.245,0.5,0.021,0.24800000000000008,0.013866982803217402,0.13462416572878994,0.009083756291806893
562,204105498,16 12 46.91,-23 38 41.0,,12.62,,7.21,0.73,12.53,6.48,0.2844,0.2954,,,"USco,gold",no,Simbad,1,0.999999,19.74,12.072865238465816,,,-2.1771783625794647,0.121,0.322,0.022,,0.013866982803217402,,0.0
563,205167772,16 12 47.25,-19 03 53.3,,11.75,,6.92,1.12,11.6,5.81,1.1876,,,,"USco,gold",no,Simbad,1,0.999999,18.52,11.147065238465814,,,-1.877784126855525,0.245,0.441,0.022,,0.013866982803217402,,0.0
565,204888409,16 12 48.96,-20 24 30.6,,12.08,,6.32,0.32,12.04,5.99,1.3743,,,,"USco,bronze",no,Simbad,1,0.999994,18.36,10.963875238465814,3292.0,1.0949,-1.847100396133545,0.197,0.44,0.023,0.19274447949526816,0.013866982803217402,,0.0
572,205082248,16 13 03.05,-19 29 32.3,,12.35,,7.12,1.17,12.2,5.95,1.7541,,,,"USco,silver",no,Simbad,1,0.999999,19.32,11.801110238465814,,,-2.0347983005306114,0.207,0.359,0.023,,0.013866982803217402,,0.0
575,204259310,16 13 09.82,-23 02 18.4,,11.76,,6.29,0.47,11.69,5.82,1.3301,1.5318,,,"USco,bronze",yes,Simbad,1,0.999998,17.98,10.841399238465817,,,-1.9746941474950583,0.242,0.381,0.025,,0.013866982803217402,,0.0
578,204210528,16 13 10.81,-23 13 51.7,,11.61,,5.96,0.0,11.61,5.96,0.987,,,,"USco,gold",no,Simbad,1,0.999996,17.57,10.425151238465816,,,-1.9759250157415835,0.205,0.372,0.024,,0.013866982803217402,0.12214830447836113,0.009083756291806893
580,204491374,16 13 11.71,-22 07 25.6,,11.21,,6.11,0.35,11.17,5.76,1.2445,,,,"USco,bronze",maybe,Simbad,1,0.999995,17.28,10.038927238465815,3434.5,1.1374,-1.652865220104578,0.259,0.545,0.022,0.2569047619047619,0.013866982803217402,0.15189145546385552,0.009083756291806893
588,205373716,16 13 20.80,-17 57 52.1,,9.87,,5.83,0.23,9.84,5.59,1.1268,4.1193,,,"USco,bronze",,Simbad,1,0.999751,15.67,8.527364238465815,3534.8,1.012,-0.7831482337089825,0.309,0.375,,0.3062820512820514,0.013866982803217402,0.3582182492404044,0.009083756291806893
598,204149252,16 13 34.76,-23 28 15.8,,12.5,,6.65,0.64,12.41,6.01,0.9942,,,,"USco,gold",no,Simbad,1,0.999998,19.06,11.536110238465817,,,-2.022276408675951,0.193,0.365,0.022,,0.013866982803217402,,0.0
600,204152030,16 13 36.46,-23 27 35.6,,11.22,,6.23,0.52,11.15,5.72,1.8029,0.8242,1.0198,,"USco,gold",,Simbad,1,0.999752,17.38,10.447350238465816,,,,0.27,,,,0.013866982803217402,0.1208046456580091,0.009083756291806893
604,204525772,16 13 38.32,-21 58 52.0,,11.0,,5.89,0.32,10.96,5.57,1.5467,,,,"USco,gold",no,Simbad,1,0.999911,16.85,9.693231238465817,,,-1.4997635163711684,0.316,0.598,0.021,,0.013866982803217402,0.18501154253784388,0.009083756291806893
621,203534383,16 14 02.97,-25 48 53.3,,11.71,,7.05,0.83,11.6,6.22,0.2784,0.3234,,,"USco,bronze",no,Simbad,1,0.999999,18.650002,10.953523238465817,,,-1.8282735487000388,0.157,0.484,0.021,,0.013866982803217402,,0.0
623,203459091,16 14 04.91,-26 04 06.6,,10.76,,6.11,0.28,10.73,5.83,0.7071,0.7969,,,"USco,bronze",no,Simbad,1,0.999993,16.84,9.589121238465816,,,-1.568475425789333,0.238,0.586,0.023,,0.013866982803217402,0.1967845370991916,0.009083756291806893
626,204492163,16 14 08.95,-22 07 13.3,,11.48,,5.99,0.32,11.44,5.67,0.5673,,,,"USco,bronze",no,Simbad,1,0.999984,17.43,10.234461238465816,3362.8,1.0215,-1.693574971170993,0.285,0.507,0.021,0.22276190476190486,0.013866982803217402,0.13593849129900257,0.009083756291806893
627,204449800,16 14 10.10,-22 17 23.7,,9.81,,6.91,0.66,9.72,6.25,2.448,1.9503,,,"USco,gold",no,Simbad,1,0.99964,16.630001,9.118330238465814,6243.1,3.8938,,0.152,,,,0.013866982803217402,0.26301321997402216,0.009083756291806893
632,204332672,16 14 13.51,-22 44 58.0,,11.42,,5.96,0.33,11.38,5.63,2.6312,,,,"USco,gold",no,Simbad,1,0.99996,17.34,10.150595238465815,,,-1.6176227098612284,0.297,0.54,0.022,,0.013866982803217402,0.1427766783279669,0.009083756291806893
645,204828211,16 14 36.38,-20 40 49.3,,11.5,,5.62,0.0,11.5,5.62,0.7257,,,,"USco,bronze",no,Simbad,1,0.99964,17.119999,10.047849238465815,3383.5,0.9145,-1.7708302954755446,0.3,0.44,0.021,0.23261904761904761,0.013866982803217402,0.1511278748724842,0.009083756291806893
647,203726701,16 14 39.18,-25 08 56.5,,11.99,,6.24,0.49,11.93,5.76,1.6873,,,,"USco,bronze",no,Simbad,1,0.999995,18.17,10.838734238465817,3324.0,1.1204,-1.845880486120132,0.259,0.435,0.021,0.2042857142857143,0.013866982803217402,,0.0
649,204408619,16 14 41.19,-22 27 05.6,,10.87,,5.61,0.0,10.87,5.61,2.6303,,,,"USco,gold",no,Simbad,1,0.999389,16.48,9.414396238465816,,,-1.458046522405422,0.304,0.6,0.021,,0.013866982803217402,0.22058524143242048,0.009083756291806893
658,203703016,16 14 52.43,-25 13 52.7,,10.45,,6.41,0.71,10.36,5.7,4.8533,1.8508,,,"USco,gold",yes,Simbad,1,0.999798,16.77,9.482335238465817,,,,0.275,,,,0.013866982803217402,0.2110105068791873,0.009083756291806893
667,203770366,16 15 05.24,-24 59 35.4,,11.48,,6.59,0.95,11.36,5.63,1.8145,,,,"USco,gold",yes,Simbad,1,0.999999,17.95,10.725222238465816,,,-1.819874130589333,0.296,0.486,0.021,,0.013866982803217402,0.10361514944955737,0.009083756291806893
670,204079030,16 15 08.91,-23 45 05.2,,11.34,,5.85,0.28,11.3,5.58,2.832,,,,"USco,gold",no,Simbad,1,0.99987,17.15,9.992596238465817,3421.2,0.9906,-1.5818645072975537,0.315,0.541,0.021,0.2505714285714285,0.013866982803217402,0.15582666329894146,0.009083756291806893
675,203938167,16 15 12.37,-24 20 09.4,,12.13,,6.27,0.39,12.08,5.88,1.6151,,,,"USco,gold",yes,Simbad,1,0.999998,18.35,11.082558238465817,,,-1.929962148262908,0.225,0.407,0.021,,0.013866982803217402,,0.0
679,204299578,16 15 15.18,-22 52 54.0,,12.01,,6.45,0.24,11.98,6.21,0.7705,,,,"USco,bronze",no,Simbad,1,0.999998,18.43,10.944216238465817,,,-1.9318141500352728,0.158,0.411,0.021,,0.013866982803217402,,0.0
684,204584778,16 15 25.15,-21 44 01.5,,11.78,,6.88,0.61,11.7,6.27,1.7439,,,,"USco,bronze",yes,Simbad,1,0.999999,18.58,11.217028238465817,,,-1.902048930772211,0.15,0.457,0.022,,0.013866982803217402,,0.0
685,203816510,16 15 27.20,-24 49 27.4,,11.51,,6.76,1.07,11.37,5.69,1.8192,,,,"USco,bronze",yes,Simbad,1,0.999998,18.130001,10.602221238465816,3477.7,1.6871,-1.729787149035979,0.277,0.506,0.021,0.2774761904761904,0.013866982803217402,0.11067871134135106,0.009083756291806893
691,205198363,16 15 33.40,-18 54 25.1,,11.27,,8.23,2.23,10.98,6.0,1.8996,,,,"USco,bronze",yes,Simbad,1,1.0,19.21,11.063126238465816,,,-1.749092284494468,0.195,0.546,0.023,,0.013866982803217402,,0.0
694,204204414,16 15 36.47,-23 15 17.5,,13.1,,6.3,0.16,13.09,6.15,0.6223,,,,"USco,silver",no,Simbad,1,0.999997,19.39,12.067055238465816,,,-2.224025681694375,0.169,0.282,0.023,,0.013866982803217402,,0.0
