,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
129,131,H97: 3130,12.77,0.011,12.48,0.012,12.4,0.048,11.28,0.067,3.46,M4.5,H97,L,[H97b] 3130,05 34 48.2,-05 30 10.2,1,18.520403,,,0.0,0.0
130,132,JW 94,11.14,0.004,11.27,0.006,10.98,0.022,10.74,0.067,4.75,M2.5,H97,H,JW 94,05 34 48.3,-05 32 35.1,1,16.838728,,,0.0,0.0
131,133,Par 1612,10.72,0.003,10.67,0.004,10.68,0.011,10.65,0.05,1.3,K8,H97,H,Parenago 1612,05 34 48.3,-05 37 22.8,1,13.902919,1.3239,4.494017294395505,0.9891085817986129,0.0896731857449002
132,134,Par 1603,11.38,0.006,11.39,0.008,11.46,0.017,11.33,0.029,9.0,,,,Parenago 1603,05 34 48.4,-05 05 01.4,2,15.106976,,,0.0,0.0
133,135,Par 1613,10.87,0.003,10.9,0.004,10.92,0.018,10.99,0.083,2.98,K6,R01,H,Parenago 1613,05 34 48.5,-05 41 58.2,1,13.686006,0.5104,5.090604294395504,0.8778281757219395,0.0896731857449002
134,136,R01- 1489,11.43,0.006,11.18,0.006,10.87,0.023,10.1,0.044,5.65,M3.5,R01,L,[R2001]  1489,05 34 48.6,-04 47 50.0,1,16.059444,0.4866,7.487842794395505,0.43067516414828605,0.0896731857449002
135,137,JW 100,11.88,0.007,11.39,0.007,11.13,0.02,10.53,0.053,2.09,M2.5,H97,H,JW 100,05 34 48.8,-05 33 33.1,1,16.783361,,,0.0,0.0
136,138,JW 99,9.83,0.004,9.94,0.005,9.69,0.031,9.26,0.109,1.69,M1,H97,H,JW 99,05 34 48.8,-05 23 18.0,1,14.555361,4.2597,2.210659294395505,0.0,0.0
137,139,JW 101,11.65,0.014,10.63,0.006,9.47,0.031,7.59,0.036,9.37,,,,JW 101,05 34 48.9,-05 31 45.9,1,15.411764,0.341,6.985763294395504,0.5243272394328724,0.0896731857449002
138,140,R01- 1493,12.19,0.009,12.19,0.011,12.09,0.048,11.44,0.135,11.45,,,,[R2001]  1493,05 34 48.9,-04 57 14.3,1,16.55936,1.0268,7.447558294395504,0.43818936663387414,0.0896731857449002
139,141,JW 104,11.24,0.006,10.77,0.005,10.55,0.033,9.66,0.07,1.78,M3,H97,L,JW 104,05 34 49.1,-05 26 26.6,1,16.484816,0.7166,7.683213294395504,0.39423302147075284,0.0896731857449002
140,142,Par 1625,10.35,0.002,10.05,0.003,9.78,0.005,8.99,0.008,6.95,M3.5,R01,L,Parenago 1625,05 34 49.1,-05 46 05.0,1,15.064927,,,0.0,0.0
141,143,CHS 5951,11.07,0.004,10.89,0.004,10.65,0.008,9.73,0.008,10.03,,,,[CHS2001] 5951,05 34 50.0,-06 28 12.1,1,14.262395,1.8864,4.290993294395504,0.0,0.0
142,144,Par 1622,10.91,0.005,10.85,0.007,10.96,0.045,10.55,0.164,4.94,K8,H97,H,Parenago 1622,05 34 50.5,-05 11 10.6,1,14.44855,2.0462,4.317348294395504,0.0,0.0
143,145,JW 114,10.78,0.007,10.59,0.006,10.21,0.037,9.44,0.097,8.73,M1,H97,H,JW 114,05 34 50.5,-05 23 35.4,1,15.871574,,,0.0,0.0
144,146,Par 1633,10.13,0.003,10.23,0.004,10.07,0.022,9.68,0.079,2.34,K5,H97,H,Parenago 1633,05 34 50.7,-05 24 01.4,1,13.0578,,,0.0,0.0
145,147,JW 117,9.46,0.002,9.22,0.002,8.9,0.006,8.37,0.026,8.87,M0,H97,H,JW 117,05 34 50.7,-05 27 01.1,1,14.344956,2.5445,3.7154542943955047,0.0,0.0
146,148,R01- 1518,11.76,0.006,11.79,0.008,11.73,0.019,11.64,0.054,5.82,M1,R01,H,[R2001]  1518,05 34 50.9,-06 00 13.6,1,15.392712,0.441,6.866710294395505,0.5465340025428163,0.0896731857449002
147,149,Par 1643,9.79,0.002,9.98,0.003,9.67,0.006,9.17,0.024,3.2,,,,Parenago 1643,05 34 51.0,-05 42 21.4,1,12.488465,0.4914,3.9120642943955044,0.0,0.0
148,150,Par 1620,10.19,0.002,10.24,0.003,10.12,0.009,9.84,0.031,1.29,,,,Parenago 1620,05 34 51.1,-04 43 41.4,1,13.155997,,,0.0,0.0
149,151,JW 121,9.66,0.003,9.22,0.003,8.7,0.016,7.92,0.045,5.54,M3,H97,L,JW 121,05 34 51.2,-05 16 54.9,1,16.548773,,,0.0,0.0
150,152,R01- 1524,12.1,0.007,11.94,0.009,11.95,0.022,11.93,0.051,3.15,M4,R01,L,[R2001]  1524,05 34 51.4,-05 00 11.4,1,16.2817,0.8055,7.391198294395505,0.44870210607660954,0.0896731857449002
151,153,Par 1642,8.64,0.002,8.23,0.002,7.9,0.004,6.88,0.013,6.63,K2,H97,H,Parenago 1642,05 34 51.6,-05 25 13.0,1,13.957253,2.0986,3.7736522943955038,0.0,0.0
152,154,HBJM 10288,10.4,0.003,10.36,0.003,10.17,0.01,9.84,0.038,7.44,,,,[H97b] 10288,05 34 51.8,-05 39 24.1,1,15.290154,,,0.0,0.0
153,155,R01- 1526,10.4,0.003,10.36,0.003,10.17,0.01,9.84,0.038,7.36,,,,[R2001]  1526,05 34 51.8,-05 39 24.1,1,15.290154,,,0.0,0.0
154,156,R01- 1528,11.44,0.004,11.52,0.007,11.46,0.015,11.34,0.023,1.82,,,,[R2001]  1528,05 34 52.1,-06 03 20.7,1,14.939937,,,0.0,0.0
155,157,R01- 1535,11.55,0.005,11.46,0.007,11.43,0.014,11.31,0.021,0.9,M3,R01,L,[R2001]  1535,05 34 52.4,-06 11 57.0,1,15.346974,,,0.0,0.0
156,158,JW 133,10.76,0.004,10.82,0.005,10.81,0.029,10.66,0.121,2.03,M1.5,H97,H,JW 133,05 34 52.6,-05 24 03.8,1,14.507621,,,0.0,0.0
157,159,JW 135,9.78,0.003,9.45,0.002,9.1,0.009,8.28,0.026,3.69,M3,H97,L,JW 135,05 34 52.7,-05 29 45.3,1,15.506721,,,0.0,0.0
158,160,JW 136,9.12,0.002,8.87,0.003,8.67,0.008,7.93,0.028,8.65,,,,JW 136,05 34 52.7,-05 27 55.0,1,14.828218,,,0.0,0.0
159,161,JW 137,9.12,0.002,8.87,0.003,8.67,0.008,7.93,0.028,8.65,,,,JW 137,05 34 52.7,-05 27 53.0,1,15.193907,,,0.0,0.0
160,162,JW 138,11.23,0.007,10.94,0.007,10.13,0.037,8.89,0.065,4.44,M3.5,H97,L,JW 138,05 34 52.9,-05 28 59.1,1,16.059362,0.2484,7.725961294395503,0.38625930632528976,0.0896731857449002
161,163,JW 140,11.05,0.003,11.08,0.005,11.04,0.014,11.27,0.051,4.58,M3.5,H97,L,JW 140,05 34 53.4,-05 10 27.9,1,15.390889,,,0.0,0.0
162,164,R01- 1555,12.76,0.01,12.4,0.011,12.06,0.026,11.4,0.058,2.02,,,,[R2001]  1555,05 34 53.5,-05 40 04.0,1,17.465794,,,0.0,0.0
163,165,JW 149,11.08,0.008,10.83,0.006,10.29,0.036,9.24,0.068,2.76,M3,H97,L,JW 149,05 34 54.6,-05 28 18.2,1,17.200209,,,0.0,0.0
164,166,Par 1655,11.31,0.004,11.35,0.006,11.36,0.014,11.46,0.044,7.36,,,,Parenago 1655,05 34 55.4,-05 01 39.4,1,14.918934,0.5525,6.281432294395504,0.6557049591739672,0.0896731857449002
165,167,JW 156,9.76,0.002,9.49,0.002,8.82,0.005,7.79,0.015,7.92,M0.5,H97,H,JW 156,05 34 55.6,-05 36 06.2,1,17.04217,5.9491,3.008067294395504,0.0,0.0
166,168,Par 1659,8.05,0.002,8.09,0.002,7.93,0.003,7.96,0.023,17.4,K2,H97,H,Parenago 1659,05 34 56.0,-05 23 13.0,1,11.099768,1.1575,1.8572652943955035,0.0,0.0
167,169,JW 158,10.27,0.002,10.3,0.003,10.27,0.014,10.08,0.046,1.92,M1.5,H97,H,JW 158,05 34 56.0,-05 29 26.4,1,14.537218,4.1212,2.3310162943955035,0.0,0.0
168,170,JW 159,10.74,0.005,10.82,0.005,10.62,0.037,10.16,0.119,1.12,M2,H97,H,JW 159,05 34 56.0,-05 31 13.1,1,14.831566,,,0.0,0.0
169,171,R01- 1591,11.39,0.004,11.39,0.006,11.48,0.017,11.49,0.051,0.46,,,,[R2001]  1591,05 34 56.1,-05 06 01.8,1,15.550913,,,0.0,0.0
170,172,R01- 1592,11.55,0.005,11.53,0.006,11.57,0.016,11.51,0.022,4.19,,,,[R2001]  1592,05 34 56.3,-06 04 17.4,1,15.110431,,,0.0,0.0
171,173,JW 166,11.61,0.005,11.69,0.008,11.57,0.031,11.08,0.124,0.67,M5,H97,L,JW 166,05 34 56.4,-05 38 05.2,1,15.72338,,,0.0,0.0
172,174,JW 164,10.53,0.003,10.28,0.003,9.91,0.01,9.11,0.027,6.52,M2,H97,H,JW 164,05 34 56.5,-05 27 51.1,1,15.322326,,,0.0,0.0
173,175,R01- 1595,11.61,0.006,11.87,0.009,11.72,0.05,10.71,0.115,0.84,M2,R01,H,[R2001]  1595,05 34 56.6,-05 52 07.0,1,15.738347,0.5565,7.096845294395504,0.5036072940329108,0.0896731857449002
174,176,JW 168,11.83,0.008,11.85,0.008,11.82,0.037,11.76,0.145,0.92,M5.5,H97,L,JW 168,05 34 56.8,-05 26 37.2,1,16.601412,1.1746,7.341810294395504,0.45791436966082183,0.0896731857449002
175,177,CHS 6568,9.93,0.003,9.61,0.002,9.37,0.006,9.02,0.029,6.19,,,,[CHS2001] 6568,05 34 56.8,-04 46 04.8,1,14.892733,2.2352,4.572531294395505,0.9744634926478943,0.0896731857449002
176,178,JW 169,11.04,0.005,10.73,0.006,10.37,0.031,9.77,0.069,3.82,,,,JW 169,05 34 56.9,-05 22 06.3,1,17.33208,,,0.0,0.0
177,179,R01- 1603,11.81,0.007,11.72,0.009,11.64,0.021,11.59,0.074,5.99,M2.5,R01,L,[R2001]  1603,05 34 57.2,-05 42 02.8,1,15.521493,0.4934,6.943091294395504,0.5322867784254186,0.0896731857449002
178,180,JW 175,10.51,0.009,10.03,0.008,9.49,0.052,8.06,0.069,9.19,M3,H97,L,JW 175,05 34 57.8,-05 22 51.2,1,15.652281,,,0.0,0.0
179,181,JW 177,10.45,0.004,10.06,0.004,9.8,0.028,9.58,0.132,9.09,M0,H97,H,JW 177,05 34 58.0,-05 17 37.7,1,16.020409,1.9456,5.989806294395505,0.7101014842388678,0.0896731857449002
180,182,JW 178,10.91,0.004,10.83,0.004,10.97,0.029,10.8,0.124,1.27,M2,H97,H,JW 178,05 34 58.2,-05 09 27.6,1,15.492446,4.3728,3.0346442943955036,0.0,0.0
181,183,CHS 6721,11.16,0.004,11.0,0.004,10.9,0.014,10.98,0.07,4.42,,,,[CHS2001] 6721,05 34 58.3,-05 38 25.7,1,18.922098,5.2139,5.623197294395505,0.7784844667502056,0.0896731857449002
182,184,JW 186,11.18,0.004,10.69,0.004,10.49,0.018,9.7,0.04,6.03,M2.5,H97,H,JW 186,05 34 58.5,-05 32 49.9,1,17.60719,,,0.0,0.0
183,185,R01- 1630,8.48,0.002,7.99,0.002,7.5,0.002,6.89,0.004,14.19,,,,[R2001]  1630,05 34 59.2,-05 44 55.3,1,17.234146,4.6416,4.507544294395505,0.9865854124136482,0.0896731857449002
184,186,R01- 1632,10.97,0.003,10.75,0.004,10.76,0.012,10.45,0.039,5.59,,,,[R2001]  1632,05 34 59.3,-05 05 30.0,1,15.542288,,,0.0,0.0
185,187,Par 1686,10.02,0.005,9.45,0.003,9.09,0.021,8.33,0.055,8.73,M2,H97,H,Parenago 1686,05 34 59.6,-05 25 40.0,1,15.026439,,,0.0,0.0
186,188,JW 194,12.51,0.01,12.33,0.012,11.9,0.048,10.91,0.098,13.87,M5.5,H97,L,JW 194,05 35 00.4,-05 09 44.1,1,17.44552,,,0.0,0.0
187,189,JW 200,11.21,0.009,10.82,0.005,10.49,0.05,9.31,0.086,3.11,M2.5,H97,H,JW 200,05 35 00.9,-05 31 05.9,1,17.540552,,,0.0,0.0
188,190,JW 210,9.53,0.006,9.07,0.003,8.53,0.026,7.41,0.049,9.96,K6-K8,H97,H,JW 210,05 35 01.3,-05 20 22.1,1,15.604229,,,0.0,0.0
189,191,Par 1715,10.8,0.003,10.85,0.004,10.79,0.012,10.81,0.032,2.04,M0,R01,H,Parenago 1715,05 35 01.4,-05 55 54.8,1,14.249749,,,0.0,0.0
190,192,Par 1693,11.14,0.004,11.21,0.006,11.14,0.029,11.11,0.129,2.83,M1.5,H97,H,Parenago 1693,05 35 01.4,-05 09 32.6,1,14.908166,,,0.0,0.0
191,193,R01- 1659,11.28,0.005,11.19,0.007,11.3,0.033,10.61,0.09,5.44,M3,R01,L,[R2001]  1659,05 35 02.0,-04 41 14.5,1,17.445812,,,0.0,0.0
192,194,JW 222,9.77,0.004,9.48,0.003,9.11,0.027,8.7,0.093,5.06,M2,H97,H,JW 222,05 35 02.2,-05 29 09.9,1,16.897308,,,0.0,0.0
193,195,Par 1692,11.33,0.006,11.36,0.009,11.33,0.03,11.43,0.193,5.42,M2.5,R01,L,Parenago 1692,05 35 02.4,-04 49 16.2,2,15.69877,,,0.0,0.0
194,196,R01- 1663,9.79,0.003,9.87,0.005,9.79,0.008,9.73,0.031,6.96,,,,[R2001]  1663,05 35 02.7,-04 49 29.3,1,13.969032,,,0.0,0.0
195,197,JW 228,12.45,0.012,12.17,0.012,11.62,0.071,10.24,0.123,3.22,M5,H97,L,JW 228,05 35 02.8,-05 32 02.8,1,17.844366,,,0.0,0.0
196,198,Par 1741,11.32,0.004,11.35,0.006,11.4,0.015,11.28,0.022,6.41,,,,Parenago 1741,05 35 02.9,-06 05 25.2,1,14.846787,,,0.0,0.0
197,199,JW 229,10.88,0.007,10.73,0.009,10.64,0.063,10.01,0.184,7.75,M1.5,H97,H,JW 229,05 35 03.2,-05 18 29.9,1,15.435377,,,0.0,0.0
198,200,Par 1701,7.67,0.001,7.31,0.002,7.12,0.002,6.64,0.003,10.46,,,,Parenago 1701,05 35 03.3,-04 49 21.0,1,12.606713,,,0.0,0.0
199,201,Par 1725,9.39,0.005,9.15,0.003,8.9,0.029,8.09,0.072,4.44,M1.5,H97,H,Parenago 1725,05 35 03.9,-05 29 03.4,1,13.944856,3.3229,2.536954294395505,0.0,0.0
200,202,JW 237,10.81,0.006,10.38,0.006,10.12,0.033,9.29,0.078,5.22,M4,H97,L,JW 237,05 35 04.0,-05 18 59.8,1,16.917917,,,0.0,0.0
201,203,R01- 1681,11.51,0.005,11.39,0.007,11.38,0.028,11.65,0.167,18.51,M3.5,R01,L,[R2001]  1681,05 35 04.0,-05 40 51.6,1,15.991894,,,0.0,0.0
202,204,JW 243,10.34,0.006,9.94,0.006,9.41,0.018,8.68,0.044,10.1,M2,H97,H,JW 243,05 35 04.1,-05 26 37.2,1,14.966702,,,0.0,0.0
203,205,JW 245,9.72,0.003,9.45,0.004,9.06,0.012,8.57,0.035,9.46,M2,H97,H,JW 245,05 35 04.2,-05 26 27.8,1,15.292636,,,0.0,0.0
204,206,Par 1724,7.19,0.001,7.22,0.002,7.09,0.002,7.02,0.004,5.61,K0V,H97,H,Parenago 1724,05 35 04.3,-05 08 12.5,1,10.146164,1.1533,0.907862294395505,0.0,0.0
205,207,JW 248,8.89,0.006,8.55,0.006,8.0,0.023,7.22,0.06,6.21,M0.5,H97,H,JW 248,05 35 04.4,-05 23 13.9,1,14.57122,,,0.0,0.0
206,208,Par 1737,8.49,0.005,8.24,0.003,7.92,0.019,7.82,0.091,3.82,K2,H97,H,Parenago 1737,05 35 04.5,-05 23 56.5,1,14.568772,,,0.0,0.0
207,209,JW 250,10.39,0.006,10.11,0.008,9.79,0.027,9.64,0.116,2.71,M3,H97,L,JW 250,05 35 04.5,-05 26 04.4,1,15.584298,,,0.0,0.0
208,210,JW 254,10.39,0.005,10.05,0.006,9.6,0.025,9.16,0.083,3.52,M3,H97,L,JW 254,05 35 04.6,-05 26 23.1,1,15.999413,,,0.0,0.0
209,211,JW 258,9.86,0.004,9.59,0.005,9.33,0.019,8.62,0.056,10.98,M0.5,H97,H,JW 258,05 35 04.8,-05 26 38.0,1,15.208543,,,0.0,0.0
210,212,JW 257,10.84,0.024,10.35,0.035,9.84,0.073,8.68,0.093,5.22,M4.5,H97,L,JW 257,05 35 04.8,-05 22 38.7,1,16.07257,,,0.0,0.0
211,213,Par 1721,10.91,0.004,10.96,0.006,10.93,0.017,10.87,0.068,24.87,M1.5,R01,H,Parenago 1721,05 35 04.9,-04 49 13.1,1,14.668904,,,0.0,0.0
212,214,JW 263,10.53,0.003,10.08,0.003,9.8,0.009,8.82,0.028,7.75,M4.5,H97,L,JW 263,05 35 05.1,-05 36 43.8,1,16.2107,,,0.0,0.0
213,215,Par 1748,9.31,0.002,8.99,0.003,8.64,0.006,8.16,0.024,8.25,M0,H97,H,Parenago 1748,05 35 05.3,-05 34 28.5,1,15.402205,2.4979,4.819303294395505,0.9284335114952731,0.0896731857449002
214,216,JW 278,8.06,0.004,7.62,0.003,7.25,0.01,6.67,0.029,6.76,K2-K7,H97,H,JW 278,05 35 05.7,-05 24 18.5,1,15.15616,,,0.0,0.0
215,217,JW 269,10.11,0.004,9.68,0.003,9.43,0.031,8.62,0.075,5.8,,,,JW 269,05 35 05.7,-05 11 35.1,1,18.186419,,,0.0,0.0
216,218,R01- 1710,11.09,0.004,11.18,0.005,11.25,0.017,10.97,0.041,4.18,M0,R01,H,[R2001]  1710,05 35 06.1,-05 45 31.2,2,14.307561,,,0.0,0.0
217,219,Par 1755,7.78,0.002,6.94,0.002,6.01,0.004,4.91,0.009,2.85,M0.5,H97,H,Parenago 1755,05 35 06.4,-05 33 35.2,1,15.82361,,,0.0,0.0
218,220,JW 299,11.57,0.013,11.24,0.017,10.69,0.064,9.39,0.106,2.76,,,,JW 299,05 35 06.9,-05 26 00.6,1,17.18556,,,0.0,0.0
219,221,JW 301,10.19,0.004,10.22,0.004,9.75,0.033,8.93,0.073,7.92,,,,JW 301,05 35 07.5,-05 11 14.5,1,15.97405,,,0.0,0.0
220,222,Par 1763,9.73,0.003,9.67,0.003,9.53,0.019,9.73,0.079,4.17,M3,H97,L,Parenago 1763,05 35 07.6,-05 36 19.6,1,13.691401,,,0.0,0.0
221,223,CHS 7678,8.72,0.01,8.19,0.007,7.78,0.053,6.62,0.107,7.88,,,,[CHS2001] 7678,05 35 07.7,-05 21 01.5,1,20.207525,,,0.0,0.0
222,224,JW 326,9.95,0.005,9.86,0.003,0.0,0.0,9.69,0.191,6.63,K6-K8,H97,H,JW 326,05 35 08.7,-05 29 01.6,1,16.933598,,,0.0,0.0
223,225,CHS 7797,12.75,0.013,11.92,0.012,11.0,0.018,9.89,0.043,17.08,,,,[CHS2001] 7797,05 35 08.7,-05 31 27.5,1,19.890568,,,0.0,0.0
224,226,R01- 1750,10.72,0.003,10.38,0.003,10.22,0.008,9.47,0.024,1.97,M4,R01,L,[R2001]  1750,05 35 08.7,-05 04 40.8,1,15.948042,,,0.0,0.0
225,227,Par 1773,9.69,0.003,9.83,0.003,9.71,0.03,9.48,0.119,1.57,K1-K4,H97,H,Parenago 1773,05 35 09.1,-05 29 59.2,1,12.738749,1.1324,3.5213462943955047,0.0,0.0
226,228,Par 1764,10.11,0.002,10.31,0.003,10.17,0.007,10.09,0.034,7.84,M0,R01,H,Parenago 1764,05 35 09.1,-05 06 47.2,1,13.80773,2.4872,3.235528294395504,0.0,0.0
227,229,H97: 3134,8.05,0.002,7.66,0.002,7.17,0.002,6.39,0.005,6.09,,,,[H97b] 3134,05 35 09.2,-05 30 58.5,1,17.814333,,,0.0,0.0
228,230,JW 338,9.46,0.004,9.08,0.004,8.7,0.029,7.79,0.056,6.62,M3.5,H97,L,JW 338,05 35 09.9,-05 19 34.0,1,16.097113,,,0.0,0.0
229,231,CHS 8034,12.65,0.011,12.25,0.012,11.99,0.048,11.51,0.141,2.94,,,,[CHS2001] 8034,05 35 10.7,-04 42 07.6,1,20.526106,,,0.0,0.0
230,232,JW 356,8.21,0.006,7.74,0.005,6.98,0.042,5.87,0.074,4.69,M3,H97,L,JW 356,05 35 10.9,-05 24 48.6,1,15.413756,,,0.0,0.0
231,233,R01- 1782,12.11,0.008,12.2,0.012,12.13,0.032,12.28,0.174,2.5,M3.5,R01,L,[R2001]  1782,05 35 11.0,-04 47 12.4,1,16.045937,0.5224,7.438535294395503,0.4398724121979013,0.0896731857449002
232,234,R01- 1787,11.56,0.006,11.64,0.008,11.3,0.027,10.96,0.084,1.09,,,,[R2001]  1787,05 35 11.2,-05 41 36.2,1,17.805592,3.3378,6.3827902943955035,0.6367988157279181,0.0896731857449002
233,235,Par 1799,8.48,0.004,8.51,0.005,8.44,0.047,7.43,0.089,0.5,G0-G2,H97,H,Parenago 1799,05 35 11.6,-05 16 57.7,1,12.0486,2.7793,1.1842982943955036,0.0,0.0
234,236,Par 1812,10.27,0.002,10.37,0.003,10.29,0.007,10.5,0.031,4.04,K8,R01,H,Parenago 1812,05 35 11.9,-05 45 37.9,1,14.353689,3.6924,2.576287294395504,0.0,0.0
235,237,JW 373,8.03,0.007,7.92,0.01,7.35,0.05,6.39,0.106,9.81,K2-K3,H97,H,JW 373,05 35 12.0,-05 20 33.1,1,14.960885,,,0.0,0.0
236,238,JW 380,10.86,0.005,10.8,0.005,10.72,0.033,10.04,0.086,4.75,,,,JW 380,05 35 12.1,-05 31 38.8,1,15.394177,,,0.0,0.0
237,239,JW 379,11.24,0.005,10.86,0.005,10.69,0.024,9.53,0.053,11.3,M5.4,H97,L,JW 379,05 35 12.2,-05 30 20.2,1,16.759611,,,0.0,0.0
238,240,Par 1809,8.96,0.003,8.71,0.003,8.35,0.003,7.68,0.01,16.2,M0.5,H97,H,Parenago 1809,05 35 12.2,-05 30 32.9,1,15.044456,,,0.0,0.0
239,241,SMMV 1944,9.93,0.003,9.99,0.003,10.04,0.01,9.86,0.053,2.4,,,,SMMV 1944,05 35 12.5,-04 51 55.6,1,14.180141,3.4058,2.689340294395505,0.0,0.0
240,242,JW 383,11.05,0.013,11.11,0.02,10.83,0.062,10.15,0.161,7.11,M3,H97,L,JW 383,05 35 12.7,-05 16 13.5,1,16.11732,,,0.0,0.0
241,243,JW 388,10.11,0.009,10.12,0.009,10.1,0.064,9.86,0.186,7.78,K5,H97,H,JW 388,05 35 12.8,-05 15 24.0,1,15.092017,3.1659,3.841115294395504,0.0,0.0
242,244,JW 402,10.63,0.004,10.22,0.003,10.04,0.026,9.22,0.056,15.0,M5.5,H97,L,JW 402,05 35 13.0,-05 34 03.6,1,16.822506,,,0.0,0.0
243,245,JW 401,6.87,0.005,6.39,0.005,5.78,0.017,4.89,0.047,17.91,K0-K2,H97,H,JW 401,05 35 13.1,-05 24 55.4,1,13.81923,,,0.0,0.0
244,246,Par 1805,11.04,0.005,11.04,0.006,11.13,0.043,10.91,0.154,9.76,,,,Parenago 1805,05 35 13.3,-05 09 19.6,1,14.920941,,,0.0,0.0
245,247,Par 1798,7.45,0.001,7.46,0.002,7.53,0.002,7.39,0.01,2.51,,,,Parenago 1798,05 35 13.3,-04 51 44.9,2,9.373474,,,0.0,0.0
246,248,JW 406,9.55,0.007,9.47,0.008,9.09,0.059,8.0,0.105,2.26,M1,H97,H,JW 406,05 35 13.5,-05 17 10.3,1,15.586679,,,0.0,0.0
247,249,JW 413,6.85,0.004,6.11,0.003,5.3,0.004,4.12,0.026,10.08,K5,H97,H,JW 413,05 35 13.6,-05 19 54.9,1,16.101273,,,0.0,0.0
248,250,JW 422,10.16,0.008,9.77,0.006,9.52,0.057,8.48,0.113,6.37,,,,JW 422,05 35 13.7,-05 28 46.3,1,16.341679,,,0.0,0.0
249,251,JW 430,10.18,0.005,9.83,0.004,9.14,0.018,8.08,0.034,2.5,,,,JW 430,05 35 13.8,-05 34 54.9,1,16.935438,,,0.0,0.0
250,252,Par 1850,10.35,0.002,10.19,0.003,10.08,0.006,9.65,0.016,5.26,,,,Parenago 1850,05 35 14.0,-05 52 09.0,1,13.891104,1.0118,4.794302294395504,0.9330969074894979,0.0896731857449002
251,254,JW 447,10.58,0.003,10.08,0.003,9.52,0.005,8.57,0.02,2.6,,,,JW 447,05 35 14.4,-05 32 46.5,1,17.327873,,,0.0,0.0
252,255,Par 1878,10.43,0.002,10.61,0.004,10.47,0.008,10.38,0.013,3.95,,,,Parenago 1878,05 35 14.5,-06 05 12.3,1,12.743511,0.2388,4.4197092943955045,0.0,0.0
253,256,R01- 1839,11.83,0.01,11.54,0.009,10.55,0.053,8.99,0.079,3.12,,,,[R2001]  1839,05 35 14.9,-05 07 47.6,1,17.692617,0.9768,8.630814294395504,0.21747854296383934,0.0896731857449002
254,257,JW 466,11.2,0.006,11.08,0.006,11.04,0.05,10.26,0.129,6.12,M3.5,H97,L,JW 466,05 35 14.9,-05 36 39.2,1,15.928855,,,0.0,0.0
255,258,R01- 1843,12.09,0.007,12.33,0.011,12.0,0.022,12.01,0.045,3.94,,,,[R2001]  1843,05 35 14.9,-05 56 36.2,1,16.145123,,,0.0,0.0
256,259,Par 1862,6.92,0.016,6.39,0.019,5.62,0.056,4.57,0.173,8.71,G8-K1,H97,H,Parenago 1862,05 35 15.6,-05 22 56.6,1,12.260441,,,0.0,0.0
257,260,Par 1873,9.69,0.002,9.24,0.002,8.76,0.004,7.81,0.01,7.42,,,,Parenago 1873,05 35 15.7,-05 32 59.2,1,15.377524,,,0.0,0.0
258,261,R01- 1862,12.3,0.009,12.2,0.011,12.32,0.033,12.97,0.16,4.46,,,,[R2001]  1862,05 35 15.8,-05 03 26.2,1,17.983746,,,0.0,0.0
259,262,CHS 8744,12.86,0.012,12.53,0.016,12.34,0.026,11.63,0.027,2.18,,,,[CHS2001] 8744,05 35 15.8,-06 09 46.7,1,18.43195,,,0.0,0.0
260,263,R01- 1871,11.72,0.005,11.61,0.006,11.57,0.019,11.72,0.064,3.68,M6,R01,L,[R2001]  1871,05 35 16.3,-06 18 43.1,1,16.637224,,,0.0,0.0
261,264,Par 1900,10.7,0.004,10.89,0.005,10.75,0.028,10.48,0.09,4.11,K5,R01,H,Parenago 1900,05 35 16.4,-05 42 39.6,1,13.298965,,,0.0,0.0
262,265,Par 1899,11.44,0.005,11.37,0.007,11.34,0.017,11.24,0.058,9.51,M3,R01,L,Parenago 1899,05 35 16.5,-05 40 18.0,2,14.948199,0.4457,6.417498294395504,0.6303247887492971,0.0896731857449002
263,266,R01- 1888,11.68,0.006,11.57,0.008,11.18,0.016,10.48,0.032,2.05,M5,R01,L,[R2001]  1888,05 35 17.2,-05 41 53.9,1,16.390617,,,0.0,0.0
264,267,Par 1917,9.85,0.002,9.12,0.002,8.67,0.003,7.55,0.005,18.68,,,,Parenago 1917,05 35 17.3,-05 42 14.6,1,15.624192,,,0.0,0.0
265,268,JW 550,7.68,0.002,7.65,0.002,7.4,0.015,7.35,0.055,6.83,K2-K3,H97,H,JW 550,05 35 17.5,-05 17 40.1,1,16.183935,,,0.0,0.0
266,269,Par 1882,9.7,0.002,9.26,0.002,9.2,0.005,8.19,0.009,5.65,K6,R01,H,Parenago 1882,05 35 17.8,-04 44 52.5,1,13.903509,1.5737,4.244807294395503,0.0,0.0
267,270,JW 571,11.08,0.008,10.65,0.006,10.43,0.062,9.53,0.175,4.16,M0-M3,H97,L,JW 571,05 35 17.9,-05 30 40.8,1,17.259726,,,0.0,0.0
268,271,CHS 9036,10.82,0.004,10.59,0.004,9.99,0.016,9.15,0.032,7.3,,,,[CHS2001] 9036,05 35 17.9,-04 53 36.3,1,19.566135,,,0.0,0.0
