,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
32,34,HBJM 10075,11.03,0.004,11.04,0.006,10.85,0.03,10.52,0.117,1.65,,,,[H97b] 10075,05 34 17.1,-05 38 17.1,1,15.417346,,,0.0,0.0
33,35,R01- 1098,11.5,0.004,11.44,0.007,11.58,0.015,11.38,0.021,6.63,,,,[R2001]  1098,05 34 17.6,-06 03 38.2,1,15.213473,0.4159,6.712571294395504,0.5752853003615732,0.0896731857449002
34,36,H97: 3151,10.62,0.003,10.83,0.005,10.65,0.009,10.53,0.029,3.24,M1,H97,H,[H97b] 3151,05 34 18.0,-05 33 33.3,1,14.133532,2.5248,3.5237292943955048,0.0,0.0
35,37,H97: 3141,10.44,0.003,10.43,0.004,10.44,0.012,10.45,0.053,5.22,,,,[H97b] 3141,05 34 18.3,-05 31 16.4,1,17.118011,5.0471,3.985909294395505,0.0,0.0
36,38,H97: 3158,10.8,0.003,10.8,0.004,10.82,0.012,10.79,0.042,6.29,M0,H97,H,[H97b] 3158,05 34 18.5,-05 34 00.2,2,14.189453,,,0.0,0.0
37,39,Par 1409,7.73,0.002,7.57,0.002,7.2,0.001,6.16,0.002,1.5,,,,Parenago 1409,05 34 18.6,-05 04 47.9,1,11.445726,0.5765,2.7842242943955036,0.0,0.0
38,40,H97: 3149,12.65,0.009,12.62,0.011,12.34,0.049,11.26,0.101,2.48,M3.5,H97,L,[H97b] 3149,05 34 19.1,-05 33 11.4,1,17.811941,,,0.0,0.0
39,41,R01- 1124,12.43,0.008,12.25,0.01,12.27,0.021,12.15,0.025,2.33,,,,[R2001]  1124,05 34 19.9,-06 18 47.9,1,16.32607,0.5912,7.649869294395504,0.4004526237415152,0.0896731857449002
40,42,R01- 1132,11.84,0.006,11.94,0.008,11.81,0.018,12.03,0.054,5.4,,,,[R2001]  1132,05 34 20.3,-04 58 56.4,1,15.878984,0.5968,7.197183294395504,0.4848914095361215,0.0896731857449002
41,43,R01- 1150,11.32,0.004,11.24,0.007,11.25,0.013,11.14,0.027,4.51,M6,R01,L,[R2001]  1150,05 34 21.4,-04 55 47.9,1,16.002983,,,0.0,0.0
