col1,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
10,1075,735,,,99.0,5.08,14.73,,3.07,17.8,8.794998294395503,3.518,M3.5(H),0.92,-0.55,1.62,0.21,5.89,Simbad,05 35 23.21,-05 28 09.72,1,V1530 Ori,M3.5,1.0,H,3260.0,-0.641,0.26,0.09,0.1,2.2,1.0,0.9,1.5,0.28,5.21,opt,H02,2.0,,,Simbad,83.84712,-5.46947,1.521431805940471,0.2512954059658042,0.05236065508113028
11,1077,733,,1989.0,99.0,4.85,13.14,,2.33,15.47,6.224998294395505,3.571,M0.5(H),1.16,0.04,2.51,0.28,5.0,Simbad,05 35 23.28,-05 18 50.52,1,V1531 Ori,M0.5,1.0,H,3700.0,-0.153,0.46,0.06,0.11,1.2,0.2,0.6,2.04,0.28,3.32,opt,S99,3.0,N,,Simbad,83.84747,-5.31407,1.6898910583694051,0.5573425350953936,0.05236065508113028
12,1079,5027,,,,8.18,16.87,,,,,,,,,,,,Simbad,05 35 23.39,-05 15 23.00,1,V2409 Ori,M6.5,1.0,H13,2725.0,,,,,,,,,,0.79,opt,R09,,,c,Simbad,83.84783,-5.2565,1.3911212679041287,0.0,0.0
13,1080,736,,,99.0,4.76,13.87,,2.27,16.14,6.834997294395505,3.58,M0(H),1.22,-0.25,1.74,0.39,5.86,Simbad,05 35 23.42,-05 18 56.92,1,V2410 Ori,M0.5,1.0,H13,3700.0,-0.482,0.47,0.09,0.1,3.0,1.1,1.8,1.4,0.19,11.68,opt,H02,,N,g,Simbad,83.84802,-5.31587,1.5795306870439327,0.4596503535140614,0.05236065508113028
14,1081,3155,,,,11.14,15.36,,2.96,18.32,,,,,,,,,Simbad,05 35 23.42,-05 34 22.90,1,2MASS J05352350-0534233,M4.5,1.0,H13,3020.0,-1.1,0.13,0.06,0.09,3.6,2.1,1.9,1.03,0.2,1.68,opt,R09,,,g,Simbad,83.84792,-5.57317,1.3104326531239012,0.0,0.0
15,1082,737,,,99.0,2.71,15.63,,,,,,,,,,,,Simbad,05 35 23.49,-05 25 26.02,1,V1342 Ori,M3.25,1.0,H13,3310.0,,,,,,,,,,,,,,,"c,f",Simbad,83.84831,-5.42401,1.6135366413444,0.0,0.0
16,1085,743,,,99.0,3.55,14.73,,3.8,18.529999,7.234997294395503,3.526,M3(H),3.21,-0.03,2.88,0.18,4.35,Simbad,05 35 23.55,-05 26 26.62,1,V2411 Ori,M3,1.0,H,3360.0,-0.112,0.3,0.08,0.11,0.7,0.61,0.4,2.6,0.43,,,,2.0,A,f,Simbad,83.8486,-5.44079,1.7169705421629846,0.40319512934078117,0.05236065508113028
17,1088,739,,,99.0,5.05,14.64,,2.5,17.14,8.364997294395502,3.544,M2e(H),0.69,-0.65,1.29,0.3,6.14,Simbad,05 35 23.65,-05 18 39.72,1,V2413 Ori,M2e,1.0,H,3490.0,-0.775,0.34,0.06,0.07,4.1,1.4,2.4,1.12,0.16,6.63,opt,H02,,A,g,Simbad,83.849,-5.31108,1.6514835757697135,0.2946945315792435,0.05236065508113028
18,1095,746,,,99.0,4.64,15.11,,3.4,18.51,8.654998294395503,3.518,M3.5(H),1.77,-0.5,1.73,0.2,5.74,Simbad,05 35 23.85,-05 19 07.42,1,V2414 Ori,M3.5,1.0,H,3260.0,-0.588,0.27,0.1,0.09,2.0,1.1,0.8,1.59,0.3,11.1,opt,R09,,,g,Simbad,83.84985,-5.31878,1.7129851890616052,0.2652277947910774,0.05236065508113028
19,1098,3087,,,99.0,2.58,15.09,,1.16,16.25,8.164998294395504,3.562,M1(H),0.0,-1.01,0.78,0.41,6.96,Simbad,05 35 23.89,-05 25 09.38,1,2MASS J05352398-0525098,M1,1.0,H,3630.0,-1.112,0.38,0.08,0.12,15.0,5.6,17.0,0.7,0.1,5.92,opt,R09,,A,g,Simbad,83.84994,-5.41939,1.4892245989856592,0.31343994750929544,0.05236065508113028
20,1101,9316,,,,2.4,16.1,,4.63,20.73,8.784997294395504,3.5,M4.5(H),3.86,-0.29,2.38,0.15,4.48,Simbad,05 35 24.05,-05 21 55.32,2,2MASS J05352411-0521556,M4.5,1.0,H,3020.0,-0.41,0.21,0.09,0.07,0.4,0.33,1.1,2.28,0.45,6.88,opt,H02,,,g,Simbad,83.8505,-5.36544,1.0782189921382266,0.25194194454595426,0.05236065508113028
21,1103,753,,,99.0,6.85,13.4,,2.41,15.809999,7.264997294395505,3.544,M2(H),0.46,-0.21,2.14,0.25,5.25,Simbad,05 35 24.14,-05 29 56.82,1,V2420 Ori,M2,1.0,H,3490.0,-0.335,0.35,0.06,0.08,1.4,0.2,0.5,1.86,0.26,8.55,NIR,C01,2.0,,,Simbad,83.851,-5.49921,1.530435509949711,0.4000990254304078,0.05236065508113028
22,1104,755,,,99.0,5.7,15.11,,3.79,18.9,10.814998294395503,3.46,M6.5(H),0.0,-0.53,2.18,0.11,4.36,Simbad,05 35 24.21,-05 28 43.72,1,2MASS J05352431-0528441,M6.5,1.0,H,2725.0,-0.748,,,,,,,1.9,0.27,5.19,opt,R09,,,b,Simbad,83.85129,-5.47892,1.5379702224510667,0.1255694593614092,0.05236065508113028
23,1108,758,,,99.0,3.72,14.1,,3.45,17.550001,8.075000294395503,3.509,M4-M4.5e(H)M5.3(P)M4(Eetal),1.39,-0.15,2.7,0.15,4.2,Simbad,05 35 24.35,-05 26 31.02,1,V1283 Ori,M5.3,1.0,P,2856.0,-0.5,0.12,0.03,0.09,0.1,0.07,0.8,2.29,0.44,2.51,opt,E93,2.0,A,,Simbad,83.85191,-5.44206,1.6664069875610883,0.3224256265775923,0.05236065508113028
24,1111,757,,,,2.09,15.24,,,,,,,,,,,,Simbad,05 35 24.37,-05 24 00.72,2,2MASS J05352445-0524010,M2,2.0,H13,3490.0,,,,,,,,,,1.46,opt,R09,,,c,Simbad,83.85187,-5.40028,1.2114839866283942,0.0,0.0
25,1112,759,,,99.0,2.59,14.82,,,,,,,,,,,,Simbad,05 35 24.40,-05 25 01.22,1,V2425 Ori,M1e,1.0,H,3630.0,,,,,,,,,,,,,3.0,,"c,f",Simbad,83.85217,-5.41711,1.8426768639002449,0.0,0.0
26,1115,754,,,96.0,11.58,13.6,,,,,,,,,,,,Simbad,05 35 24.53,-05 11 58.22,1,2MASS J05352461-0511582,M3.5,1.0,H13,3260.0,,,,,,,,,,6.88,opt,H02,,,c,Simbad,83.85257,-5.19951,1.296741213445736,0.0,0.0
27,1118,762,,2010.0,99.0,2.38,14.13,,2.63,16.76,6.524999294395505,3.58,M0e(H),2.15,-0.12,2.0,0.36,5.72,Simbad,05 35 24.59,-05 24 35.42,1,V1400 Ori,M0e,1.0,H13,3770.0,-0.32,0.52,0.1,0.11,2.2,0.8,1.4,1.62,0.22,,,,,A,f,Simbad,83.85287,-5.40992,1.5040164574908728,0.5041978643251775,0.05236065508113028
28,1122,764,,,98.0,2.75,15.26,,,,,,,,,,,,Simbad,05 35 24.78,-05 25 09.82,1,V2430 Ori,M3,1.0,H13,3360.0,,,,,,,,,,4.94,opt,H02,,,c,Simbad,83.8537,-5.41949,1.6490379507631876,0.0,0.0
29,1128,770,,,99.0,2.36,16.25,,1.19,17.44,9.354998294395505,3.544,M1.5-M2.5(H),0.0,-1.46,0.51,0.27,7.24,Simbad,05 35 25.02,-05 22 24.62,2,2MASS J05352512-0522252,M2,1.0,H,3490.0,-1.556,0.29,0.07,0.07,39.0,19.0,20.0,0.46,0.06,4.66,opt,R09,,A,g,Simbad,83.85471,-5.37369,1.7774085246782236,0.1958572019532738,0.05236065508113028
30,1132,3128,,,,6.83,14.87,,3.11,17.98,,,,,,,,,Simbad,05 35 25.13,-05 29 51.25,1,2MASS J05352522-0529516,M5,1.0,H13,2880.0,-0.852,0.12,0.05,0.09,0.6,0.35,2.3,1.51,0.34,2.47,opt,H00,2.0,,,Simbad,83.85508,-5.49767,1.3801653073698328,0.0,0.0
31,1133,778,,,99.0,10.21,15.11,,3.92,19.029999,8.354997294395504,3.509,M4(H),2.59,-0.26,2.38,0.16,4.57,Simbad,05 35 25.15,-05 33 20.82,1,V1533 Ori,M4,1.0,H,3160.0,-0.337,0.23,0.09,0.11,0.6,0.51,0.9,2.26,0.47,1.72,opt,H02,3.0,,,Simbad,83.85516,-5.55585,1.3414154043065931,0.2954527284244781,0.05236065508113028
32,1135,3095,,,,3.06,15.17,,,,,,,,,,,,Simbad,05 35 25.26,-05 25 29.20,1,V2436 Ori,M3.8,1.0,D10,3200.0,,,,,,,,,,2.62,opt,H02,,,c,Simbad,83.85561,-5.42488,1.3416512196832098,0.0,0.0
33,1141,776,b,,,2.71,15.85,,3.92,19.77,,,,,,,,,Simbad,05 35 25.39,-05 21 51.12,1,V496 Ori,M0,1.0,D10,3770.0,,,,,,,,,,4.39,opt,S99,,,c,Simbad,83.85596,-5.36431,0.7216941251287746,0.0,0.0
34,1143,783,,,95.0,10.93,14.17,,3.04,17.21,,,,,,,,,Simbad,05 35 25.44,-05 34 04.32,1,2MASS J05352547-0534028,M5,1.0,H,2880.0,-0.696,0.13,0.07,0.09,0.3,0.23,2.2,1.81,0.41,7.44,opt,H02,,N,g,Simbad,83.85612,-5.56746,1.5258319983856847,0.0,0.0
35,1147,787,,2022.0,99.0,7.33,12.7,,,,,3.571,M0.5(H),0.0,-0.07,2.22,0.3,5.52,Simbad,05 35 25.56,-05 30 20.42,1,V417 Ori,M0.5,1.0,H,3700.0,,,,,,,,,,9.0,opt,H00,2.0,,c,Simbad,83.85693,-5.5058,1.608056209788622,0.0,0.0
36,1149,782,,,99.0,2.31,14.18,,2.14,16.32,7.134997294395504,3.591,K8e(H),1.1,-0.41,1.36,0.54,6.3,Simbad,05 35 25.60,-05 23 09.12,2,V2441 Ori,K8e,1.0,H,3940.0,-0.514,0.68,0.07,0.08,7.1,2.7,3.9,1.19,0.14,0.84,opt,R09,,A,a,Simbad,83.85712,-5.38594,1.6461027762617295,0.4179634134048073,0.05236065508113028
37,1150,789,,,99.0,6.62,16.05,,4.16,20.21,8.404998294395503,3.518,"M3,M4,M5III(H)",3.72,-0.4,1.94,0.2,5.27,Simbad,05 35 25.61,-05 29 35.02,1,V1538 Ori,M4,1.0,H,3160.0,-0.563,0.23,0.1,0.12,1.8,1.6,0.5,1.74,0.36,3.21,opt,S99,2.0,,,Simbad,83.85715,-5.49315,1.6147240788908144,0.29018603590311565,0.05236065508113028
38,1154,792,,,99.0,3.38,13.64,,2.64,16.28,6.024999294395505,3.58,K8(H)M0.1(P),2.17,0.08,2.53,0.3,5.09,Simbad,05 35 25.90,-05 25 47.42,1,V1285 Ori,K8,1.0,H,3940.0,0.014,0.63,0.08,0.07,1.2,0.3,0.5,2.19,0.26,10.3,opt,E93,,N,g,Simbad,83.85837,-5.42994,1.6649536494041366,0.5927948985304557,0.05236065508113028
39,1160,795,,2033.0,99.0,4.87,10.59,,1.19,11.780001,2.544999294395504,3.744,G6(H)K1:(WSH)K0-K3(P)K0(Eetal)G3IV-V(Petal)G5IV(Ham),1.15,1.02,3.53,2.51,6.29,Simbad,05 35 26.10,-05 27 36.22,1,V1232 Ori,G6,1.0,H,5390.0,0.914,2.2,0.25,0.14,3.7,0.9,1.5,3.28,0.4,1.55,opt,H00,3.0,N,a,Simbad,83.85917,-5.46019,1.5750368382353257,0.0,0.0
40,1250,5071,,,,5.32,17.16,,,,,,,,,,,,Simbad,05 35 31.11,-05 19 31.74,1,2MASS J05353120-0519319,M5.5,1.0,H13,2840.0,,,,,,,,,,2.31,opt,H02,3.0,,c,Simbad,83.88003,-5.32555,1.471411474452662,0.0,0.0
41,1163,798,,,99.0,4.99,13.96,,2.34,16.3,8.214998294395505,3.518,M3.5(H),0.0,-0.47,1.79,0.2,5.56,Simbad,05 35 26.20,-05 27 43.52,1,2MASS J05352630-0527439,M0,1.0,H13,3770.0,-0.433,0.52,0.1,0.13,3.1,1.2,2.3,1.43,0.19,10.36,opt,H02,3.0,,,Simbad,83.8596,-5.4622,1.6036052236749292,0.30943875607837673,0.05236065508113028
42,1165,799,,2032.0,99.0,3.36,10.61,,1.36,11.969999,2.184997794395505,3.753,"G5(Par)G0III(HB)G-K:(GS)K1,M3(Sam)",1.7,1.16,3.95,2.68,6.3,Simbad,05 35 26.24,-05 25 39.72,1,AK Ori,K2,1.0,StE,4760.0,0.89,2.21,0.49,0.34,1.0,0.4,0.8,4.09,0.59,10.33,opt,G95,2.0,,a,Simbad,83.85976,-5.42782,1.588965214699791,0.0,0.0
43,1170,802,,,99.0,7.33,14.93,,3.64,18.57,,,,,,,,,Simbad,05 35 26.35,-05 30 16.12,1,2MASS J05352645-0530164,M6,1.0,H13,2800.0,-0.732,,,,,,,1.83,0.29,3.7,MIR,M11,2.0,,b,Simbad,83.86021,-5.50458,1.543564275984546,0.0,0.0
44,1173,3027,,,,7.11,15.03,,,,,,,,,,,,Simbad,05 35 26.65,-05 16 44.66,1,V2454 Ori,M3.5,1.0,H13,3260.0,,,,,,,,,,3.03,NIR,C01,,,c,Simbad,83.86139,-5.2792,1.330715563616128,0.0,0.0
