recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag
119,Par 1593,11.06,0.004,11.02,0.005,11.03,0.012,10.88,0.024,13.07,,,,Parenago 1593,05 34 46.8,-04 59 12.4,1,16.809671,1.0695,15.740171
120,Par 1606,10.06,0.002,10.15,0.003,10.02,0.009,9.86,0.038,3.25,M1.5,H97,H,Parenago 1606,05 34 46.9,-05 35 07.9,1,14.463654,4.3035,10.160153
121,Par 1616,10.9,0.003,10.93,0.004,10.9,0.01,10.97,0.025,11.44,,,,Parenago 1616,05 34 47.5,-05 46 30.1,1,16.0043,,
122,R01- 1471,10.58,0.003,10.49,0.004,10.35,0.025,9.42,0.055,12.46,,,,[R2001]  1471,05 34 47.6,-04 50 01.4,1,16.58563,3.959,12.626631
123,Par 1756,10.35,0.002,10.35,0.003,10.4,0.008,10.4,0.031,4.18,,,,Parenago 1756,05 34 47.6,-05 43 50.7,1,12.716104,0.3753,12.340803
124,R01- 1473,10.66,0.003,10.11,0.003,9.86,0.005,9.25,0.005,3.67,,,,[R2001]  1473,05 34 47.7,-06 19 40.1,2,15.269289,,
125,Par 1604,10.92,0.005,10.71,0.005,10.26,0.03,8.99,0.053,17.08,M4,H97,L,Parenago 1604,05 34 47.9,-05 30 46.6,1,14.818172,,
126,JW 93,11.24,0.004,11.18,0.005,11.23,0.019,11.63,0.129,5.89,M4.5,H97,L,JW 93,05 34 47.9,-05 35 43.8,1,17.125353,,
127,CHS 5742,11.6,0.004,11.09,0.005,10.78,0.008,10.15,0.01,7.09,,,,[CHS2001] 5742,05 34 47.9,-06 21 41.8,1,17.222588,,
128,Par 1599,10.03,0.002,9.89,0.003,9.69,0.005,8.87,0.004,9.25,,,,Parenago 1599,05 34 47.9,-05 04 55.0,1,14.832779,,
