,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
443,557,418,,,99,4.63,14.83,,3.19,18.02,,,,,,,,,Simbad,05 35 13.47,-05 27 56.92,1,384,2MASS J05351356-0527573,M5,1,H13,2880,-0.836,0.12,0.05,0.09,0.5,0.35,2.4,1.54,0.35,4.9,opt,P09,,,g,Simbad,83.80652,-5.46592,1.46880954135498,,0
444,559,417,,,98,1.27,13.95,,2.44,16.39,6.8649972943955,3.571,M0.5(H),1.44,-0.22,1.87,0.35,5.78,Simbad,05 35 13.51,-05 24 25.22,1,103,V1494 Ori,M0.5,1,H,3700,-0.408,0.46,0.07,0.1,2.3,0.7,1.6,1.52,0.21,7.37,opt,P09,,,g,Simbad,83.80672,-5.40717,1.64533111528609,0.455876082945994,0.0791312828659902
445,560,421,,1827,99,7.61,11.48,,1.46,12.94,4.4749972943955,3.643,K5e(H)F8-G0III-IV(?),0.38,0.47,2.96,0.62,5.47,Simbad,05 35 13.51,-05 30 57.12,1,42,V488 Ori,K5e,1,H,4140,0.36,0.79,0.18,0.32,0.7,0.1,0.6,2.94,0.43,8.84,opt,P09,2,A,,Simbad,83.80668,-5.516,1.47198715832965,1.0765141051787,0.0791312828659902
446,561,9047,,,,2.95,16.42,,4.24,20.66,7.4149982943955,3.544,M2:(H)late-K(H),5.16,-0.27,1.99,0.25,5.54,Simbad,05 35 13.51,-05 20 30.99,2,168,2MASS J05351359-0520314,M2:,1,H13,3490,-0.401,0.35,0.06,0.09,1.6,0.3,0.6,1.72,0.24,0.77,opt,R09,,N,g,Simbad,83.80654,-5.34206,0.986805179586226,0.385068788435287,0.0791312828659902
447,563,422,,,99,5.44,14.43,,3.27,17.7,,,,,,,,,Simbad,05 35 13.56,-05 28 45.92,1,208,V1495 Ori,M3,1,H13,3360,-0.323,0.3,0.07,0.1,1.3,0.8,0.3,2.04,0.34,5.94,opt,P09,2,,,Simbad,83.8069,-5.47953,1.48500388289199,,0
448,566,420,,1821,99,1.23,13.6,,3.26,16.86,,,,,,,,,Simbad,05 35 13.64,-05 22 21.62,1,156,2MASS J05351374-0522219,M2e,1,H13,3490,0.116,0.36,0.07,0.09,0.4,0.35,0.4,3.12,0.43,,,,,,f,Simbad,83.80712,-5.37283,1.17401465998868,,0
449,567,430,,,99,11.56,15.69,,3.85,19.539999,,,,,,,,,Simbad,05 35 13.66,-05 34 54.72,1,389,V2247 Ori,M5,1,H13,2880,-0.843,0.12,0.05,0.08,0.5,0.3,2.4,1.52,0.34,2.47,opt,R09,2,,,Simbad,83.80732,-5.58192,1.45781378933445,,0
450,568,419,,,99,4.01,15.19,,2.02,17.21,,,,,,,,,Simbad,05 35 13.69,-05 19 25.32,1,138,2MASS J05351379-0519254,M1,1,H13,3630,-1.152,0.38,0.07,0.13,17.5,7.5,20.5,0.67,0.09,3.5,opt,R09,3,,,Simbad,83.80747,-5.32374,1.5420864651758,,0
451,571,428,,,99,7.06,13.97,,2.59,16.56,7.9349972943955,3.535,M2.5(H),0.54,-0.4,1.79,0.25,5.76,Simbad,05 35 13.71,-05 30 23.92,1,260,2MASS J05351380-0530244,M3.5,1,H13,3260,-0.612,0.26,0.09,0.1,2.1,1.4,0.9,1.55,0.29,1.41,opt,P09,3,N,,Simbad,83.80752,-5.50679,1.5093174117725,0.33586463324367,0.0791312828659902
452,573,427,,,99,4.29,14.77,,,,,,,,,,,,Simbad,05 35 13.73,-05 27 36.52,1,551,2MASS J05351382-0527368,M3,1,H13,3360,,,,,,,,,,4.41,opt,R09,,,c,Simbad,83.80759,-5.46025,1.419571255495,,0
453,576,429,,,99,3.57,12.69,,1.75,14.44,3.6649982943955,3.753,late-G(H),2.69,0.57,2.01,1.62,6.81,Simbad,05 35 13.95,-05 19 51.82,1,49,V2252 Ori,K6,1,StE,4020,-0.024,0.73,0.14,0.12,1.7,0.6,0.9,2.01,0.26,,,,,N,f,Simbad,83.80855,-5.33112,1.53806252734263,,0
454,578,3099,,,,2.53,14.94,,,,,3.5,M4.5(H),0,-0.77,1.37,0.15,5.8,Simbad,05 35 13.95,-05 25 49.64,1,532,2MASS J05351404-0525499,M6,1,H13,2800,,,,,,,,,,0.73,opt,R09,,,c,Simbad,83.80851,-5.43055,1.42105269867507,,0
455,580,432,,1822,99,0.98,13.04,,3.26,16.3,6.3849972943955,3.526,M3.1(P),1.83,0.31,4.25,0.13,3.34,Simbad,05 35 13.98,-05 22 36.22,1,215,Parenago 1822,M3.1,1,P,3340,0.212,0.3,0.08,0.09,0.05,0.03,0.35,3.81,0.65,,,,,,f,Simbad,83.80862,-5.37683,1.37625188863062,0.529211569315678,0.0791312828659902
456,581,3093,,,,2.05,15.4,,,,,,,,,,,,Simbad,05 35 13.98,-05 25 19.97,2,530,2MASS J05351405-0525203,M6,1,H13,2800,,,,,,,,,,,,,,,"c,f",Simbad,83.80857,-5.42231,1.19790227152305,,0
457,596,439,,,99,5.98,14.97,,3.33,18.3,6.74499729439551,3.562,M1(H),3.47,-0.12,2.19,0.28,5.45,Simbad,05 35 14.35,-05 17 25.22,1,109,V1329 Ori,M1,1,H,3630,-0.303,0.44,0.09,0.08,1.6,0.4,0.7,1.78,0.25,8.26,opt,R09,,,g,Simbad,83.81023,-5.29041,1.59199581532667,0.472727960387233,0.0791312828659902
458,597,447,,,99,9.41,14.82,,3.33,18.15,,,,,,,,,Simbad,05 35 14.35,-05 32 46.02,1,236,V1498 Ori,M3,1,H13,3360,-0.442,0.28,0.06,0.1,1.5,0.5,0.7,1.78,0.3,2.6,opt,P09,2,,,Simbad,83.81019,-5.54625,1.50583793668734,,0
459,598,449,,,99,9.95,16.03,,2.47,18.5,7.4449982943955,3.643,K5(P)K4-M0:(H),2.97,-0.72,0.75,0.78,7.54,Simbad,05 35 14.35,-05 33 18.62,1,56,V2260 Ori,K5,1,P,4140,-0.829,0.71,0.06,0.05,38,16,21,0.75,0.11,7.56,NIR,C01,2,N,a,Simbad,83.81019,-5.5553,1.49956171335384,0.382184209661687,0.0791312828659902
460,600,446,,,99,5.69,16.19,,2.98,19.17,11.0849982943955,3.5,M4.5(H),0,-1.27,0.77,0.13,6.38,Simbad,05 35 14.40,-05 29 02.82,1,566,2MASS J05351450-0529032,M4.5,1,H,3020,-1.432,,,,,,,0.7,0.14,2.86,opt,P09,3,,b,Simbad,83.81043,-5.48424,1.60360614085978,0.114839448460246,0.0791312828659902
461,601,442,,,99,1.37,15.33,,3.28,18.61,8.64499929439551,3.526,M3(H),1.88,-0.59,1.5,0.23,5.99,Simbad,05 35 14.41,-05 22 06.22,1,228,[H97b] 20123,M3,1,H,3360,-0.677,0.29,0.09,0.09,2.5,0.5,1.5,1.36,0.23,7.25,opt,R09,,A,g,Simbad,83.81037,-5.36856,1.31913235287487,0.266025281141871,0.0791312828659902
462,602,444,,,99,6.63,15.53,,3.45,18.98,,,,,,,,,Simbad,05 35 14.53,-05 16 46.02,1,322,2MASS J05351463-0516461,M4,1,H13,3160,-0.798,0.2,0.08,0.12,2.6,2.3,1.4,1.33,0.28,2.99,opt,R09,,,g,Simbad,83.81097,-5.27949,1.54219602138675,,0
463,609,9069,,,,0.57,15.45,,3.67,19.119999,6.9249962943955,3.555,M0.5-M2.5(H),4.11,-0.15,2.17,0.27,5.34,Simbad,05 35 14.60,-05 23 01.92,2,134,2MASS J05351465-0523018,M1.5,2,H,3560,-0.331,0.39,0.14,0.19,1.5,0.4,1.6,1.8,0.37,0.9,opt,R09,,,g,Simbad,83.81092,-5.38394,0.407655494229418,0.446975468475039,0.0791312828659902
464,612,451,,,98,0.43,12.2,,,,,3.526,M3e(H),0,0.2,3.74,0.14,3.67,Simbad,05 35 14.68,-05 23 22.42,1,605,[BOM2000] d147-323,M3e,1,H,3360,,,,,,,,,,,,,,A,"c,f",Simbad,83.81138,-5.38963,0.803818604236202,,0
465,619,454,,1840,99,0.83,11.86,,2.1,13.959999,3.5649982943955,3.661,K4(H)K7(Eetal)K4-M0(Sam),2.31,0.78,3.9,0.81,5.31,Simbad,05 35 14.81,-05 22 38.82,1,25,V1330 Ori,K4,1,H,4330,0.71,1.15,0.35,0.4,0.5,0.1,0.3,4.03,0.62,8.67,opt,H00,3,,,Simbad,83.81208,-5.37756,1.38972528297765,,0
466,624,466,,,99,13.28,14.45,,2.88,17.33,8.80499829439551,3.518,M3.5(P),0.44,-0.56,1.61,0.21,5.9,Simbad,05 35 14.85,-05 36 38.81,1,279,V1500 Ori,M3.5,1,P,3260,-0.648,0.25,0.09,0.11,2.2,0.9,1,1.49,0.28,6.12,opt,S99,2,,,Simbad,83.81215,-5.61088,1.04828195407682,0.250006603154419,0.0791312828659902
467,633,9086,,,,0.92,15.62,,4.16,19.779999,11.1149972943955,3.471,M6(H),0.58,-0.69,1.72,0.11,4.69,Simbad,05 35 14.98,-05 22 31.52,2,582,[H97b] 20076,M6,1,H,2800,-0.971,,,,,,,1.39,0.22,,,,3,,"b,f",Simbad,83.81242,-5.37539,0.116613619438346,0.113663806435098,0.0791312828659902
468,642,9092,,,,2.91,16,,3.85,19.85,9.35499829439551,3.509,M4(H),2.41,-0.66,1.5,0.18,5.88,Simbad,05 35 15.19,-05 20 29.12,1,320,2MASS J05351527-0520290,M4,1,H,3160,-0.736,0.21,0.08,0.12,2.4,2.1,1.1,1.43,0.3,2.59,opt,R09,,A,g,Simbad,83.81354,-5.34142,0.890153897656127,0.195857976479662,0.0791312828659902
469,644,462,,,99,9.75,15.4,,3.54,18.939999,8.7249962943955,3.518,M3.5(H),2.13,-0.53,1.67,0.21,5.85,Simbad,05 35 15.23,-05 13 37.82,1,265,2MASS J05351532-0513379,M3.5,1,H,3260,-0.616,0.26,0.09,0.1,2.1,1.4,0.9,1.54,0.29,0.75,opt,R09,3,,,Simbad,83.81386,-5.22721,1.44639450755595,0.257948673526663,0.0791312828659902
470,646,470,,,99,1.16,12.54,,2.63,15.17,,,late-K:(H)<=K5(P),,,,,,Simbad,05 35 15.24,-05 22 15.22,1,13,V1331 Ori,K3e,1,Sta,4550,0.854,1.65,0.49,0.58,0.6,0.2,0.5,4.3,0.65,10.7,opt,H00,,N,g,Simbad,83.81393,-5.37098,1.5716782721192,,0
471,655,477,,,99,4,14.25,,3.27,17.52,7.1549992943955,3.535,M2.5(H),2.28,-0.09,2.57,0.21,4.71,Simbad,05 35 15.37,-05 27 22.32,1,192,2MASS J05351547-0527227,M2.5,1,H,3425,-0.197,0.32,0.06,0.1,1.1,0.7,0.2,2.26,0.34,6.54,MIR,M11,3,N,,Simbad,83.81447,-5.45631,1.58527030025106,0.414755166674004,0.0791312828659902
472,658,483,,,99,11.82,14.79,,3.14,17.93,,,,,,,,,Simbad,05 35 15.40,-05 35 11.62,1,273,2MASS J05351548-0535118,M3.5,1,H13,3260,-0.622,0.25,0.08,0.1,2.1,1.3,1,1.53,0.29,5.76,MIR,M11,3,,,Simbad,83.81454,-5.58664,1.36743309184491,,0
473,661,491,,,99,11.4,14.9,,3.75,18.65,9.3549972943955,3.494,M5(H),1.21,-0.43,2.11,0.15,4.67,Simbad,05 35 15.50,-05 34 46.32,1,341,2MASS J05351559-0534466,M5,1,H,2880,-0.589,0.17,0.09,0.06,0.5,0.44,1.6,2.04,0.46,2.57,opt,R09,3,N,,Simbad,83.81496,-5.57964,1.40314282740055,0.195857986205331,0.0791312828659902
474,662,480,,1871,99,0.7,12.44,,2.07,14.509999,,,<M0(Sam),,,,,,Simbad,05 35 15.52,-05 24 02.62,1,43,2MASS J05351561-0524030,K5,1,StE,4140,0.357,0.79,0.19,0.28,0.7,0.1,0.5,2.93,0.43,,,,,,f,Simbad,83.81507,-5.40085,1.51103495333712,,0
475,663,479,,1862,99,0.49,10.97,,1.8,12.77,2.29499829439551,3.719,G8-K1(H),2.39,1.16,4.63,2.62,5.75,Simbad,05 35 15.53,-05 22 56.12,1,12,V348 Ori,K3,1,StE,4550,0.964,1.76,0.59,0.63,0.5,0.2,0.4,4.88,0.73,8.71,opt,H00,2,N,,Simbad,83.81513,-5.38233,1.53488542587424,,0
476,665,482,,,99,2.18,13.26,,2.38,15.64,5.8449982943955,3.591,K8e(H)<M0(Sam),1.71,0.1,2.47,0.35,5.48,Simbad,05 35 15.58,-05 25 32.72,1,81,V2274 Ori,K8e,1,H,3940,0.003,0.62,0.07,0.07,1.2,0.3,0.5,2.16,0.26,,,,,A,f,Simbad,83.81532,-5.42589,1.52437187068203,0.634962072243848,0.0791312828659902
477,666,486,,,99,4.88,15.43,,3.82,19.25,9.3849982943955,3.5,M4.5(H),1.78,-0.53,1.81,0.16,5.12,Simbad,05 35 15.59,-05 28 15.02,1,340,2MASS J05351569-0528155,M4.5,1,H,3020,-0.648,0.17,0.07,0.09,1.4,1.32,1,1.73,0.34,4.38,opt,P09,3,,,Simbad,83.81539,-5.47098,1.62819806481036,0.193730461395899,0.0791312828659902
478,669,485,,,99,3.1,14.26,,2.49,16.75,7.5849982943955,3.555,M1.5(H),1.08,-0.42,1.61,0.33,5.92,Simbad,05 35 15.62,-05 26 27.92,1,218,V1502 Ori,M3,1,H13,3360,-0.742,0.29,0.09,0.09,2.9,0.7,2,1.26,0.21,9.67,opt,H00,,,g,Simbad,83.81547,-5.44122,1.4639076286247,0.369246702160245,0.0791312828659902
479,672,498,,1873,99,9.61,13.81,,2.08,15.89,,,,,,,,,Simbad,05 35 15.67,-05 32 58.82,1,151,V1504 Ori,M1.5,1,H13,3560,-0.592,0.37,0.05,0.1,2.7,0.7,1.8,1.33,0.19,7.42,opt,H00,2,,,Simbad,83.81572,-5.54979,1.59226295979684,,0
480,677,501,,1874,99,9.82,13.25,,1.82,15.07,6.9149982943955,3.58,M0(H),0.07,-0.28,1.67,0.41,5.91,Simbad,05 35 15.70,-05 33 11.92,1,111,MN Ori,M1,1,H13,3630,-0.376,0.43,0.09,0.09,1.9,0.5,1.1,1.64,0.23,9.69,opt,P09,2,N,,Simbad,83.81582,-5.55343,1.50723048645496,0.448837128141011,0.0791312828659902
481,681,490,,,99,2.71,15.03,,4.1,19.13,8.9349972943955,3.494,M5(H),2.11,-0.26,2.55,0.15,4.26,Simbad,05 35 15.77,-05 20 40.22,1,372,2MASS J05351587-0520404,M5,1,H,2880,-0.423,0.13,0.04,0.1,0.09,0.07,1.21,2.47,0.56,1.18,opt,R09,3,A,e,Simbad,83.81614,-5.34457,1.56454095675687,0.236873830628986,0.0791312828659902
482,683,502,,,99,5.5,13.48,,2.57,16.05,7.4749972943955,3.535,M2.5(H),0.49,-0.22,2.21,0.23,5.09,Simbad,05 35 15.79,-05 28 52.42,1,165,V2277 Ori,M2.5,1,H,3425,-0.325,0.36,0.1,0.05,1.4,0.5,0.3,1.95,0.29,4.25,opt,P09,2,,,Simbad,83.81622,-5.48129,1.55120760751962,0.379316953794402,0.0791312828659902
483,691,493,,,99,6.42,14.86,,3.74,18.6,,,,,,,,,Simbad,05 35 15.86,-05 16 57.42,1,263,2MASS J05351596-0516575,M3.5,1,H13,3260,-0.275,0.26,0.07,0.12,1,0.9,0.4,2.29,0.43,4.37,opt,R09,2,,,Simbad,83.8165,-5.28265,1.49844169627169,,0
484,692,503,,1870,99,0.52,12.33,,2.16,14.49,2.0749982943955,3.806,F2-F7e(H),4.33,1.18,3.17,1.98,6.71,Simbad,05 35 15.89,-05 23 52.52,1,22,AC Ori,K3.5,3,LR,4450.5,0.605,1.3,0.69,0.76,0.8,0.4,2.6,3.38,0.88,,,,,A,f,Simbad,83.81662,-5.39803,1.52559203802653,,0
485,712,517,,,99,7.63,15.04,,3.22,18.26,9.9349982943955,3.5,M4.5(H),0.24,-0.75,1.4,0.15,5.67,Simbad,05 35 16.17,-05 31 00.32,1,355,V1505 Ori,M4.5,1,H,3020,-0.866,0.15,0.06,0.09,2.3,2.12,1.2,1.35,0.27,5.95,opt,P09,3,,,Simbad,83.81775,-5.51686,1.39536074341449,0.160264161813444,0.0791312828659902
486,719,9135,,,,2.23,15.02,,4.63,19.650002,7.7050002943955,3.5,M4.5(H),3.86,0.14,3.91,0.14,3.25,Simbad,05 35 16.22,-05 21 09.02,1,324,MAX 103,M4.5,1,H,3020,0.022,0.2,0.05,0.08,0.04,0.03,0.06,3.75,0.74,7.87,opt,R09,,,g,Simbad,83.8178,-5.35254,0.78643616255971,0.357447454575803,0.0791312828659902
487,721,513,,,99,0.57,14.15,,2.94,17.09,6.7649982943955,3.555,M1.5e(H),2.24,-0.09,2.34,0.26,5.1,Simbad,05 35 16.24,-05 22 48.52,1,205,[H97b] 20028,M3e,1,H13,3360,-0.417,0.3,0.08,0.08,1.5,0.7,0.5,1.83,0.3,,,,2,A,f,Simbad,83.81783,-5.38042,1.15185425153365,0.469464860148443,0.0791312828659902
488,738,3052,,,,3.05,16.3,,,,,,,,,,,,Simbad,05 35 16.63,-05 20 19.59,2,522,V2292 Ori,M0.5,1,H13,3700,,,,,,,,,,7.46,opt,R09,2,,c,Simbad,83.8197,-5.33886,1.49526861109373,,0
489,740,9151,,,,0.86,15.03,,3.07,18.1,9.60499829439551,3.509,M4(H),0.41,-0.76,1.34,0.17,6.03,Simbad,05 35 16.65,-05 22 31.09,1,319,2MASS J05351671-0522309,M4,1,H,3160,-0.835,0.21,0.09,0.11,2.8,2.3,1.7,1.27,0.27,0.86,opt,R09,,A,g,Simbad,83.8195,-5.37547,0.750417782351539,0.17716980088408,0.0791312828659902
490,741,523,,,99,6.49,15.82,,3.75,19.57,9.8849982943955,3.5,M4.5(H),1.6,-0.73,1.43,0.15,5.6,Simbad,05 35 16.68,-05 16 53.22,1,381,2MASS J05351678-0516533,M4.5,1,H,3020,-0.847,0.13,0.04,0.12,1.5,1.32,1.9,1.38,0.27,3.47,opt,R09,3,N,,Simbad,83.81995,-5.28148,1.6167336414013,0.162342026685281,0.0791312828659902
491,742,3031,,,,6.1,16.39,,,,,,,,,,,,Simbad,05 35 16.68,-05 17 16.37,1,531,2MASS J05351676-0517167,M6.5,2,H13,2725,,,,,,,,,,0.49,opt,R09,,,c,Simbad,83.81983,-5.288,1.25867252977481,,0
492,749,535,,,99,2.4,14.47,,3.05,17.52,7.71499829439551,3.535,M2.5(H),1.72,-0.31,1.98,0.23,5.4,Simbad,05 35 16.84,-05 25 46.62,1,351,V2297 Ori,M4.5e,1,H13,3020,-0.744,0.15,0.06,0.1,1.6,1.41,1.2,1.55,0.31,18.17,opt,P09,,,"d,g",Simbad,83.82062,-5.42971,1.65905775519881,0.356506678145623,0.0791312828659902
493,752,532,,,99,0.58,15.53,,3.62,19.15,,,,,,,,,Simbad,05 35 16.87,-05 22 48.22,2,92,[H97b] 20033,M0:,1,H13,3770,-0.262,0.51,0.09,0.12,1.8,0.5,1.2,1.74,0.24,1.26,opt,R09,2,,,Simbad,83.82046,-5.38028,0.992447173684338,,0
494,755,534,,1894,99,0.26,12.66,,1.43,14.09,6.0049982943955,3.544,M2e(H),0,-0.03,2.64,0.22,4.7,Simbad,05 35 16.88,-05 23 36.62,1,143,[H97b] 534,M2e,1,H,3490,-0.12,0.38,0.1,0.07,1,0.6,0.2,2.38,0.33,,,,2,A,f,Simbad,83.82071,-5.39361,1.40138009915331,0.5957917797029,0.0791312828659902
495,757,536,,1887,99,0.84,12.44,,2.16,14.599999,3.3549982943955,3.708,K0-K2(H)<M0(Sam),3.16,0.76,3.06,1.79,5.96,Simbad,05 35 16.90,-05 22 32.72,1,17,V1333 Ori,K3,1,StE,4550,0.601,1.54,0.45,0.4,1.1,0.5,1.1,3.21,0.48,9.23,opt,H00,,N,a,Simbad,83.82083,-5.37581,1.49436464223873,,0
496,761,538,,1893,99,0.23,11.5,,1.89,13.39,2.8349982943955,3.708,K0-K2(H),2.47,0.96,3.88,1.93,5.73,Simbad,05 35 16.96,-05 23 33.72,1,15,V2299 Ori,K3,1,StE,4550,0.808,1.66,0.51,0.48,0.7,0.3,0.6,4.08,0.61,,,,2,N,f,Simbad,83.82108,-5.39283,1.55358008053128,,0
497,762,543,,,99,5.59,17.05,,,,,,,,,,,,Simbad,05 35 16.96,-05 28 57.82,1,524,V2298 Ori,M0,1,H13,3770,,,,,,,,,,9.86,opt,P09,2,,c,Simbad,83.8211,-5.48281,1.58082237780473,,0
498,768,544,,1884,99,1.86,10.82,,2.22,13.04,2.1949982943955,3.67,K4-K7(H)K5:III(HT)K7(Eetal)K4III(Ham)K3(Sam),2.76,1.3,6.84,1.19,4.8,Simbad,05 35 17.11,-05 21 31.42,1,24,AE Ori,K4,1,StE,4330,1.201,1.26,0.2,0.91,0.2,0.17,0.1,7.1,1.09,3.42,opt,H00,3,N,,Simbad,83.82171,-5.35883,1.54391645660065,,0
499,769,542,,,99,2.92,13.34,,2.2,15.54,7.4549982943955,3.526,M3(H),0,-0.25,2.21,0.21,5.03,Simbad,05 35 17.12,-05 20 27.52,1,211,V2302 Ori,M3,1,H,3360,-0.38,0.3,0.07,0.08,1.4,0.8,0.5,1.91,0.32,5.73,NIR,C01,,,g,Simbad,83.82177,-5.34104,1.5811225285505,0.381226967026487,0.0791312828659902
500,774,549,,,99,0.66,15.22,,3.57,18.79,4.6249992943955,3.661,K2-K7(H)-PCygni-Paschen-lines,6.08,0.35,2.39,0.84,5.79,Simbad,05 35 17.26,-05 23 59.82,1,36,2MASS J05351738-0524001,K5,3,H,4140,0.181,0.83,0.45,0.68,1.2,1,5.7,2.39,0.77,,,,,,f,Simbad,83.82242,-5.40006,1.84691131936122,1.01430015968267,0.0791312828659902
501,780,9176,,,99,0.88,15.68,,4.21,19.89,9.4149982943955,3.494,M5(H),2.39,-0.45,2.05,0.15,4.73,Simbad,05 35 17.32,-05 24 13.72,2,373,[PMD2009] 13,M5,1,H,2880,-0.614,0.13,0.07,0.1,0.2,0.16,2,1.98,0.45,,,,2,,f,Simbad,83.82232,-5.40381,0.549561305579732,0.191379337692035,0.0791312828659902
502,782,556,,,99,7.04,14.31,,2.49,16.800001,,,,,,,,,Simbad,05 35 17.34,-05 30 24.92,1,283,2MASS J05351743-0530253,M3.5,1,H13,3260,-0.748,0.24,0.09,0.11,2.6,1,1.7,1.33,0.25,1.52,opt,R09,3,,,Simbad,83.82266,-5.50705,1.53951680530466,,0
503,786,550,,,99,5.72,14.67,,4.21,18.880001,2.7949992943955,3.679,K2-K3(H),8,1.04,4.85,1.22,5.26,Simbad,05 35 17.41,-05 17 39.82,1,8,V1509 Ori,K2.5,1,H,4655,1.011,2.11,0.59,0.52,0.6,0.2,0.4,4.92,0.71,6.99,opt,R09,3,N,a,Simbad,83.823,-5.29448,1.67158109033628,,0
504,795,558,,,98,0.42,15.73,,2.56,18.289999,,,<K6(H),,,,,,Simbad,05 35 17.58,-05 23 40.72,1,419,[H97b] 20012,M5.9,1,D10,2808,-1.068,,,,,,,1.24,0.19,,,,,A,"b,f",Simbad,83.82354,-5.39458,1.06495366749229,,0
505,796,565,,,99,8.66,14.5,,2.95,17.45,9.26499829439551,3.509,M4(H),0.1,-0.62,1.57,0.18,5.73,Simbad,05 35 17.58,-05 32 02.02,1,313,V2311 Ori,M4,1,H,3160,-0.698,0.22,0.09,0.11,2.3,2,1,1.49,0.31,9.89,opt,P09,3,,,Simbad,83.82367,-5.53401,1.56139017142279,0.203551862404982,0.0791312828659902
506,797,559,,,99,1.55,14.69,,4.17,18.86,9.2549982943955,3.483,M5.5e(H),1.52,-0.19,2.91,0.16,3.97,Simbad,05 35 17.59,-05 24 53.82,1,376,2MASS J05351768-0524539,M5.5e,1,H,2840,-0.421,0.13,0.03,0.07,0.09,0.06,0.21,2.55,0.44,2.27,opt,H00,,A,g,Simbad,83.8237,-5.41499,1.47050750471005,0.204591666226762,0.0791312828659902
507,802,9192,,,99,1.37,15.62,,4.05,19.67,11.5849982943955,3.46,M6.5e(H),0,-0.73,1.72,0.1,4.52,Simbad,05 35 17.64,-05 24 42.72,2,583,[PMD2009] 50,M6.5e,1,H,2725,-0.952,,,,,,,1.5,0.21,,,,2,A,"b,f",Simbad,83.82387,-5.41226,1.93997338469065,,0
508,811,571,,,99,7.31,16.22,,3.54,19.759998,9.12499829439551,3.526,M0-M3e(H),2.55,-0.78,1.2,0.22,6.17,Simbad,05 35 17.76,-05 30 40.42,1,155,V2316 Ori,M1.5,2,H,3560,-0.72,0.37,0.12,0.24,4,1.7,7,1.15,0.24,4.14,opt,P09,2,A,,Simbad,83.82442,-5.51134,1.55829154901924,0.217627152955693,0.0791312828659902
509,813,9201,,,,0.48,14.41,,2.43,16.84,6.9149982943955,3.591,K8(H),1.84,-0.33,1.51,0.49,6.12,Simbad,05 35 17.81,-05 23 02.52,1,66,[H97b] 20017,K8,1,H,3940,-0.425,0.67,0.08,0.08,5.1,1.9,3,1.32,0.16,4.38,opt,R09,,A,g,Simbad,83.82417,-5.38436,1.18399844681316,0.448837128141011,0.0791312828659902
510,815,567,,1910,99,0.72,9.66,,1.73,11.389999,1.9449982943955,3.661,late-G(H)K3-4(HT)K4III(Ham)K2-K3(Sam),1.36,1.43,8.23,1.04,3.77,Simbad,05 35 17.84,-05 22 45.12,1,622,MT Ori,K2,1,StE,4760,1.501,,,,,,,8.26,1.19,8.53,opt,E93,,A,b,Simbad,83.82475,-5.37931,1.54500534563895,,0
511,816,3054,,,,2.58,15.92,,,,,3.509,M4(H),0,-1.21,0.79,0.15,6.41,Simbad,05 35 17.85,-05 20 49.02,2,536,2MASS J05351793-0520494,M1.5e,1,H13,3560,,,,,,,,,,0.9,opt,R09,,,c,Simbad,83.82475,-5.34706,1.4012457292608,,0
512,817,579,,,99,11.89,15.02,,3.1,18.12,8.6149982943955,3.526,M3(H),1.42,-0.58,1.52,0.23,5.98,Simbad,05 35 17.86,-05 35 15.52,1,231,V1511 Ori,M3,1,H,3360,-0.665,0.29,0.08,0.09,2.4,0.5,1.4,1.37,0.23,2.81,opt,S99,2,A,,Simbad,83.82479,-5.58769,1.34763004709875,0.269297487129829,0.0791312828659902
513,818,563,,,99,7.74,14.97,,3.4,18.37,5.9549992943955,3.591,K7-M0(H),4.33,0.06,2.35,0.36,5.54,Simbad,05 35 17.87,-05 15 38.52,1,216,V1335 Ori,M3,1,Sta,3360,-0.458,0.3,0.08,0.1,1.6,0.4,0.7,1.74,0.29,6.12,opt,S99,,,g,Simbad,83.82492,-5.26075,1.66475904067875,0.606598915872454,0.0791312828659902
514,823,577,,,99,7.15,15.3,,3.58,18.880001,10.7949992943955,3.483,M5.5(H),0,-0.8,1.43,0.11,5.11,Simbad,05 35 17.88,-05 30 31.12,1,570,2MASS J05351797-0530315,M5.5,1,H,2840,-0.952,,,,,,,1.38,0.24,4.36,opt,R09,3,,b,Simbad,83.82492,-5.50877,1.57142616891251,0.126231866817428,0.0791312828659902
515,828,576,,,99,6.21,13.07,,2.28,15.349999,6.7149972943955,3.555,M1.5(H),0.55,-0.07,2.39,0.26,5.03,Simbad,05 35 17.90,-05 29 34.22,1,157,V1512 Ori,M2,1,H13,3490,-0.284,0.36,0.07,0.07,1.3,0.2,0.4,1.97,0.27,2.01,opt,H00,,,g,Simbad,83.82499,-5.49294,1.50204977564417,0.476573506459625,0.0791312828659902
516,834,580,,,99,5.05,15.56,,2.11,17.67,,,M1::e(H),,,,,,Simbad,05 35 18.00,-05 28 24.52,1,142,V2323 Ori,M1e,1,H,3630,-1.3,0.38,0.09,0.09,29.5,14,29.5,0.57,0.08,,,,2,A,"a,f",Simbad,83.82542,-5.4736,1.56810188724604,,0
