,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
396,438,338,,,99,4.16,14.42,,3.45,17.87,7.8849992943955,3.518,M3.5-M4(H)M3(Eetal),1.9,-0.19,2.46,0.17,4.57,Simbad,05 35 09.76,-05 19 33.82,1,204,2MASS J05350985-0519339,M3,1,E,3360,-0.207,0.3,0.06,0.11,1.1,0.9,0.2,2.33,0.39,7.35,opt,R09,2,,,Simbad,83.79105,-5.32611,1.38526790171356,0.340352230383393,0.0791312828659902
397,445,340,,,99,1.8,14,,,,,,,,,,,,Simbad,05 35 10.05,-05 22 32.32,1,528,2MASS J05351014-0522326,M2,1,H13,3490,,,,,,,,,,,,,,,"c,f",Simbad,83.79227,-5.37574,1.45693927736488,,0
398,447,339,,,99,3.41,15.25,,1.94,17.19,9.10499829439551,3.518,M3.5(H),0,-0.99,0.99,0.18,6.28,Simbad,05 35 10.09,-05 20 20.92,1,318,V2199 Ori,M3.5,1,H,3260,-1.124,0.21,0.08,0.1,5.5,1.9,6,0.86,0.16,,,,,,f,Simbad,83.79246,-5.33919,1.50840781448657,0.219798331984219,0.0791312828659902
399,448,3056,,,,2.85,16.76,,,,,,,,,,,,Simbad,05 35 10.10,-05 20 59.93,2,619,[H97b] 3056,M6.25,0.25,RRL,2762.5,,,,,,,,,,3.86,opt,R09,2,,c,Simbad,83.79242,-5.35008,1.2587046682241,,0
400,451,3047,,,,3.78,15.33,,3.31,18.64,10.0849982943955,3.5,M4.5(H),0.47,-0.81,1.31,0.15,5.95,Simbad,05 35 10.21,-05 19 55.85,1,363,2MASS J05351029-0519563,M4.5,1,H,3020,-0.926,0.14,0.06,0.09,2.4,2.1,1.5,1.26,0.25,2.66,opt,R09,,,g,Simbad,83.79291,-5.33231,1.40008829848799,0.153883824959072,0.0791312828659902
401,456,3104,,,,3.02,15.73,,,,,,,,,,,,Simbad,05 35 10.39,-05 25 59.93,1,507,2MASS J05351047-0526003,M5.5,1,H13,2840,,,,,,,,,,3.12,opt,P09,3,,c,Simbad,83.79365,-5.43342,1.33981489744997,,0
402,459,349,,,99,1.73,16.53,,1.92,18.45,,,K:(H),,,,,,Simbad,05 35 10.47,-05 24 15.92,1,497,V2202 Ori,K9,2,H13,3880,-1.656,,,,,,,0.33,0.06,9.25,opt,P09,,,b,Simbad,83.79393,-5.40458,1.23188187942404,,0
403,460,353,,,99,9.96,14.92,,3.73,18.65,9.4049982943955,3.494,M5(H),1.16,-0.44,2.06,0.15,4.72,Simbad,05 35 10.48,-05 33 13.22,1,382,2MASS J05351057-0533136,M5,1,H,2880,-0.61,0.13,0.07,0.1,0.2,0.16,2,1.99,0.45,1.65,opt,R09,3,N,,Simbad,83.79407,-5.55378,1.4963626628886,0.192230432207356,0.0791312828659902
404,461,347,,1782,99,2.07,12.53,,1.75,14.28,5.7749982943955,3.602,K3-K7(H)M0(H)M2(Eetal)K2-K4(Sam),0.42,0.09,2.31,0.41,5.59,Simbad,05 35 10.49,-05 21 55.92,1,39,V1227 Ori,K5,1,StE,4140,0.121,0.83,0.21,0.26,1.4,0.5,1.4,2.23,0.33,7.33,opt,C96,,,g,Simbad,83.79408,-5.36562,1.36818633121099,0.652224336902309,0.0791312828659902
405,463,352,,1784,99,1.49,10.36,,2.1,12.459999,3.3849972943955,3.591,K8(H)M0.1(P)M1(Eetal)K2V(HT)K5IV(Ham)K2-K3(Sam),0.99,1.09,7.68,,,Simbad,05 35 10.64,-05 23 44.22,1,47,LQ Ori,K8,1,H,3940,0.989,0.75,0.11,0.08,0.03,0.02,0.03,6.72,0.8,8,opt,H00,3,N,,Simbad,83.79471,-5.39572,1.40030764583853,,0
406,466,3102,,,,2.93,17.35,,,,,,,,,,,,Simbad,05 35 10.75,-05 25 56.58,1,550,2MASS J05351083-0525569,M6.5,1,H13,2725,,,,,,,,,,4.26,opt,H02,,,c,Simbad,83.79516,-5.4325,1.38524977745255,,0
407,468,355,,,99,1.52,15.03,,,,,,mid-K::(H),,,,,,Simbad,05 35 10.83,-05 22 46.03,2,443,2MASS J05351091-0522463,M2.7,1,D10,3399,,,,,,,,,,,,,2,A,"c,f",Simbad,83.79549,-5.37955,1.35422308035021,,0
408,469,356,,,99,1.99,13.71,,,,,3.526,M3e(H),0,-0.4,1.87,0.22,5.5,Simbad,05 35 10.84,-05 24 48.22,1,600,V2207 Ori,M3e,1,H,3360,,,,,,,,,,4.69,opt,H02,2,A,c,Simbad,83.7956,-5.4135,1.59885583151506,,0
409,470,362,,,99,11.69,13.91,,3.23,17.14,8.7849972943955,3.5,M4.5(H),0.27,-0.29,2.38,0.15,4.48,Simbad,05 35 11.03,-05 34 59.32,1,331,V1488 Ori,M4.5,1,H,3020,-0.408,0.19,0.07,0.09,0.2,0.13,1.3,2.28,0.45,2.73,opt,H00,3,,,Simbad,83.79635,-5.58323,1.43671347787949,0.251956938464499,0.0791312828659902
410,474,358,,,99,6.17,14.87,,3.28,18.15,6.7249972943955,3.562,M1(H),3.34,-0.11,2.21,0.28,5.4,Simbad,05 35 11.11,-05 17 20.72,1,121,V2214 Ori,M1,1,H,3630,-0.294,0.42,0.09,0.1,1.5,0.3,0.8,1.8,0.25,4.03,opt,H02,2,,,Simbad,83.79673,-5.28915,1.5866079194299,0.475274041084136,0.0791312828659902
411,476,3005,,,,9.45,16.52,,4.32,20.84,9.69499829439551,3.5,M4.5(H),3.06,-0.66,1.57,0.15,5.38,Simbad,05 35 11.25,-05 14 01.11,1,349,2MASS J05351133-0514015,M4.5,1,H,3020,-0.772,0.16,0.07,0.08,2.1,1.91,0.8,1.5,0.3,1.71,opt,R09,2,,,Simbad,83.79725,-5.23378,1.43364546267644,0.170445281479475,0.0791312828659902
412,477,361,,,99,4.37,13.7,,2.12,15.82,,,,,,,,,Simbad,05 35 11.28,-05 19 11.92,1,113,2MASS J05351138-0519121,M1,1,H,3630,-0.55,0.43,0.09,0.1,3.1,1.1,1.8,1.34,0.19,2.94,opt,H02,,,g,Simbad,83.79742,-5.32003,1.51717987633296,,0
413,478,365,,1800,99,2.94,11.7,,1.96,13.66,3.3449982943955,3.679,K2-K3(Sam),2.23,0.82,3.76,1.11,5.45,Simbad,05 35 11.40,-05 26 01.82,1,27,LU Ori,K4,1,StE,4330,0.687,1.11,0.33,0.48,0.5,0.1,0.4,3.93,0.6,4.08,opt,H00,3,,,Simbad,83.7979,-5.43398,1.52087762481255,,0
414,479,364,,1799,99,6.53,10.94,,1.85,12.79,1.5949982943955,3.766,G0-G2(WSH)K0:IV-V(W),3.11,1.38,4.82,3.04,,Simbad,05 35 11.53,-05 16 57.52,1,1,LT Ori,G8,1,StE,5210,1.128,2.73,0.21,0.27,1.8,0.5,0.6,4.49,0.54,0.5,opt,G95,,,"a,e",Simbad,83.79845,-5.2827,1.47735659825191,,0
415,481,366,,,98,1.56,14.99,,3.98,18.97,8.8849982943955,3.497,M4.5-M5e(H),2,-0.29,2.43,0.15,4.4,Simbad,05 35 11.55,-05 24 20.92,1,334,2MASS J05351165-0524213,M4.75,1,H,2950,-0.424,0.18,0.08,0.09,0.2,0.17,1.2,2.35,0.49,4.03,opt,R09,3,A,,Simbad,83.79855,-5.40594,1.59229994242622,0.241830649560229,0.0791312828659902
416,483,368,,,99,1.29,15.29,,,,,,,,,,,,Simbad,05 35 11.62,-05 23 51.62,2,433,2MASS J05351172-0523518,M4.4,1,D10,3048,,,,,,,,,,1.14,opt,R09,2,,c,Simbad,83.79875,-5.39758,1.23995241751277,,0
417,486,369,,,99,1.87,14.7,,1.48,16.18,,,,,,,,,Simbad,05 35 11.68,-05 21 55.32,1,398,2MASS J05351178-0521555,M5.5,1,H13,2840,-0.712,0.11,0.03,0.05,0.2,0.12,1.5,1.82,0.32,3.95,opt,R09,,,g,Simbad,83.79908,-5.36544,1.5048190718315,,0
418,487,367,,,99,6.06,16.21,,,,,,,,,,,,Simbad,05 35 11.75,-05 17 25.82,1,556,2MASS J05351185-0517259,M3.5,1,H13,3260,,,,,,,,,,6.85,opt,R09,,,c,Simbad,83.79937,-5.29056,1.48864601140899,,0
419,489,375,,1801,98,8.62,12.45,,1.87,14.32,,,,,,,,,Simbad,05 35 11.79,-05 31 54.92,1,102,Parenago 1801,M0.5,1,H,3700,-0.064,0.46,0.09,0.1,1,0.2,0.4,2.26,0.31,3.06,opt,P09,,,g,Simbad,83.79953,-5.53202,1.49328928232912,,0
420,495,374,,,99,4.12,15.52,,5.4,20.92,,,,,,,,,Simbad,05 35 11.98,-05 19 24.52,1,578,[OW94] 121-925,M4.5,1,H,3020,0.302,,,,,,,5.17,1.02,6.45,opt,R09,2,,b,Simbad,83.80033,-5.3235,1.48374016024935,,0
421,496,376,,,91,1.61,15.97,,,,,,,,,,,,Simbad,05 35 12.05,-05 24 33.42,1,527,V2224 Ori,M1.5,2,H13,3560,,,,,,,,,,,,,,,"c,f",Simbad,83.80054,-5.40939,1.2491687094286,,0
422,498,379,,,99,7.04,15.21,,3.87,19.08,10.2449982943955,3.483,M5.4(P),0.75,-0.58,1.84,0.13,4.71,Simbad,05 35 12.06,-05 30 19.72,1,417,V1276 Ori,M5.4,1,P,2848,-0.782,0.1,0.03,0.06,0.2,0.1,2.1,1.67,0.3,5.59,opt,P09,2,,,Simbad,83.80067,-5.5056,1.56802434827198,0.147573969432905,0.0791312828659902
