recno_1,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL*,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation
1075,735,,,99,5.08,14.73,,3.07,17.8,16.88,3.518,M3.5(H),0.92,-0.55,1.62,0.21,5.89,Simbad,05 35 23.21,-05 28 09.72,1,269,V1530 Ori,M3.5,1.0,H,3260.0,-0.641,0.26,0.09,0.1,2.2,1.0,0.9,1.5,0.28,5.21,opt,H02,2,,,Simbad,83.84712,-5.46947,1.521431805940471
1077,733,,1989,99,4.85,13.14,,2.33,15.47,14.31,3.571,M0.5(H),1.16,0.04,2.51,0.28,5.0,Simbad,05 35 23.28,-05 18 50.52,1,104,V1531 Ori,M0.5,1.0,H,3700.0,-0.153,0.46,0.06,0.11,1.2,0.2,0.6,2.04,0.28,3.32,opt,S99,3,N,,Simbad,83.84747,-5.31407,1.6898910583694051
1079,5027,,,,8.18,16.87,,,,,,,,,,,,Simbad,05 35 23.39,-05 15 23.00,1,534,V2409 Ori,M6.5,1.0,H13,2725.0,,,,,,,,,,0.79,opt,R09,,,c,Simbad,83.84783,-5.2565,1.3911212679041287
1080,736,,,99,4.76,13.87,,2.27,16.14,14.919999,3.58,M0(H),1.22,-0.25,1.74,0.39,5.86,Simbad,05 35 23.42,-05 18 56.92,1,100,V2410 Ori,M0.5,1.0,H13,3700.0,-0.482,0.47,0.09,0.1,3.0,1.1,1.8,1.4,0.19,11.68,opt,H02,,N,g,Simbad,83.84802,-5.31587,1.5795306870439327
1081,3155,,,,11.14,15.36,,2.96,18.32,,,,,,,,,Simbad,05 35 23.42,-05 34 22.90,1,366,2MASS J05352350-0534233,M4.5,1.0,H13,3020.0,-1.1,0.13,0.06,0.09,3.6,2.1,1.9,1.03,0.2,1.68,opt,R09,,,g,Simbad,83.84792,-5.57317,1.3104326531239012
1082,737,,,99,2.71,15.63,,,,,,,,,,,,Simbad,05 35 23.49,-05 25 26.02,1,529,V1342 Ori,M3.25,1.0,H13,3310.0,,,,,,,,,,,,,,,"c,f",Simbad,83.84831,-5.42401,1.6135366413444001
1085,743,,,99,3.55,14.73,,3.8,18.529999,15.319999,3.526,M3(H),3.21,-0.03,2.88,0.18,4.35,Simbad,05 35 23.55,-05 26 26.62,1,209,V2411 Ori,M3,1.0,H,3360.0,-0.112,0.3,0.08,0.11,0.7,0.61,0.4,2.6,0.43,,,,2,A,f,Simbad,83.8486,-5.44079,1.7169705421629846
1088,739,,,99,5.05,14.64,,2.5,17.14,16.449999,3.544,M2e(H),0.69,-0.65,1.29,0.3,6.14,Simbad,05 35 23.65,-05 18 39.72,1,181,V2413 Ori,M2e,1.0,H,3490.0,-0.775,0.34,0.06,0.07,4.1,1.4,2.4,1.12,0.16,6.63,opt,H02,,A,g,Simbad,83.849,-5.31108,1.6514835757697135
1095,746,,,99,4.64,15.11,,3.4,18.51,16.74,3.518,M3.5(H),1.77,-0.5,1.73,0.2,5.74,Simbad,05 35 23.85,-05 19 07.42,1,252,V2414 Ori,M3.5,1.0,H,3260.0,-0.588,0.27,0.1,0.09,2.0,1.1,0.8,1.59,0.3,11.1,opt,R09,,,g,Simbad,83.84985,-5.31878,1.7129851890616052
1098,3087,,,99,2.58,15.09,,1.16,16.25,16.25,3.562,M1(H),0.0,-1.01,0.78,0.41,6.96,Simbad,05 35 23.89,-05 25 09.38,1,145,2MASS J05352398-0525098,M1,1.0,H,3630.0,-1.112,0.38,0.08,0.12,15.0,5.6,17.0,0.7,0.1,5.92,opt,R09,,A,g,Simbad,83.84994,-5.41939,1.4892245989856592
1101,9316,,,,2.4,16.1,,4.63,20.73,16.869999,3.5,M4.5(H),3.86,-0.29,2.38,0.15,4.48,Simbad,05 35 24.05,-05 21 55.32,2,321,2MASS J05352411-0521556,M4.5,1.0,H,3020.0,-0.41,0.21,0.09,0.07,0.4,0.33,1.1,2.28,0.45,6.88,opt,H02,,,g,Simbad,83.8505,-5.36544,1.0782189921382266
1103,753,,,99,6.85,13.4,,2.41,15.809999,15.349999,3.544,M2(H),0.46,-0.21,2.14,0.25,5.25,Simbad,05 35 24.14,-05 29 56.82,1,177,V2420 Ori,M2,1.0,H,3490.0,-0.335,0.35,0.06,0.08,1.4,0.2,0.5,1.86,0.26,8.55,NIR,C01,2,,,Simbad,83.851,-5.49921,1.530435509949711
1104,755,,,99,5.7,15.11,,3.79,18.9,18.9,3.46,M6.5(H),0.0,-0.53,2.18,0.11,4.36,Simbad,05 35 24.21,-05 28 43.72,1,591,2MASS J05352431-0528441,M6.5,1.0,H,2725.0,-0.748,,,,,,,1.9,0.27,5.19,opt,R09,,,b,Simbad,83.85129,-5.47892,1.5379702224510667
1108,758,,,99,3.72,14.1,,3.45,17.550001,16.160002,3.509,M4-M4.5e(H)M5.3(P)M4(Eetal),1.39,-0.15,2.7,0.15,4.2,Simbad,05 35 24.35,-05 26 31.02,1,395,V1283 Ori,M5.3,1.0,P,2856.0,-0.5,0.12,0.03,0.09,0.1,0.07,0.8,2.29,0.44,2.51,opt,E93,2,A,,Simbad,83.85191,-5.44206,1.6664069875610883
1111,757,,,,2.09,15.24,,,,,,,,,,,,Simbad,05 35 24.37,-05 24 00.72,2,539,2MASS J05352445-0524010,M2,2.0,H13,3490.0,,,,,,,,,,1.46,opt,R09,,,c,Simbad,83.85187,-5.40028,1.2114839866283942
1112,759,,,99,2.59,14.82,,,,,,,,,,,,Simbad,05 35 24.40,-05 25 01.22,1,604,V2425 Ori,M1e,1.0,H,3630.0,,,,,,,,,,,,,3,,"c,f",Simbad,83.85217,-5.41711,1.8426768639002449
1115,754,,,96,11.58,13.6,,,,,,,,,,,,Simbad,05 35 24.53,-05 11 58.22,1,557,2MASS J05352461-0511582,M3.5,1.0,H13,3260.0,,,,,,,,,,6.88,opt,H02,,,c,Simbad,83.85257,-5.19951,1.296741213445736
1118,762,,2010,99,2.38,14.13,,2.63,16.76,14.610001,3.58,M0e(H),2.15,-0.12,2.0,0.36,5.72,Simbad,05 35 24.59,-05 24 35.42,1,86,V1400 Ori,M0e,1.0,H13,3770.0,-0.32,0.52,0.1,0.11,2.2,0.8,1.4,1.62,0.22,,,,,A,f,Simbad,83.85287,-5.40992,1.5040164574908728
1122,764,,,98,2.75,15.26,,,,,,,,,,,,Simbad,05 35 24.78,-05 25 09.82,1,552,V2430 Ori,M3,1.0,H13,3360.0,,,,,,,,,,4.94,opt,H02,,,c,Simbad,83.8537,-5.41949,1.6490379507631876
1128,770,,,99,2.36,16.25,,1.19,17.44,17.44,3.544,M1.5-M2.5(H),0.0,-1.46,0.51,0.27,7.24,Simbad,05 35 25.02,-05 22 24.62,2,225,2MASS J05352512-0522252,M2,1.0,H,3490.0,-1.556,0.29,0.07,0.07,39.0,19.0,20.0,0.46,0.06,4.66,opt,R09,,A,g,Simbad,83.85471,-5.37369,1.7774085246782236
1132,3128,,,,6.83,14.87,,3.11,17.98,,,,,,,,,Simbad,05 35 25.13,-05 29 51.25,1,390,2MASS J05352522-0529516,M5,1.0,H13,2880.0,-0.852,0.12,0.05,0.09,0.6,0.35,2.3,1.51,0.34,2.47,opt,H00,2,,,Simbad,83.85508,-5.49767,1.3801653073698328
1133,778,,,99,10.21,15.11,,3.92,19.029999,16.439999,3.509,M4(H),2.59,-0.26,2.38,0.16,4.57,Simbad,05 35 25.15,-05 33 20.82,1,303,V1533 Ori,M4,1.0,H,3160.0,-0.337,0.23,0.09,0.11,0.6,0.51,0.9,2.26,0.47,1.72,opt,H02,3,,,Simbad,83.85516,-5.55585,1.3414154043065931
1135,3095,,,,3.06,15.17,,,,,,,,,,,,Simbad,05 35 25.26,-05 25 29.20,1,452,V2436 Ori,M3.8,1.0,D10,3200.0,,,,,,,,,,2.62,opt,H02,,,c,Simbad,83.85561,-5.42488,1.3416512196832098
1141,776,b,,,2.71,15.85,,3.92,19.77,,,,,,,,,Simbad,05 35 25.39,-05 21 51.12,1,458,V496 Ori,M0,1.0,D10,3770.0,,,,,,,,,,4.39,opt,S99,,,c,Simbad,83.85596,-5.36431,0.7216941251287746
1143,783,,,95,10.93,14.17,,3.04,17.21,,,,,,,,,Simbad,05 35 25.44,-05 34 04.32,1,379,2MASS J05352547-0534028,M5,1.0,H,2880.0,-0.696,0.13,0.07,0.09,0.3,0.23,2.2,1.81,0.41,7.44,opt,H02,,N,g,Simbad,83.85612,-5.56746,1.5258319983856847
1147,787,,2022,99,7.33,12.7,,,,,3.571,M0.5(H),0.0,-0.07,2.22,0.3,5.52,Simbad,05 35 25.56,-05 30 20.42,1,602,V417 Ori,M0.5,1.0,H,3700.0,,,,,,,,,,9.0,opt,H00,2,,c,Simbad,83.85693,-5.5058,1.608056209788622
1149,782,,,99,2.31,14.18,,2.14,16.32,15.219999,3.591,K8e(H),1.1,-0.41,1.36,0.54,6.3,Simbad,05 35 25.60,-05 23 09.12,2,62,V2441 Ori,K8e,1.0,H,3940.0,-0.514,0.68,0.07,0.08,7.1,2.7,3.9,1.19,0.14,0.84,opt,R09,,A,a,Simbad,83.85712,-5.38594,1.6461027762617297
1150,789,,,99,6.62,16.05,,4.16,20.21,16.49,3.518,"M3,M4,M5III(H)",3.72,-0.4,1.94,0.2,5.27,Simbad,05 35 25.61,-05 29 35.02,1,304,V1538 Ori,M4,1.0,H,3160.0,-0.563,0.23,0.1,0.12,1.8,1.6,0.5,1.74,0.36,3.21,opt,S99,2,,,Simbad,83.85715,-5.49315,1.6147240788908144
1154,792,,,99,3.38,13.64,,2.64,16.28,14.110001,3.58,K8(H)M0.1(P),2.17,0.08,2.53,0.3,5.09,Simbad,05 35 25.90,-05 25 47.42,1,77,V1285 Ori,K8,1.0,H,3940.0,0.014,0.63,0.08,0.07,1.2,0.3,0.5,2.19,0.26,10.3,opt,E93,,N,g,Simbad,83.85837,-5.42994,1.6649536494041366
1160,795,,2033,99,4.87,10.59,,1.19,11.780001,10.630001,3.744,G6(H)K1:(WSH)K0-K3(P)K0(Eetal)G3IV-V(Petal)G5IV(Ham),1.15,1.02,3.53,2.51,6.29,Simbad,05 35 26.10,-05 27 36.22,1,7,V1232 Ori,G6,1.0,H,5390.0,0.914,2.2,0.25,0.14,3.7,0.9,1.5,3.28,0.4,1.55,opt,H00,3,N,a,Simbad,83.85917,-5.46019,1.5750368382353255
1250,5071,,,,5.32,17.16,,,,,,,,,,,,Simbad,05 35 31.11,-05 19 31.74,1,504,2MASS J05353120-0519319,M5.5,1.0,H13,2840.0,,,,,,,,,,2.31,opt,H02,3,,c,Simbad,83.88003,-5.32555,1.471411474452662
1163,798,,,99,4.99,13.96,,2.34,16.3,16.3,3.518,M3.5(H),0.0,-0.47,1.79,0.2,5.56,Simbad,05 35 26.20,-05 27 43.52,1,87,2MASS J05352630-0527439,M0,1.0,H13,3770.0,-0.433,0.52,0.1,0.13,3.1,1.2,2.3,1.43,0.19,10.36,opt,H02,3,,,Simbad,83.8596,-5.4622,1.6036052236749292
1165,799,,2032,99,3.36,10.61,,1.36,11.969999,10.2699995,3.753,"G5(Par)G0III(HB)G-K:(GS)K1,M3(Sam)",1.7,1.16,3.95,2.68,6.3,Simbad,05 35 26.24,-05 25 39.72,1,6,AK Ori,K2,1.0,StE,4760.0,0.89,2.21,0.49,0.34,1.0,0.4,0.8,4.09,0.59,10.33,opt,G95,2,,a,Simbad,83.85976,-5.42782,1.588965214699791
1170,802,,,99,7.33,14.93,,3.64,18.57,,,,,,,,,Simbad,05 35 26.35,-05 30 16.12,1,485,2MASS J05352645-0530164,M6,1.0,H13,2800.0,-0.732,,,,,,,1.83,0.29,3.7,MIR,M11,2,,b,Simbad,83.86021,-5.50458,1.543564275984546
1173,3027,,,,7.11,15.03,,,,,,,,,,,,Simbad,05 35 26.65,-05 16 44.66,1,547,V2454 Ori,M3.5,1.0,H13,3260.0,,,,,,,,,,3.03,NIR,C01,,,c,Simbad,83.86139,-5.2792,1.3307155636161279
1176,807,,,99,2.68,15.32,,,,,3.471,M6(H),0.0,-0.71,1.68,0.11,4.71,Simbad,05 35 26.85,-05 24 00.32,1,535,V2456 Ori,M3.5,1.0,H13,3260.0,,,,,,,,,,0.85,opt,R09,,N,c,Simbad,83.86236,-5.40016,1.7570008422365064
1178,805,,,99,8.07,15.22,,,,,,,,,,,,Simbad,05 35 26.94,-05 15 44.62,1,520,V2459 Ori,M5.5,1.0,H13,2840.0,,,,,,,,,,5.68,opt,R09,2,,c,Simbad,83.86274,-5.26243,1.761222357622957
1180,812,,,99,7.52,14.04,,3.41,17.45,,,,,,,,,Simbad,05 35 27.11,-05 30 24.42,1,369,2MASS J05352720-0530247,M5,1.0,H13,2880.0,-0.458,0.13,0.04,0.1,0.1,0.07,1.3,2.37,0.53,4.39,opt,S99,2,,,Simbad,83.86334,-5.50687,1.4027951575871784
1183,811,a,,99,6.79,13.38,,2.56,15.940001,13.97,3.58,M0(H),1.97,0.13,2.69,0.29,4.89,Simbad,05 35 27.35,-05 17 09.62,1,603,V1345 Ori,M0,1.0,H,3770.0,,,,,,,,,,11.1,opt,H00,2,,c,Simbad,83.86445,-5.2861,1.794967738250297
1187,815,,,99,4.89,13.77,,2.69,16.460001,16.09,3.526,M3(H)M3.2(P),0.37,-0.34,2.01,0.22,5.25,Simbad,05 35 27.39,-05 27 25.52,1,212,V1287 Ori,M3,1.0,H,3360.0,-0.421,0.3,0.08,0.08,1.5,0.5,0.6,1.82,0.3,6.42,opt,H00,,,g,Simbad,83.86457,-5.4572,1.6441389331370835
1188,818,,2048,98,12.26,12.13,,1.82,13.95,13.679999,3.591,K8V(D),0.27,0.2,2.78,0.32,4.93,Simbad,05 35 27.43,-05 35 19.42,1,83,V1539 Ori,K8V,1.0,D,3940.0,0.106,0.6,0.05,0.1,0.9,0.2,0.4,2.43,0.29,4.62,opt,S99,3,,,Simbad,83.86462,-5.58875,1.1790985022964813
1190,817,,,99,5.83,13.75,,3.04,16.79,16.79,3.5,M4.5(P),0.0,-0.3,2.37,0.15,4.49,Simbad,05 35 27.45,-05 28 30.62,1,342,V1540 Ori,M4.5,1.0,P,3020.0,-0.456,0.17,0.06,0.1,0.2,0.13,1.4,2.16,0.43,2.23,opt,H00,3,,,Simbad,83.86479,-5.47525,1.5133127427294497
1191,3119,,,,6.15,16.83,,,,,,,,,,,,Simbad,05 35 27.61,-05 28 51.12,1,509,2MASS J05352769-0528514,M7,1.0,H13,2650.0,,,,,,,,,,4.16,opt,H02,3,,c,Simbad,83.86541,-5.48096,1.3620320587807102
1192,816,,,99,6.0,15.23,,3.46,18.689999,14.889998,3.562,M1(H),3.8,-0.14,2.13,0.29,5.55,Simbad,05 35 27.62,-05 18 04.52,1,119,V1541 Ori,M1,1.0,H,3630.0,-0.326,0.42,0.07,0.11,1.6,0.3,0.8,1.74,0.24,3.53,opt,R09,3,N,,Simbad,83.86557,-5.30129,1.7489075014090172
1194,823,,,99,5.45,13.88,,3.28,17.16,17.16,3.494,M5(H),0.0,-0.31,2.4,0.15,4.39,Simbad,05 35 27.78,-05 28 01.72,1,380,V1542 Ori,M5,1.0,H,2880.0,-0.456,0.13,0.04,0.1,0.1,0.07,1.3,2.38,0.54,9.0,opt,E93,,,g,Simbad,83.86621,-5.46722,1.6707562993936176
1195,819,,,99,7.03,13.16,,2.85,16.01,15.650001,3.518,M3.5(H),0.36,-0.06,2.86,0.14,4.04,Simbad,05 35 27.82,-05 16 57.02,1,255,V1347 Ori,M3.5,1.0,H,3260.0,-0.151,0.27,0.08,0.1,0.3,0.23,0.9,2.64,0.49,5.76,opt,H02,3,N,,Simbad,83.86638,-5.28257,1.6770405142795093
1197,821,,,99,6.69,14.16,,3.16,17.32,16.68,3.509,M4(H),0.64,-0.35,2.13,0.17,4.89,Simbad,05 35 27.93,-05 17 20.02,1,300,2MASS J05352804-0517202,M4,1.0,H,3160.0,-0.431,0.23,0.1,0.12,1.2,1.11,0.5,2.03,0.42,,,,,,f,Simbad,83.86685,-5.28896,1.718996937441299
1198,825,,,99,2.91,15.75,,,,,3.526,M3e(H),0.0,-1.22,0.73,0.2,6.62,Simbad,05 35 28.02,-05 23 06.22,1,615,V2471 Ori,M3e,1.0,H,3360.0,,,,,,,,,,9.35,opt,R09,,A,c,Simbad,83.86721,-5.38511,1.6580586311106096
1200,822,,,99,12.11,15.74,,3.72,19.46,15.639999,3.544,M2(H),3.82,-0.33,1.87,0.27,5.73,Simbad,05 35 28.06,-05 11 37.32,1,173,V1543 Ori,M2,1.0,H,3490.0,-0.453,0.35,0.05,0.08,1.8,0.4,0.9,1.62,0.23,6.4,opt,H02,,,g,Simbad,83.86736,-5.19377,1.6093000786382872
1204,827,,,98,6.22,16.34,,2.2,18.54,17.970001,3.562,M1(H),0.57,-1.38,0.51,0.41,7.5,Simbad,05 35 28.24,-05 17 54.22,1,572,2MASS J05352835-0517544,M1,1.0,H,3630.0,-1.556,,,,,,,0.42,0.06,6.76,opt,H02,3,,b,Simbad,83.86813,-5.29847,1.6829982653827533
1205,828,,,99,5.81,13.9,,2.87,16.77,16.77,3.509,M4(H),0.0,-0.41,2.01,0.18,5.05,Simbad,05 35 28.24,-05 18 22.82,1,302,V1545 Ori,M4,1.0,H,3160.0,-0.508,0.23,0.11,0.1,1.5,1.4,0.6,1.86,0.39,1.14,opt,H02,3,,,Simbad,83.86814,-5.30641,1.7159014959522583
1206,830,,,99,3.4,13.0,,2.36,15.36,14.61,3.555,M1.5(H)M4(Eetal),0.75,0.01,2.61,0.25,4.8,Simbad,05 35 28.26,-05 25 03.12,1,133,V1288 Ori,M1.5,1.0,H,3560.0,-0.168,0.4,0.1,0.08,1.1,0.2,0.3,2.17,0.3,9.23,opt,H00,,N,g,Simbad,83.86825,-5.41761,1.8130898638323927
1207,829,,,99,5.26,15.52,,3.72,19.24,16.23,3.526,M3(H),3.01,-0.39,1.89,0.22,5.45,Simbad,05 35 28.30,-05 19 01.92,1,196,2MASS J05352841-0519021,M3,1.0,H,3360.0,-0.478,0.31,0.09,0.09,1.7,0.4,0.7,1.7,0.28,3.23,opt,R09,,,g,Simbad,83.8684,-5.31725,1.7418380609306194
1210,834,,,99,7.72,12.99,,2.24,15.23,,,,,,,,,Simbad,05 35 28.82,-05 16 18.22,1,72,V497 Ori,K8e,1.0,H13,3940.0,0.024,0.64,0.08,0.07,1.2,0.3,0.5,2.21,0.26,7.01,opt,H02,2,,,Simbad,83.87055,-5.2718,1.6929777173332348
1211,835,,,99,12.14,14.06,,2.52,16.58,16.58,3.526,M3(H),0.0,-0.54,1.59,0.23,5.92,Simbad,05 35 28.82,-05 35 06.62,1,233,V1548 Ori,M3,1.0,H,3360.0,-0.643,0.29,0.08,0.09,2.3,0.5,1.3,1.41,0.23,8.85,opt,H02,2,,,Simbad,83.87042,-5.58522,1.21844725705141
1212,836,,,99,6.59,13.43,,2.2,15.63,14.59,3.58,M0(H),1.04,-0.11,2.03,0.35,5.71,Simbad,05 35 28.99,-05 29 10.02,1,85,V1550 Ori,M0,1.0,H,3770.0,-0.308,0.53,0.12,0.09,2.2,0.8,1.4,1.65,0.23,12.2,opt,H00,2,,,Simbad,83.87122,-5.4862,1.5639790147443187
1213,838,,,99,4.0,13.54,,2.94,16.48,16.4,3.509,M4(H),0.08,-0.24,2.42,0.16,4.52,Simbad,05 35 29.23,-05 25 46.02,1,301,2MASS J05352934-0525462,M4,1.0,H,3160.0,-0.32,0.23,0.09,0.13,0.4,0.33,1.0,2.3,0.48,7.75,opt,H02,,,g,Simbad,83.87226,-5.42952,1.6972477893912217
1214,837,,,99,7.55,13.3,,2.21,15.51,14.440001,3.58,M0(H)M1(Eetal),1.07,-0.06,2.17,0.34,5.61,Simbad,05 35 29.34,-05 16 33.22,1,115,V1289 Ori,M1,1.0,H,3630.0,-0.334,0.43,0.08,0.09,1.7,0.4,0.9,1.72,0.24,10.6,opt,H02,3,N,,Simbad,83.87274,-5.27595,1.767876126971407
1216,3097,,,,3.94,16.05,,,,,,,,,,,,Simbad,05 35 29.40,-05 25 36.86,1,545,2MASS J05352948-0525372,M6,1.0,H13,2800.0,,,,,,,,,,2.86,opt,R09,,,c,Simbad,83.87283,-5.427,1.230577058271752
1217,839,,,99,3.62,13.5,,3.7,17.2,12.780001,3.562,M1(H),4.42,0.7,5.62,0.15,2.97,Simbad,05 35 29.47,-05 24 56.62,1,124,V1290 Ori,M1,1.0,H,3630.0,0.516,0.41,0.06,0.1,0.04,0.03,0.16,4.58,0.64,7.52,opt,H02,3,N,,Simbad,83.87326,-5.4158,1.698491726428891
1218,843,,,98,8.49,13.77,,2.45,16.220001,15.650002,3.544,M2(H),0.57,-0.33,1.86,0.27,5.74,Simbad,05 35 29.57,-05 31 11.92,1,171,V1552 Ori,M2,1.0,H,3490.0,-0.458,0.35,0.06,0.08,1.8,0.4,0.9,1.61,0.22,0.84,opt,H02,,,g,Simbad,83.87358,-5.5201,1.4025970204902714
1220,3019,,,,8.0,13.89,,3.4,17.29,,,,,,,,,Simbad,05 35 29.73,-05 16 05.98,1,237,2MASS J05352980-0516064,M3.5,1.0,H13,3260.0,-0.1,0.28,0.09,0.1,0.2,0.15,0.9,2.8,0.52,13.87,opt,H02,3,,,Simbad,83.8742,-5.26846,1.2585446344640758
1223,845,,,99,3.36,14.12,,2.32,16.44,16.210001,3.544,M2e(H),0.23,-0.55,1.44,0.3,6.02,Simbad,05 35 29.75,-05 23 48.12,1,169,2MASS J05352986-0523484,M2e,1.0,H13,3490.0,-0.679,0.35,0.07,0.07,3.2,1.0,1.7,1.25,0.17,5.13,opt,R09,,A,g,Simbad,83.87442,-5.39678,1.6795100397293123
1225,841,,,99,11.43,14.41,,3.25,17.66,16.789999,3.509,M4e(H),0.87,-0.4,2.03,0.18,5.02,Simbad,05 35 29.87,-05 12 27.32,1,294,V2485 Ori,M4e,1.0,H,3160.0,-0.475,0.24,0.12,0.11,1.4,1.31,0.5,1.93,0.4,4.69,opt,H02,2,A,,Simbad,83.87495,-5.20763,1.7688963694273447
1226,842,,,99,14.62,15.71,,4.08,19.79,18.5,3.483,M5.6(P),1.29,-0.65,1.7,0.12,4.84,Simbad,05 35 29.99,-05 09 09.22,1,617,V1291 Ori,M5.6,1.0,P,2832.0,-0.913,,,,,,,1.45,0.24,2.87,opt,R09,3,,b,Simbad,83.87542,-5.15263,1.673758910867293
1227,846,,,99,9.69,16.08,,4.13,20.21,17.63,3.5,M4.5(H),2.58,-0.6,1.67,0.15,5.26,Simbad,05 35 30.03,-05 14 18.42,1,347,V2486 Ori,M4.5,1.0,H,3020.0,-0.714,0.16,0.07,0.1,1.7,1.68,1.0,1.61,0.32,5.46,opt,H02,,,g,Simbad,83.87562,-5.2385,1.7836628200722955
1228,848,,,99,4.24,13.8,,2.73,16.53,16.480001,3.518,M3.5(H),0.05,-0.4,1.95,0.2,5.26,Simbad,05 35 30.17,-05 25 51.32,1,276,V1554 Ori,M3.5,1.0,H,3260.0,-0.482,0.25,0.06,0.1,1.5,1.1,0.7,1.8,0.34,4.94,opt,H02,,N,g,Simbad,83.87617,-5.431,1.6780643750088378
1231,850,,2077,99,4.15,13.41,,2.14,15.55,14.45,3.591,K8e(H),1.1,-0.11,1.94,0.4,5.76,Simbad,05 35 30.31,-05 25 38.32,1,74,V1348 Ori,K8e,1.0,H,3940.0,-0.206,0.64,0.06,0.07,2.3,0.8,1.1,1.7,0.2,7.78,opt,E93,2,A,,Simbad,83.87676,-5.42739,1.7022990350111737
