 0.010  1570.   -3.87  4.05  0.156    1.000  13.36  12.01  10.98  
 0.015  2261.   -3.08  4.06  0.189    1.000  10.28   9.69   9.28  
 0.020  2519.   -2.67  3.96  0.244    1.000   9.30   8.75   8.38  
 0.030  2682.   -2.43  4.01  0.283    1.000   8.75   8.20   7.86  
 0.040  2768.   -2.35  4.11  0.292    1.000   8.55   8.01   7.69  
 0.050  2843.   -2.23  4.14  0.315    1.000   8.30   7.75   7.45  
 0.060  2900.   -2.15  4.16  0.335    1.000   8.10   7.54   7.25  
 0.070  2946.   -2.06  4.18  0.358    1.000   7.90   7.34   7.06  
 0.072  2954.   -2.04  4.18  0.363    1.000   7.86   7.30   7.02  
 0.075  2967.   -2.02  4.18  0.369    1.000   7.81   7.24   6.96  
 0.080  2987.   -1.98  4.17  0.383    1.000   7.70   7.14   6.86  
 0.090  3021.   -1.91  4.18  0.405    1.000   7.55   6.98   6.71  
 0.100  3050.   -1.87  4.20  0.416    1.000   7.46   6.88   6.62  
 0.110  3075.   -1.82  4.20  0.435    1.000   7.34   6.76   6.49  
 0.130  3118.   -1.72  4.20  0.475    1.000   7.11   6.51   6.25  
 0.150  3159.   -1.64  4.20  0.509    1.000   6.92   6.32   6.06  
 0.170  3197.   -1.56  4.20  0.544    1.000   6.73   6.12   5.87  
 0.200  3240.   -1.47  4.20  0.587    1.000   6.53   5.91   5.66  
 0.300  3363.   -1.23  4.21  0.713    0.979   5.99   5.34   5.11  
 0.400  3508.   -1.05  4.23  0.805    0.663   5.60   4.92   4.70  
 0.500  3651.   -0.91  4.25  0.880    0.024   5.29   4.58   4.37  
 0.600  3781.   -0.79  4.27  0.942    0.020   5.04   4.31   4.11  
 0.700  3908.   -0.67  4.28  1.005    0.036   4.81   4.06   3.88  
 0.800  4041.   -0.57  4.29  1.064    0.086   4.57   3.83   3.67  
 0.900  4191.   -0.46  4.29  1.121    0.191   4.34   3.63   3.48  
 1.000  4363.   -0.34  4.29  1.189    0.383   4.09   3.42   3.28  
 1.100  4553.   -0.21  4.28  1.259    0.597   3.83   3.22   3.10  
 1.200  4768.   -0.07  4.26  1.347    0.774   3.55   3.00   2.89  
 1.300  5038.    0.09  4.22  1.459    0.880   3.22   2.75   2.65  
 1.400  5363.    0.29  4.16  1.624    0.938   2.81   2.42   2.33  
