recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Mass,s_Mass,Lum,s_Lum,Gmag,Teff,Mass_calc,Mass_e
46,1-2-816,07 56 45.30,-61 24 21.22,,18.97,16.31,13.99,15,9.88,<,8.0,*,-1.54,,74,,0.07,0.04,-5.31,0,1,0.374,0.025,0.01632,0.00456,17.768305,3433.9,0.3167256637168142,0.009349559060936414
47,1-2-836,07 56 46.03,-61 17 09.30,1.271,19.67,16.99,14.45,16,0.34,,19.2,,-1.81,0.027,101,-1.9,0.37,0.4,-4.57,1,1,0.356,0.035,0.01521,0.00516,18.482508,3361.2,0.26506493506493495,0.009349559060936414
48,1-3-118,07 56 19.66,-61 12 05.80,0.639,20.51,17.61,15.12,10,1.47,,33.3,,-2.02,0.038,129,-2.3,0.44,0.45,-4.53,1,1,0.304,0.044,0.01359,0.00573,19.189583,,,0.009349559060936414
49,1-3-1198,07 56 54.17,-61 16 04.97,,20.02,17.29,14.93,12,16.11,,10.6,*,-1.92,,115,,0.02,-0.03,-5.96,0,1,0.332,0.038,0.01371,0.00508,18.782272,3357.8,0.26285714285714296,0.009349559060936414
50,1-3-1523,07 57 04.55,-61 09 14.10,,20.36,17.52,15.34,9,12.05,<,8.0,*,-1.99,,125,,-0.01,-0.09,,0,1,0.253,0.039,0.00936,0.00394,19.044773,,,0.009349559060936414
51,1-3-1638,07 57 03.73,-61 09 44.37,,19.66,17.04,14.65,16,29.98,<,8.0,*,-1.84,,104,,0.04,-0.01,-5.59,0,1,0.535,0.051,0.0372,0.01438,18.51039,3554.3,0.4163354037267082,0.009349559060936414
52,1-3-1683,07 57 09.42,-61 14 23.80,0.77,21.13,18.04,15.04,7,2.22,,17.6,,-2.17,0.019,153,-2.3,0.12,0.33,-5.13,1,1,,,,,19.655378,,,0.009349559060936414
53,1-3-1740,07 57 10.65,-61 11 16.00,,16.57,14.82,12.96,39,0.78,<,8.0,,-1.04,,42,,0.31,0.38,-4.58,0,1,0.618,0.021,0.08812,0.01964,15.935767,,,0.009349559060936414
54,1-3-1747,07 57 11.17,-61 13 06.36,,19.95,17.03,14.6,13,21.21,<,8.0,*,-1.79,,99,,0.16,0.07,-4.98,0,1,0.301,0.029,0.00935,0.0031,18.571705,3282.7,0.21409090909090897,0.009349559060936414
55,1-3-1888,07 57 09.67,-61 08 53.16,,16.09,14.57,12.61,57,0.0,<,8.0,,-0.93,,37,,0.24,0.33,-4.71,0,1,,,,,15.7373,4167.7,0.6471702637889687,0.009349559060936414
56,1-3-1904,07 57 15.88,-61 15 44.80,,21.76,18.38,15.43,5,0.67,,36.1,,-2.26,,170,,0.17,0.15,-5.01,0,1,,,,,20.07534,,,0.009349559060936414
57,1-3-1918,07 57 16.40,-61 07 46.42,,16.53,14.85,12.95,41,0.62,<,8.0,,-1.05,,42,,0.27,0.36,-4.65,0,1,0.62,0.021,0.08996,0.02011,15.970456,,,0.009349559060936414
58,1-3-1944,07 57 17.63,-61 15 31.00,,21.03,17.85,15.07,8,2.21,,55.6,,-2.08,,138,,0.3,0.36,-4.73,0,1,,,,,19.485565,,,0.009349559060936414
59,1-3-2082,07 57 22.07,-61 09 18.17,,16.96,14.67,12.6,44,4.65,<,8.0,*,-0.91,,36,,0.02,-0.02,-5.74,0,1,0.552,0.023,0.04178,0.01069,16.09186,3721.4,0.5114893617021277,0.009349559060936414
60,1-3-2128,07 57 23.80,-61 08 51.10,0.634,20.52,17.55,15.04,10,1.75,,19.9,,-1.99,0.023,124,-2.29,0.27,0.36,-4.75,1,1,0.352,0.057,0.01454,0.00687,19.138262,,,0.009349559060936414
61,1-3-2179,07 57 25.28,-61 15 31.11,,19.79,16.81,14.64,13,47.24,<,8.0,*,-1.69,,88,,0.01,0.01,-6.03,0,1,0.142,0.021,0.00267,0.00085,18.391224,3183.4,0.16703448275862073,0.009349559060936414
62,1-3-2213,07 57 26.10,-61 11 55.72,,20.91,17.94,15.1,6,1.13,<,8.0,,-2.15,,149,,0.31,0.31,-4.68,0,1,,,,,19.533962,,,0.009349559060936414
63,1-3-2266,07 57 27.39,-61 13 30.95,,19.83,17.07,14.59,10,43.73,,10.6,*,-1.83,,103,,-0.04,0.0,,0,1,0.375,0.037,0.01652,0.00572,18.569275,3370.5,0.27110389610389607,0.009349559060936414
64,1-3-232,07 56 22.81,-61 12 36.00,1.192,18.82,16.29,14.04,24,0.34,,9.2,,-1.54,0.007,74,-1.79,0.47,0.51,-4.46,1,1,0.461,0.028,0.02605,0.00741,17.701853,3569.0,0.4254658385093168,0.009349559060936414
65,1-3-2379,07 57 32.93,-61 07 25.10,0.681,20.06,17.13,14.72,11,1.86,,26.6,,-1.83,0.022,103,-2.18,0.37,0.32,-4.61,1,1,0.333,0.038,0.01156,0.0043,18.676521,3316.1,0.23577922077922073,0.009349559060936414
66,1-3-2588,07 57 33.66,-61 15 18.40,0.393,17.28,15.04,12.89,31,1.9,,55.9,,-1.06,0.014,43,-2.04,0.65,0.7,-4.31,1,1,0.634,0.021,0.06254,0.01517,16.384325,3632.3,0.4647826086956523,0.009349559060936414
67,1-3-2668,07 57 42.51,-61 09 44.70,0.539,20.48,17.53,14.8,8,0.22,,31.5,,-1.98,0.025,123,-2.36,0.31,0.41,-4.68,1,1,0.308,0.04,0.01104,0.0044,19.121971,,,0.009349559060936414
68,1-3-2945,07 57 52.94,-61 15 35.99,,20.11,17.28,14.96,7,0.27,<,8.0,,-1.9,,112,,0.18,0.35,-4.92,0,1,0.338,0.04,0.0135,0.00512,18.819565,3328.0,0.2435064935064935,0.009349559060936414
69,1-3-3005,07 57 55.36,-61 15 12.30,0.297,19.97,17.15,14.7,7,6.48,,53.0,,-1.85,0.012,106,-2.55,0.39,0.41,-4.57,1,1,0.324,0.036,0.01295,0.0046,18.676126,3335.0,0.24805194805194805,0.009349559060936414
70,1-3-4292,07 58 39.61,-61 13 24.45,,21.0,17.92,15.58,5,2.63,,29.0,,-2.12,,145,,-0.19,0.12,,0,1,,,,,19.511557,,,0.009349559060936414
71,1-3-4335,07 58 40.90,-61 14 54.40,,19.57,16.92,14.58,9,7.8,<,8.0,*,-1.78,,98,,0.01,0.43,-6.08,0,1,0.327,0.03,0.01331,0.00424,18.39415,3423.8,0.3077876106194692,0.009349559060936414
72,1-3-4380,07 58 41.83,-61 12 02.07,,17.48,15.13,13.01,37,18.6,<,8.0,*,-1.09,,44,,0.26,0.29,-4.72,0,1,0.56,,0.08509,,16.459148,3681.0,0.49503105590062113,0.009349559060936414
73,1-3-4503,07 58 46.35,-61 14 31.95,,19.66,17.01,14.85,11,21.05,<,8.0,*,-1.82,,102,,-0.04,0.04,,0,1,0.295,0.033,0.01099,0.00382,18.46311,3433.1,0.3160176991150442,0.009349559060936414
74,1-3-461,07 56 27.54,-61 09 05.00,0.42,20.65,17.71,15.22,9,0.53,,46.3,,-2.06,0.049,134,-2.5,0.33,0.25,-4.65,1,1,0.267,0.045,0.00813,0.00375,19.304562,,,0.009349559060936414
75,1-3-470,07 56 27.73,-61 09 16.57,,18.47,15.94,13.8,29,25.3,<,8.0,*,-1.4,,63,,0.04,0.0,-5.52,0,1,0.318,0.022,0.01315,0.00345,17.373688,3469.1,0.34787610619469017,0.009349559060936414
76,1-3-664,07 56 35.06,-61 10 08.60,2.561,17.75,15.57,13.41,32,0.02,,9.3,,-1.28,0.024,55,-1.33,0.48,0.55,-4.44,1,1,0.536,0.022,0.04506,0.01104,16.90554,3685.0,0.49751552795031057,0.009349559060936414
77,1-3-699,07 56 36.59,-61 13 17.60,1.59,19.25,16.62,14.33,20,0.57,,14.8,,-1.67,0.01,86,-1.73,0.46,0.48,-4.48,1,1,0.441,0.033,0.02344,0.00739,18.092316,3490.2,0.3665486725663715,0.009349559060936414
78,1-3-927,07 56 45.57,-61 14 31.30,1.36,18.82,16.33,14.17,22,0.92,<,8.0,,-1.56,0.008,76,-1.75,0.39,0.45,-4.54,1,1,0.404,0.027,0.02168,0.00608,17.727957,3552.3,0.4150931677018635,0.009349559060936414
79,1-4-1142,07 56 54.83,-61 05 26.21,,17.05,15.11,13.16,38,34.23,<,8.0,*,-1.11,,45,,0.07,0.08,-5.27,0,1,0.584,0.021,0.06515,0.01519,16.308294,4128.3,0.7,0.009349559060936414
80,1-4-1225,07 56 58.33,-61 02 08.10,0.741,20.62,17.68,15.0,8,1.26,<,8.0,,-2.04,0.021,132,-2.25,0.25,0.09,-4.77,1,1,0.356,0.067,0.01369,0.00717,19.254545,,,0.009349559060936414
81,1-4-1313,07 57 01.29,-61 01 10.10,3.532,18.82,16.31,13.97,18,0.62,<,8.0,,-1.55,0.009,75,-1.33,0.36,0.41,-4.58,1,1,0.437,0.026,0.02349,0.0065,17.724838,3561.0,0.4204968944099379,0.009349559060936414
82,1-4-1401,07 57 02.76,-61 05 20.20,0.352,19.64,16.78,14.38,16,0.61,,51.7,,-1.7,0.024,89,-2.4,0.41,0.48,-4.56,1,1,0.4,0.036,0.01507,0.00526,18.308823,3379.7,0.277077922077922,0.009349559060936414
83,1-4-155,07 56 23.06,-61 00 01.20,,20.24,17.38,14.88,8,8.95,<,8.0,*,-1.94,,117,,0.05,-0.04,-5.46,0,1,0.449,0.07,0.02524,0.01219,18.917059,3456.2,0.3364601769911503,0.009349559060936414
84,1-4-1609,07 57 10.37,-61 01 13.50,0.742,18.72,16.19,13.83,22,1.39,,26.8,,-1.5,0.015,71,-1.98,0.45,0.5,-4.48,1,1,0.503,0.025,0.03269,0.00874,17.558222,3618.4,0.4561490683229814,0.009349559060936414
85,1-4-1930,07 57 21.55,-61 03 56.50,6.065,19.12,16.55,14.26,18,0.96,<,8.0,,-1.64,0.015,84,-1.14,0.83,0.79,-4.22,1,1,0.386,0.029,0.01814,0.00545,18.013264,3399.3,0.2898051948051949,0.009349559060936414
86,1-4-2288,07 57 37.23,-61 04 22.86,,17.25,14.82,12.75,35,1.39,<,8.0,,-0.96,,38,,0.04,0.01,-5.57,0,1,0.435,0.021,0.02422,0.00597,16.205778,3550.5,0.4139751552795031,0.009349559060936414
87,1-4-2755,07 57 54.32,-61 05 29.60,2.741,19.65,16.95,14.51,9,0.28,,8.4,,-1.79,0.014,99,-1.56,0.3,0.29,-4.67,1,1,0.366,0.037,0.0154,0.00538,18.44213,3417.2,0.30194690265486707,0.009349559060936414
88,1-4-2793,07 57 55.65,-61 04 17.20,0.595,19.81,17.03,14.63,5,2.08,,32.1,,-1.81,0.009,101,-2.23,0.26,0.35,-4.75,1,1,0.384,0.041,0.0163,0.00601,18.5497,,,0.009349559060936414
89,1-4-2846,07 57 57.76,-61 02 03.80,0.918,19.29,16.65,14.32,16,0.02,,31.1,,-1.68,0.012,87,-1.98,0.45,0.36,-4.48,1,1,0.407,0.031,0.02156,0.00651,18.134087,3530.0,0.40124223602484477,0.009349559060936414
90,1-4-3146,07 58 06.99,-60 58 32.21,,19.6,16.85,14.34,15,2.88,,41.9,,-1.74,,94,,0.34,0.38,-4.63,0,1,0.409,0.033,0.01833,0.0059,18.374855,3373.3,0.272922077922078,0.009349559060936414
91,1-4-3259,07 58 10.51,-61 04 10.97,,20.73,17.76,14.99,6,0.86,,26.4,,-2.08,,137,,0.2,0.1,-4.87,0,1,,,,,19.355307,,,0.009349559060936414
92,1-4-3317,07 58 12.62,-61 04 29.70,0.599,19.65,16.87,14.67,13,0.27,,43.7,,-1.75,0.025,94,-2.2,0.3,0.37,-4.68,1,1,0.356,0.035,0.01468,0.00499,18.383907,3397.4,0.28857142857142865,0.009349559060936414
93,1-4-3373,07 58 11.90,-61 01 41.90,0.148,19.12,16.33,13.82,18,16.09,,125.9,,-1.53,0.013,73,-2.69,0.55,0.47,-4.42,1,1,0.489,0.028,0.0262,0.0076,17.8187,3471.3,0.3498230088495577,0.009349559060936414
94,1-4-3379,07 58 14.39,-61 00 00.90,6.422,17.96,15.69,13.48,28,10.4,,10.1,*,-1.32,0.011,58,-0.95,0.47,0.46,-4.45,1,1,0.528,0.023,0.04098,0.01032,16.959044,,,0.009349559060936414
95,1-4-3439,07 58 16.00,-61 05 53.40,0.704,19.66,16.72,14.34,13,1.09,,31.2,,-1.66,0.017,85,-2.08,0.28,0.2,-4.72,1,1,0.407,0.034,0.01547,0.00521,18.274529,3324.0,0.2409090909090909,0.009349559060936414
96,1-4-3464,07 58 16.53,-60 58 24.37,,18.87,16.26,14.0,23,17.44,,19.7,*,-1.52,,73,,0.21,0.28,-4.82,0,1,0.461,0.026,0.02538,0.00709,17.706528,3470.6,0.3492035398230088,0.009349559060936414
97,1-4-3531,07 58 18.77,-61 03 07.75,,20.44,17.53,15.03,8,1.74,,22.4,,-1.99,,124,,0.16,0.21,-4.98,0,1,0.271,0.04,0.00919,0.00379,19.06309,,,0.009349559060936414
98,1-4-355,07 56 28.90,-61 02 01.10,2.392,17.8,15.46,13.22,31,0.89,,9.0,,-1.23,0.014,52,-1.33,0.42,0.48,-4.51,1,1,0.615,0.024,0.05693,0.01464,16.867344,3652.3,0.4772049689440995,0.009349559060936414
99,1-4-3693,07 58 24.23,-60 58 53.04,,18.24,15.89,13.71,25,27.76,<,8.0,*,-1.39,,63,,0.09,0.03,-5.16,0,1,,,,,17.950686,,,0.009349559060936414
100,1-4-3776,07 58 27.23,-61 02 45.40,0.639,19.99,17.03,14.53,12,2.55,,25.0,,-1.78,0.011,98,-2.19,0.2,0.29,-4.88,1,1,0.411,0.042,0.01677,0.00628,18.595676,3276.0,0.20974025974025975,0.009349559060936414
101,1-4-3820,07 58 28.72,-61 03 18.26,,16.98,15.15,13.26,34,10.75,<,8.0,*,-1.16,,48,,0.11,0.13,-5.06,0,1,0.66,,0.11869,,16.217892,4310.5,0.9,0.009349559060936414
102,1-4-3893,07 58 31.27,-61 04 33.80,1.036,19.02,16.24,13.74,21,3.17,,34.6,*,-1.49,0.019,70,-1.83,0.41,0.4,-4.54,1,1,0.501,0.03,0.02638,0.00789,17.801783,3467.0,0.34601769911504426,0.009349559060936414
103,1-4-3936,07 58 32.59,-60 59 45.95,,16.79,15.02,13.09,38,0.76,<,8.0,,-1.12,,46,,0.52,0.64,-4.36,0,1,0.582,0.021,0.07318,0.01665,16.111994,4221.7,0.8,0.009349559060936414
104,1-4-3974,07 58 34.23,-60 59 50.30,0.362,20.79,17.73,15.35,8,2.08,,40.1,,-2.05,0.021,134,-2.57,0.24,0.22,-4.81,1,1,,,,,19.319345,,,0.009349559060936414
105,1-4-401,07 56 29.76,-60 59 59.79,,17.22,15.16,13.0,34,0.05,,23.0,,-1.12,,46,,0.28,0.3,-4.67,0,1,0.611,0.022,0.05859,0.01425,16.446075,3971.5,0.6001199040767385,0.009349559060936414
106,1-4-4038,07 58 36.78,-61 03 54.80,0.269,18.64,16.06,13.78,23,0.26,,84.7,,-1.45,0.023,66,-2.39,0.57,0.63,-4.38,1,1,0.487,0.026,0.02889,0.00791,17.498575,3614.8,0.453913043478261,0.009349559060936414
107,1-4-4069,07 58 38.22,-61 03 31.20,0.446,20.45,17.55,,9,0.52,,40.5,,-2.0,0.023,126,-2.45,0.41,0.33,-4.56,1,1,,,,,19.080704,,,0.009349559060936414
108,1-4-470,07 56 31.38,-60 59 32.93,,17.23,14.99,12.81,37,0.52,<,8.0,,-1.04,,42,,0.38,0.38,-4.54,0,1,0.626,0.021,0.0638,0.01533,16.265533,4079.1,0.6259232613908873,0.009349559060936414
109,1-4-559,07 56 34.98,-60 59 29.01,,18.42,16.03,13.95,20,9.05,<,8.0,*,-1.45,,67,,0.02,-0.01,-5.83,0,1,0.356,0.024,0.01759,0.00467,17.409353,3572.7,0.4277639751552794,0.009349559060936414
110,1-4-673,07 56 39.05,-61 03 46.60,,17.32,15.37,13.34,35,0.89,<,8.0,,-1.21,,51,,0.4,0.47,-4.51,0,1,0.557,0.022,0.05812,0.01363,16.538181,4099.2,0.6307434052757793,0.009349559060936414
111,1-4-679,07 56 39.13,-61 06 46.61,,18.93,16.36,14.09,19,1.09,,9.2,,-1.56,,76,,0.37,0.42,-4.57,0,1,0.455,0.027,0.02634,0.00736,17.772076,3520.4,0.393274336283186,0.009349559060936414
112,1-4-778,07 56 42.61,-61 05 48.36,,19.24,16.55,14.32,20,26.23,<,8.0,*,-1.63,,82,,0.13,0.12,-5.02,0,1,0.404,0.03,0.01859,0.00571,18.047237,3429.6,0.3129203539823008,0.009349559060936414
113,1-4-891,07 56 46.88,-60 59 25.30,1.999,18.88,16.36,14.13,15,1.1,<,8.0,,-1.57,0.011,77,-1.58,0.41,0.45,-4.52,1,1,0.441,0.029,0.02451,0.00714,17.789103,3557.0,0.4180124223602485,0.009349559060936414
114,1-4-917,07 56 47.21,-61 01 23.55,,18.69,16.27,14.07,21,0.64,<,8.0,,-1.54,,74,,0.39,0.48,-4.55,0,1,0.428,0.026,0.02324,0.00636,17.637884,3584.8,0.4352795031055902,0.009349559060936414
115,1-5-1156,07 59 28.03,-61 26 01.00,0.895,19.48,16.76,14.35,13,1.73,,23.4,,-1.71,0.009,90,-2.0,0.17,0.07,-4.91,1,1,0.421,0.033,0.02104,0.00662,18.263386,3457.5,0.33761061946902654,0.009349559060936414
116,1-5-121,07 58 52.91,-61 30 44.40,,18.88,16.47,14.22,10,24.24,,16.0,*,-1.63,,82,,0.0,-0.06,-6.65,0,1,0.421,0.028,0.02497,0.0071,17.890413,3687.6,0.49913043478260866,0.009349559060936414
117,1-5-1336,07 59 35.64,-61 26 30.50,,19.4,16.73,14.36,15,13.85,<,8.0,*,-1.71,,90,,-0.03,-0.08,,0,1,0.38,0.031,0.01717,0.00533,18.241566,3424.9,0.3087610619469027,0.009349559060936414
118,1-5-176,07 58 54.20,-61 30 33.74,,16.92,15.16,13.19,24,17.57,<,8.0,*,-1.18,,49,,0.13,0.09,-4.97,0,1,,,,,16.958065,,,0.009349559060936414
119,1-5-2025,08 00 02.88,-61 25 58.51,,16.41,14.42,13.01,59,26.94,<,8.0,*,-0.83,,33,,-0.06,-0.06,,0,1,,,,,15.207559,,,0.009349559060936414
120,1-5-2081,08 00 04.93,-61 25 49.01,,16.58,14.88,13.94,35,52.84,<,8.0,*,-1.06,,43,,0.01,0.02,-6.04,0,1,1.02,,0.81224,,15.669325,5798.6,1.0695092024539878,0.009349559060936414
121,1-5-230,07 58 56.29,-61 31 12.50,0.375,17.63,15.5,13.4,19,2.69,,53.0,,-1.25,0.025,53,-2.15,0.55,0.66,-4.38,1,1,0.547,0.022,0.04835,0.01181,16.77927,4747.8,1.3,0.009349559060936414
122,1-5-2323,08 00 14.23,-61 27 10.50,5.716,17.19,15.1,13.23,39,1.32,<,8.0,,-1.1,0.024,45,-0.89,0.45,0.53,-4.47,1,1,0.581,0.022,0.0653,0.01522,16.356836,4149.0,0.6426858513189448,0.009349559060936414
123,1-5-2593,08 00 24.53,-61 25 53.96,,20.73,17.57,14.81,8,9.2,,11.0,*,-1.97,,121,,0.2,0.36,-4.9,0,1,0.219,0.028,0.00558,0.00206,19.181442,,,0.009349559060936414
124,1-5-2756,08 00 31.01,-61 25 57.11,,20.91,17.91,15.27,7,0.99,,21.0,,-2.13,,146,,0.26,0.47,-4.77,0,1,,,,,19.536432,,,0.009349559060936414
125,1-5-283,07 58 57.97,-61 32 39.40,0.698,17.73,15.5,13.25,19,3.16,,24.9,*,-1.25,0.007,53,-1.88,0.67,0.8,-4.3,1,1,0.584,0.022,0.05106,0.01267,16.901108,3737.3,0.5171276595744682,0.009349559060936414
126,1-5-2858,08 00 33.84,-61 25 58.40,,17.36,15.21,13.28,36,11.17,<,8.0,*,-1.14,,47,,0.02,0.0,-5.74,0,1,,,,,17.020832,,,0.009349559060936414
127,1-5-925,07 59 19.07,-61 27 59.70,1.314,19.19,16.58,14.49,7,1.98,,35.0,,-1.65,0.008,85,-1.81,0.22,0.41,-4.8,1,1,0.389,0.032,0.01879,0.00587,18.083883,3508.2,0.38247787610619455,0.009349559060936414
128,1-6-1056,07 59 25.20,-61 23 10.37,,20.51,17.63,14.96,8,1.77,,24.6,,-2.03,,131,,0.3,0.1,-4.69,0,1,0.338,0.047,0.01604,0.00662,19.182808,,,0.009349559060936414
129,1-6-1146,07 59 27.62,-61 17 42.93,,19.01,16.48,14.25,17,8.21,<,8.0,*,-1.62,,81,,0.03,0.0,-5.69,0,1,0.359,0.028,0.01604,0.00475,17.91236,3522.0,0.3946902654867257,0.009349559060936414
130,1-6-1165,07 59 29.02,-61 22 14.85,,20.08,17.13,14.68,8,0.66,,35.7,,-1.82,,103,,0.25,0.18,-4.79,0,1,0.459,0.051,0.01929,0.00794,18.723276,3388.6,0.2828571428571428,0.009349559060936414
131,1-6-1250,07 59 32.09,-61 19 10.20,,20.49,17.64,15.05,7,50.14,,47.9,*,-2.04,,132,,0.28,0.37,-4.71,0,1,0.451,0.081,0.02168,0.01168,19.142582,,,0.009349559060936414
132,1-6-1371,07 59 36.07,-61 21 06.80,0.941,20.14,17.28,14.59,11,1.82,,25.8,,-1.9,0.026,112,-2.07,0.13,0.16,-5.04,1,1,0.342,0.035,0.01284,0.00448,18.797121,3283.7,0.21474025974025962,0.009349559060936414
133,1-6-1450,07 59 38.51,-61 16 44.25,,20.49,17.34,14.95,10,0.82,,20.9,,-1.88,,109,,0.16,0.11,-4.99,0,1,,,,,19.215004,,,0.009349559060936414
134,1-6-1655,07 59 44.93,-61 19 03.83,,19.42,16.57,14.15,18,14.41,<,8.0,*,-1.62,,81,,0.06,0.03,-5.37,0,1,0.315,0.026,0.01193,0.00355,18.094044,,,0.009349559060936414
135,1-6-1682,07 59 45.85,-61 17 55.63,,17.66,15.43,13.31,34,0.7,<,8.0,,-1.22,,51,,0.04,0.08,-5.54,0,1,0.645,0.024,0.06747,0.01712,16.764526,3825.4,0.5483687943262412,0.009349559060936414
136,1-6-189,07 58 55.13,-61 18 34.40,12.232,17.9,15.77,13.65,20,0.63,<,8.0,,-1.36,0.014,60,-0.69,0.26,0.26,-4.71,1,1,0.513,0.023,0.04088,0.01026,17.053757,,,0.009349559060936414
137,1-6-215,07 58 56.18,-61 23 16.22,,18.17,15.8,13.64,20,1.53,<,8.0,,-1.36,,60,,0.04,0.01,-5.5,0,1,,,,,17.492382,,,0.009349559060936414
138,1-6-2353,08 00 09.53,-61 22 32.62,,20.92,17.94,15.32,6,3.81,,25.7,,-2.15,,149,,-0.04,0.22,,0,1,,,,,19.514343,,,0.009349559060936414
139,1-6-2526,08 00 15.08,-61 23 37.80,2.315,16.3,14.46,12.42,58,8.86,,36.4,*,-0.88,0.024,35,-1.17,0.51,0.61,-4.39,1,1,0.62,,0.17892,,15.732571,6004.1,1.1377580071174378,0.009349559060936414
140,1-6-2689,08 00 20.46,-61 18 53.32,,19.28,16.63,14.26,16,39.77,<,8.0,*,-1.67,,86,,-0.01,-0.07,,0,1,0.416,0.03,0.02112,0.0064,18.107342,3475.7,0.3537168141592919,0.009349559060936414
141,1-6-2837,08 00 24.76,-61 18 05.70,8.698,17.39,15.3,13.32,32,1.11,<,8.0,,-1.18,0.012,49,-0.75,0.36,0.46,-4.56,1,1,0.556,0.022,0.05569,0.01326,16.565193,3656.2,0.47962732919254647,0.009349559060936414
142,1-6-2926,08 00 27.50,-61 18 13.06,,20.26,17.3,14.7,10,2.66,,26.9,,-1.89,,111,,0.06,0.14,-5.38,0,1,0.305,0.036,0.01218,0.00451,18.858795,3254.5,0.19717391304347828,0.009349559060936414
143,1-6-3083,08 00 32.04,-61 16 34.00,0.488,20.82,17.82,14.96,7,2.0,,46.5,,-2.1,0.03,141,-2.46,0.73,0.59,-4.32,1,1,,,,,19.414103,,,0.009349559060936414
144,1-6-3124,08 00 33.56,-61 17 27.57,,17.76,15.4,13.23,27,24.47,,41.3,*,-1.2,,50,,0.08,0.05,-5.25,0,1,0.582,0.022,0.04801,0.01207,16.753916,3678.0,0.493167701863354,0.009349559060936414
145,1-6-3322,08 00 40.87,-61 17 48.34,,16.33,14.54,12.56,52,41.68,<,8.0,*,-0.92,,36,,0.04,0.03,-5.48,0,1,0.581,0.021,0.06474,0.01483,15.73546,3950.5,0.6,0.009349559060936414
146,1-6-3339,08 00 42.16,-61 25 03.80,0.499,20.53,17.57,14.99,9,0.39,,31.9,,-2.0,0.046,126,-2.4,0.23,0.18,-4.82,1,1,0.272,0.038,0.00937,0.00378,19.175774,,,0.009349559060936414
147,1-6-34,07 58 49.60,-61 25 10.56,,16.43,14.84,13.86,32,2.71,<,8.0,*,-1.04,,42,,-0.03,-0.01,,0,1,1.11,,1.99948,,15.540876,5957.4,1.1211387900355871,0.009349559060936414
148,1-6-3404,08 00 44.81,-61 25 08.60,1.467,18.29,15.92,13.67,23,0.63,,16.8,,-1.41,0.019,63,-1.64,0.57,0.59,-4.37,1,1,0.511,0.025,0.03621,0.00948,17.263584,3627.6,0.461863354037267,0.009349559060936414
149,1-6-3423,08 00 45.00,-61 18 58.59,,20.93,17.86,15.11,6,5.8,,14.6,*,-2.1,,141,,0.12,0.03,-5.1,0,1,,,,,19.466259,,,0.009349559060936414
150,1-6-3435,08 00 45.65,-61 23 51.90,1.415,18.78,16.28,14.02,20,0.23,,20.8,,-1.54,0.007,74,-1.72,0.69,0.66,-4.3,1,1,0.461,0.026,0.0267,0.00737,17.695232,3485.5,0.36238938053097347,0.009349559060936414
151,1-6-3564,08 00 49.54,-61 21 43.60,0.635,20.51,17.57,15.02,7,0.54,,32.6,,-2.0,0.011,126,-2.3,0.23,0.37,-4.81,1,1,0.313,0.044,0.01121,0.00468,19.125109,,,0.009349559060936414
152,1-6-3599,08 00 50.46,-61 20 53.83,,16.64,14.84,12.9,45,95.35,<,8.0,*,-1.04,,42,,0.05,0.03,-5.36,0,1,,,,,16.025354,4195.2,0.8,0.009349559060936414
153,1-6-3648,08 00 52.40,-61 17 51.64,,19.96,16.98,14.37,11,13.24,<,8.0,*,-1.76,,96,,0.04,-0.03,-5.6,0,1,0.28,0.03,0.01068,0.00368,18.595844,3260.0,0.19956521739130437,0.009349559060936414
154,1-6-4071,08 01 07.05,-61 25 04.30,0.793,19.82,17.0,14.46,11,0.3,,25.5,,-1.79,0.025,99,-2.1,0.14,0.34,-5.03,1,1,0.411,0.035,0.01755,0.00586,18.481,3381.8,0.27844155844155855,0.009349559060936414
155,1-6-41,07 58 49.08,-61 18 12.50,,16.29,14.48,13.38,41,48.14,<,8.0,*,-0.89,,35,,-0.01,-0.01,,0,1,1.1,,5.22274,,15.099587,5859.5,1.0881901840490797,0.009349559060936414
156,1-6-4112,08 01 08.19,-61 23 29.50,2.391,18.76,16.27,13.94,17,1.02,<,8.0,,-1.53,0.007,74,-1.49,0.49,0.53,-4.44,1,1,0.456,0.026,0.0263,0.00719,17.676266,3554.9,0.4167080745341616,0.009349559060936414
157,1-6-4160,08 01 09.85,-61 23 51.70,1.225,18.81,16.17,13.78,18,0.59,,12.6,,-1.48,0.012,69,-1.75,0.32,0.36,-4.64,1,1,0.476,0.026,0.02471,0.00691,17.635254,3434.2,0.3169911504424777,0.009349559060936414
158,1-6-59,07 58 50.93,-61 24 48.82,,20.52,17.68,15.19,5,13.91,<,8.0,*,-2.06,,135,,0.07,-0.06,-5.34,0,1,0.297,0.049,0.01015,0.00461,19.243961,,,0.009349559060936414
159,1-6-610,07 59 09.96,-61 22 42.33,,20.63,17.65,15.33,7,0.08,,37.4,,-2.03,,130,,0.55,0.22,-4.44,0,1,,,,,19.225029,,,0.009349559060936414
160,1-6-612,07 59 09.80,-61 18 45.92,,20.86,17.97,14.83,5,16.88,,26.6,*,-2.17,,153,,0.25,0.07,-4.78,0,1,,,,,19.508957,,,0.009349559060936414
