recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,Mass,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Mass_calc,Mass_e
26,02 18 14.52,+57 09 31.8,17.51,0.126,386.0,<,0.001,0.062,1.18,2,,,15.34,14.64,2.4913608199120354,,X,0.999442,1,1.2849746373398339,0.012947409840164022
27,02 18 57.60,+57 03 31.7,16.77,0.365,384.8,<,0.001,0.067,1.29,2,,,15.12,14.54,2.511360819912035,,X,0.999992,1,1.2810379730379335,0.012947409840164022
28,02 19 46.36,+57 07 30.9,19.11,2.15,383.6,<,0.001,0.091,0.73,1,21.06,18.7,16.95,16.08,4.061360819912034,1.0,,0.999979,1,0.6920036448577614,0.012947409840164022
29,02 19 32.76,+57 05 44.1,17.0,0.712,383.2,<,0.001,0.037,1.26,1,18.23,16.6,15.36,14.75,2.751360819912035,3.0,X,0.999996,1,1.2202211624551056,0.012947409840164022
30,02 17 58.31,+57 08 38.2,16.27,0.372,381.9,<,0.001,0.034,1.36,2,,,14.86,14.32,2.3313608199120353,,,0.999993,1,,0.0
31,02 18 48.73,+57 11 27.5,16.8,0.348,379.1,<,0.001,0.025,1.3,2,,,15.19,14.56,2.5313608199120345,,,0.999985,1,1.2749825069835103,0.012947409840164022
32,02 18 18.03,+57 16 58.2,16.9,0.717,378.7,<,0.001,0.041,1.27,2,18.12,16.47,15.24,14.52,2.501360819912035,3.0,,0.999993,1,1.2822829526222594,0.012947409840164022
33,02 19 51.52,+57 08 33.6,19.2,0.743,378.4,<,0.001,0.088,0.76,2,21.2,18.6,16.77,15.95,3.8313608199120353,1.0,X,0.999973,1,0.790325879784637,0.012947409840164022
34,02 19 20.52,+57 09 25.4,17.1,3.47,378.1,<,0.001,0.035,1.25,1,18.37,16.76,15.5,14.91,2.8713608199120344,0.0,X,0.999996,1,1.1862429923812117,0.012947409840164022
35,02 18 58.23,+57 13 55.2,17.04,0.395,375.6,<,0.001,0.03,1.26,1,18.29,16.6,15.44,14.86,2.811360819912034,3.0,,0.999996,1,1.2047556529319503,0.012947409840164022
36,02 19 23.99,+57 09 08.5,18.18,2.2,371.4,<,0.001,0.058,1.03,1,19.48,17.71,16.36,15.64,3.551360819912034,1.0,X,0.999998,1,0.9145534510186825,0.012947409840164022
37,02 19 46.02,+57 03 41.4,18.31,5.32,367.4,<,0.001,0.042,1.0,1,19.65,17.8,16.48,15.75,3.761360819912035,1.0,,0.999992,1,0.8210758006271024,0.012947409840164022
38,02 19 57.71,+57 10 37.4,16.58,8.47,367.2,<,0.001,0.012,1.33,1,17.56,16.13,15.19,14.67,2.6913608199120347,1.0,,0.999997,1,1.235624698241294,0.012947409840164022
39,02 18 03.08,+57 16 15.9,18.6,2.12,364.8,<,0.001,0.066,0.93,1,20.1,18.08,16.56,15.77,3.7113608199120343,1.0,,0.999995,1,0.8428980287985315,0.012947409840164022
40,02 19 21.38,+57 05 14.6,16.93,2.42,364.7,<,0.001,0.023,1.28,1,18.09,16.5,15.34,14.82,2.851360819912035,3.0,X,0.999997,1,1.192485924714035,0.012947409840164022
41,02 18 30.58,+57 04 54.0,16.74,3.88,364.5,<,0.001,0.022,1.3,1,17.86,16.42,15.3,14.76,2.7713608199120348,3.0,X,0.999994,1,1.2143191999834997,0.012947409840164022
42,02 18 58.25,+57 01 40.5,17.52,1.88,364.4,<,0.001,0.066,1.17,1,,,15.85,15.26,3.261360819912035,,X,0.999997,1,1.0431407115698408,0.012947409840164022
43,02 19 45.54,+57 02 53.5,17.73,1.6,364.1,<,0.001,0.032,1.14,2,18.97,17.18,15.88,15.11,3.0813608199120353,3.0,X,0.999993,1,1.115024122324146,0.012947409840164022
44,02 18 31.49,+57 06 39.6,18.14,5.24,363.3,<,0.001,0.044,1.04,1,19.54,17.73,16.33,15.65,3.6513608199120355,1.0,,0.999989,1,0.8693141283155215,0.012947409840164022
45,02 18 03.02,+57 06 37.3,16.56,2.55,360.7,<,0.001,0.03,1.33,2,17.74,16.07,14.78,14.1,2.101360819912035,3.0,X,0.999983,1,,0.0
46,02 19 03.12,+57 11 26.5,17.79,4.57,360.3,<,0.001,0.048,1.12,1,19.03,17.31,16.09,15.38,3.3313608199120353,0.0,,0.999989,1,1.0140109908940669,0.012947409840164022
47,02 18 36.48,+57 01 15.3,17.11,0.323,360.2,<,0.001,0.031,1.25,2,18.34,16.69,15.39,14.77,2.7713608199120348,3.0,"X,Ha",0.999986,1,1.2143191999834997,0.012947409840164022
48,02 18 06.60,+57 15 14.8,18.67,0.578,359.4,<,0.001,0.06,0.88,1,20.23,18.16,16.65,15.84,3.801360819912034,1.0,,0.99999,1,0.8027822311366603,0.012947409840164022
49,02 18 54.77,+57 03 38.9,17.85,0.661,359.0,<,0.001,0.055,1.11,1,19.21,17.44,15.95,15.27,3.2913608199120343,3.0,X,0.999998,1,1.0300295376543926,0.012947409840164022
50,02 18 33.74,+57 11 46.1,19.08,0.37,358.3,<,0.001,0.07,0.76,1,20.9,18.58,16.9,16.13,4.0313608199120345,1.0,,0.999973,1,0.7042783392641232,0.012947409840164022
51,02 19 25.25,+57 02 37.8,18.07,0.674,353.0,<,0.001,0.051,1.05,2,19.68,17.58,16.03,15.29,3.261360819912035,3.0,X,0.999964,1,1.0431407115698408,0.012947409840164022
52,02 18 15.22,+57 05 07.8,18.76,0.764,352.8,<,0.001,0.056,0.88,1,20.38,18.2,16.66,15.86,3.7913608199120343,1.0,,0.999987,1,0.8070428889019815,0.012947409840164022
53,02 19 57.83,+57 00 44.8,16.7,3.07,352.3,<,0.001,0.03,1.31,1,17.67,16.29,15.29,14.77,2.7813608199120345,3.0,,0.999997,1,1.2116318355988678,0.012947409840164022
54,02 18 21.70,+57 06 52.2,16.49,0.674,351.5,<,0.001,0.015,1.33,1,17.54,16.13,15.03,14.48,2.501360819912035,3.0,X,0.999994,1,1.2822829526222594,0.012947409840164022
55,02 18 29.95,+57 01 09.1,17.95,1.1,349.9,<,0.001,0.059,1.1,1,19.25,17.5,16.03,15.32,3.301360819912034,3.0,,0.999996,1,1.0266594831529712,0.012947409840164022
56,02 17 59.20,+57 16 32.6,18.35,1.51,349.5,<,0.001,0.069,0.99,1,19.94,17.89,16.44,15.62,3.591360819912035,1.0,,0.999996,1,0.8962691754880261,0.012947409840164022
57,02 18 29.48,+57 10 19.2,16.72,0.53,349.1,<,0.001,0.016,1.3,1,17.89,16.39,15.26,14.67,2.641360819912034,3.0,X,0.999993,1,1.2482854037722384,0.012947409840164022
58,02 19 13.07,+57 12 35.6,16.27,0.415,348.3,<,0.001,0.022,1.36,2,,,14.6,14.04,2.0213608199120348,,X,0.999997,1,,0.0
59,02 18 22.10,+56 59 32.2,16.83,1.19,348.1,<,0.001,0.042,1.29,1,,,15.4,14.81,2.841360819912035,,X,0.999992,1,1.1956935859818911,0.012947409840164022
60,02 18 13.94,+57 12 52.7,18.31,0.774,345.8,<,0.001,0.036,1.0,1,,,16.4,15.69,3.641360819912034,,,0.999977,1,0.8737900111669299,0.012947409840164022
61,02 18 17.79,+57 10 51.6,19.83,0.539,343.9,<,0.001,0.103,0.53,1,22.42,19.1,17.38,16.55,4.441360819912035,1.0,,0.999998,1,0.5456500316289762,0.012947409840164022
62,02 19 54.24,+57 03 48.2,17.37,5.88,343.7,<,0.001,0.032,1.21,1,18.5,16.84,15.64,14.97,2.9513608199120345,3.0,X,0.999991,1,1.1590834282073732,0.012947409840164022
63,02 19 51.56,+57 10 00.9,17.82,5.32,343.4,<,0.001,0.06,1.11,1,,,16.17,15.44,3.391360819912034,,X,0.999983,1,0.9879720071419541,0.012947409840164022
64,02 19 21.84,+57 02 07.1,15.85,0.46,342.0,<,0.001,0.031,1.42,1,16.81,15.49,14.56,14.1,2.141360819912034,3.0,X,0.999996,1,,0.0
65,02 18 55.22,+57 11 29.0,17.85,2.62,341.5,<,0.001,0.034,1.11,1,19.32,17.41,15.97,15.29,3.251360819912035,3.0,X,0.999996,1,1.0464052059321876,0.012947409840164022
66,02 18 05.38,+57 01 28.5,16.34,0.371,340.7,<,0.001,0.031,1.36,2,17.34,15.9,14.85,14.3,2.3313608199120353,3.0,Ha,0.999994,1,,0.0
67,02 19 47.77,+57 12 59.9,18.08,0.296,338.9,<,0.001,0.024,1.06,1,19.45,17.6,16.3,15.54,3.511360819912035,1.0,,0.999996,1,0.931996897196634,0.012947409840164022
68,02 18 23.82,+57 13 47.0,18.16,4.27,338.7,<,0.001,0.045,1.04,1,19.56,17.76,16.35,15.62,3.591360819912035,1.0,,0.999997,1,0.8962691754880261,0.012947409840164022
69,02 18 47.47,+57 01 38.6,16.28,0.376,337.5,<,0.001,0.013,1.36,2,17.39,15.94,14.82,14.24,2.2713608199120348,3.0,X,0.999995,1,,0.0
70,02 19 08.05,+57 06 08.6,17.57,0.661,336.6,<,0.001,0.041,1.16,2,19.01,17.1,15.68,14.93,2.9113608199120353,1.0,X,0.999966,1,1.1717184788089223,0.012947409840164022
71,02 18 20.74,+56 59 58.8,17.29,3.42,335.2,<,0.001,0.039,1.22,1,18.3,16.79,15.77,15.16,3.181360819912035,0.0,,0.999991,1,1.0759779468590938,0.012947409840164022
72,02 19 16.74,+57 12 04.6,18.76,7.09,334.8,<,0.001,0.051,0.86,1,20.47,18.25,16.64,15.82,3.7413608199120354,1.0,,0.999994,1,0.8298343765839337,0.012947409840164022
73,02 18 44.07,+57 08 56.1,17.69,8.26,333.2,<,0.001,0.067,1.14,1,18.75,17.1,16.09,15.44,3.4013608199120355,1.0,X,0.999989,1,0.9832442452952597,0.012947409840164022
74,02 18 47.98,+57 13 58.5,17.12,3.56,332.7,<,0.001,0.023,1.25,2,18.38,16.66,15.41,14.72,2.6913608199120347,3.0,X,0.999979,1,1.235624698241294,0.012947409840164022
75,02 19 12.96,+56 59 33.0,17.39,4.93,332.0,<,0.001,0.035,1.2,1,,,15.78,15.15,3.1613608199120353,,,0.999992,1,1.0843052712068788,0.012947409840164022
76,02 18 46.56,+57 13 53.8,17.43,4.48,331.8,<,0.001,0.03,1.19,2,18.93,17.05,15.69,14.91,2.891360819912034,3.0,X,0.999984,1,1.179729827465339,0.012947409840164022
77,02 18 29.41,+57 15 59.0,18.0,0.279,330.7,<,0.001,0.034,1.08,1,19.48,17.5,16.08,15.32,3.2813608199120345,3.0,,0.999999,1,1.0349285407630469,0.012947409840164022
78,02 20 00.95,+57 11 24.8,17.75,0.144,330.5,<,0.001,0.092,1.13,1,18.96,17.24,16.26,15.59,3.511360819912035,1.0,,0.999991,1,0.931996897196634,0.012947409840164022
79,02 19 18.12,+57 01 32.9,18.19,0.454,330.4,<,0.001,0.058,1.03,1,,,16.26,15.55,3.501360819912035,,X,0.999983,1,0.9366787417198797,0.012947409840164022
80,02 19 46.10,+57 05 47.6,16.95,4.31,329.1,<,0.001,0.024,1.25,1,17.99,16.5,15.38,14.81,2.841360819912035,1.0,X,0.999993,1,1.1956935859818911,0.012947409840164022
81,02 18 09.29,+57 03 23.6,16.6,0.463,328.1,<,0.001,0.018,1.33,1,17.55,16.12,15.08,14.54,2.561360819912034,3.0,X,0.999995,1,1.2681887372499605,0.012947409840164022
82,02 18 27.18,+57 11 07.5,15.78,0.392,327.6,<,0.001,0.021,1.49,2,16.77,15.38,14.35,13.77,1.7913608199120343,1.0,X,0.999992,1,,0.0
83,02 19 43.65,+57 06 05.7,18.31,0.895,326.5,<,0.001,0.055,1.01,1,19.82,17.78,16.27,15.47,3.4413608199120347,1.0,,0.999975,1,0.9639897909113196,0.012947409840164022
84,02 18 31.19,+57 10 56.0,18.26,5.24,326.1,<,0.001,0.049,1.01,1,19.67,17.84,16.52,15.77,3.731360819912034,1.0,,0.999996,1,0.8341928089022408,0.012947409840164022
85,02 20 02.25,+57 03 49.2,18.57,5.29,325.5,<,0.001,0.081,0.91,1,20.28,18.17,16.69,15.81,3.801360819912034,1.0,,0.999996,1,0.8027822311366603,0.012947409840164022
86,02 18 26.22,+57 09 21.9,18.16,3.18,325.5,<,0.001,0.029,1.05,1,19.43,17.64,16.38,15.71,3.6613608199120353,1.0,,0.999988,1,0.8648587292103,0.012947409840164022
87,02 18 35.13,+57 04 06.7,16.7,5.59,325.3,<,0.001,0.017,1.31,1,17.62,16.29,15.31,14.79,2.841360819912035,0.0,,0.999996,1,1.1956935859818911,0.012947409840164022
88,02 18 30.64,+57 10 08.7,18.06,8.2,324.7,<,0.001,0.042,1.07,1,19.43,17.67,16.33,15.58,3.551360819912034,1.0,X,0.99999,1,0.9145534510186825,0.012947409840164022
89,02 18 44.90,+57 10 05.4,18.96,3.25,322.5,<,0.001,0.078,0.78,1,,,16.92,16.11,4.011360819912035,,X,0.999982,1,0.7132367329458574,0.012947409840164022
90,02 18 29.63,+57 07 14.2,19.37,2.12,321.9,<,0.001,0.079,0.67,1,,,17.17,16.37,4.321360819912034,,,0.99999,1,0.5901419556096824,0.012947409840164022
91,02 19 33.09,+57 09 44.0,17.02,4.12,320.3,<,0.001,0.033,1.26,1,18.09,16.58,15.45,14.93,2.921360819912035,3.0,X,0.999993,1,1.1684348592888418,0.012947409840164022
92,02 18 24.46,+57 09 28.5,19.38,0.405,318.5,<,0.001,0.081,0.65,1,21.55,18.82,17.1,16.35,4.231360819912034,1.0,X,0.999996,1,0.6256145250902214,0.012947409840164022
93,02 19 53.35,+57 07 22.1,19.72,4.22,317.9,<,0.001,0.11,0.56,1,21.93,19.13,17.35,16.55,4.471360819912036,1.0,,0.999992,1,0.5337919289076515,0.012947409840164022
94,02 18 19.80,+57 12 24.4,18.23,3.19,317.5,<,0.001,0.044,1.02,1,19.7,17.71,16.27,15.52,3.4613608199120343,1.0,,0.999996,1,0.9557625503842382,0.012947409840164022
95,02 18 32.38,+57 14 29.2,17.91,0.58,316.8,<,0.001,0.047,1.1,1,19.28,17.5,16.04,15.28,3.2413608199120354,1.0,,0.999974,1,1.0513236718035803,0.012947409840164022
96,02 18 31.43,+57 05 36.2,17.08,2.93,316.2,<,0.001,0.018,1.26,2,18.34,16.69,15.37,14.7,2.681360819912035,3.0,X,0.999984,1,1.2368620948259375,0.012947409840164022
97,02 19 14.09,+57 01 47.7,16.3,0.853,313.9,<,0.001,0.027,1.36,2,17.39,15.85,14.72,14.07,2.091360819912035,3.0,X,0.999995,1,,0.0
98,02 18 53.61,+57 10 04.6,17.2,0.342,313.9,<,0.001,0.041,1.23,1,18.43,16.73,15.64,14.96,2.9513608199120345,1.0,X,0.999992,1,1.1590834282073732,0.012947409840164022
99,02 18 35.88,+57 12 12.5,18.77,7.14,313.0,<,0.001,0.038,0.87,1,20.39,18.3,16.69,15.89,3.8213608199120355,1.0,,0.999994,1,0.7944938339420535,0.012947409840164022
100,02 19 07.67,+57 11 03.4,17.82,3.39,312.1,<,0.001,0.029,1.12,2,19.28,17.37,15.85,15.13,3.051360819912034,1.0,X,0.99998,1,1.1242442880219465,0.012947409840164022
101,02 18 06.86,+57 05 15.0,19.47,4.85,311.0,<,0.001,0.072,0.63,1,21.61,18.84,17.03,16.26,4.191360819912035,1.0,,0.999997,1,0.6415444682105944,0.012947409840164022
102,02 18 24.49,+57 08 28.9,18.28,0.423,310.1,<,0.001,0.05,1.01,1,,,16.43,15.72,3.6513608199120355,,,0.999996,1,0.8693141283155215,0.012947409840164022
103,02 19 08.85,+57 06 59.0,16.25,1.5,309.7,<,0.001,0.026,1.37,1,17.14,15.84,14.85,14.4,2.471360819912034,3.0,X,0.999998,1,1.2910684843261488,0.012947409840164022
104,02 19 10.54,+57 15 45.1,17.03,0.337,308.9,<,0.001,0.022,1.25,2,18.31,16.6,15.37,14.68,2.6513608199120355,3.0,,0.999995,1,1.24552624923314,0.012947409840164022
105,02 18 15.55,+57 13 54.8,16.75,2.69,308.4,<,0.001,0.02,1.3,1,17.82,16.42,15.35,14.79,2.811360819912034,3.0,,0.99999,1,1.2047556529319503,0.012947409840164022
106,02 18 48.39,+57 07 40.2,18.04,5.35,306.4,<,0.001,0.045,1.07,1,,,16.36,15.6,3.5713608199120355,,X,0.999998,1,0.9053533960216762,0.012947409840164022
107,02 18 03.79,+57 01 41.7,15.7,0.404,305.9,<,0.001,0.013,1.45,1,16.47,15.33,14.51,14.02,2.061360819912034,1.0,,0.999996,1,,0.0
108,02 19 16.62,+57 13 41.4,17.39,6.14,305.9,<,0.001,0.025,1.21,1,18.51,16.87,15.69,15.1,3.091360819912035,1.0,X,0.999984,1,1.1117115503017172,0.012947409840164022
109,02 18 34.71,+57 10 33.1,18.78,0.424,305.4,<,0.001,0.036,0.85,1,20.49,18.28,16.7,15.91,3.8213608199120355,1.0,X,0.999978,1,0.7944938339420535,0.012947409840164022
110,02 19 38.04,+57 07 04.3,18.07,5.59,305.2,<,0.001,0.059,1.05,1,19.52,17.59,16.2,15.47,3.4613608199120343,1.0,X,0.999997,1,0.9557625503842382,0.012947409840164022
111,02 19 15.75,+57 13 02.8,17.56,5.35,304.4,<,0.001,0.034,1.18,1,18.79,17.05,15.87,15.18,3.171360819912035,0.0,X,0.999996,1,1.0808510660256276,0.012947409840164022
112,02 18 33.30,+57 02 23.0,17.1,5.32,303.2,<,0.001,0.014,1.24,2,18.51,16.73,15.41,14.71,2.7113608199120343,3.0,X,0.999995,1,1.229796991800206,0.012947409840164022
113,02 18 56.02,+57 07 22.5,16.88,0.552,301.7,<,0.001,0.037,1.28,2,18.05,16.45,15.24,14.59,2.6513608199120355,3.0,X,0.999999,1,1.24552624923314,0.012947409840164022
114,02 19 14.30,+57 16 07.6,18.7,0.707,300.3,<,0.001,0.043,0.88,1,20.23,18.22,16.73,15.88,3.811360819912034,1.0,,0.999996,1,0.798635430944909,0.012947409840164022
115,02 19 57.12,+57 16 39.4,16.66,0.617,299.9,<,0.001,0.039,1.31,1,17.6,16.09,15.41,14.73,2.601360819912035,3.0,,0.999993,1,1.258264480786742,0.012947409840164022
116,02 19 39.36,+57 09 45.4,16.25,0.397,299.3,<,0.001,0.031,1.36,2,17.33,15.84,14.76,14.2,2.1913608199120347,3.0,X,0.999996,1,,0.0
117,02 19 34.29,+57 00 09.3,18.62,5.29,296.9,<,0.001,0.034,0.92,1,20.12,18.1,16.84,16.06,3.981360819912034,1.0,,0.999986,1,0.7261363991574287,0.012947409840164022
118,02 18 07.60,+57 11 31.8,18.85,4.41,295.5,<,0.001,0.042,0.85,2,20.83,18.23,16.49,15.69,3.601360819912035,1.0,,0.999994,1,0.8917785454467105,0.012947409840164022
119,02 19 05.11,+57 09 58.0,18.34,0.327,295.1,<,0.001,0.052,1.0,1,,,16.38,15.65,3.591360819912035,,,0.999995,1,0.8962691754880261,0.012947409840164022
120,02 19 18.31,+57 08 35.9,18.0,6.62,294.2,<,0.001,0.037,1.08,1,19.37,17.49,16.07,15.43,3.341360819912035,1.0,X,0.999995,1,1.0091219298496459,0.012947409840164022
121,02 18 02.35,+57 08 45.6,16.04,0.817,293.5,<,0.001,0.013,1.39,2,,,14.59,14.04,2.051360819912034,,X,0.999995,1,,0.0
122,02 18 34.79,+57 13 13.7,17.95,0.856,292.5,<,0.001,0.023,1.1,2,19.36,17.42,16.0,15.26,3.2113608199120343,1.0,,0.999973,1,1.0630124170945843,0.012947409840164022
123,02 18 58.25,+57 09 38.0,18.13,7.25,291.7,<,0.001,0.043,1.05,2,,,16.17,15.4,3.2913608199120343,,X,0.999999,1,1.0300295376543926,0.012947409840164022
124,02 19 41.70,+57 06 13.4,17.18,3.13,291.5,<,0.001,0.016,1.24,1,18.35,16.79,15.51,14.86,2.891360819912034,0.0,X,0.99999,1,1.179729827465339,0.012947409840164022
125,02 18 21.01,+57 06 07.4,15.86,0.489,291.0,<,0.001,0.019,1.42,1,16.8,15.55,14.57,14.13,2.181360819912035,3.0,X,0.999992,1,,0.0
126,02 18 22.17,+57 09 16.5,18.51,0.282,290.6,<,0.001,0.054,0.94,1,20.09,18.09,16.64,15.83,3.7713608199120348,1.0,,0.999999,1,0.815764131148197,0.012947409840164022
127,02 18 54.85,+57 05 31.5,18.61,2.94,290.4,<,0.001,0.039,0.92,2,20.43,18.06,16.42,15.62,3.561360819912034,1.0,X,0.999967,1,0.9099542742605828,0.012947409840164022
128,02 18 31.14,+57 13 30.4,16.81,0.586,290.1,<,0.001,0.017,1.3,1,17.88,16.38,15.29,14.73,2.7413608199120354,3.0,X,0.999987,1,1.2229916023707195,0.012947409840164022
129,02 19 18.63,+57 01 39.2,17.45,0.849,289.8,<,0.001,0.03,1.19,1,18.56,16.91,15.75,15.05,3.0213608199120348,3.0,X,0.999978,1,1.1353775892822533,0.012947409840164022
130,02 19 20.43,+57 04 39.3,18.21,0.66,289.7,<,0.001,0.039,1.01,2,19.92,17.74,16.08,15.33,3.2713608199120348,1.0,X,0.99993,1,1.0381697823499385,0.012947409840164022
131,02 19 36.30,+57 02 23.6,17.84,0.348,288.8,<,0.001,0.033,1.12,1,19.13,17.34,15.96,15.26,3.251360819912035,3.0,,0.999998,1,1.0464052059321876,0.012947409840164022
132,02 19 19.05,+57 12 55.6,17.63,0.419,288.2,<,0.001,0.023,1.16,2,18.91,17.11,15.71,15.02,2.9613608199120343,3.0,X,0.999994,1,1.1558613142786496,0.012947409840164022
133,02 19 02.95,+57 14 01.2,17.61,2.66,288.2,<,0.001,0.028,1.16,1,18.89,17.17,15.99,15.37,3.3313608199120353,0.0,,0.999996,1,1.0140109908940669,0.012947409840164022
134,02 18 49.64,+57 15 07.6,18.2,2.72,287.4,<,0.001,0.038,1.02,1,19.64,17.78,16.4,15.65,3.6213608199120344,1.0,,0.999998,1,0.8827785934378296,0.012947409840164022
135,02 19 41.32,+57 05 17.1,18.87,5.71,287.2,<,0.001,0.047,0.83,1,,,16.81,15.97,3.931360819912035,,,0.999989,1,0.747081387472014,0.012947409840164022
136,02 19 19.64,+57 08 41.9,18.25,3.45,286.5,<,0.001,0.03,1.02,1,,,16.31,15.55,3.4613608199120343,,X,0.999999,1,0.9557625503842382,0.012947409840164022
137,02 19 58.67,+57 10 58.2,19.75,0.356,285.3,<,0.001,0.07,0.55,1,21.91,19.11,17.35,16.48,4.391360819912034,1.0,,0.999998,1,0.5643990778166258,0.012947409840164022
138,02 18 26.21,+57 03 11.2,18.39,2.38,285.1,<,0.001,0.05,0.99,1,19.78,17.85,16.42,15.68,3.6613608199120353,1.0,X,0.999979,1,0.8648587292103,0.012947409840164022
139,02 19 24.76,+57 10 19.4,19.32,0.493,284.7,<,0.001,0.068,0.67,1,21.42,18.69,17.01,16.26,4.141360819912034,1.0,X,0.999994,1,0.6605661697219815,0.012947409840164022
140,02 17 58.71,+57 04 43.0,16.53,0.773,284.7,<,0.001,0.019,1.33,1,17.53,16.11,15.06,14.51,2.5313608199120345,1.0,X,0.999996,1,1.2749825069835103,0.012947409840164022
141,02 19 50.43,+57 10 50.8,18.42,0.503,284.4,<,0.001,0.044,0.96,2,20.35,17.87,16.14,15.32,3.221360819912034,1.0,X,0.999983,1,1.0595016197457086,0.012947409840164022
142,02 19 21.71,+57 13 15.2,17.0,0.665,283.3,<,0.001,0.022,1.27,1,18.13,16.56,15.37,14.8,2.7813608199120345,3.0,X,0.999994,1,1.2116318355988678,0.012947409840164022
143,02 19 23.59,+57 15 33.8,18.82,2.24,282.7,<,0.001,0.024,0.87,2,,,16.51,15.71,3.601360819912035,,,0.999994,1,0.8917785454467105,0.012947409840164022
144,02 19 34.94,+57 00 06.2,19.06,3.32,281.8,<,0.001,0.038,0.77,1,20.92,18.54,16.99,16.14,4.061360819912034,1.0,,0.999996,1,0.6920036448577614,0.012947409840164022
145,02 19 56.30,+57 01 07.3,16.86,4.63,281.8,<,0.001,0.031,1.28,1,18.06,16.49,15.37,14.73,2.751360819912035,3.0,,0.999991,1,1.2202211624551056,0.012947409840164022
146,02 19 22.74,+57 06 21.6,16.32,1.33,281.6,<,0.001,0.02,1.35,1,17.4,15.93,14.92,14.41,2.471360819912034,3.0,X,0.999995,1,1.2910684843261488,0.012947409840164022
147,02 18 13.19,+57 07 46.6,19.22,0.294,281.4,<,0.001,0.083,0.7,1,21.16,18.67,16.99,16.09,4.041360819912034,1.0,,0.999998,1,0.7004986432134263,0.012947409840164022
148,02 19 03.03,+57 04 51.9,16.05,0.433,279.3,<,0.001,0.021,1.39,2,17.11,15.66,14.61,14.11,2.131360819912034,3.0,X,0.999995,1,,0.0
149,02 18 05.33,+57 10 51.6,19.59,0.946,279.2,<,0.001,0.056,0.58,1,,,17.23,16.39,4.291360819912036,,,0.99999,1,0.6019698307273765,0.012947409840164022
150,02 18 07.84,+57 08 50.3,19.73,0.284,279.1,<,0.001,0.07,0.55,1,,,17.23,16.42,4.321360819912034,,,0.999999,1,0.5901419556096824,0.012947409840164022
151,02 19 53.17,+57 03 08.1,18.88,5.52,278.0,<,0.001,0.034,0.82,1,20.44,18.29,16.82,16.04,4.0313608199120345,1.0,,0.999997,1,0.7042783392641232,0.012947409840164022
152,02 18 17.96,+57 12 21.6,16.16,0.391,277.9,<,0.001,0.01,1.38,2,17.17,15.71,14.61,14.01,1.9913608199120354,3.0,X,0.999987,1,,0.0
153,02 18 21.74,+57 04 37.3,16.33,2.93,277.7,<,0.001,0.01,1.35,1,17.34,16.0,15.01,14.52,2.561360819912034,3.0,X,0.999995,1,1.2681887372499605,0.012947409840164022
154,02 19 34.58,+57 05 06.1,17.29,3.05,276.7,<,0.001,0.023,1.22,1,18.58,16.87,15.64,15.01,3.0313608199120345,3.0,X,0.999989,1,1.132109263674608,0.012947409840164022
155,02 19 08.89,+57 03 57.7,16.09,0.406,276.6,<,0.001,0.012,1.38,2,17.1,15.68,14.64,14.1,2.131360819912034,3.0,X,0.999995,1,,0.0
156,02 19 12.60,+57 13 21.4,15.89,7.46,276.0,<,0.001,0.009,1.42,2,16.87,15.5,14.53,14.04,2.101360819912035,3.0,,0.999996,1,,0.0
157,02 19 02.44,+57 14 29.9,16.9,0.474,276.0,<,0.001,0.038,1.27,2,18.26,16.5,15.15,14.5,2.4413608199120347,3.0,X,0.999987,1,1.297981855286702,0.012947409840164022
158,02 19 43.76,+57 05 31.9,15.95,0.691,275.7,<,0.001,0.007,1.41,1,16.81,15.53,14.65,14.17,2.2413608199120354,2.0,,0.999999,1,,0.0
159,02 18 15.01,+57 12 13.3,19.1,7.3,275.3,<,0.001,0.031,0.75,1,20.71,18.64,17.01,16.19,4.111360819912035,0.0,,0.999996,1,0.672440990746852,0.012947409840164022
160,02 19 37.66,+57 04 37.7,17.69,3.62,274.9,<,0.001,0.018,1.15,1,18.88,17.19,15.94,15.33,3.341360819912035,1.0,X,0.999998,1,1.0091219298496459,0.012947409840164022
161,02 18 32.93,+57 08 27.4,19.3,0.485,274.6,<,0.001,0.073,0.68,1,21.1,18.74,17.06,16.25,4.161360819912035,1.0,,0.999992,1,0.6533333965558867,0.012947409840164022
162,02 18 37.15,+57 09 05.6,19.23,0.413,274.4,<,0.001,0.051,0.67,1,,,17.04,16.22,4.081360819912035,,X,0.999995,1,0.6845335530174355,0.012947409840164022
163,02 18 46.57,+57 13 37.5,18.36,7.3,273.8,<,0.001,0.02,0.99,1,19.83,17.96,16.53,15.79,3.7413608199120354,1.0,,0.999993,1,0.8298343765839337,0.012947409840164022
164,02 19 18.35,+56 59 17.3,16.23,0.665,273.6,<,0.001,0.025,1.37,1,17.17,15.81,14.86,14.4,2.431360819912035,3.0,X,0.999994,1,1.3002888374378447,0.012947409840164022
165,02 19 55.82,+57 04 01.6,19.36,1.42,273.0,<,0.001,0.041,0.66,2,21.47,18.75,16.92,16.11,4.011360819912035,1.0,,0.999996,1,0.7132367329458574,0.012947409840164022
