recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
64,02 19 21.84,+57 02 07.1,15.85,0.46,342.0,<,0.001,0.031,1,16.81,15.49,14.56,14.1,13.95,3,X,0.999996,1,5469.0,124.0,,,,
65,02 18 55.22,+57 11 29.0,17.85,2.62,341.5,<,0.001,0.034,1,19.32,17.41,15.97,15.29,15.06,3,X,0.999996,1,,,,,,
66,02 18 05.38,+57 01 28.5,16.34,0.371,340.7,<,0.001,0.031,2,17.34,15.9,14.85,14.3,14.14,3,Ha,0.999994,1,4966.0,125.0,,,,
67,02 19 47.77,+57 12 59.9,18.08,0.296,338.9,<,0.001,0.024,1,19.45,17.6,16.3,15.54,15.32,1,,0.999996,1,4619.0,143.0,0.73,,,-0.31827949368170716
68,02 18 23.82,+57 13 47.0,18.16,4.27,338.7,<,0.001,0.045,1,19.56,17.76,16.35,15.62,15.4,1,,0.999997,1,,,,,,
69,02 18 47.47,+57 01 38.6,16.28,0.376,337.5,<,0.001,0.013,2,17.39,15.94,14.82,14.24,14.08,3,X,0.999995,1,4923.0,125.0,,,,
70,02 19 08.05,+57 06 08.6,17.57,0.661,336.6,<,0.001,0.041,2,19.01,17.1,15.68,14.93,14.72,1,X,0.999966,1,,,,,,
71,02 18 20.74,+56 59 58.8,17.29,3.42,335.2,<,0.001,0.039,1,18.3,16.79,15.77,15.16,14.99,0,,0.999991,1,4778.0,129.0,0.77,,,-0.49284604034416635
72,02 19 16.74,+57 12 04.6,18.76,7.09,334.8,<,0.001,0.051,1,20.47,18.25,16.64,15.82,15.55,1,,0.999994,1,,,,,,
73,02 18 44.07,+57 08 56.1,17.69,8.26,333.2,<,0.001,0.067,1,18.75,17.1,16.09,15.44,15.21,1,X,0.999989,1,,,,,,
74,02 18 47.98,+57 13 58.5,17.12,3.56,332.7,<,0.001,0.023,2,18.38,16.66,15.41,14.72,14.5,3,X,0.999979,1,4816.0,135.0,,,,
75,02 19 12.96,+56 59 33.0,17.39,4.93,332.0,<,0.001,0.035,1,,,15.78,15.15,14.97,,,0.999992,1,4626.0,131.0,0.73,,,-0.5245467398302995
76,02 18 46.56,+57 13 53.8,17.43,4.48,331.8,<,0.001,0.03,2,18.93,17.05,15.69,14.91,14.7,3,X,0.999984,1,4752.0,136.0,,,,
77,02 18 29.41,+57 15 59.0,18.0,0.279,330.7,<,0.001,0.034,1,19.48,17.5,16.08,15.32,15.09,3,,0.999999,1,4338.0,136.0,0.68,,,-0.8122537302195407
78,02 20 00.95,+57 11 24.8,17.75,0.144,330.5,<,0.001,0.092,1,18.96,17.24,16.26,15.59,15.32,1,,0.999991,1,5019.0,149.0,0.83,,,-0.2192939414678739
79,02 19 18.12,+57 01 32.9,18.19,0.454,330.4,<,0.001,0.058,1,,,16.26,15.55,15.31,,X,0.999983,1,4355.0,138.0,0.68,,,-0.2720929185933032
80,02 19 46.10,+57 05 47.6,16.95,4.31,329.1,<,0.001,0.024,1,17.99,16.5,15.38,14.81,14.65,1,X,0.999993,1,5072.0,138.0,0.85,,,0.05897613656511725
81,02 18 09.29,+57 03 23.6,16.6,0.463,328.1,<,0.001,0.018,1,17.55,16.12,15.08,14.54,14.37,3,X,0.999995,1,4962.0,126.0,0.82,,,0.061686151089758445
82,02 18 27.18,+57 11 07.5,15.78,0.392,327.6,<,0.001,0.021,2,16.77,15.38,14.35,13.77,13.6,1,X,0.999992,1,5096.0,125.0,,,,
83,02 19 43.65,+57 06 05.7,18.31,0.895,326.5,<,0.001,0.055,1,19.82,17.78,16.27,15.47,15.25,1,,0.999975,1,,,,,,
84,02 18 31.19,+57 10 56.0,18.26,5.24,326.1,<,0.001,0.049,1,19.67,17.84,16.52,15.77,15.54,1,,0.999996,1,,,,,,
