,flag,Gaia,TIC,RAdeg,DEdeg,Sec,Theia,logAge,e_logAge,BP-RP,Gmag,Tmag,Teff,e_Teff,Mass,e_Mass,Rad,e_Rad,CorrP1,e_CorrP1,CorrP2,e_CorrP2,CorrA1,CorrA2,PCAP1,e_PCAP1,PCAP2,e_PCAP2,PCAA1,PCAA2,RAWP1,e_RAWP1,RAWP2,e_RAWP2,RAWA1,RAWA2,Per,e_Per,PType,logAM,e_logAM,RUWE,sigmaVar,sigmaInst,sigmap2p,c1,c2,c3,c4,c5,c6,Mass_calc,Mass_e
12427,True,3017240574419809408,427353119,83.549794,-5.872733,32,13,6.69,0.12,3.0466,8.4622,15.413,3972.0,124.0,,,1.534,,,,,,,,,,,,,,13.54,0.37,3.21,0.033,0.04697,0.01911,,,,,,1.139,0.021,0.01493,0.02779,1.0,1.0,1.0,3.14,4.22,5.36,0.05923418581475087,0.05117071635240562
12428,True,3017240574419809408,427353119,83.549794,-5.872733,6,13,6.69,0.12,3.0466,8.4622,15.413,3972.0,124.0,,,1.534,,0.57798,0.00044,0.8301,0.0095,0.06233,0.03371,0.57884,,0.82383,,0.0515,0.04695,0.57876,,0.82808,,0.05167,0.03304,0.57798,0.00044,all3,,,1.139,0.00255,0.002611,0.003281,1.0,1.0,1.0,3.14,4.22,5.36,0.05923418581475087,0.05117071635240562
12429,True,3017217037999027456,427353124,83.56133,-5.885422,32,13,6.69,0.12,2.5154,8.12,15.069,3344.0,157.0,0.665,0.022,0.702,0.025,2.2125,0.002,1.12697,0.00065,0.17009,0.15702,1.12616,0.0007,2.188,0.028,0.15051,0.13808,2.22,0.1,1.12,0.16,0.19079,0.13511,,,,,,1.079,0.0312,0.01449,0.03012,1.0,1.0,1.0,1.0,2.11,2.11,0.12398307567835215,0.05117071635240562
12430,True,3017217037999027456,427353124,83.56133,-5.885422,6,13,6.69,0.12,2.5154,8.12,15.069,3344.0,157.0,0.665,0.022,0.702,0.025,1.12544,0.00033,1.0417,0.0012,0.3397,0.07023,1.12246,0.00028,1.0415,0.00089,0.3838,0.08811,1.12365,0.00045,2.3096,0.0053,0.26043,0.09472,1.12544,0.00033,corr,42.915,0.045,1.079,0.00791,0.003723,0.004936,1.0,1.0,1.0,1.0,2.11,2.11,0.12398307567835215,0.05117071635240562
12431,True,3017216591322433152,427353151,83.532435,-5.929744,32,13,6.69,0.12,1.5701,5.9261,13.324,6843.0,133.0,1.48,,1.084,,4.8476,,1.6639,,0.0654,0.06315,4.739,0.017,1.6768,0.002,0.09711,0.0932,3.54,0.011,4.641,0.02,0.09003,0.08641,,,,,,1.057,0.01694,0.004571,0.009434,1.0,1.0,1.0,1.0,1.0,3.31,0.5390987667474147,0.05117071635240562
12432,True,3017216591322433152,427353151,83.532435,-5.929744,6,13,6.69,0.12,1.5701,5.9261,13.324,6843.0,133.0,1.48,,1.084,,1.9371,0.0054,2.312,0.012,0.09298,0.07915,4.668,0.014,9.424,0.054,0.16877,0.15816,15.812,,8.2296,,0.3598,0.17299,,,,,,1.057,0.00658,0.002221,0.003121,1.0,1.0,1.0,1.0,1.0,3.31,0.5390987667474147,0.05117071635240562
12433,True,3017213464586397312,427353155,83.6161,-5.941144,6,13,6.69,0.12,2.5786,8.0511,15.048,3313.0,157.0,0.662,0.023,0.698,0.025,1.919,0.037,1.859,0.032,0.06561,0.04904,1.9078,0.0022,6.07,0.1,0.14011,0.03639,1.8968,0.0024,15.9,0.23,0.1295,0.10026,1.919,0.037,all3,42.677,0.038,0.986,0.00366,0.00356,0.004405,1.0,2.18,2.18,2.18,2.18,3.25,0.13701989190591018,0.05117071635240562
12434,True,3017213464586397312,427353155,83.6161,-5.941144,32,13,6.69,0.12,2.5786,8.0511,15.048,3313.0,157.0,0.662,0.023,0.698,0.025,1.8936,0.0025,,,0.10737,,1.8934,0.0024,,,0.10969,,1.8856,0.002,13.59,0.72,0.13011,0.02061,1.8936,0.0025,all3,42.682,0.046,0.986,0.0238,0.01613,0.0318,1.0,2.18,2.18,2.18,2.18,3.25,0.13701989190591018,0.05117071635240562
12435,True,3017236176373455232,427353157,83.641131,-5.943918,32,13,6.69,0.12,2.6909,7.3676,14.387,4063.0,123.0,,,1.922,,3.244,0.047,,,0.01461,,3.263,0.035,,,0.02017,,3.251,0.028,,,0.02651,,3.244,0.047,all3,,,1.444,0.0235,0.01758,0.03288,1.0,1.0,1.0,1.0,1.0,1.0,0.2663473794163404,0.05117071635240562
12436,True,3017236176373455232,427353157,83.641131,-5.943918,6,13,6.69,0.12,2.6909,7.3676,14.387,4063.0,123.0,,,1.922,,3.654,0.033,1.857,0.015,0.03086,0.01634,6.15,0.11,10.55,0.37,0.08013,0.06093,5.375,0.076,10.9,1.4,0.11638,0.03814,,,,,,1.444,0.00324,0.00312,0.003928,1.0,1.0,1.0,1.0,1.0,1.0,0.2663473794163404,0.05117071635240562
12437,True,3017212639952676992,427353171,83.637566,-5.963063,32,13,6.69,0.12,2.2711,6.8278,14.21,4666.0,124.0,,,1.607,,1.16268,0.00021,1.0906,0.001,0.50256,0.07114,1.16307,0.0002,1.09096,0.001,0.50976,0.07292,1.16307,0.00029,16.39,0.64,0.38586,0.05439,1.16268,0.00021,corr,,,1.048,0.0201,0.009583,0.0186,1.0,1.0,1.0,2.13,3.27,3.27,0.3684848743018631,0.05117071635240562
12438,True,3017212639952676992,427353171,83.637566,-5.963063,6,13,6.69,0.12,2.2711,6.8278,14.21,4666.0,124.0,,,1.607,,1.16345,0.00018,1.25717,0.00082,0.6646,0.14726,1.1621,,1.1931,,0.67618,0.05979,1.1618,,14.964,,0.55804,0.08541,1.16345,0.00018,corr,,,1.048,0.00758,0.003478,0.004355,1.0,1.0,1.0,2.13,3.27,3.27,0.3684848743018631,0.05117071635240562
12439,True,3017213292787710336,427353177,83.584416,-5.970995,32,13,6.69,0.12,2.6385,7.1939,14.289,4124.0,123.0,,,1.978,,3.145,0.012,,,0.05834,,3.137,0.012,2.187,0.02,0.0584,0.01238,11.175,0.087,3.1463,0.008,0.11508,0.09828,,,,,,1.403,0.0274,0.01898,0.03783,1.0,1.0,1.0,1.0,1.0,1.0,0.29921377967637025,0.05117071635240562
12440,True,3017213292787710336,427353177,83.584416,-5.970995,6,13,6.69,0.12,2.6385,7.1939,14.289,4124.0,123.0,,,1.978,,3.2094,0.0055,2.6711,0.0068,0.14783,0.07654,3.253,0.0033,4.73,0.11,0.2924,0.06767,3.1868,0.003,4.498,0.021,0.33018,0.12382,3.2094,0.0055,all3,,,1.403,0.00455,0.003769,0.004443,1.0,1.0,1.0,1.0,1.0,1.0,0.29921377967637025,0.05117071635240562
12441,True,3017212158916346880,427353186,83.578743,-5.991624,32,13,6.69,0.12,2.8487,8.519,15.378,3182.0,157.0,0.631,0.023,0.655,0.025,0.69494,0.00078,,,0.04274,,0.69518,0.0007,,,0.04734,,0.69421,0.00081,10.95,0.3,0.03986,0.02629,0.69494,0.00078,all3,43.042,0.048,1.024,0.0275,0.02147,0.03877,2.02,2.02,3.16,3.16,4.3,5.48,0.0484868540035161,0.05117071635240562
12442,True,3017212158916346880,427353186,83.578743,-5.991624,6,13,6.69,0.12,2.8487,8.519,15.378,3182.0,157.0,0.631,0.023,0.655,0.025,0.69438,0.00022,0.34768,0.00033,0.18856,0.02617,0.69358,0.00026,5.74,0.078,0.15093,0.03633,0.6939,0.00029,2.647,0.014,0.13933,0.04292,0.69438,0.00022,all3,43.042,0.049,1.024,0.00717,0.006495,0.00858,2.02,2.02,3.16,3.16,4.3,5.48,0.0484868540035161,0.05117071635240562
12443,True,3017212261995558912,427353189,83.616718,-5.997899,6,13,6.69,0.12,1.3784,5.2499,12.719,4328.3,119.9,,,2.647,,1.9379,0.0011,3.858,0.013,0.29784,0.12487,3.9387,0.0032,1.94378,0.00092,0.47371,0.38834,3.9111,0.003,1.94868,0.0009,0.48985,0.40139,,,,,,1.064,0.0243,0.001645,0.004103,1.0,1.0,1.0,1.0,2.1,2.1,0.667044995063599,0.05117071635240562
12444,True,3017212261995558912,427353189,83.616718,-5.997899,32,13,6.69,0.12,1.3784,5.2499,12.719,4328.3,119.9,,,2.647,,3.8875,0.0016,3.1423,0.0046,0.71841,0.15116,3.8808,0.0016,5.0172,0.0094,0.74923,0.18327,3.879,0.0015,3.72,0.093,0.9138,0.03034,3.8875,0.0016,corr,,,1.064,0.0409,0.00322,0.007615,1.0,1.0,1.0,1.0,2.1,2.1,0.667044995063599,0.05117071635240562
12445,True,3017164635100429696,427353221,83.607862,-6.064412,6,13,6.69,0.12,2.8782,8.6318,15.351,3167.0,157.0,0.621,0.023,0.642,0.024,0.459535,3.5e-05,0.47461,0.00023,0.53861,0.07056,0.45947,3.9e-05,1.6782,0.0053,0.51621,0.04233,0.45943,4.2e-05,2.5925,0.0096,0.46087,0.0576,0.45954,3.5e-05,corr,43.197,0.049,1.058,0.01296,0.008039,0.0109,1.0,1.0,1.0,2.16,4.13,7.42,0.027143561260735083,0.05117071635240562
12446,True,3017161993698343936,427353242,83.60126,-6.115399,6,13,6.69,0.12,1.8114,6.4182,13.646,4399.0,123.0,0.69,,1.252,,2.089,,2.4639,,0.65884,0.16211,2.0906,,2.4393,,0.80637,0.17821,2.0883,,1.0431,,0.83516,0.07787,2.09,,corr,43.163,,1.069,0.0161,0.002961,0.004769,1.0,1.0,1.0,1.0,1.0,1.0,0.4459867600125202,0.05117071635240562
12447,True,3017163849124195840,427353263,83.734451,-6.071494,6,13,6.69,0.12,1.9427,6.9119,14.153,3915.0,124.0,0.61,,1.035,,4.1069,0.0034,5.874,0.021,0.46283,0.15081,4.1165,0.0024,2.1452,0.0034,0.71145,0.12561,4.1348,0.0022,2.1397,0.005,0.81317,0.07977,4.1069,0.0034,corr,42.653,,1.004,0.01739,0.003494,0.005022,1.0,1.0,1.0,1.0,2.17,2.17,0.3525720115373409,0.05117071635240562
12448,True,3017161031625647488,427353267,83.755729,-6.065467,6,13,6.69,0.12,2.64,8.9654,15.787,3282.0,157.0,0.609,0.024,0.627,0.025,1.9105,,2.2718,,0.13419,0.03044,1.9004,0.0041,9.44,0.1,0.09215,0.08396,,,,,,,,,,,,0.986,0.00632,0.00541,0.006828,1.0,1.0,1.0,1.0,1.0,1.0,-0.03597809176136596,0.05117071635240562
12449,True,3017163913545936256,427353271,83.716919,-6.055746,6,13,6.69,0.12,1.9138,6.7103,13.999,3935.0,122.0,0.61,,1.12,,0.90908,0.00023,1.7911,0.0028,0.31647,0.0983,0.91041,0.00028,1.7979,0.0027,0.25403,0.09997,0.91054,0.00032,14.818,0.088,0.22104,0.21741,0.90908,0.00023,corr,43.373,,1.025,0.00246,0.001977,0.002426,1.0,2.14,3.15,3.15,4.33,4.33,0.39071747091065373,0.05117071635240562
12450,True,3017187557343662336,427353281,83.752187,-6.02321,6,13,6.69,0.12,1.8754,7.4498,14.642,4330.0,136.0,0.68,,0.829,,3.324,0.013,4.311,0.022,0.0682,0.06633,6.867,0.016,3.284,0.013,0.2551,0.08229,15.516,0.043,6.256,0.041,0.49836,0.09641,,,,,,1.119,0.001854,0.0001048,0.001351,1.0,1.0,2.09,2.09,2.09,2.45,0.2507940224655207,0.05117071635240562
12451,True,3017187797861831808,427353282,83.731827,-6.017695,6,13,6.69,0.12,2.3281,7.015,14.12,3872.0,122.0,,,1.403,,3.168,0.026,1.1467,0.0042,0.02835,0.02451,6.173,0.019,10.218,0.063,0.17765,0.17399,15.196,0.03,2.7141,0.0063,0.73978,0.10263,,,,,,1.047,0.001153,0.0007668,0.001064,1.0,1.0,1.0,1.0,2.09,2.09,0.3330640905978732,0.05117071635240562
12452,True,3017187797861831808,427353282,83.731827,-6.017695,32,13,6.69,0.12,2.3281,7.015,14.12,3872.0,122.0,,,1.403,,2.8694,0.0057,4.524,0.023,0.1105,0.06026,2.88,0.012,4.563,0.037,0.05315,0.0397,17.672,0.095,6.761,0.022,0.27953,0.17484,,,,,,1.047,0.00135,0.0003966,0.00151,1.0,1.0,1.0,1.0,2.09,2.09,0.3330640905978732,0.05117071635240562
12453,True,3017187763502092032,427353285,83.750728,-6.017143,6,13,6.69,0.12,2.3388,8.6868,15.617,3437.0,158.0,0.627,0.025,0.65,0.027,0.9999,0.001,4.141,0.021,0.07349,0.06778,7.12,0.46,3.233,0.013,0.20899,0.08,15.29,,2.9022,,0.73978,0.05831,,,,,,1.049,0.001121,5.865e-05,0.000912,1.0,1.0,1.92,3.39,3.39,3.39,0.01673681391127485,0.05117071635240562
