,recno,Name,SpT,e_SpT,ref1,AV,Imag,VmI,Vmag,l_V-I,Teff,logL*,Mass,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad,_RA,_DE,Separation,Mass_calc,Mass_e
35,206,V759 Ori,M3,1.0,H13,,12.9,2.44,,,3360.0,-0.204,0.3,0.06,0.11,1.1,0.9,0.2,2.34,0.39,5.99,opt,H02,,,g,Simbad,83.65225,-5.60478,1.8038953693902744,0.0,0.0
36,250,V1992 Ori,M3.5e,1.0,H13,1.36,14.29,3.08,7.924996294395504,,3260.0,-0.459,0.27,0.1,0.08,1.5,1.3,0.5,1.85,0.35,2.72,opt,H02,2.0,A,,Simbad,83.65458,-5.51917,1.4197704071263662,0.3368219037988993,0.05568971782550209
37,392,2MASS J05343766-0526215,M5,1.0,H,1.16,15.63,3.73,10.114998294395503,,2880.0,-0.894,0.12,0.06,0.09,1.1,0.9,2.1,1.44,0.32,0.85,opt,R09,,,g,Simbad,83.65696,-5.43933,1.3991563225473884,0.15264920347244804,0.05568971782550209
38,226,V1438 Ori,M3,1.0,H,0.0,14.29,2.4,8.604998294395505,,3360.0,-0.76,0.29,0.09,0.08,3.1,0.8,2.1,1.23,0.2,5.52,opt,R09,,,g,Simbad,83.65876,-5.46126,1.298812788973908,0.2700415110642822,0.05568971782550209
39,493,2MASS J05343819-0535495,M5,1.0,H13,,15.42,3.02,,,2880.0,-1.072,,,,,,,1.17,0.26,1.46,opt,R09,,,b,Simbad,83.65912,-5.59711,1.7875939381930208,0.0,0.0
40,290,V1997 Ori,M3.5,1.0,H,0.46,14.48,2.89,8.824998294395504,,3260.0,-0.654,0.24,0.07,0.11,2.2,0.8,1.2,1.48,0.28,9.81,opt,H02,3.0,,,Simbad,83.65926,-5.40658,1.1138893911999412,0.24808751548161567,0.05568971782550209
41,588,2MASS J05343976-0517243,M5.5,1.0,H,0.39,15.8,3.73,11.054999294395506,,2840.0,-1.14,,,,,,,1.11,0.19,1.99,opt,R09,,N,b,Simbad,83.66571,-5.29008,1.0536986348860098,0.11595520831583915,0.05568971782550209
42,523,IW Ori,M1.5,1.0,H13,,13.8,,,,3560.0,,,,,,,,,,8.26,opt,R09,2.0,,c,Simbad,83.6661,-5.50186,1.341485062235889,0.0,0.0
43,352,2MASS J05344083-0528095,M5,1.0,H,0.93,14.58,3.64,9.204997294395506,,2880.0,-0.53,0.15,0.07,0.08,0.2,0.18,1.7,2.19,0.49,0.64,opt,R09,2.0,,e,Simbad,83.67014,-5.46931,1.309597949351761,0.20938890724578588,0.05568971782550209
44,420,2MASS J05344196-0521321,M4.7,1.0,D10,,16.27,2.33,,,2964.0,-1.444,,,,,,,0.72,0.15,1.17,opt,R09,,,b,Simbad,83.67484,-5.35892,1.4258377487311618,0.0,0.0
45,543,2MASS J05344248-0522462,M5,1.0,H13,,16.6,,,,2880.0,,,,,,,,,,2.68,opt,R09,,,c,Simbad,83.67702,-5.37953,1.3536051829958418,0.0,0.0
46,298,V2012 Ori,M4,1.0,H13,,13.52,2.86,,,3160.0,-0.362,0.23,0.09,0.13,0.9,0.81,0.6,2.2,0.46,6.15,MIR,M11,2.0,,,Simbad,83.67807,-5.4771,1.368707610260341,0.0,0.0
47,88,V1313 Ori,M0,1.0,H,1.17,13.82,2.25,6.8149982943955045,,3770.0,-0.433,0.52,0.1,0.13,3.1,1.2,2.3,1.43,0.19,7.4,opt,P09,3.0,,,Simbad,83.68086,-5.50195,1.3835374374463925,0.46320728608941186,0.05568971782550209
48,540,2MASS J05344346-0514426,M5.5,1.0,H13,,16.56,,,,2840.0,,,,,,,,,,2.01,opt,R09,,,c,Simbad,83.68109,-5.24518,1.3283221592307826,0.0,0.0
49,498,2MASS J05344384-0535366,M4.5,1.0,H13,,16.83,,,,3020.0,,,,,,,,,,0.71,opt,R09,3.0,,c,Simbad,83.68271,-5.59353,1.6481584928811095,0.0,0.0
50,364,2MASS J05344441-0526061,M5,1.0,H,1.57,15.27,3.89,9.504998294395504,,2880.0,-0.65,0.14,0.06,0.1,0.3,0.23,2.0,1.9,0.43,1.5,opt,H02,3.0,,,Simbad,83.68505,-5.43504,1.2958022830111549,0.18461764417237425,0.05568971782550209
51,333,2MASS J05344449-0524384,M4,1.0,H,0.21,15.61,2.99,10.304999294395506,,3160.0,-1.117,0.18,0.09,0.11,4.5,2.2,4.7,0.92,0.19,14.4,opt,P09,2.0,,,Simbad,83.68538,-5.41068,1.2561519452936458,0.14537573148033087,0.05568971782550209
52,130,V1118 Ori,M1e,1.0,H,0.0,14.04,1.85,7.804998294395505,,3630.0,-0.692,0.41,0.07,0.11,4.4,1.6,3.4,1.14,0.16,2.23,opt,P09,2.0,A,,Simbad,83.68644,-5.56172,1.45293658662716,0.3482630415195907,0.05568971782550209
53,14,V1444 Ori,K3,1.0,StE,1.57,11.11,1.61,3.0649982943955045,,4550.0,0.79,1.63,0.51,0.49,0.7,0.3,0.6,4.0,0.6,3.45,opt,H00,3.0,,,Simbad,83.68828,-5.4178,1.381018663367815,0.0,0.0
54,282,V1445 Ori,M4,1.0,H13,0.16,13.56,2.97,8.284998294395505,,3160.0,-0.309,0.24,0.09,0.09,0.8,0.72,0.6,2.33,0.49,6.33,opt,H02,,N,g,Simbad,83.68985,-5.48915,1.3226765573038006,0.3023648867901711,0.05568971782550209
55,96,V1446 Ori,M0,1.0,H13,0.94,13.61,2.16,6.744998294395504,,3770.0,-0.405,0.5,0.09,0.14,2.6,0.9,2.0,1.47,0.2,1.5,opt,H02,3.0,N,,Simbad,83.69129,-5.41551,1.2593624921793398,0.4728275844098906,0.05568971782550209
56,367,2MASS J05344609-0537312,M4.5,1.0,H13,0.14,15.54,3.18,10.494998294395502,,3020.0,-1.091,0.13,0.06,0.08,3.5,3.2,1.8,1.04,0.21,1.86,opt,R09,3.0,,,Simbad,83.69204,-5.62533,1.7204040589011973,0.137739159233678,0.05568971782550209
57,167,V1449 Ori,M2e,1.0,H,2.28,14.72,3.12,7.474998294395505,,3490.0,-0.42,0.36,0.06,0.08,1.7,0.3,0.6,1.69,0.23,7.4,opt,S99,2.0,A,,Simbad,83.69404,-5.39045,1.2259913192179106,0.37908186470899746,0.05568971782550209
58,475,2MASS J05344669-0521247,M5,1.0,H13,2.01,15.68,3.33,8.914998294395504,,2880.0,-1.164,,,,,,,1.05,0.24,2.43,opt,R09,3.0,,b,Simbad,83.69458,-5.35686,1.1958340418318285,0.23870746006979046,0.05568971782550209
59,275,2MASS J05344694-0516196,M3.5,1.0,H,2.15,15.78,3.55,9.094998294395504,,3260.0,-0.762,0.25,0.1,0.1,2.7,0.9,1.8,1.31,0.24,3.1,opt,R09,,,g,Simbad,83.69562,-5.27211,1.0279143807487612,0.22043077512400291,0.05568971782550209
60,479,2MASS J05344720-0518099,M4.5,1.0,H13,0.0,16.34,2.81,11.064998294395503,,3020.0,-1.492,,,,,,,0.66,0.13,6.54,opt,R09,3.0,,b,Simbad,83.69671,-5.30278,1.3994481742154383,0.1156576416844446,0.05568971782550209
61,299,V2033 Ori,M4,1.0,H,0.0,13.49,2.44,7.844998294395504,,3160.0,-0.4,0.23,0.1,0.12,1.1,1.01,0.6,2.1,0.44,16.67,opt,P09,2.0,N,d,Simbad,83.69956,-5.51294,1.4838620769707764,0.34470189987308447,0.05568971782550209
62,414,V2037 Ori,M4.5,1.0,H,0.91,16.71,3.48,11.194997294395504,,3020.0,-1.372,0.1,0.03,0.09,4.8,1.8,5.7,0.75,0.15,3.46,opt,H02,2.0,,,Simbad,83.70098,-5.50284,1.4891502109926125,0.11071425928065064,0.05568971782550209
63,197,2MASS J05344828-0532351,M2.5,1.0,H,4.28,15.16,4.05,6.844996294395504,,3425.0,-0.074,0.31,0.05,0.11,0.7,0.6,0.4,2.6,0.39,4.75,opt,H02,,,g,Simbad,83.70119,-5.54309,1.5136663199311446,0.45847078935906516,0.05568971782550209
64,441,2MASS J05344845-0531072,M3.7,1.0,D10,,16.07,,,,3220.0,,,,,,,,,,15.78,opt,P09,,,"c,d",Simbad,83.7019,-5.51869,1.3652858693249277,0.0,0.0
65,312,2MASS J05344877-0519073,M4,1.0,H,0.75,14.62,3.2,8.984998294395504,,3160.0,-0.59,0.22,0.08,0.12,1.9,1.7,0.6,1.69,0.35,2.3,opt,R09,3.0,,,Simbad,83.70321,-5.31871,1.208484525160295,0.23205492239726389,0.05568971782550209
66,254,2MASS J05344878-0517464,M3.5,1.0,H,2.44,14.99,3.66,8.124998294395505,,3260.0,-0.377,0.27,0.07,0.1,1.3,1.1,0.4,2.03,0.38,5.56,opt,R09,3.0,,,Simbad,83.70327,-5.29623,1.1224179634155946,0.31749287626319767,0.05568971782550209
67,198,2MASS J05344881-0533330,M2.5,1.0,H,2.21,15.21,3.24,8.155000294395505,,3425.0,-0.599,0.31,0.06,0.1,2.2,0.5,1.3,1.42,0.21,2.09,opt,H02,2.0,N,,Simbad,83.70342,-5.55918,1.5402187968729082,0.31505487326122356,0.05568971782550209
68,223,2MASS J05344892-0531315,M2.5,1.0,H,2.31,16.25,3.28,9.134999294395504,,3425.0,-0.99,0.29,0.07,0.08,6.0,2.1,4.5,0.91,0.14,0.77,opt,R09,,,g,Simbad,83.70387,-5.52543,1.3931830489523138,0.21650141180075821,0.05568971782550209
69,256,V2042 Ori,M3.5,1.0,H,1.13,14.83,3.15,8.764998294395506,,3260.0,-0.632,0.27,0.1,0.08,2.2,1.2,1.0,1.52,0.28,5.28,opt,P09,2.0,,,Simbad,83.704,-5.47136,1.3954595895550503,0.25389155799191715,0.05568971782550209
70,270,V2044 Ori,M3e,1.0,H,0.13,15.19,2.6,9.574998294395504,,3360.0,-1.045,0.26,0.08,0.1,6.0,2.4,5.5,0.89,0.15,1.78,opt,H02,2.0,A,,Simbad,83.70449,-5.44073,1.370232861368984,0.17947253545850858,0.05568971782550209
71,606,2MASS J05344907-0528089,M6,1.0,H,0.0,15.89,,,,2800.0,,,,,,,,,,0.72,opt,R09,,,c,Simbad,83.70446,-5.46915,1.3082906087234736,0.0,0.0
72,200,2MASS J05344929-0518555,M3,1.0,H,0.0,13.43,2.42,7.764998294395504,,3360.0,-0.416,0.31,0.09,0.09,1.5,0.7,0.5,1.83,0.3,1.7,opt,H02,3.0,N,,Simbad,83.7054,-5.31542,1.151221555536175,0.3518609735923497,0.05568971782550209
73,141,V2045 Ori,M1.75,1.0,H13,1.67,14.2,2.72,7.164998294395504,,3525.0,-0.442,0.38,0.07,0.07,1.9,0.5,0.9,1.61,0.22,14.73,MIR,M11,2.0,A,,Simbad,83.70653,-5.48427,1.4141927863240282,0.4136895550255281,0.05568971782550209
74,481,2MASS J05345009-0517121,M5.75,1.0,H13,1.92,16.04,3.13,9.165000294395503,,2820.0,-1.212,,,,,,,1.04,0.15,1.26,opt,R09,2.0,,b,Simbad,83.70871,-5.28672,1.0518805868946637,0.2137376811385927,0.05568971782550209
75,418,2MASS J05345021-0535389,M4.8,1.0,D10,,16.59,3.56,,,2936.0,-1.335,,,,,,,0.83,0.18,0.77,opt,R09,3.0,,b,Simbad,83.70921,-5.59417,1.2689993137994706,0.0,0.0
76,242,2MASS J05345045-0516296,M2.5,1.0,H,1.26,16.12,2.87,9.644999294395506,,3425.0,-1.194,0.28,0.07,0.08,10.5,4.6,9.0,0.72,0.11,3.0,opt,R09,,,g,Simbad,83.71022,-5.27492,1.0874048457376395,0.17402308518575094,0.05568971782550209
77,562,2MASS J05345046-0532538,M5.5,1.0,H,0.88,16.1,3.92,11.054999294395506,,2840.0,-1.141,,,,,,,1.11,0.19,0.86,opt,H02,3.0,,b,Simbad,83.71029,-5.5483,1.3852980736464264,0.11595520831583915,0.05568971782550209
78,149,V475 Ori,M1e,1.0,H,0.42,15.34,2.14,8.974998294395503,,3630.0,-1.193,0.38,0.08,0.12,20.0,9.0,23.0,0.64,0.09,8.73,opt,H00,2.0,A,,Simbad,83.71044,-5.39316,1.3269619466459868,0.23265195862029767,0.05568971782550209
79,67,Parenago 1622,K8,1.0,H,0.3,13.04,1.83,6.4849982943955045,,3940.0,-0.252,0.66,0.08,0.07,2.8,1.0,1.5,1.61,0.19,4.94,opt,H02,,N,g,Simbad,83.71041,-5.18627,1.0231219587356175,0.5120313697664315,0.05568971782550209
80,40,V1454 Ori,K5,1.0,H,0.33,12.12,1.44,5.144998294395505,,4140.0,0.092,0.82,0.18,0.3,1.5,0.6,1.5,2.16,0.32,2.34,opt,H02,,N,g,Simbad,83.7113,-5.40039,1.283337650374315,0.8278946584833516,0.05568971782550209
81,71,2MASS J05345073-0527010,K8e,1.0,H13,0.86,13.15,2.13,6.334998294395504,,3940.0,-0.109,0.64,0.06,0.06,1.7,0.5,0.8,1.9,0.23,9.01,opt,P09,,A,g,Simbad,83.71138,-5.4503,1.2968193792605316,0.5376494408788399,0.05568971782550209
82,346,V1455 Ori,M4.5,1.0,H,0.0,14.35,3.01,9.274998294395504,,3020.0,-0.696,0.16,0.06,0.09,1.5,1.4,1.1,1.64,0.32,0.43,opt,R09,3.0,,e,Simbad,83.71191,-5.49031,1.4100343442282628,0.20251006269618607,0.05568971782550209
83,393,2MASS J05345099-0517565,M5.5,1.0,H,0.0,14.82,3.09,9.824998294395504,,2840.0,-0.76,0.12,0.05,0.03,0.3,0.15,1.4,1.72,0.3,1.07,opt,H02,,,g,Simbad,83.71247,-5.29904,1.0943807609707858,0.16488167039062598,0.05568971782550209
84,232,V2061 Ori,M3,1.0,H,2.98,14.9,3.71,7.544999294395504,,3360.0,-0.236,0.29,0.06,0.13,1.1,0.9,0.3,2.25,0.37,7.64,opt,R09,2.0,A,,Simbad,83.71337,-5.28192,1.1805711763155244,0.37328233752136986,0.05568971782550209
85,19,V401 Ori,K2,1.0,H,3.06,13.56,2.19,4.604999294395505,,4760.0,0.228,1.51,0.13,0.11,5.5,2.6,3.7,1.91,0.28,6.63,opt,S99,2.0,,a,Simbad,83.71485,-5.42028,1.3130035829628084,1.0220712352574914,0.05568971782550209
86,272,V2064 Ori,M3.5,1.0,H13,0.59,14.66,2.94,8.924998294395506,,3260.0,-0.695,0.25,0.09,0.11,2.4,0.9,1.2,1.41,0.26,8.86,opt,P09,,,g,Simbad,83.71674,-5.40522,1.3600218458637463,0.23809488409486543,0.05568971782550209
87,241,2MASS J05345226-0512032,M3,1.0,H,0.01,14.43,2.55,8.884998294395503,,3360.0,-0.772,0.28,0.08,0.09,3.0,0.7,2.1,1.22,0.2,2.78,opt,H02,,,g,Simbad,83.71775,-5.20089,1.045799537981913,0.24179406194161834,0.05568971782550209
88,423,2MASS J05345236-0525006,M5.5,1.0,D10,,15.89,,,,2840.0,,,,,,,,,,1.21,opt,R09,3.0,,c,Simbad,83.71818,-5.41685,1.4326854163331606,0.0,0.0
89,154,KL Ori,M1.5,1.0,H,0.03,13.21,2.08,7.174998294395504,,3560.0,-0.352,0.37,0.05,0.1,1.5,0.2,0.8,1.76,0.24,2.03,opt,H02,3.0,N,,Simbad,83.71914,-5.40105,1.299301376077763,0.41156904214852047,0.05568971782550209
90,194,V1460 Ori,M3e,1.0,H,0.98,14.45,2.93,8.314998294395503,,3360.0,-0.543,0.32,0.09,0.06,2.0,0.5,0.8,1.58,0.26,3.69,opt,H02,2.0,A,,Simbad,83.71941,-5.4959,1.5280683458864126,0.2992730738142913,0.05568971782550209
91,541,2MASS J05345267-0521252,M4.5,1.0,H13,,16.12,,,,3020.0,,,,,,,,,,2.4,opt,H02,,,c,Simbad,83.7195,-5.357,1.197434165210392,0.0,0.0
92,108,V551 Ori,M0.5,1.0,H13,,13.83,2.81,,,3700.0,-0.129,0.44,0.07,0.13,1.1,0.2,0.5,2.1,0.29,8.9,opt,P09,2.0,,,Simbad,83.71983,-5.46516,1.1839248683994203,0.0,0.0
93,361,2MASS J05345284-0533483,M4.5,1.0,H13,1.08,15.05,3.13,9.014998294395506,,3020.0,-0.926,0.14,0.06,0.09,2.4,2.1,1.5,1.26,0.25,1.36,opt,H02,3.0,,,Simbad,83.72018,-5.56342,1.4217240187343296,0.2285047424579021,0.05568971782550209
94,292,V1461 Ori,M3.5e,1.0,H,0.0,14.69,2.5,9.104997294395504,,3260.0,-0.9,0.24,0.1,0.1,3.6,1.4,2.6,1.11,0.21,4.44,opt,S99,2.0,A,,Simbad,83.72051,-5.48309,1.3295729451969358,0.21986510115245803,0.05568971782550209
95,253,2MASS J05345343-0510279,M3.5,1.0,H,1.0,13.87,3.1,7.884997294395504,,3260.0,-0.279,0.27,0.09,0.11,1.1,1.01,0.3,2.28,0.43,4.58,opt,H02,3.0,N,,Simbad,83.72263,-5.17442,1.213062738675032,0.3403016366043042,0.05568971782550209
96,607,2MASS J05345389-0522206,M5.5,1.0,H,0.0,16.14,,,,2840.0,,,,,,,,,,2.35,opt,R09,,A,c,Simbad,83.72454,-5.37242,1.3695857647748413,0.0,0.0
97,496,V1462 Ori,M5.25,1.0,H13,2.96,15.79,3.7,8.444997294395504,,2860.0,-1.065,,,,,,,1.2,0.24,3.96,opt,P09,,,b,Simbad,83.72475,-5.46365,1.407969468464469,0.28648169033563375,0.05568971782550209
98,618,V1273 Ori,M5.3,1.0,P,0.0,15.88,3.18,10.974998294395503,,2856.0,-1.212,,,,,,,1.01,0.19,12.1,opt,G95,3.0,,b,Simbad,83.72547,-5.37404,1.278283753394002,0.11927940581045728,0.05568971782550209
99,80,V1463 Ori,K8,1.0,H13,4.97,15.36,3.73,6.034999294395504,,3940.0,0.006,0.62,0.05,0.07,1.2,0.3,0.6,2.17,0.26,1.37,opt,H00,3.0,N,,Simbad,83.72578,-5.48176,1.4005382771072532,0.5897563175450579,0.05568971782550209
100,378,2MASS J05345439-0517211,M5,1.0,H,0.0,14.8,3.27,9.984998294395504,,2880.0,-0.824,0.13,0.06,0.07,1.0,0.9,1.8,1.56,0.35,3.45,opt,R09,,,g,Simbad,83.72666,-5.28921,1.1715459365260017,0.15824045851244392,0.05568971782550209
101,247,V1464 Ori,M3e,1.0,H,1.8,15.55,3.25,8.914998294395504,,3360.0,-0.784,0.28,0.08,0.1,3.1,0.7,2.2,1.2,0.2,2.81,opt,P09,2.0,A,,Simbad,83.7277,-5.47173,1.4087659966251118,0.23870746006979046,0.05568971782550209
102,239,2MASS J05345483-0525125,M3e,1.0,H,1.65,15.44,3.19,8.894998294395505,,3360.0,-0.777,0.28,0.08,0.1,3.1,0.7,2.1,1.21,0.2,3.75,MIR,M11,,A,g,Simbad,83.72847,-5.42015,1.277184739803815,0.2411735650657282,0.05568971782550209
103,230,2MASS J05345506-0525294,M3,1.0,H,0.6,14.12,2.78,8.214998294395505,,3360.0,-0.505,0.29,0.06,0.1,1.7,0.4,0.8,1.65,0.27,4.52,opt,P09,3.0,N,,Simbad,83.72942,-5.42486,1.4370247997918686,0.30943875607837673,0.05568971782550209
104,207,V1466 Ori,M3,1.0,H13,0.59,13.87,2.46,7.654998294395504,,3360.0,-0.592,0.3,0.08,0.09,2.1,0.5,1.1,1.5,0.25,1.12,opt,H00,3.0,,,Simbad,83.73324,-5.52029,1.5485600541131603,0.36194810451003717,0.05568971782550209
105,11,KM Ori,K3,1.0,StE,1.21,10.15,1.56,2.414997294395505,,4550.0,1.143,2.08,0.85,0.57,0.4,0.2,0.2,6.0,0.9,17.4,opt,H00,3.0,,d,Simbad,83.73322,-5.38695,1.299603213020736,0.0,0.0
106,147,V478 Ori,M1.5,1.0,H,0.21,13.26,2.15,7.1149982943955035,,3560.0,-0.372,0.38,0.07,0.09,1.6,0.3,0.8,1.72,0.24,1.92,opt,S99,3.0,N,,Simbad,83.73323,-5.49067,1.3639629990887727,0.42011687177868345,0.05568971782550209
107,469,2MASS J05345636-0533404,M5.5,2.0,H13,0.0,15.32,2.88,10.114998294395503,,2840.0,-0.96,,,,,,,1.37,0.43,0.74,opt,R09,3.0,N,b,Simbad,83.73485,-5.56124,1.4449100770410843,0.15264920347244804,0.05568971782550209
108,370,2MASS J05345640-0538052,M5,1.0,H,0.0,14.25,2.81,8.974998294395503,,2880.0,-0.604,0.13,0.07,0.1,0.2,0.16,1.9,2.01,0.45,0.67,opt,H02,3.0,,e,Simbad,83.735,-5.63478,1.578116568564736,0.23265195862029767,0.05568971782550209
109,166,V2080 Ori,M2e,1.0,H,0.39,14.01,2.38,7.914997294395505,,3490.0,-0.598,0.36,0.07,0.06,2.7,0.9,1.1,1.37,0.19,6.52,opt,H02,2.0,,,Simbad,83.73547,-5.46419,1.358923524651591,0.33768848691293857,0.05568971782550209
110,400,2MASS J05345675-0526372,M5,1.0,H13,0.0,15.0,3.16,10.074998294395504,,2880.0,-0.904,0.11,0.05,0.09,0.5,0.4,2.5,1.42,0.32,0.92,opt,H02,3.0,,,Simbad,83.7365,-5.44368,1.4104191668889434,0.1542262340486992,0.05568971782550209
111,65,V1315 Ori,K7,1.0,H,3.83,14.91,3.08,6.074998294395504,,3970.0,-0.15,0.67,0.06,0.06,2.1,0.6,1.1,1.78,0.21,3.4,opt,R09,,N,g,Simbad,83.73682,-5.36011,1.1603875530434116,0.5837258017184691,0.05568971782550209
112,516,V1469 Ori,M3,1.0,H13,,15.95,,,,3360.0,,,,,,,,,,3.85,opt,H00,2.0,,c,Simbad,83.73722,-5.36841,1.2627737561451822,0.0,0.0
113,325,V1470 Ori,M4,1.0,H,0.13,14.94,2.96,9.684998294395504,,3160.0,-0.868,0.2,0.09,0.11,2.9,2.5,1.8,1.23,0.26,1.18,opt,R09,3.0,,,Simbad,83.73755,-5.38334,1.241450617411778,0.17092097783280943,0.05568971782550209
114,337,2MASS J05345714-0533294,M4.5,1.0,H13,1.9,15.08,3.65,8.744998294395502,,3020.0,-0.614,0.17,0.07,0.09,0.8,0.71,1.5,1.8,0.36,0.83,opt,R09,2.0,,e,Simbad,83.7381,-5.55819,1.3058340877920571,0.25585625821747743,0.05568971782550209
115,405,2MASS J05345737-0514334,M4.5,1.0,H,0.83,16.16,3.45,10.694998294395505,,3020.0,-1.17,0.11,0.05,0.09,3.8,1.8,2.8,0.95,0.19,0.59,opt,R09,,,g,Simbad,83.73906,-5.24264,1.2634992695188736,0.13016883398343768,0.05568971782550209
116,285,V402 Ori,M3.5,1.0,H13,0.0,14.07,2.41,8.394998294395505,,3260.0,-0.652,0.24,0.08,0.12,2.2,0.8,1.0,1.48,0.28,9.19,opt,H00,2.0,,,Simbad,83.74077,-5.38087,1.43151882525909,0.29168115133416955,0.05568971782550209
117,243,V1473 Ori,M3,1.0,H,1.88,15.16,3.28,8.474999294395504,,3360.0,-0.609,0.28,0.06,0.11,2.1,0.4,1.3,1.47,0.24,1.36,opt,H02,3.0,,,Simbad,83.74135,-5.49612,1.5311455659491373,0.283552289977892,0.05568971782550209
118,137,V2089 Ori,M1.5,1.0,H13,2.84,14.53,2.9,6.504998294395504,,3560.0,-0.443,0.38,0.06,0.09,1.9,0.4,1.1,1.58,0.22,8.85,opt,R09,,,g,Simbad,83.74179,-5.2938,1.1904202657851626,0.5080995208654797,0.05568971782550209
119,365,2MASS J05345819-0511536,M5,1.0,H13,0.0,14.45,2.94,9.304998294395505,,2880.0,-0.684,0.13,0.07,0.1,0.3,0.24,2.1,1.83,0.41,0.73,opt,R09,,,"e,g",Simbad,83.74247,-5.19824,1.2381589097149188,0.19992493743064932,0.05568971782550209
120,403,2MASS J05345827-0525332,M6,1.0,H13,0.44,14.49,3.45,9.414998294395504,,2800.0,-0.556,0.11,0.02,0.07,0.1,0.06,0.4,2.24,0.35,1.51,opt,H02,3.0,,,Simbad,83.74282,-5.42591,1.4886871190471789,0.19137984344999617,0.05568971782550209
121,502,2MASS J05345837-0521166,M3,1.0,H13,0.0,15.73,,,,3360.0,,,,,,,,,,1.5,opt,R09,3.0,N,c,Simbad,83.74324,-5.35462,1.313051365769912,0.0,0.0
122,193,V1474 Ori,M2.5,1.0,H,4.9,16.13,4.29,7.4349972943955045,,3425.0,-0.312,0.32,0.07,0.09,1.3,0.3,0.4,1.98,0.3,5.85,opt,P09,2.0,,,Simbad,83.74387,-5.54718,1.3657340797846145,0.3829981883972262,0.05568971782550209
123,564,2MASS J05345869-0512261,M5.5,1.0,H,0.0,16.05,3.33,11.294998294395503,,2840.0,-1.252,,,,,,,0.98,0.17,1.8,opt,H02,3.0,,b,Simbad,83.74455,-5.20727,1.2260269150206864,0.10625483785389761,0.05568971782550209
124,61,V2094 Ori,K6,1.0,H13,3.95,14.27,2.85,5.084999294395503,,4020.0,0.031,0.68,0.08,0.15,1.3,0.4,0.8,2.14,0.28,14.41,opt,H02,,N,g,Simbad,83.74497,-5.3549,1.2423884825923324,0.8472633711030118,0.05568971782550209
125,245,V1475 Ori,M3,1.0,H,0.0,14.32,2.38,8.614998294395503,,3360.0,-0.772,0.28,0.08,0.09,3.0,0.7,2.1,1.22,0.2,6.58,opt,R09,3.0,,,Simbad,83.74543,-5.46759,1.4490951456899397,0.26934852500568957,0.05568971782550209
126,377,2MASS J05345918-0523078,M4.75,1.0,H,0.39,15.24,3.43,10.194998294395505,,2950.0,-0.867,0.13,0.06,0.09,1.8,1.65,1.5,1.41,0.3,2.89,opt,R09,,,g,Simbad,83.74662,-5.38551,1.3632501706291065,0.14954335490479054,0.05568971782550209
127,182,V1318 Ori,M2.5,1.0,H,1.03,14.18,2.78,7.844999294395505,,3425.0,-0.474,0.34,0.08,0.06,1.8,0.4,0.6,1.64,0.25,8.63,opt,H02,,,g,Simbad,83.74816,-5.40006,1.3528931740050474,0.34470189987308447,0.05568971782550209
128,110,V1477 Ori,M1,1.0,H13,0.18,13.73,2.3,7.7649962943955035,,3630.0,-0.449,0.43,0.07,0.1,2.3,0.7,1.3,1.51,0.21,8.93,opt,P09,2.0,,,Simbad,83.74844,-5.42777,1.355805706691356,0.3518609735923497,0.05568971782550209
129,487,V2099 Ori,M5.5,2.0,H13,,17.32,1.9,,,2840.0,-1.76,,,,,,,0.55,0.17,7.29,MIR,M11,2.0,,b,Simbad,83.75091,-5.40253,1.3379886664992846,0.0,0.0
130,597,2MASS J05350023-0515590,K5.5,1.0,H,0.0,17.07,,,,4080.0,,,,,,,,,,1.25,opt,R09,2.0,,c,Simbad,83.751,-5.26639,1.6187714228156704,0.0,0.0
131,41,V2102 Ori,K6e,1.0,H,0.48,13.8,1.63,6.8649992943955045,,4020.0,-0.543,0.79,0.15,0.07,11.0,5.0,8.0,1.1,0.14,,,,2.0,,"a,f",Simbad,83.75195,-5.42064,1.5129681090064566,0.4561207343461758,0.05568971782550209
132,94,KW Ori,M0,1.0,H,1.76,13.85,2.48,6.4849982943955045,,3770.0,-0.301,0.51,0.09,0.11,2.0,0.6,1.4,1.66,0.23,7.29,opt,S99,2.0,,,Simbad,83.75343,-5.63555,1.5775916133474464,0.5120313697664315,0.05568971782550209
133,483,V2106 Ori,M5,1.0,H13,3.67,15.85,3.81,7.904998294395504,,2880.0,-0.932,,,,,,,1.38,0.31,3.11,opt,H02,2.0,,b,Simbad,83.75355,-5.5183,1.6226069296625454,0.3385572995918755,0.05568971782550209
134,190,2MASS J05350101-0524103,M2.5,1.0,H,1.51,13.41,2.97,6.784997294395504,,3425.0,-0.048,0.32,0.07,0.1,0.7,0.6,0.3,2.68,0.4,1.92,opt,H02,3.0,N,,Simbad,83.75423,-5.40289,1.3290070988787726,0.4667917434327709,0.05568971782550209
135,408,V2107 Ori,M4.5,1.0,H,0.0,15.88,2.9,10.694998294395505,,3020.0,-1.308,0.11,0.05,0.09,4.6,1.8,4.5,0.81,0.16,3.98,MIR,M11,,A,g,Simbad,83.75448,-5.38448,1.2770450781307154,0.13016883398343768,0.05568971782550209
