,recno,Name,SpT,e_SpT,ref1,AV,Imag,VmI,Vmag,l_V-I,Teff,logL*,Mass,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad,_RA,_DE,Separation,Mass_calc,Mass_e
552,416,V2598 Ori,M6e,1.0,H,0.0,14.57,3.08,9.564998294395503,,2800.0,-0.588,0.1,0.01,0.07,0.08,0.02,0.42,2.16,0.34,3.94,opt,H02,2.0,A,,Simbad,83.94854,-5.62745,0.9162112838478096,0.17993428651123997,0.05568971782550209
553,120,V1583 Ori,M1,1.0,H,0.31,13.75,2.1,7.454998294395503,,3630.0,-0.576,0.42,0.07,0.1,3.2,1.1,2.3,1.3,0.18,6.53,opt,S99,3.0,N,,Simbad,83.95067,-5.53214,1.2092758400575356,0.3810349950303625,0.05568971782550209
554,474,2MASS J05354975-0532291,M5,1.0,H13,3.33,16.25,3.68,8.514998294395506,,2880.0,-1.173,,,,,,,1.04,0.23,2.21,opt,R09,3.0,,b,Simbad,83.95733,-5.54142,1.1860217009614555,0.27921425809630035,0.05568971782550209
555,257,V364 Ori,M3e,1.0,H,0.0,14.56,2.3,8.774998294395504,,3360.0,-0.868,0.27,0.07,0.1,3.8,1.1,2.9,1.09,0.18,2.0,opt,R09,2.0,A,,Simbad,83.95911,-5.35472,1.7595315119584116,0.2532400162737963,0.05568971782550209
556,589,2MASS J05355096-0533133,M5.5,1.0,H,0.0,15.34,3.03,10.284998294395505,,2840.0,-0.968,,,,,,,1.36,0.23,2.5,opt,R09,,,b,Simbad,83.96233,-5.55369,1.5743451724682804,0.14612474581095003,0.05568971782550209
557,359,2MASS J05355176-0517394,M4.5,1.0,H13,,14.92,2.87,,,3020.0,-0.924,0.14,0.06,0.1,2.4,2.2,1.5,1.26,0.25,1.25,opt,R09,,,g,Simbad,83.96571,-5.29431,1.660543226427261,0.0,0.0
558,51,AQ Ori,K6,1.0,H,0.0,12.65,1.4,5.964997294395504,,4020.0,-0.12,0.72,0.14,0.15,2.2,0.8,1.6,1.8,0.23,4.91,opt,H02,,N,g,Simbad,83.96675,-5.47978,1.2092197843514565,0.6035537499999128,0.05568971782550209
559,577,V2619 Ori,M5.5,1.0,H,1.11,15.93,4.01,10.744998294395502,,2840.0,-1.017,,,,,,,1.28,0.22,4.52,opt,H02,2.0,,b,Simbad,83.97564,-5.28622,1.7054483049106748,0.12817739687723836,0.05568971782550209
560,599,OW Ori,M0.5e,1.0,H,,,,,,3700.0,,,,,,,,,,4.21,opt,H02,2.0,,c,Simbad,83.97639,-5.44569,1.1317268707731294,0.0,0.0
561,176,OX Ori,M2,1.0,H,0.0,13.67,2.18,7.764998294395504,,3490.0,-0.524,0.35,0.05,0.08,2.1,0.5,1.1,1.5,0.21,8.45,MIR,M11,2.0,N,,Simbad,83.97762,-5.4521,1.333344356295435,0.3518609735923497,0.05568971782550209
562,560,2MASS J05355498-0522355,M5.5,1.0,H,0.83,16.17,3.9,11.154998294395503,,2840.0,-1.181,,,,,,,1.06,0.18,0.46,opt,R09,3.0,,b,Simbad,83.97912,-5.37653,1.7763411033788326,0.11214584771879073,0.05568971782550209
563,222,2MASS J05355641-0516318,M3,1.0,H,0.0,14.09,2.35,8.354998294395505,,3360.0,-0.68,0.29,0.09,0.09,2.5,0.5,1.5,1.35,0.22,0.7,opt,H02,,N,g,Simbad,83.98504,-5.27553,1.6621767568413413,0.2954527284244781,0.05568971782550209
564,563,2MASS J05355768-0517465,M5,1.0,H,0.0,15.4,2.92,10.234998294395504,,2880.0,-1.064,,,,,,,1.18,0.27,1.32,opt,H02,3.0,,b,Simbad,83.99033,-5.29628,1.7902650836697374,0.14801420881226798,0.05568971782550209
565,580,V2630 Ori,M5.5,1.0,H,0.0,15.98,2.7,10.594998294395504,,2840.0,-1.224,,,,,,,1.01,0.17,8.31,MIR,M11,2.0,,b,Simbad,83.9956,-5.5483,1.625192714029594,0.13390050691206104,0.05568971782550209
566,271,2MASS J05355995-0530033,M3.5,1.0,H13,4.08,16.34,3.97,8.144998294395505,,3260.0,-0.724,0.25,0.1,0.1,2.5,0.7,1.5,1.36,0.25,5.43,opt,R09,,,g,Simbad,83.99979,-5.50094,1.709367052388585,0.3158654536601959,0.05568971782550209
567,336,[H97b] 1047,M4.5,1.0,H13,0.0,14.15,2.84,8.904998294395503,,3020.0,-0.616,0.17,0.07,0.09,0.8,0.72,1.5,1.8,0.36,1.43,opt,R09,3.0,,,Simbad,84.00121,-5.57322,1.4697339270662266,0.23993734422306234,0.05568971782550209
568,406,V1596 Ori,M5.5,1.0,H,0.0,14.96,3.18,10.054998294395505,,2840.0,-0.816,0.11,0.04,0.04,0.3,0.15,1.8,1.62,0.28,1.18,opt,H02,,,g,Simbad,84.0058,-5.31963,1.679298767114314,0.1550208485162146,0.05568971782550209
569,571,2MASS J05360276-0515269,M6,1.0,H,0.35,15.16,4.07,10.794998294395503,,2800.0,-0.824,,,,,,,1.65,0.26,4.88,opt,H02,3.0,,b,Simbad,84.0115,-5.25749,1.353112601006592,0.12621642652430543,0.05568971782550209
570,214,2MASS J05360282-0532543,M3,1.0,H,3.49,15.85,3.91,8.184998294395504,,3360.0,-0.492,0.3,0.06,0.1,1.7,0.4,0.7,1.68,0.28,2.25,opt,H02,2.0,,,Simbad,84.01179,-5.54844,1.7243567948529697,0.3118332996333996,0.05568971782550209
571,374,2MASS J05360335-0524232,M4.5,1.0,H,0.0,15.38,3.1,10.394998294395505,,3020.0,-1.077,0.13,0.06,0.09,3.4,2.4,1.8,1.06,0.21,1.22,opt,R09,,,g,Simbad,84.014,-5.40644,1.6762719229414038,0.14168785782760615,0.05568971782550209
572,569,2MASS J05360348-0524359,M6,1.0,H,0.02,16.5,3.94,12.334998294395506,,2800.0,-1.36,,,,,,,0.89,0.14,3.56,opt,H02,3.0,,b,Simbad,84.0145,-5.41,1.346365353671092,0.0,0.0
573,573,V2636 Ori,M5,1.0,H,0.0,15.07,2.69,9.674998294395506,,2880.0,-0.932,,,,,,,1.38,0.31,1.05,opt,H02,2.0,,b,Simbad,84.01609,-5.50522,1.7345918934137907,0.1718016080487099,0.05568971782550209
574,391,V1767 Ori,M4.5,1.0,H,0.35,15.96,3.26,10.784997294395504,,3020.0,-1.209,0.12,0.06,0.09,4.2,2.7,2.8,0.91,0.18,20.78,opt,Re01,3.0,,d,Simbad,84.024,-5.3155,1.5096656448247423,0.1265411590393429,0.05568971782550209
575,308,V1129 Ori,M4,1.0,H,0.0,13.84,2.74,8.494998294395502,,3160.0,-0.54,0.22,0.07,0.13,1.6,1.4,0.6,1.79,0.37,0.81,opt,H02,,,g,Simbad,84.0362,-5.3506,1.6337624416797658,0.2813749140873865,0.05568971782550209
576,473,V1600 Ori,M6.5,1.0,H13,3.7,15.58,3.99,7.784998294395503,,2725.0,-0.936,,,,,,,1.53,0.22,2.11,opt,R09,3.0,,b,Simbad,84.04192,-5.45881,1.855728223226354,0.35005738508895384,0.05568971782550209
577,220,V1602 Ori,M3,1.0,H13,4.77,16.02,4.57,7.7349982943955045,,3360.0,-0.148,0.29,0.06,0.13,0.8,0.7,0.4,2.49,0.41,7.29,opt,H02,3.0,,,Simbad,84.05063,-5.55825,1.5793374206461634,0.354583794861597,0.05568971782550209
578,410,2MASS J05361649-0522413,M4.5,1.0,H13,0.7,16.49,3.4,11.104997294395504,,3020.0,-1.334,0.1,0.04,0.1,4.5,2.0,5.3,0.79,0.16,1.65,opt,R09,,,g,Simbad,84.06875,-5.37814,1.8306865004598507,0.11418122373419487,0.05568971782550209
579,491,2MASS J05361693-0513483,M5.25,1.0,H13,2.16,16.53,4.12,10.405000294395505,,2860.0,-1.099,,,,,,,1.15,0.23,0.56,opt,R09,,,b,Simbad,84.07054,-5.23011,1.3168698385944415,0.14132425554379643,0.05568971782550209
580,494,2MASS J05361925-0531083,M5,2.0,H13,3.21,16.14,3.32,8.164998294395504,,2880.0,-1.354,,,,,,,0.85,0.3,1.64,opt,R09,,,b,Simbad,84.08012,-5.51892,1.3369358304402374,0.31343994750929544,0.05568971782550209
581,73,2MASS J05362100-0527340,K8,1.0,H,5.81,16.12,3.98,6.204999294395504,,3940.0,-0.142,0.64,0.06,0.08,1.9,0.6,0.9,1.83,0.22,6.58,opt,R09,,,g,Simbad,84.08752,-5.45947,1.7405880856106408,0.5602141116756053,0.05568971782550209
582,396,2MASS J05362516-0519133,M5.5,1.0,H13,3.52,15.26,3.92,7.574998294395504,,2840.0,-0.805,0.11,0.04,0.04,0.3,0.15,1.6,1.64,0.28,1.22,opt,R09,,,g,Simbad,84.10485,-5.32037,1.4339703193456232,0.3704159316033153,0.05568971782550209
583,490,V1770 Ori,M5.5,2.0,H13,4.8,16.27,3.94,7.324999294395504,,2840.0,-1.196,,,,,,,1.04,0.33,43.34,opt,Re01,,,"b,d",Simbad,84.10549,-5.28389,0.2077541481657874,0.3939779592656938,0.05568971782550209
584,180,V951 Ori,M2.5,1.0,H13,0.0,13.21,2.3,7.424998294395504,,3425.0,-0.336,0.34,0.09,0.07,1.4,0.3,0.3,1.93,0.29,5.88,opt,S99,2.0,,,Simbad,84.11473,-5.51543,1.7407539325423729,0.3839835749146387,0.05568971782550209
585,101,V1612 Ori,M0.5,1.0,H13,0.67,13.72,2.24,7.204998294395503,,3700.0,-0.441,0.47,0.09,0.09,2.6,0.9,1.7,1.47,0.2,5.06,opt,S99,3.0,N,,Simbad,84.12393,-5.33523,1.5846168050359568,0.4073605690070335,0.05568971782550209
