,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,recno,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,Jmag,H,K,u,g,r_xa,i,z,angDist,Mass_calc,Mass_e
330,Par 2079,11.13,0.003,11.03,0.005,11.11,0.015,11.01,0.044,10.08,K8,R01,H,Parenago 2079,05 35 30.2,-05 51 17.0,333,V* V1553 Ori,83.8759944851,-5.8547174328,0.0,0.0,90.0,24,05 35 30.23868,-05 51 16.9828,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|X|Y*?|Y*O,28.43,0.61,9.48e-05,2e-06,K8,,2.6549,0.0215,1.07,0.351,0.02,0.018,90.0,,,,15.9,14.76,,4.0329982943955045,11.41,11.226,,,,,,0.577378,0.33252223196084846,0.055689584892635896
331,Par 2064,10.84,0.003,10.91,0.005,10.91,0.013,10.83,0.042,3.2,K7,R01,H,Parenago 2064,05 35 30.5,-04 51 29.0,334,V* V1741 Ori,83.8772285618,-4.858077482,0.0,0.0,90.0,29,05 35 30.53485,-04 51 29.0789,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|X|Y*O,28.746,0.037,9.59e-05,1e-07,K7.0,,2.5668,0.0201,1.402,-1.46,0.018,0.016,90.0,,,,15.9,14.94,,3.844998294395504,11.2,10.972,,,,,,0.52689,0.3949915947892526,0.055689584892635896
332,JW 863,10.25,0.003,9.94,0.003,9.5,0.013,8.87,0.038,7.91,M3.5,H97,L,JW 863,05 35 30.8,-05 30 36.2,335,V* V1555 Ori,83.8783416359,-5.5100715375,0.0,0.0,90.0,52,05 35 30.80199,-05 30 36.2575,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,26.0,0.198,8.67e-05,7e-07,M3.5,,2.4147,0.0629,1.217,0.749,0.051,0.043,90.0,,,,17.86,16.736,,4.219998294395504,11.51,11.032,,,,,,0.064772,0.2749425932350816,0.055689584892635896
333,Par 2066,10.11,0.004,9.78,0.004,9.41,0.027,8.38,0.05,7.61,M0,R01,H,Parenago 2066,05 35 30.9,-04 55 17.9,336,V* AL Ori,83.8787341115,-4.9216502819,0.0,0.0,90.0,59,05 35 30.89619,-04 55 17.9410,A,2020yCat.1350....0G,TTau*,*|Em*|IR|MIR|NIR|Or*|TT*|V*|X|Y*O,27.538,0.046,9.19e-05,2e-07,K7e,,2.5296,0.0183,1.905,-1.178,0.016,0.014,90.0,,,,16.25,14.1,,3.7779982943955037,11.069,10.673,,,,,,0.070213,0.41903875925452083,0.055689584892635896
334,R01- 2088,11.6,0.007,11.53,0.008,11.54,0.017,11.48,0.038,3.71,,,,[R2001]  2088,05 35 31.3,-05 58 33.4,337,V* V984 Ori,83.8802229836,-5.9759656957,0.0,0.0,90.0,16,05 35 31.25352,-05 58 33.4765,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|G|NIR|Opt|Or*|Pu*|V*|X|Y*O,23.29,1.29,7.77e-05,4.3e-06,,,2.5731,0.03,1.464,0.767,0.028,0.023,90.0,,,,,,,4.563998294395503,11.915,11.728,,,,,,0.697677,0.18272984815912682,0.055689584892635896
335,R01- 2092,12.15,0.007,12.0,0.011,12.02,0.022,11.91,0.025,7.4,M3.5,R01,L,[R2001]  2092,05 35 31.5,-06 14 18.9,338,V* V1742 Ori,83.8812130161,-6.2385750833,0.0,0.0,90.0,23,05 35 31.49112,-06 14 18.8703,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Opt|Or*|V*|X|Y*?|Y*O,27.247,0.06,9.09e-05,2e-07,M3,,2.6863,0.0397,1.457,0.044,0.035,0.03,90.0,,,,,17.052,,4.958998294395505,12.39,12.21,20.13,17.793,16.383,15.184,14.503,0.135645,0.14463055648893078,0.055689584892635896
336,R01- 2093,6.54,0.001,5.7,0.002,5.07,0.001,4.02,0.001,12.91,,,,[R2001]  2093,05 35 31.5,-05 05 47.4,339,[TKT2002] I241,83.8810833333,-5.0964722222,,,172.0,1,05 35 31.46   ,-05 05 47.3   ,D,2002ApJ...566..974T,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605937,0.0,0.0
337,R01- 2094,9.89,0.003,9.83,0.003,9.72,0.023,9.27,0.078,3.91,,,,[R2001]  2094,05 35 31.5,-05 40 27.8,340,V* V1560 Ori,83.8814700997,-5.674410264,0.0,0.0,90.0,25,05 35 31.55282,-05 40 27.8770,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|SB*|V*|X|Y*O,75.108,0.087,0.0002506,3e-07,K7,,2.4389,0.0894,0.202,0.345,0.077,0.067,90.0,,,,20.456,18.949,,4.491998294395504,11.07,10.408,,,,,,0.792222,0.19941188595993864,0.055689584892635896
338,CHS 10808,8.19,0.002,7.69,0.002,7.3,0.002,6.79,0.006,5.69,,,,[CHS2001] 10808,05 35 31.6,-05 00 14.1,341,V* V2504 Ori,83.881791,-5.003911,0.06,0.06,90.0,23,05 35 31.62984,-05 00 14.0796,C,2003yCat.2246....0C,Orion_V*,*|FIR|IR|MIR|NIR|Or*|V*|X|Y*O,31.01,0.886,0.0001034,3e-06,,,,,,,,,,,,,,,,6.431998294395504,11.964,10.129,,,,,,0.44636,0.0,0.0
339,JW 878,11.01,0.006,11.09,0.006,10.71,0.052,9.76,0.126,5.51,M6,H97,L,JW 878,05 35 31.7,-05 30 04.1,342,V* V1561 Ori,83.8820123237,-5.5011605621,0.0,0.0,90.0,43,05 35 31.68296,-05 30 04.1780,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|TT?|V*|X|Y*?|Y*O,25.08,0.368,8.37e-05,1.2e-06,M6,,2.4415,0.0948,1.781,0.682,0.077,0.063,90.0,,,,19.673,18.503,,4.192998294395505,11.65,11.331,,,,,,0.266151,0.28282463228162796,0.055689584892635896
340,R01- 2096,11.83,0.006,11.57,0.006,11.7,0.03,11.15,0.051,10.67,M3.5,R01,L,[R2001]  2096,05 35 31.7,-04 41 07.7,343,V* V1743 Ori,83.882123777,-4.6854856372,0.0,0.0,90.0,31,05 35 31.70971,-04 41 07.7483,A,2020yCat.1350....0G,TTau*,*|Em*|G|LP?|MIR|NIR|Or*|TT*|V*|X|Y*O,32.386,0.058,0.000108,2e-07,M2.8,,2.4156,0.0826,1.83,0.412,0.074,0.06,90.0,,,,,18.27,,5.145998294395504,12.426,12.113,,,,,,0.152936,0.13016883398343768,0.055689584892635896
341,H97: 5156,12.54,0.01,12.27,0.012,11.87,0.038,10.75,0.053,4.36,,,,[H97b] 5156,05 35 31.9,-05 31 47.8,344,V* V2508 Ori,83.8830749746,-5.5299609442,0.0,0.0,90.0,26,05 35 31.93799,-05 31 47.8594,A,2020yCat.1350....0G,Orion_V*,*|EB?|NIR|Or*|V*|X|Y*?|Y*O,,,,,M8,,2.5546,0.2733,2.312,1.027,0.215,0.181,90.0,,,,,21.32,,6.490998294395505,14.052,13.551,,,,,,0.570357,0.0,0.0
342,JW 879,10.34,0.013,9.87,0.02,9.6,0.044,8.53,0.054,1.12,,,,JW 879,05 35 32.0,-05 16 21.0,345,V* V2509 Ori,83.8833210984,-5.272238146,0.0,0.0,90.0,38,05 35 31.99706,-05 16 20.0573,A,2020yCat.1350....0G,Orion_V*,*|Em*|IR|Ir*|NIR|Or*|V*|X|Y*?|Y*O,28.281,0.069,9.43e-05,2e-07,K7e,,2.5145,0.0889,1.154,1.899,0.076,0.064,90.0,,,,18.562,18.027,,4.719998294395504,11.76,11.229,,,,,,0.943694,0.16277688721947972,0.055689584892635896
343,CHS 10870,11.62,0.008,10.84,0.006,10.09,0.01,9.3,0.03,5.55,,,,[CHS2001] 10870,05 35 32.3,-04 46 48.4,346,V* V2514 Ori,83.8845704348,-4.7801267681,0.0,0.0,90.0,18,05 35 32.29690,-04 46 48.4564,A,2020yCat.1350....0G,Orion_V*,*|MIR|NIR|Or*|V*|Y*O,,,,,,,2.7034,0.3127,1.732,-1.314,0.265,0.21,90.0,,,,,,,7.545998294395504,14.267,12.97,,,,,,0.072926,0.0,0.0
344,JW 885,10.54,0.009,10.05,0.007,9.66,0.069,8.34,0.108,9.14,,,,JW 885,05 35 32.4,-05 15 06.9,347,V* V2516 Ori,83.885190101,-5.2519016066,0.0,0.0,90.0,32,05 35 32.44562,-05 15 06.8458,A,2020yCat.1350....0G,Orion_V*,*|IR|NIR|Or*|V*|X|Y*O,27.812,0.08,9.28e-05,3e-07,M0-M1,,2.2751,0.2651,1.315,0.728,0.215,0.221,90.0,,,,15.8,17.87,,5.919998294395505,12.204,11.418,,,,,,0.683644,0.0,0.0
