,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,recno,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,Jmag,H,K,u,g,r_xa,i,z,angDist,Mass_calc,Mass_e
0,R01- 680,11.52,0.006,11.52,0.008,11.47,0.027,11.44,0.119,7.2,,,,[R2001]  680,05 33 37.1,-05 23 07.0,2,V* V725 Ori,83.4043893688,-5.3852438473,0.0,0.0,90.0,20,05 33 37.05345,-05 23 06.8779,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|G|NIR|Or*|TT?|V*|Y*O,21.73,0.349,7.25e-05,1.2e-06,M2.0,,2.6436,0.0378,0.391,0.877,0.029,0.026,90.0,,,,,16.22,16.18,4.509998294395505,11.828,11.652,,,,,,0.70584,0.1953545891886893,0.055689584892635896
1,R01- 716,11.91,0.006,11.9,0.009,11.78,0.018,11.88,0.027,7.55,M5.5,R01,L,[R2001]  716,05 33 41.6,-04 55 59.9,3,V* V1665 Ori,83.423295501,-4.9333080794,0.0,0.0,90.0,11,05 33 41.59092,-04 55 59.9091,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|V*,27.3,0.7,9.11e-05,2.3e-06,,,2.6493,0.052,0.737,0.428,0.044,0.039,90.0,,,,,18.16,,5.079998294395503,12.51,12.263,,,,,,0.135996,0.1352838432726335,0.055689584892635896
2,R01- 739,12.09,0.007,12.16,0.012,12.04,0.019,11.97,0.024,3.99,M3.5,R01,L,[R2001]  739,05 33 43.3,-06 05 23.5,4,V* V727 Ori,83.4302108403,-6.0898486382,0.0,0.0,90.0,14,05 33 43.25060,-06 05 23.4551,A,2020yCat.1350....0G,Orion_V*,*|Er*|NIR|Or*|TT*|V*|Y*?|Y*O,18.5,0.5,6.17e-05,1.7e-06,M3.4,,2.6735,0.0404,-0.011,0.97,0.037,0.031,90.0,,,,,17.1,,5.123998294395504,12.54,12.296,,,,,,0.73816,0.13185197939711457,0.055689584892635896
3,R01- 749,12.39,0.009,12.36,0.011,12.36,0.02,12.36,0.031,15.42,,,,[R2001]  749,05 33 44.5,-06 05 20.5,5,V* V1666 Ori,83.4354368204,-6.0890156904,0.0,0.0,90.0,7,05 33 44.50484,-06 05 20.4565,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|Y*O,,,,,M3.6,,2.53,0.0505,1.074,0.542,0.046,0.04,90.0,,,,,17.782,,5.392998294395504,12.828,12.611,,,,,,0.084251,0.11476951568632249,0.055689584892635896
4,HBC 107,9.92,0.002,9.97,0.003,9.89,0.007,9.82,0.039,2.64,,,,HBC 107,05 33 44.9,-05 31 08.6,6,V* V386 Ori,83.4372345514,-5.5190187548,0.0,0.0,90.0,19,05 33 44.93629,-05 31 08.4675,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|NIR|Or*|TT?|V*,,,,,K7V:,,2.2707,0.0284,2.034,-1.205,0.029,0.024,90.0,,,,16.8,15.22,14.82,3.2159982943955043,10.444,10.16,,16.04,14.49,13.6,,0.557822,0.6452530666027193,0.055689584892635896
5,Par 1266,10.84,0.003,10.84,0.004,10.84,0.011,10.9,0.039,4.65,K8,R01,H,Parenago 1266,05 33 46.1,-05 34 26.5,7,V* V1667 Ori,83.4420578313,-5.5740023527,0.0,0.0,90.0,17,05 33 46.09388,-05 34 26.4085,A,2020yCat.1350....0G,Orion_V*,*|MIR|NIR|Or*|Rad|V*|Y*O,21.11,0.338,7.04e-05,1.1e-06,K8,,4.0409,0.2876,1.339,-1.27,0.253,0.229,90.0,,,,15.86,14.58,14.3,3.6759982943955034,11.073,10.907,,15.28,14.03,13.41,,0.129333,0.4572942522257717,0.055689584892635896
6,R01- 766,12.21,0.007,12.4,0.011,12.26,0.023,12.16,0.03,0.36,M6,R01,L,[R2001]  766,05 33 46.3,-06 13 04.8,8,V* V1668 Ori,83.4427318075,-6.2179905275,0.0,0.0,90.0,9,05 33 46.25563,-06 13 04.7659,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|TT*|V*|Y*O,,,,,M4.9,,2.5184,0.0655,0.945,0.002,0.06,0.051,90.0,,,,,18.55,,5.427998294395504,12.905,12.614,,,,,,0.662456,0.11272365287378783,0.055689584892635896
7,R01- 817,11.69,0.005,11.74,0.008,11.64,0.022,11.73,0.091,5.21,,,,[R2001]  817,05 33 51.9,-05 54 25.8,9,V* V1411 Ori,83.4661627179,-5.9071163093,0.0,0.0,90.0,16,05 33 51.87905,-05 54 25.6187,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|TT*|V*|Y*O,25.866,0.306,8.63e-05,1e-06,M2.3,,2.5831,0.0296,1.102,0.768,0.026,0.023,90.0,,,,,,,4.722998294395504,12.06,11.877,,,,,,0.361318,0.16235916583635,0.055689584892635896
8,R01- 829,11.82,0.006,11.84,0.01,11.81,0.02,11.7,0.026,0.74,M2,R01,H,[R2001]  829,05 33 53.3,-04 56 05.1,10,V* V1412 Ori,83.4719379079,-4.9347269773,0.0,0.0,90.0,17,05 33 53.26510,-04 56 05.0171,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|Y*O,35.999,0.251,0.0001201,8e-07,M2.6,,2.7387,0.0336,1.759,-2.635,0.03,0.026,90.0,,,,,,,4.788998294395505,12.14,11.928,,,,,,0.528135,0.15742934078935197,0.055689584892635896
9,R01- 831,11.82,0.006,11.94,0.008,11.88,0.021,11.89,0.03,4.39,,,,[R2001]  831,05 33 53.4,-06 17 10.2,11,V* V975 Ori,83.4725839389,-6.2861987499,0.0,0.0,90.0,23,05 33 53.42015,-06 17 10.3155,A,2020yCat.1350....0G,Orion_V*,*|BY*|Em*|Er*|G|NIR|Opt|Or*|TT*|V*|X|Y*O,27.489,0.06,9.17e-05,2e-07,M3.4,,2.5363,0.0554,0.962,0.1,0.05,0.043,90.0,,,,18.9,17.176,,5.014998294395504,12.41,12.209,,17.868,16.45,,,0.321805,0.14023903762230236,0.055689584892635896
10,Par 1308,11.23,0.004,11.33,0.007,11.31,0.013,11.22,0.024,3.0,,,,Parenago 1308,05 33 54.6,-06 02 08.7,12,V* V1413 Ori,83.4773984679,-6.0357135707,0.0,0.0,90.0,25,05 33 54.57563,-06 02 08.5689,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|Rad|TT*|V*|Y*?|Y*O,26.26,0.333,8.76e-05,1.1e-06,K4.3,,2.5803,0.0188,1.184,0.672,0.017,0.015,90.0,,,,16.0,14.92,,4.150998294395505,11.56,11.339,,,,,,0.386424,0.2939382804342878,0.055689584892635896
11,R01- 844,12.37,0.008,12.34,0.011,12.29,0.032,12.14,0.072,0.46,M4.5,R01,L,[R2001]  844,05 33 54.8,-05 08 31.1,13,V* V1669 Ori,83.4784800159,-5.1419529893,0.0,0.0,90.0,7,05 33 54.83520,-05 08 31.0308,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|V*,,,,,,,2.5952,0.0631,1.01,0.773,0.056,0.046,90.0,,,,,,,5.525998294395505,12.957,12.689,,,,,,0.53047,0.10680229096343503,0.055689584892635896
12,Par 1305,10.53,0.003,10.54,0.004,10.84,0.014,10.63,0.047,3.56,M1,R01,H,Parenago 1305,05 33 56.5,-05 06 47.7,14,V* V735 Ori,83.4855930372,-5.1132213252,0.0,0.0,90.0,18,05 33 56.54233,-05 06 47.5968,A,2020yCat.1350....0G,TTau*,*|Er*|NIR|Or*|TT*|V*|Y*O,30.51,0.78,0.0001018,2.6e-06,M3.0,,2.5841,0.0334,0.995,0.042,0.027,0.023,90.0,,,,16.2,15.21,,3.565998294395504,10.92,10.687,,,,,,0.640777,0.4977615686638992,0.055689584892635896
13,R01- 863,10.44,0.003,10.46,0.004,10.45,0.03,10.22,0.131,5.92,,,,[R2001]  863,05 33 57.7,-05 40 06.1,15,V* V1414 Ori,83.4903906272,-5.668374225,0.0,0.0,90.0,34,05 33 57.69375,-05 40 06.1472,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Opt|Or*|TT*|TT?|V*|X|Y*?|Y*O,30.52,0.383,0.0001018,1.3e-06,M2.2e,,2.5176,0.0272,-2.21,-3.58,0.027,0.022,90.0,,,,18.198,16.932,,3.7669982943955045,10.9,10.631,,,,,,0.104549,0.42336788067111586,0.055689584892635896
14,R01- 864,12.09,0.009,12.07,0.012,12.0,0.056,10.75,0.101,1.13,M3,R01,L,[R2001]  864,05 33 57.9,-05 36 27.0,16,V* V1415 Ori,83.4913189982,-5.6075084085,0.0,0.0,90.0,15,05 33 57.91656,-05 36 27.0303,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|V*|Y*O,28.9,2.1,9.64e-05,7e-06,M3.5e,,2.5597,0.043,1.191,0.134,0.04,0.032,90.0,,,,18.565,17.303,,5.100998294395504,12.5,12.279,,,,,,0.249051,0.13390050691206104,0.055689584892635896
15,CHS 1721,11.28,0.004,11.2,0.006,11.35,0.015,11.1,0.031,4.96,,,,[CHS2001] 1721,05 33 59.5,-04 43 04.6,17,V* V1214 Ori,83.4977751478,-4.7179098758,0.0,0.0,90.0,12,05 33 59.46604,-04 43 04.4756,A,2020yCat.1350....0G,TTau*,*|Em*|G|NIR|Opt|Or*|TT*|V*|Y*O,19.7,,6.57e-05,,M1.0,,2.5726,0.0204,0.436,1.684,0.019,0.017,90.0,,,,,,,4.243998294395505,11.627,11.436,,,,,,0.52277,0.2686573173021191,0.055689584892635896
16,Par 1319,9.35,0.001,9.33,0.002,9.36,0.004,9.26,0.01,0.44,,,,Parenago 1319,05 33 59.9,-05 00 03.7,18,Brun 166,83.4996002319,-5.0010118507,0.0,0.0,90.0,21,05 33 59.90406,-05 00 03.6427,A,2020yCat.1350....0G,Em*,*|Em*|NIR|Rad,55.0,2.0,0.0001835,6.7e-06,K0III,,2.6265,0.0536,1.705,-1.095,0.049,0.041,90.0,,,,13.68,12.57,,2.1149982943955035,9.602,9.436,,,,,,0.083429,0.0,0.0
17,Par 1335,10.73,0.003,10.43,0.003,9.9,0.005,8.61,0.003,3.07,M0,R01,H,Parenago 1335,05 34 01.1,-06 02 26.8,19,V* V1416 Ori,83.5045405501,-6.0407536436,0.0,0.0,90.0,30,05 34 01.08973,-06 02 26.7131,A,2020yCat.1350....0G,TTau*,*|MIR|NIR|Or*|TT*|V*|Y*?|Y*O,23.679,0.048,7.9e-05,2e-07,K7.6,,2.6005,0.0182,0.614,1.001,0.017,0.015,90.0,,,,16.0,15.016,,3.977998294395505,11.36,11.139,,,,,,0.176091,0.3509580207526128,0.055689584892635896
18,R01- 895,11.4,0.004,11.38,0.007,11.37,0.017,11.53,0.055,5.7,M1.5,R01,H,[R2001]  895,05 34 01.7,-05 46 51.4,20,V* V1417 Ori,83.5071741079,-5.7809349704,0.0,0.0,90.0,19,05 34 01.72179,-05 46 51.3659,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|TT?|V*|Y*O,21.34,0.346,7.12e-05,1.2e-06,M1.5,,2.6115,0.0255,-0.014,1.021,0.022,0.021,90.0,,,,17.61,15.8,,4.307998294395505,11.66,11.471,,,,,,0.326911,0.2506505265462054,0.055689584892635896
19,Par 1333,8.73,0.002,8.32,0.002,7.84,0.002,7.11,0.002,4.2,,,,Parenago 1333,05 34 02.2,-05 36 19.5,21,V* II Ori,83.5090733944,-5.6054279863,0.0,0.0,90.0,39,05 34 02.17761,-05 36 19.5408,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|MIR|NIR|Opt|Or*|Rad|TT*|TT?|V*|X|Y*O,25.4,0.52,8.47e-05,1.7e-06,K7,,2.5599,0.0193,1.306,-1.647,0.019,0.015,90.0,,,,15.825,14.617,,2.7449982943955042,9.94,9.551,,,,,,0.33665,0.8805567477198654,0.055689584892635896
20,R01- 903,12.49,0.008,12.33,0.009,11.96,0.02,11.58,0.026,1.87,,,,[R2001]  903,05 34 02.4,-06 04 29.6,22,V* V1418 Ori,83.5103983007,-6.0752560857,0.0,0.0,90.0,16,05 34 02.49559,-06 04 30.9219,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|MIR|NIR|Or*|V*|Y*?|Y*O,,,,,M4.3,,2.5111,0.0859,1.128,0.643,0.089,0.076,90.0,,,,,19.619,,6.789998294395504,13.664,13.057,,,,,,1.944334,0.0,0.0
21,R01- 912,11.59,0.005,11.67,0.007,11.56,0.023,11.34,0.066,6.11,,,,[R2001]  912,05 34 02.9,-05 49 44.3,23,V* V1419 Ori,83.5121713414,-5.8289702214,0.0,0.0,90.0,21,05 34 02.92112,-05 49 44.2928,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Opt|Or*|V*|Y*?|Y*O,27.568,0.036,9.2e-05,1e-07,,,2.6146,0.0287,1.183,0.34,0.025,0.022,90.0,,,,17.58,16.3,,4.573998294395505,11.96,11.728,,,,,,0.315273,0.18039722556766316,0.055689584892635896
22,Par 1341,8.17,0.002,7.8,0.002,7.57,0.002,6.58,0.002,2.66,,,,Parenago 1341,05 34 03.0,-05 36 57.3,24,V* WW Ori,83.5125162689,-5.6159178731,0.0,0.0,90.0,52,05 34 03.00390,-05 36 57.3043,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|IR|MIR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,29.109,0.03,9.71e-05,1e-07,,,2.5046,0.0172,1.37,-1.592,0.016,0.013,90.0,,,,14.79,13.707,13.37,2.294998294395505,9.51,9.087,,,,,,0.058448,1.180247601543228,0.055689584892635896
23,CHS 2276,10.7,0.003,10.36,0.003,10.4,0.007,10.32,0.012,6.0,,,,[CHS2001] 2276,05 34 06.7,-06 24 11.9,25,V* V1924 Ori,83.5278133244,-6.4033121185,0.0,0.0,90.0,17,05 34 06.67520,-06 24 11.9236,A,2020yCat.1350....0G,Orion_V*,*|NIR|Opt|Or*|V*|X|Y*O,66.662,0.05,0.0002224,2e-07,K0.8,,1.2699,0.0247,0.04,1.477,0.022,0.018,90.0,,,,,15.825,,3.592998294395505,10.83,10.507,20.08,16.744,14.989,14.53,13.413,0.370466,0.4876339556799982,0.055689584892635896
24,HBC 441,9.55,0.003,9.47,0.002,9.26,0.016,9.04,0.07,4.6,,,,HBC 441,05 34 07.3,-05 13 45.5,26,V* WX Ori,83.5304880999,-5.2292711131,0.0,0.0,90.0,52,05 34 07.31714,-05 13 45.3760,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|MIR|NIR|Or*|TT*|TT?|V*|Y*O,30.679,0.049,0.0001023,2e-07,K6,,2.5757,0.0229,0.834,-0.481,0.021,0.017,90.0,,,,15.187,14.344,,3.0859982943955035,10.38,9.969,,,,,,0.284528,0.7023534126092393,0.055689584892635896
25,R01- 1030,12.79,0.013,12.8,0.021,12.67,0.054,12.65,0.142,1.22,,,,[R2001]  1030,05 34 12.3,-05 41 34.8,27,V* V1422 Ori,83.5514122528,-5.6929999857,0.0,0.0,90.0,10,05 34 12.33894,-05 41 34.7999,A,2020yCat.1350....0G,Orion_V*,*|Em*|MIR|NIR|Or*|V*|Y*O,,,,,M4.4e,,2.7756,0.1114,0.781,-0.02,0.12,0.092,90.0,,,,20.329,19.138,,5.996998294395505,13.462,13.184,,,,,,0.581229,0.0,0.0
26,Par 1379,8.69,0.002,8.45,0.002,8.31,0.002,7.61,0.002,5.62,K4,R01,H,Parenago 1379,05 34 12.6,-04 50 24.7,28,V* V1169 Ori,83.5526275953,-4.8401920383,0.0,0.0,90.0,45,05 34 12.63062,-04 50 24.6913,A,2020yCat.1350....0G,TTau*,*|**|MIR|NIR|Or*|TT*|V*|V*?|Y*O,30.826,0.019,0.0001028,1e-07,K4,,2.5569,0.0116,1.315,-0.291,0.011,0.009,90.0,,,,17.4,12.79,,2.4129982943955035,9.68,9.28,,,,,,0.457787,1.0926857779218853,0.055689584892635896
27,H97: 3126,11.14,0.004,11.19,0.005,11.09,0.018,10.9,0.103,8.46,K7,H97,H,[H97b] 3126,05 34 12.9,-05 28 48.2,29,Parenago  1382,83.5537173446,-5.4800551779,0.0,0.0,90.0,35,05 34 12.89216,-05 28 48.1986,A,2020yCat.1350....0G,YSO,*|Em*|G|MIR|NIR|TT?|Y*O,26.022,0.038,8.68e-05,1e-07,K7,,2.6118,0.0211,0.481,-0.124,0.019,0.016,90.0,,,,16.006,15.003,,4.003998294395505,11.39,11.222,,,,,,0.11703,0.3420549609037198,0.055689584892635896
28,R01- 1036,11.57,0.005,11.57,0.007,11.49,0.021,10.97,0.06,8.39,,,,[R2001]  1036,05 34 13.0,-05 42 13.4,30,V* V1423 Ori,83.5541674815,-5.7036944517,0.0,0.0,90.0,26,05 34 13.00020,-05 42 13.3000,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Or*|TT*|V*|X|Y*O,26.481,0.026,8.83e-05,1e-07,M2,,2.6016,0.0263,1.39,0.438,0.027,0.021,90.0,,,,17.309,16.163,,4.573998294395505,11.96,11.736,,,,,,0.100016,0.18039722556766316,0.055689584892635896
29,R01- 1048,10.36,0.003,10.22,0.003,10.07,0.012,9.67,0.041,8.77,,,,[R2001]  1048,05 34 14.2,-05 42 21.0,31,V* V1425 Ori,83.5591826205,-5.7058390642,0.0,0.0,90.0,35,05 34 14.20383,-05 42 21.0206,A,2020yCat.1350....0G,TTau*,*|Em*|MIR|NIR|Or*|TT*|TT?|V*|Y*O,26.019,0.202,8.68e-05,7e-07,M2,,2.5455,0.0256,0.965,-0.099,0.026,0.021,90.0,,,,17.388,16.278,,4.2109982943955035,11.41,10.987,,,,,,0.060759,0.27778304615839977,0.055689584892635896
30,R01- 1051,12.5,0.007,12.49,0.011,12.72,0.033,12.52,0.082,1.43,,,,[R2001]  1051,05 34 14.4,-04 58 33.7,32,V* V1670 Ori,83.5599249401,-4.9760109703,0.0,0.0,90.0,8,05 34 14.38199,-04 58 33.6395,A,2020yCat.1350....0G,Orion_V*,*|MIR|NIR|Or*|TT*|V*|Y*O,,,,,M3.6,,2.5858,0.0531,0.541,0.749,0.047,0.04,90.0,,,,,,,5.526998294395504,12.951,12.764,,,,,,0.275913,0.10680229096343503,0.055689584892635896
31,R01- 1086,10.08,0.002,9.59,0.002,9.42,0.004,8.83,0.004,8.75,,,,[R2001]  1086,05 34 17.1,-04 48 03.7,33,V* V1939 Ori,83.5710627133,-4.8010124235,0.0,0.0,90.0,24,05 34 17.05505,-04 48 03.6447,A,2020yCat.1350....0G,TTau*,*|MIR|NIR|Or*|TT*|V*|Y*O,31.976,0.058,0.0001067,2e-07,M1.5,,2.529,0.1526,2.192,0.328,0.136,0.122,90.0,,,,,20.33,,5.413998294395505,12.189,11.248,,,,,,0.674137,0.11359594728160012,0.055689584892635896
32,HBJM 10075,11.03,0.004,11.04,0.006,10.85,0.03,10.52,0.117,1.65,,,,[H97b] 10075,05 34 17.1,-05 38 17.1,34,Haro 4-147,83.571418911,-5.638020483,0.0,0.0,90.0,29,05 34 17.14054,-05 38 16.8737,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|TT*|TT?|V*|X|Y*O,22.381,0.236,7.47e-05,8e-07,M3.2e,,2.4496,0.0392,0.504,-1.949,0.039,0.03,90.0,,,,18.075,16.866,,4.174998294395504,11.549,11.278,,,,,,0.646054,0.28721875699467886,0.055689584892635896
33,R01- 1098,11.5,0.004,11.44,0.007,11.58,0.015,11.38,0.021,6.63,,,,[R2001]  1098,05 34 17.6,-06 03 38.2,35,V* V1426 Ori,83.5731742341,-6.0606012606,0.0,0.0,90.0,20,05 34 17.56182,-06 03 38.1645,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|TT*|V*|Y*?|Y*O,26.798,0.033,8.94e-05,1e-07,M0.7,,2.6345,0.0277,1.275,0.826,0.025,0.022,90.0,,,,,16.004,,4.488998294395504,11.88,11.663,,,,,,0.570659,0.20043930889194295,0.055689584892635896
34,H97: 3151,10.62,0.003,10.83,0.005,10.65,0.009,10.53,0.029,3.24,M1,H97,H,[H97b] 3151,05 34 18.0,-05 33 33.3,36,V* V1427 Ori,83.5750253059,-5.5592684867,0.0,0.0,90.0,41,05 34 18.00607,-05 33 33.3666,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Or*|Rad|TT*|TT?|V*|X|Y*?|Y*O,23.143,0.263,7.72e-05,9e-07,M1,,2.5191,0.0182,0.934,-0.73,0.018,0.013,90.0,,,,16.286,15.214,,3.621998294395505,11.01,10.787,,,,,,0.112476,0.47648648693145756,0.055689584892635896
35,H97: 3141,10.44,0.003,10.43,0.004,10.44,0.012,10.45,0.053,5.22,,,,[H97b] 3141,05 34 18.3,-05 31 16.4,37,V* V1942 Ori,83.5763019792,-5.5212257187,0.0,0.0,90.0,25,05 34 18.31248,-05 31 16.4126,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|V*|X|Y*O,24.09,0.303,8.04e-05,1e-06,M1.0,,2.6118,0.113,1.921,-1.331,0.104,0.082,90.0,,,,21.325,19.696,,4.668998294395504,11.34,10.819,,,,,,0.186682,0.16615758148262658,0.055689584892635896
36,H97: 3158,10.8,0.003,10.8,0.004,10.82,0.012,10.79,0.042,6.29,M0,H97,H,[H97b] 3158,05 34 18.5,-05 34 00.2,38,V* V1671 Ori,83.577197156,-5.5667380942,0.0,0.0,90.0,34,05 34 18.52732,-05 34 00.2571,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|V*|X|Y*O,24.08,0.294,8.03e-05,1e-06,M0,,2.5316,0.0186,1.067,0.519,0.018,0.014,90.0,,,,16.176,15.073,,3.8199982943955035,11.15,10.973,,,,,,0.411812,0.40319512934078117,0.055689584892635896
37,Par 1409,7.73,0.002,7.57,0.002,7.2,0.001,6.16,0.002,1.5,,,,Parenago 1409,05 34 18.6,-05 04 47.9,39,V* EZ Ori,83.5773600192,-5.0799463967,0.0,0.0,90.0,101,05 34 18.56640,-05 04 47.8070,A,2020yCat.1350....0G,Orion_V*,*|Em*|IR|MIR|NIR|Opt|Or*|Rad|TT*|V*|X|Y*O,23.758,0.051,7.93e-05,2e-07,G4Ve,,2.7987,0.1752,0.984,1.198,0.152,0.124,90.0,,,,,12.0,,1.5879982943955042,8.96,8.466,,,,,,0.510489,0.0,0.0
38,H97: 3149,12.65,0.009,12.62,0.011,12.34,0.049,11.26,0.101,2.48,M3.5,H97,L,[H97b] 3149,05 34 19.1,-05 33 11.4,40,2MASS J05341908-0533113,83.5795258835,-5.5531803883,0.0,0.0,90.0,16,05 34 19.08621,-05 33 11.4494,A,2020yCat.1350....0G,YSO,*|Em*|NIR|V*|Y*O,,,,,M3.5,,2.6519,0.1344,0.211,-1.047,0.133,0.096,90.0,,,,21.532,20.162,,5.946998294395504,13.453,13.102,,,,,,0.211693,0.0,0.0
39,R01- 1124,12.43,0.008,12.25,0.01,12.27,0.021,12.15,0.025,2.33,,,,[R2001]  1124,05 34 19.9,-06 18 47.9,41,V* V933 Ori,83.5828524694,-6.3132947289,0.0,0.0,90.0,16,05 34 19.88459,-06 18 47.8610,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Opt|Or*|V*|X|Y*?|Y*O,25.9,0.5,8.64e-05,1.7e-06,M3.4,,2.613,0.0503,1.304,0.691,0.044,0.038,90.0,,,,,17.53,,5.304998294395505,12.72,12.503,20.93,18.384,16.978,15.614,14.847,0.232992,0.12020243088995974,0.055689584892635896
40,R01- 1132,11.84,0.006,11.94,0.008,11.81,0.018,12.03,0.054,5.4,,,,[R2001]  1132,05 34 20.3,-04 58 56.4,42,V* V745 Ori,83.5847685953,-4.9823398916,0.0,0.0,90.0,23,05 34 20.34446,-04 58 56.4236,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|NIR|Or*|TT*|TT?|V*|Y*O,28.441,0.062,9.49e-05,2e-07,M2.6,,2.588,0.0392,0.292,-0.148,0.033,0.028,90.0,,,,,17.07,,4.938998294395503,12.29,12.059,,,,,,0.664842,0.14612474581095003,0.055689584892635896
41,R01- 1150,11.32,0.004,11.24,0.007,11.25,0.013,11.14,0.027,4.51,M6,R01,L,[R2001]  1150,05 34 21.4,-04 55 47.9,43,V* V1428 Ori,83.5893827869,-4.9299384273,0.0,0.0,90.0,14,05 34 21.45187,-04 55 47.7783,A,2020yCat.1350....0G,TTau*,*|Em*|G|NIR|Or*|TT*|V*|Y*O,22.5,2.5,7.51e-05,8.3e-06,,,2.5153,0.0428,1.656,1.646,0.038,0.03,90.0,,,,,18.18,,4.448998294395505,11.851,11.582,,,,,,0.784644,0.2115521200339485,0.055689584892635896
42,Par 1435,9.87,0.002,9.33,0.002,9.14,0.004,8.31,0.003,10.57,,,,Parenago 1435,05 34 23.0,-04 41 39.3,44,V* V547 Ori,83.5957873474,-4.694254061,0.0,0.0,90.0,37,05 34 22.98896,-04 41 39.3146,A,2020yCat.1350....0G,TTau*,*|Em*|MIR|NIR|Opt|Or*|TT*|V*|X|Y*O,31.464,0.031,0.000105,1e-07,K7.5e,,2.5117,0.0213,1.411,-0.235,0.02,0.016,90.0,,,,16.1,15.43,,3.746998294395505,11.03,10.716,,,,,,0.165641,0.4310517392137099,0.055689584892635896
43,H97: 3020,9.67,0.002,9.94,0.003,9.72,0.012,9.63,0.051,21.45,M0.5,H97,H,[H97b] 3020,05 34 23.9,-05 15 40.3,45,V* V1676 Ori,83.5994750099,-5.2611816006,0.0,0.0,90.0,25,05 34 23.87400,-05 15 40.2538,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|SB*|V*|Y*O,76.393,0.332,0.0002549,1.1e-06,M0.5,,2.5571,0.0294,-0.456,-1.693,0.028,0.021,90.0,,,,18.529,16.847,,3.233998294395505,10.2,9.845,,,,,,0.391065,0.6370161425559265,0.055689584892635896
44,R01- 1175,11.23,0.004,11.48,0.006,11.33,0.013,11.19,0.019,2.09,M0,R01,H,[R2001]  1175,05 34 24.3,-06 06 55.6,46,V* V1677 Ori,83.6012581633,-6.1154053884,0.0,0.0,90.0,26,05 34 24.30196,-06 06 55.4594,A,2020yCat.1350....0G,TTau*,*|NIR|Opt|Or*|TT*|V*|Y*?|Y*O,26.754,0.078,8.92e-05,3e-07,M0.4,,2.6186,0.0208,1.378,0.748,0.019,0.017,90.0,,,,,15.449,,4.2189982943955044,11.6,11.404,,,,,,0.143606,0.2749425932350816,0.055689584892635896
45,CHS 3730,11.63,0.005,11.59,0.007,11.48,0.019,11.31,0.045,7.95,,,,[CHS2001] 3730,05 34 24.4,-04 52 52.4,47,V* V1954 Ori,83.6015849997,-4.881224977,0.0,0.0,90.0,16,05 34 24.38040,-04 52 52.4099,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|Y*O,29.42,0.339,9.81e-05,1.1e-06,M1.3,,2.8138,0.1136,1.564,-0.986,0.103,0.085,90.0,,,,,19.8,,5.523998294395504,12.43,11.958,,,,,,0.293103,0.10707707434553027,0.055689584892635896
46,R01- 1183,10.53,0.003,10.52,0.004,10.64,0.01,10.42,0.039,5.12,,,,[R2001]  1183,05 34 25.2,-04 45 10.9,48,V* V978 Ori,83.6049477111,-4.7530370105,0.0,0.0,90.0,22,05 34 25.18745,-04 45 10.9332,A,2020yCat.1350....0G,Orion_V*,*|Er*|NIR|Or*|V*|Y*O,28.023,0.034,9.35e-05,1e-07,,,2.6337,0.03,0.498,-0.73,0.028,0.022,90.0,,,,18.1,,,3.9689982943955044,11.14,10.803,,,,,,0.190514,0.3536738546621309,0.055689584892635896
