   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.20000  0.00000000000E+00   1.92575   3.75805  11.81286 -30.00000   0.48710   0.00000  0.00000E+00  9.54750E-01  4.50500E-02  3.50600E-06     0.78340     0.26290     0.00000     0.00020    -0.04619  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0000000000
        2    1.20000  1.53490000000E+04   1.92456   3.75787  11.81263 -30.00000   0.48710   0.00000  0.00000E+00  9.54450E-01  4.53500E-02  9.77100E-06     0.76140     0.26460     0.00000     0.00020    -0.02583  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0004258879
        3    1.20000  3.45360000000E+04   1.92539   3.75755  11.81370 -30.00000   0.48710   0.00000  0.00000E+00  9.54070E-01  4.57200E-02  1.76800E-05     0.74790     0.26660     0.00000     0.00020    -0.01428  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0009582687
        4    1.20000  5.85190000000E+04   1.92708   3.75720  11.81523 -30.00000   0.48710   0.00000  0.00000E+00  9.53590E-01  4.61900E-02  2.77200E-05     0.74820     0.26750     0.00000     0.00020    -0.01553  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0016237238
        5    1.20000  8.84980000000E+04   1.92871   3.75690  11.81665 -30.00000   0.48710   0.00000  0.00000E+00  9.52990E-01  4.67700E-02  4.04700E-05     0.74540     0.26810     0.00000     0.00020    -0.01333  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0024555497
        6    1.20000  1.25972000000E+05   1.93000   3.75664  11.81783 -30.00000   0.48710   0.00000  0.00000E+00  9.52230E-01  4.75100E-02  5.66900E-05     0.74300     0.26850     0.00000     0.00020    -0.01133  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0034953389
        7    1.20000  1.72814000000E+05   1.93101   3.75642  11.81876 -30.00000   0.48710   0.00000  0.00000E+00  9.51330E-01  4.84000E-02  7.65300E-05     0.74120     0.26860     0.00000     0.00020    -0.00959  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0047950616
        8    1.20000  2.31367000000E+05   1.93179   3.75624  11.81950 -30.00000   0.48710   0.00000  0.00000E+00  9.50160E-01  4.95400E-02  1.02500E-04     0.73980     0.26830     0.00000     0.00020    -0.00798  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0064197288
        9    1.20000  3.04558000000E+05   1.93237   3.75610  11.82008 -30.00000   0.48710   0.00000  0.00000E+00  9.48700E-01  5.09700E-02  1.35900E-04     0.73900     0.26790     0.00000     0.00020    -0.00669  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0084505559
       10    1.20000  3.96046000000E+05   1.93279   3.75598  11.82054 -30.00000   0.48710   0.00000  0.00000E+00  9.46880E-01  5.27400E-02  1.79000E-04     0.73840     0.26760     0.00000     0.00020    -0.00579  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0109890689
       11    1.20000  5.10406000000E+05   1.93312   3.75586  11.82094 -30.00000   0.48710   0.00000  0.00000E+00  9.44610E-01  5.49600E-02  2.34900E-04     0.73790     0.26750     0.00000     0.00020    -0.00526  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0141622102
       12    1.20000  6.53356000000E+05   1.93343   3.75572  11.82136 -30.00000   0.48710   0.00000  0.00000E+00  9.41770E-01  5.77200E-02  3.08200E-04     0.73740     0.26770     0.00000     0.00020    -0.00499  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0181286369
       13    1.20000  8.32046000000E+05   1.93377   3.75557  11.82184 -30.00000   0.48710   0.00000  0.00000E+00  9.38220E-01  6.11700E-02  4.05100E-04     0.73690     0.26810     0.00000     0.00020    -0.00485  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0230867395
       14    1.20000  1.03025600000E+06   1.93413   3.75541  11.82234 -30.00000   0.48710   0.00000  0.00000E+00  9.34790E-01  6.45000E-02  5.06800E-04     0.73630     0.26870     0.00000     0.00020    -0.00481  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0285864627
       15    1.20000  1.25732600000E+06   1.93454   3.75522  11.82292 -30.00000   0.48710   0.00000  0.00000E+00  9.34830E-01  6.44400E-02  5.18400E-04     0.73600     0.26900     0.00000     0.00020    -0.00483  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0348869628
       16    1.20000  1.54116600000E+06   1.93506   3.75501  11.82360 -30.00000   0.48710   0.00000  0.00000E+00  9.30500E-01  6.86300E-02  6.51700E-04     0.73540     0.26940     0.00000     0.00020    -0.00474  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0427626574
       17    1.20000  1.79853600000E+06   1.93551   3.75482  11.82422 -30.00000   0.48710   0.00000  0.00000E+00  9.28630E-01  7.04400E-02  7.20000E-04     0.73510     0.26970     0.00000     0.00020    -0.00461  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0499038901
       18    1.20000  2.12024600000E+06   1.93610   3.75458  11.82498 -30.00000   0.48710   0.00000  0.00000E+00  9.24410E-01  7.45100E-02  8.63600E-04     0.73450     0.27020     0.00000     0.00020    -0.00454  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0588303617
       19    1.20000  2.41865600000E+06   1.93663   3.75438  11.82565 -30.00000   0.48710   0.00000  0.00000E+00  9.20190E-01  7.85700E-02  1.01400E-03     0.73380     0.27080     0.00000     0.00020    -0.00442  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0671103293
       20    1.20000  2.69593600000E+06   1.93712   3.75420  11.82625 -30.00000   0.48710   0.00000  0.00000E+00  9.16270E-01  8.23500E-02  1.16100E-03     0.73310     0.27140     0.00000     0.00020    -0.00433  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0748040039
       21    1.20000  2.97214600000E+06   1.93760   3.75403  11.82684 -30.00000   0.48710   0.00000  0.00000E+00  9.12490E-01  8.59800E-02  1.31000E-03     0.73250     0.27200     0.00000     0.00020    -0.00431  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0824679892
       22    1.20000  3.25756600000E+06   1.93809   3.75386  11.82741 -30.00000   0.48710   0.00000  0.00000E+00  9.08600E-01  8.97000E-02  1.47100E-03     0.73180     0.27260     0.00000     0.00020    -0.00423  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0903875239
       23    1.20000  3.54425600000E+06   1.93859   3.75371  11.82797 -30.00000   0.48710   0.00000  0.00000E+00  9.04560E-01  9.35600E-02  1.64500E-03     0.73110     0.27310     0.00000     0.00020    -0.00409  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.0983422973
       24    1.20000  3.82093600000E+06   1.93907   3.75357  11.82849 -30.00000   0.48710   0.00000  0.00000E+00  9.00660E-01  9.72900E-02  1.82000E-03     0.73040     0.27380     0.00000     0.00020    -0.00399  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1060193236
       25    1.20000  4.09659600000E+06   1.93953   3.75343  11.82900 -30.00000   0.48710   0.00000  0.00000E+00  8.96940E-01  1.00800E-01  1.99600E-03     0.72970     0.27450     0.00000     0.00020    -0.00397  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1136680481
       26    1.20000  4.38484600000E+06   1.94002   3.75330  11.82951 -30.00000   0.48710   0.00000  0.00000E+00  8.93150E-01  1.04400E-01  2.18300E-03     0.72890     0.27520     0.00000     0.00020    -0.00391  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1216661067
       27    1.20000  4.68010600000E+06   1.94052   3.75317  11.83002 -30.00000   0.48710   0.00000  0.00000E+00  8.89010E-01  1.08400E-01  2.39200E-03     0.72810     0.27580     0.00000     0.00020    -0.00374  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1298586715
       28    1.20000  4.95668600000E+06   1.94099   3.75306  11.83047 -30.00000   0.48710   0.00000  0.00000E+00  8.85120E-01  1.12000E-01  2.59500E-03     0.72730     0.27650     0.00000     0.00020    -0.00363  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1375329231
       29    1.20000  5.23212600000E+06   1.94145   3.75296  11.83090 -30.00000   0.48710   0.00000  0.00000E+00  8.81230E-01  1.15700E-01  2.80600E-03     0.72650     0.27720     0.00000     0.00020    -0.00354  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1451755433
       30    1.20000  5.50649600000E+06   1.94190   3.75287  11.83130 -30.00000   0.48710   0.00000  0.00000E+00  8.77690E-01  1.19100E-01  3.00900E-03     0.72570     0.27800     0.00000     0.00020    -0.00352  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1527884742
       31    1.20000  5.80560600000E+06   1.94240   3.75279  11.83172 -30.00000   0.48710   0.00000  0.00000E+00  8.73730E-01  1.22800E-01  3.24200E-03     0.72480     0.27880     0.00000     0.00020    -0.00344  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1610878647
       32    1.20000  6.09728600000E+06   1.94288   3.75271  11.83210 -30.00000   0.48710   0.00000  0.00000E+00  8.69890E-01  1.26400E-01  3.47500E-03     0.72390     0.27960     0.00000     0.00020    -0.00335  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1691810954
       33    1.20000  6.39056600000E+06   1.94335   3.75265  11.83246 -30.00000   0.48710   0.00000  0.00000E+00  8.65790E-01  1.30200E-01  3.72800E-03     0.72300     0.28040     0.00000     0.00020    -0.00316  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1773187211
       34    1.20000  6.66594600000E+06   1.94379   3.75260  11.83278 -30.00000   0.48710   0.00000  0.00000E+00  8.61930E-01  1.33800E-01  3.97300E-03     0.72210     0.28120     0.00000     0.00020    -0.00305  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1849596765
       35    1.20000  6.94010600000E+06   1.94423   3.75256  11.83309 -30.00000   0.48710   0.00000  0.00000E+00  8.58070E-01  1.37400E-01  4.22600E-03     0.72120     0.28200     0.00000     0.00020    -0.00297  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.1925667805
       36    1.20000  7.21312600000E+06   1.94466   3.75253  11.83337 -30.00000   0.48710   0.00000  0.00000E+00  8.54510E-01  1.40700E-01  4.47100E-03     0.72030     0.28290     0.00000     0.00020    -0.00298  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.2001422531
       37    1.20000  7.50773600000E+06   1.94512   3.75250  11.83365 -30.00000   0.48710   0.00000  0.00000E+00  8.50680E-01  1.44300E-01  4.74300E-03     0.71930     0.28390     0.00000     0.00020    -0.00299  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.2083167823
       38    1.20000  7.80181600000E+06   1.94558   3.75250  11.83389 -30.00000   0.48710   0.00000  0.00000E+00  8.46550E-01  1.48100E-01  5.03600E-03     0.71820     0.28470     0.00000     0.00020    -0.00269  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.2164766056
       39    1.20000  8.07431600000E+06   1.94599   3.75250  11.83410 -30.00000   0.48710   0.00000  0.00000E+00  8.42710E-01  1.51700E-01  5.31600E-03     0.71720     0.28550     0.00000     0.00020    -0.00258  7.34000E-01  2.65800E-01  2.58600E-05  2.00500E-05  8.73000E-05   1.2240376497
