   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.30000  0.00000000000E+00   1.96306   3.76334  11.82094 -30.00000   0.48383   0.00000  0.00000E+00  9.55220E-01  4.45800E-02  2.98200E-06     0.80610     0.23160     0.00000     0.00010    -0.03756  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0000000000
        2    1.30000  1.53490000000E+04   1.96161   3.76321  11.82049 -30.00000   0.48383   0.00000  0.00000E+00  9.54920E-01  4.48700E-02  9.10400E-06     0.79730     0.23250     0.00000     0.00010    -0.02962  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0004163752
        3    1.30000  3.45360000000E+04   1.96154   3.76292  11.82102 -30.00000   0.48383   0.00000  0.00000E+00  9.54560E-01  4.52300E-02  1.68200E-05     0.77790     0.23500     0.00000     0.00010    -0.01279  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0009368646
        4    1.30000  5.85190000000E+04   1.96244   3.76256  11.82219 -30.00000   0.48383   0.00000  0.00000E+00  9.54090E-01  4.56900E-02  2.66100E-05     0.77880     0.23660     0.00000     0.00010    -0.01517  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0015874559
        5    1.30000  8.84980000000E+04   1.96372   3.76219  11.82356 -30.00000   0.48383   0.00000  0.00000E+00  9.53500E-01  4.62600E-02  3.90500E-05     0.77700     0.23740     0.00000     0.00010    -0.01429  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0024007019
        6    1.30000  1.25972000000E+05   1.96498   3.76186  11.82486 -30.00000   0.48383   0.00000  0.00000E+00  9.52800E-01  4.69500E-02  5.42000E-05     0.77480     0.23780     0.00000     0.00010    -0.01249  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0034172661
        7    1.30000  1.72814000000E+05   1.96602   3.76157  11.82596 -30.00000   0.48383   0.00000  0.00000E+00  9.51890E-01  4.78400E-02  7.39800E-05     0.77280     0.23780     0.00000     0.00010    -0.01045  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0046879579
        8    1.30000  2.31367000000E+05   1.96684   3.76133  11.82684 -30.00000   0.48383   0.00000  0.00000E+00  9.50750E-01  4.89600E-02  9.92900E-05     0.77120     0.23750     0.00000     0.00010    -0.00862  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0062763361
        9    1.30000  3.04558000000E+05   1.96745   3.76114  11.82754 -30.00000   0.48383   0.00000  0.00000E+00  9.49330E-01  5.03400E-02  1.31800E-04     0.77020     0.23710     0.00000     0.00010    -0.00717  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0082618021
       10    1.30000  3.96046000000E+05   1.96790   3.76097  11.82811 -30.00000   0.48383   0.00000  0.00000E+00  9.47550E-01  5.20800E-02  1.73700E-04     0.76950     0.23680     0.00000     0.00010    -0.00616  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0107436143
       11    1.30000  5.10406000000E+05   1.96823   3.76078  11.82865 -30.00000   0.48383   0.00000  0.00000E+00  9.45330E-01  5.42400E-02  2.28100E-04     0.76900     0.23670     0.00000     0.00010    -0.00559  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0138458795
       12    1.30000  6.53356000000E+05   1.96854   3.76057  11.82922 -30.00000   0.48383   0.00000  0.00000E+00  9.42560E-01  5.69300E-02  2.99300E-04     0.76860     0.23690     0.00000     0.00010    -0.00532  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0177237110
       13    1.30000  8.32046000000E+05   1.96887   3.76034  11.82986 -30.00000   0.48383   0.00000  0.00000E+00  9.39100E-01  6.03000E-02  3.93300E-04     0.76810     0.23720     0.00000     0.00010    -0.00516  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0225710682
       14    1.30000  1.03532600000E+06   1.96924   3.76009  11.83054 -30.00000   0.48383   0.00000  0.00000E+00  9.35160E-01  6.41200E-02  5.07200E-04     0.76750     0.23770     0.00000     0.00010    -0.00506  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0280854830
       15    1.30000  1.23820600000E+06   1.96960   3.75984  11.83121 -30.00000   0.48383   0.00000  0.00000E+00  9.32170E-01  6.70100E-02  6.03800E-04     0.76700     0.23820     0.00000     0.00010    -0.00503  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0335890469
       16    1.30000  1.49181600000E+06   1.97005   3.75954  11.83204 -30.00000   0.48383   0.00000  0.00000E+00  9.31210E-01  6.79300E-02  6.47500E-04     0.76660     0.23870     0.00000     0.00010    -0.00507  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0404687730
       17    1.30000  1.80882600000E+06   1.97060   3.75918  11.83304 -30.00000   0.48383   0.00000  0.00000E+00  9.27450E-01  7.15600E-02  7.74700E-04     0.76600     0.23910     0.00000     0.00010    -0.00493  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0490683628
       18    1.30000  2.13964600000E+06   1.97117   3.75881  11.83406 -30.00000   0.48383   0.00000  0.00000E+00  9.25080E-01  7.38400E-02  8.66700E-04     0.76560     0.23930     0.00000     0.00010    -0.00479  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0580425792
       19    1.30000  2.55316600000E+06   1.97192   3.75838  11.83529 -30.00000   0.48383   0.00000  0.00000E+00  9.19730E-01  7.89900E-02  1.06100E-03     0.76470     0.24010     0.00000     0.00010    -0.00468  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0692602139
       20    1.30000  2.85556600000E+06   1.97246   3.75810  11.83613 -30.00000   0.48383   0.00000  0.00000E+00  9.15560E-01  8.30000E-02  1.22000E-03     0.76400     0.24060     0.00000     0.00010    -0.00450  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0774634755
       21    1.30000  3.13914600000E+06   1.97296   3.75784  11.83688 -30.00000   0.48383   0.00000  0.00000E+00  9.11640E-01  8.67600E-02  1.37700E-03     0.76340     0.24120     0.00000     0.00010    -0.00439  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0851562035
       22    1.30000  3.42158600000E+06   1.97345   3.75760  11.83762 -30.00000   0.48383   0.00000  0.00000E+00  9.07980E-01  9.02600E-02  1.53200E-03     0.76270     0.24180     0.00000     0.00010    -0.00435  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.0928180065
       23    1.30000  3.72299600000E+06   1.97398   3.75736  11.83836 -30.00000   0.48383   0.00000  0.00000E+00  9.04110E-01  9.39600E-02  1.70300E-03     0.76200     0.24240     0.00000     0.00010    -0.00422  7.31400E-01  2.68400E-01  2.43000E-05  2.20100E-05  8.74000E-05   1.1009944122
