   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.35000  0.00000000000E+00   1.97837   3.76711  11.82107 -30.00000   0.48076   0.00000  0.00000E+00  9.55660E-01  4.41500E-02  2.95900E-06     0.81790     0.21600     0.00000     0.00010    -0.03378  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0000000000
        2    1.35000  1.53490000000E+04   1.97684   3.76698  11.82055 -30.00000   0.48076   0.00000  0.00000E+00  9.55360E-01  4.44300E-02  8.98000E-06     0.81440     0.21660     0.00000     0.00010    -0.03082  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0004132233
        3    1.35000  3.45360000000E+04   1.97639   3.76670  11.82089 -30.00000   0.48076   0.00000  0.00000E+00  9.55000E-01  4.47900E-02  1.65600E-05     0.79320     0.21920     0.00000     0.00010    -0.01224  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0009297726
        4    1.35000  5.85190000000E+04   1.97693   3.76632  11.82191 -30.00000   0.48076   0.00000  0.00000E+00  9.54540E-01  4.52400E-02  2.61800E-05     0.79440     0.22090     0.00000     0.00010    -0.01515  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0015754391
        5    1.35000  8.84980000000E+04   1.97804   3.76591  11.82328 -30.00000   0.48076   0.00000  0.00000E+00  9.53960E-01  4.58000E-02  3.84200E-05     0.79310     0.22190     0.00000     0.00010    -0.01479  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0023825288
        6    1.35000  1.25972000000E+05   1.97925   3.76553  11.82467 -30.00000   0.48076   0.00000  0.00000E+00  9.53280E-01  4.64700E-02  5.30300E-05     0.79090     0.22230     0.00000     0.00010    -0.01306  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0033913978
        7    1.35000  1.72814000000E+05   1.98031   3.76519  11.82587 -30.00000   0.48076   0.00000  0.00000E+00  9.52390E-01  4.73400E-02  7.23200E-05     0.78870     0.22230     0.00000     0.00010    -0.01091  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0046524706
        8    1.35000  2.31367000000E+05   1.98114   3.76490  11.82687 -30.00000   0.48076   0.00000  0.00000E+00  9.51280E-01  4.84200E-02  9.69700E-05     0.78710     0.22210     0.00000     0.00010    -0.00898  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0062288250
        9    1.35000  3.04558000000E+05   1.98177   3.76464  11.82769 -30.00000   0.48076   0.00000  0.00000E+00  9.49890E-01  4.97800E-02  1.28600E-04     0.78590     0.22170     0.00000     0.00010    -0.00745  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0081992612
       10    1.35000  3.96046000000E+05   1.98222   3.76442  11.82837 -30.00000   0.48076   0.00000  0.00000E+00  9.48160E-01  5.14700E-02  1.69400E-04     0.78520     0.22130     0.00000     0.00010    -0.00640  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0106622864
       11    1.35000  5.10406000000E+05   1.98255   3.76419  11.82899 -30.00000   0.48076   0.00000  0.00000E+00  9.45990E-01  5.35900E-02  2.22400E-04     0.78470     0.22120     0.00000     0.00010    -0.00580  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0137410678
       12    1.35000  6.53356000000E+05   1.98285   3.76394  11.82964 -30.00000   0.48076   0.00000  0.00000E+00  9.43290E-01  5.62200E-02  2.91600E-04     0.78430     0.22130     0.00000     0.00010    -0.00552  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0175895446
       13    1.35000  8.32046000000E+05   1.98317   3.76364  11.83040 -30.00000   0.48076   0.00000  0.00000E+00  9.39910E-01  5.95000E-02  3.83000E-04     0.78380     0.22170     0.00000     0.00010    -0.00537  7.30700E-01  2.69100E-01  2.36400E-05  2.28400E-05  8.74300E-05   1.0224002079
