   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.53000  0.00000000000E+00   1.37065   4.33131  10.38880 -30.00000   0.49982   0.00000  0.00000E+00  9.52880E-01  4.69200E-02  4.88900E-06     0.01210     0.99060     0.00000     0.00060    -0.00215  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0000000000
        2    0.53000  1.53490000000E+04   1.37117   4.33132  10.38904 -30.00000   0.49982   0.00000  0.00000E+00  9.52570E-01  4.72200E-02  1.14500E-05     0.01210     0.99150     0.00000     0.00060    -0.00300  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0003946885
        3    0.53000  3.45360000000E+04   1.37156   4.33132  10.38923 -30.00000   0.49982   0.00000  0.00000E+00  9.52180E-01  4.76000E-02  1.97300E-05     0.01230     0.99280     0.00000     0.00060    -0.00445  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0008880684
        4    0.53000  5.85190000000E+04   1.37184   4.33132  10.38937 -30.00000   0.49982   0.00000  0.00000E+00  9.51700E-01  4.80700E-02  3.01800E-05     0.01240     0.99430     0.00000     0.00060    -0.00606  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0015047740
        5    0.53000  8.84980000000E+04   1.37201   4.33132  10.38946 -30.00000   0.49982   0.00000  0.00000E+00  9.51090E-01  4.86600E-02  4.34200E-05     0.01240     0.99580     0.00000     0.00060    -0.00766  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0022756624
        6    0.53000  1.25972000000E+05   1.37209   4.33131  10.38953 -30.00000   0.49982   0.00000  0.00000E+00  9.50340E-01  4.94000E-02  6.02100E-05     0.01250     0.99720     0.00000     0.00060    -0.00903  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0032392794
        7    0.53000  1.72814000000E+05   1.37210   4.33129  10.38957 -30.00000   0.49982   0.00000  0.00000E+00  9.49390E-01  5.03300E-02  8.15800E-05     0.01250     0.99810     0.00000     0.00060    -0.00998  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0044437878
        8    0.53000  2.31367000000E+05   1.37210   4.33125  10.38964 -30.00000   0.49982   0.00000  0.00000E+00  9.48200E-01  5.14800E-02  1.08900E-04     0.01250     0.99850     0.00000     0.00060    -0.01042  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0059494361
        9    0.53000  3.04558000000E+05   1.37214   4.33120  10.38976 -30.00000   0.49982   0.00000  0.00000E+00  9.46720E-01  5.29300E-02  1.43900E-04     0.01250     0.99850     0.00000     0.00060    -0.01047  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0078314900
       10    0.53000  3.96046000000E+05   1.37231   4.33112  10.39000 -30.00000   0.49982   0.00000  0.00000E+00  9.44870E-01  5.47300E-02  1.89100E-04     0.01250     0.99840     0.00000     0.00060    -0.01030  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0101840381
