   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.80000  0.00000000000E+00   1.73290   3.79150  11.64955 -30.00000   0.49908   0.00000  0.00000E+00  9.52870E-01  4.69200E-02  4.86400E-06     0.67730     0.46880     0.00000     0.00030    -0.14608  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0000000000
        2    0.80000  1.17800000000E+04   1.73754   3.78874  11.65738 -30.00000   0.49908   0.00000  0.00000E+00  9.52620E-01  4.71700E-02  1.02000E-05     0.56050     0.46690     0.00000     0.00030    -0.02730  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0003491606
        3    0.80000  2.46000000000E+04   1.74424   3.78683  11.66456 -30.00000   0.49908   0.00000  0.00000E+00  9.52340E-01  4.74400E-02  1.60600E-05     0.54650     0.46260     0.00000     0.00030    -0.00893  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0007291468
        4    0.80000  4.06250000000E+04   1.74896   3.78575  11.66907 -30.00000   0.49908   0.00000  0.00000E+00  9.51990E-01  4.77900E-02  2.34700E-05     0.54800     0.46000     0.00000     0.00030    -0.00777  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0012041297
        5    0.80000  6.06570000000E+04   1.75098   3.78523  11.67112 -30.00000   0.49908   0.00000  0.00000E+00  9.51550E-01  4.82200E-02  3.28300E-05     0.54480     0.46050     0.00000     0.00020    -0.00508  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0017978805
        6    0.80000  8.56970000000E+04   1.75167   3.78487  11.67219 -30.00000   0.49908   0.00000  0.00000E+00  9.50990E-01  4.87600E-02  4.46900E-05     0.54300     0.46260     0.00000     0.00020    -0.00532  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0025400690
        7    0.80000  1.16996000000E+05   1.75214   3.78450  11.67317 -30.00000   0.49908   0.00000  0.00000E+00  9.50300E-01  4.94400E-02  5.97600E-05     0.54140     0.46480     0.00000     0.00020    -0.00598  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0034677750
        8    0.80000  1.56120000000E+05   1.75270   3.78413  11.67418 -30.00000   0.49908   0.00000  0.00000E+00  9.49460E-01  5.02600E-02  7.81300E-05     0.54020     0.46650     0.00000     0.00020    -0.00639  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0046274149
        9    0.80000  2.05025000000E+05   1.75324   3.78385  11.67501 -30.00000   0.49908   0.00000  0.00000E+00  9.48380E-01  5.13200E-02  1.02200E-04     0.53920     0.46740     0.00000     0.00020    -0.00633  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0060769647
       10    0.80000  2.66157000000E+05   1.75363   3.78367  11.67556 -30.00000   0.49908   0.00000  0.00000E+00  9.47020E-01  5.26400E-02  1.33100E-04     0.53880     0.46760     0.00000     0.00020    -0.00611  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0078889243
       11    0.80000  3.42572000000E+05   1.75385   3.78359  11.67583 -30.00000   0.49908   0.00000  0.00000E+00  9.45330E-01  5.42900E-02  1.72900E-04     0.53850     0.46750     0.00000     0.00030    -0.00581  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0101538737
       12    0.80000  4.38090000000E+05   1.75395   3.78355  11.67596 -30.00000   0.49908   0.00000  0.00000E+00  9.43220E-01  5.63500E-02  2.24400E-04     0.53830     0.46750     0.00000     0.00030    -0.00555  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0129850383
       13    0.80000  5.57490000000E+05   1.75402   3.78351  11.67609 -30.00000   0.49908   0.00000  0.00000E+00  9.40570E-01  5.89300E-02  2.91600E-04     0.53790     0.46780     0.00000     0.00030    -0.00536  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0165240681
       14    0.80000  7.06740000000E+05   1.75412   3.78344  11.67627 -30.00000   0.49908   0.00000  0.00000E+00  9.37280E-01  6.21300E-02  3.79900E-04     0.53710     0.46840     0.00000     0.00030    -0.00525  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0209478553
       15    0.80000  8.84730000000E+05   1.75425   3.78337  11.67648 -30.00000   0.49908   0.00000  0.00000E+00  9.33800E-01  6.55100E-02  4.80400E-04     0.53610     0.46940     0.00000     0.00030    -0.00518  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0262234995
       16    0.80000  1.08583000000E+06   1.75441   3.78331  11.67669 -30.00000   0.49908   0.00000  0.00000E+00  9.33160E-01  6.61100E-02  5.09000E-04     0.53540     0.47020     0.00000     0.00030    -0.00528  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0321841268
       17    0.80000  1.33720000000E+06   1.75459   3.78327  11.67684 -30.00000   0.49908   0.00000  0.00000E+00  9.29650E-01  6.95200E-02  6.17900E-04     0.53440     0.47100     0.00000     0.00030    -0.00511  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0396347626
       18    0.80000  1.61767000000E+06   1.75478   3.78322  11.67704 -30.00000   0.49908   0.00000  0.00000E+00  9.26780E-01  7.22800E-02  7.14900E-04     0.53360     0.47160     0.00000     0.00030    -0.00490  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0479479259
       19    0.80000  1.96826000000E+06   1.75500   3.78321  11.67718 -30.00000   0.49908   0.00000  0.00000E+00  9.21380E-01  7.75000E-02  8.96800E-04     0.53220     0.47300     0.00000     0.00030    -0.00496  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0583394540
       20    0.80000  2.22209000000E+06   1.75513   3.78322  11.67723 -30.00000   0.49908   0.00000  0.00000E+00  9.17520E-01  8.12200E-02  1.03500E-03     0.53110     0.47420     0.00000     0.00030    -0.00497  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0658630046
       21    0.80000  2.47937000000E+06   1.75527   3.78323  11.67728 -30.00000   0.49908   0.00000  0.00000E+00  9.13480E-01  8.51100E-02  1.18600E-03     0.53000     0.47520     0.00000     0.00030    -0.00489  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0734888135
       22    0.80000  2.72847000000E+06   1.75539   3.78324  11.67732 -30.00000   0.49908   0.00000  0.00000E+00  9.09570E-01  8.88600E-02  1.33900E-03     0.52890     0.47630     0.00000     0.00030    -0.00488  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0808721663
       23    0.80000  2.97685000000E+06   1.75552   3.78325  11.67736 -30.00000   0.49908   0.00000  0.00000E+00  9.05840E-01  9.24300E-02  1.49300E-03     0.52780     0.47740     0.00000     0.00030    -0.00496  7.52600E-01  2.47200E-01  3.36900E-05  9.58800E-06  8.49600E-05   1.0882341783
