   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.40000  0.00000000000E+00   1.99074   3.77191  11.81763 -30.00000   0.47631   0.00000  0.00000E+00  9.56270E-01  4.35300E-02  2.95100E-06     0.82830     0.20040     0.00000     0.00010    -0.02853  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0000000000
        2    1.40000  1.53490000000E+04   1.98896   3.77174  11.81710 -30.00000   0.47631   0.00000  0.00000E+00  9.55990E-01  4.38100E-02  8.73500E-06     0.84310     0.20030     0.00000     0.00010    -0.04329  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0003953269
        3    1.40000  3.45360000000E+04   1.98826   3.77138  11.81746 -30.00000   0.47631   0.00000  0.00000E+00  9.55640E-01  4.41500E-02  1.60000E-05     0.80750     0.20350     0.00000     0.00010    -0.01089  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0008895048
        4    1.40000  5.85190000000E+04   1.98887   3.77090  11.81874 -30.00000   0.47631   0.00000  0.00000E+00  9.55200E-01  4.45800E-02  2.52400E-05     0.80910     0.20540     0.00000     0.00010    -0.01435  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0015072079
        5    1.40000  8.84980000000E+04   1.99030   3.77038  11.82048 -30.00000   0.47631   0.00000  0.00000E+00  9.54640E-01  4.51300E-02  3.69900E-05     0.80920     0.20600     0.00000     0.00010    -0.01509  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0022793433
        6    1.40000  1.25972000000E+05   1.99176   3.76994  11.82209 -30.00000   0.47631   0.00000  0.00000E+00  9.53980E-01  4.57800E-02  5.12100E-05     0.80710     0.20610     0.00000     0.00010    -0.01304  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0032445188
        7    1.40000  1.72814000000E+05   1.99286   3.76958  11.82336 -30.00000   0.47631   0.00000  0.00000E+00  9.53120E-01  4.66200E-02  6.98200E-05     0.80480     0.20590     0.00000     0.00010    -0.01056  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0044509754
        8    1.40000  2.31367000000E+05   1.99361   3.76928  11.82434 -30.00000   0.47631   0.00000  0.00000E+00  9.52040E-01  4.76700E-02  9.35900E-05     0.80320     0.20560     0.00000     0.00010    -0.00860  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0059590591
        9    1.40000  3.04558000000E+05   1.99414   3.76902  11.82511 -30.00000   0.47631   0.00000  0.00000E+00  9.50690E-01  4.89800E-02  1.24100E-04     0.80210     0.20520     0.00000     0.00010    -0.00718  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0078441572
       10    1.40000  3.96046000000E+05   1.99450   3.76878  11.82578 -30.00000   0.47631   0.00000  0.00000E+00  9.49020E-01  5.06200E-02  1.63400E-04     0.80150     0.20490     0.00000     0.00010    -0.00626  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0102005105
       11    1.40000  5.10406000000E+05   1.99476   3.76853  11.82642 -30.00000   0.47631   0.00000  0.00000E+00  9.46920E-01  5.26600E-02  2.14300E-04     0.80110     0.20480     0.00000     0.00010    -0.00578  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0131459521
       12    1.40000  6.53356000000E+05   1.99500   3.76824  11.82712 -30.00000   0.47631   0.00000  0.00000E+00  9.44310E-01  5.52100E-02  2.80800E-04     0.80080     0.20500     0.00000     0.00010    -0.00558  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0168277542
       13    1.40000  8.32046000000E+05   1.99527   3.76788  11.82796 -30.00000   0.47631   0.00000  0.00000E+00  9.41040E-01  5.83900E-02  3.68600E-04     0.80030     0.20530     0.00000     0.00010    -0.00550  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0214300712
       14    1.40000  1.04741600000E+06   1.99561   3.76748  11.82894 -30.00000   0.47631   0.00000  0.00000E+00  9.37100E-01  6.22100E-02  4.81300E-04     0.79980     0.20580     0.00000     0.00010    -0.00543  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0269771135
       15    1.40000  1.26242600000E+06   1.99595   3.76710  11.82987 -30.00000   0.47631   0.00000  0.00000E+00  9.34060E-01  6.51500E-02  5.78100E-04     0.79920     0.20630     0.00000     0.00010    -0.00538  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0325148838
       16    1.40000  1.53118600000E+06   1.99638   3.76661  11.83107 -30.00000   0.47631   0.00000  0.00000E+00  9.33110E-01  6.60600E-02  6.20900E-04     0.79880     0.20670     0.00000     0.00010    -0.00542  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0394370322
       17    1.40000  1.86713600000E+06   1.99691   3.76603  11.83249 -30.00000   0.47631   0.00000  0.00000E+00  9.29500E-01  6.95500E-02  7.42600E-04     0.79830     0.20710     0.00000     0.00010    -0.00528  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0480897178
       18    1.40000  2.23236600000E+06   1.99749   3.76541  11.83402 -30.00000   0.47631   0.00000  0.00000E+00  9.26590E-01  7.23500E-02  8.50400E-04     0.79780     0.20750     0.00000     0.00010    -0.00511  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0574965353
       19    1.40000  2.68890600000E+06   1.99825   3.76470  11.83583 -30.00000   0.47631   0.00000  0.00000E+00  9.21030E-01  7.77000E-02  1.05200E-03     0.79680     0.20820     0.00000     0.00010    -0.00493  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0692551216
       20    1.40000  3.01034600000E+06   1.99880   3.76423  11.83704 -30.00000   0.47631   0.00000  0.00000E+00  9.16850E-01  8.17100E-02  1.21200E-03     0.79610     0.20880     0.00000     0.00010    -0.00472  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0775340894
       21    1.40000  3.31157600000E+06   1.99931   3.76382  11.83810 -30.00000   0.47631   0.00000  0.00000E+00  9.12930E-01  8.54800E-02  1.37000E-03     0.79540     0.20930     0.00000     0.00010    -0.00456  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0852925311
       22    1.40000  3.61147600000E+06   1.99982   3.76345  11.83910 -30.00000   0.47631   0.00000  0.00000E+00  9.09200E-01  8.90500E-02  1.52800E-03     0.79470     0.20990     0.00000     0.00010    -0.00445  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.0930167174
       23    1.40000  3.92516600000E+06   2.00036   3.76310  11.84008 -30.00000   0.47631   0.00000  0.00000E+00  9.05320E-01  9.27500E-02  1.70000E-03     0.79390     0.21060     0.00000     0.00010    -0.00435  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1010960772
       24    1.40000  4.24034600000E+06   2.00092   3.76277  11.84102 -30.00000   0.47631   0.00000  0.00000E+00  9.01240E-01  9.66400E-02  1.88800E-03     0.79310     0.21110     0.00000     0.00010    -0.00408  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1092138133
       25    1.40000  4.54086600000E+06   2.00144   3.76247  11.84186 -30.00000   0.47631   0.00000  0.00000E+00  8.97330E-01  1.00400E-01  2.07400E-03     0.79230     0.21170     0.00000     0.00010    -0.00387  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1169539683
       26    1.40000  4.84010600000E+06   2.00198   3.76222  11.84265 -30.00000   0.47631   0.00000  0.00000E+00  8.93430E-01  1.04100E-01  2.26800E-03     0.79140     0.21240     0.00000     0.00010    -0.00369  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1246611557
       27    1.40000  5.13807600000E+06   2.00252   3.76199  11.84338 -30.00000   0.47631   0.00000  0.00000E+00  8.90010E-01  1.07300E-01  2.45000E-03     0.79060     0.21320     0.00000     0.00010    -0.00363  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1323356332
       28    1.40000  5.47591600000E+06   2.00315   3.76176  11.84414 -30.00000   0.47631   0.00000  0.00000E+00  8.85630E-01  1.11400E-01  2.68400E-03     0.78960     0.21380     0.00000     0.00010    -0.00332  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1410369974
       29    1.40000  5.77525600000E+06   2.00371   3.76160  11.84476 -30.00000   0.47631   0.00000  0.00000E+00  8.81740E-01  1.15100E-01  2.89900E-03     0.78870     0.21450     0.00000     0.00010    -0.00311  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1487467604
       30    1.40000  6.07296600000E+06   2.00428   3.76145  11.84532 -30.00000   0.47631   0.00000  0.00000E+00  8.77860E-01  1.18800E-01  3.12200E-03     0.78780     0.21520     0.00000     0.00010    -0.00291  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1564145414
       31    1.40000  6.36926600000E+06   2.00484   3.76133  11.84585 -30.00000   0.47631   0.00000  0.00000E+00  8.74550E-01  1.21900E-01  3.32700E-03     0.78700     0.21610     0.00000     0.00010    -0.00288  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1640460066
       32    1.40000  6.71505600000E+06   2.00553   3.76123  11.84639 -30.00000   0.47631   0.00000  0.00000E+00  8.70070E-01  1.26100E-01  3.60000E-03     0.78590     0.21680     0.00000     0.00010    -0.00251  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1729521299
       33    1.40000  7.01253600000E+06   2.00611   3.76117  11.84680 -30.00000   0.47631   0.00000  0.00000E+00  8.66760E-01  1.29200E-01  3.81900E-03     0.78500     0.21760     0.00000     0.00010    -0.00247  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1806139870
       34    1.40000  7.35924600000E+06   2.00680   3.76114  11.84721 -30.00000   0.47631   0.00000  0.00000E+00  8.62290E-01  1.33300E-01  4.10900E-03     0.78390     0.21840     0.00000     0.00010    -0.00214  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1895438058
       35    1.40000  7.65719600000E+06   2.00739   3.76113  11.84752 -30.00000   0.47631   0.00000  0.00000E+00  8.58420E-01  1.36900E-01  4.36700E-03     0.78290     0.21920     0.00000     0.00010    -0.00196  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.1972177682
       36    1.40000  7.95329600000E+06   2.00798   3.76114  11.84780 -30.00000   0.47631   0.00000  0.00000E+00  8.54560E-01  1.40500E-01  4.63300E-03     0.78200     0.22000     0.00000     0.00010    -0.00181  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2048440822
       37    1.40000  8.24785600000E+06   2.00857   3.76117  11.84804 -30.00000   0.47631   0.00000  0.00000E+00  8.51370E-01  1.43500E-01  4.87300E-03     0.78110     0.22080     0.00000     0.00010    -0.00178  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2124307322
       38    1.40000  8.60085600000E+06   2.00929   3.76123  11.84827 -30.00000   0.47631   0.00000  0.00000E+00  8.46790E-01  1.47700E-01  5.20500E-03     0.78000     0.22170     0.00000     0.00010    -0.00153  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2215225553
       39    1.40000  8.89609600000E+06   2.00990   3.76130  11.84843 -30.00000   0.47631   0.00000  0.00000E+00  8.43360E-01  1.50900E-01  5.47100E-03     0.77900     0.22260     0.00000     0.00010    -0.00151  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2291267193
       40    1.40000  9.22515600000E+06   2.01058   3.76140  11.84858 -30.00000   0.47631   0.00000  0.00000E+00  8.39520E-01  1.54400E-01  5.77500E-03     0.77800     0.22360     0.00000     0.00010    -0.00138  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2376019469
       41    1.40000  9.55185600000E+06   2.01124   3.76152  11.84868 -30.00000   0.47631   0.00000  0.00000E+00  8.35280E-01  1.58300E-01  6.10700E-03     0.77690     0.22440     0.00000     0.00010    -0.00118  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2460163906
       42    1.40000  9.84592600000E+06   2.01184   3.76164  11.84874 -30.00000   0.47631   0.00000  0.00000E+00  8.31450E-01  1.61900E-01  6.41500E-03     0.77600     0.22520     0.00000     0.00010    -0.00109  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2535904202
       43    1.40000  1.01381660000E+07   2.01243   3.76176  11.84879 -30.00000   0.47631   0.00000  0.00000E+00  8.28090E-01  1.64900E-01  6.70400E-03     0.77510     0.22620     0.00000     0.00010    -0.00117  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2611173166
       44    1.40000  1.04692460000E+07   2.01310   3.76191  11.84882 -30.00000   0.47631   0.00000  0.00000E+00  8.24250E-01  1.68400E-01  7.04000E-03     0.77410     0.22730     0.00000     0.00010    -0.00117  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2696445710
       45    1.40000  1.07966260000E+07   2.01377   3.76208  11.84883 -30.00000   0.47631   0.00000  0.00000E+00  8.19990E-01  1.72300E-01  7.40700E-03     0.77300     0.22810     0.00000     0.00010    -0.00094  7.29900E-01  2.69900E-01  2.30100E-05  2.36500E-05  8.74400E-05   1.2780765287
