   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       20    0.76000  1.25225060000E+06   1.72291   3.83005  11.56744 -30.00000   0.49976   0.00000  0.00000E+00  9.31250E-01  6.79700E-02  5.67300E-04     0.49470     0.51090     0.00000     0.00030    -0.00527  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0373116045
       21    0.76000  1.56062060000E+06   1.72293   3.83017  11.56722 -30.00000   0.49976   0.00000  0.00000E+00  9.27650E-01  7.14500E-02  6.83900E-04     0.49340     0.51200     0.00000     0.00030    -0.00516  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0464996851
       22    0.76000  1.89628060000E+06   1.72294   3.83034  11.56689 -30.00000   0.49976   0.00000  0.00000E+00  9.22320E-01  7.65900E-02  8.59800E-04     0.49180     0.51370     0.00000     0.00030    -0.00519  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0565008887
       23    0.76000  2.14336060000E+06   1.72294   3.83047  11.56663 -30.00000   0.49976   0.00000  0.00000E+00  9.18640E-01  8.01400E-02  9.90300E-04     0.49060     0.51500     0.00000     0.00030    -0.00521  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0638627947
       24    0.76000  2.40584060000E+06   1.72296   3.83058  11.56641 -30.00000   0.49976   0.00000  0.00000E+00  9.14590E-01  8.40400E-02  1.14000E-03     0.48930     0.51630     0.00000     0.00030    -0.00525  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0716835536
       25    0.76000  2.65935060000E+06   1.72299   3.83069  11.56620 -30.00000   0.49976   0.00000  0.00000E+00  9.10600E-01  8.78700E-02  1.29400E-03     0.48800     0.51750     0.00000     0.00030    -0.00519  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0792370455
       26    0.76000  2.90724060000E+06   1.72302   3.83080  11.56599 -30.00000   0.49976   0.00000  0.00000E+00  9.06800E-01  9.15100E-02  1.44900E-03     0.48670     0.51880     0.00000     0.00030    -0.00525  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0866230860
       27    0.76000  3.16194060000E+06   1.72306   3.83091  11.56581 -30.00000   0.49976   0.00000  0.00000E+00  9.03130E-01  9.50300E-02  1.60700E-03     0.48550     0.52000     0.00000     0.00030    -0.00522  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.0942120348
       28    0.76000  3.43158060000E+06   1.72310   3.83101  11.56562 -30.00000   0.49976   0.00000  0.00000E+00  8.98920E-01  9.90500E-02  1.79200E-03     0.48410     0.52140     0.00000     0.00030    -0.00513  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1022461304
       29    0.76000  3.68081060000E+06   1.72315   3.83111  11.56544 -30.00000   0.49976   0.00000  0.00000E+00  8.95020E-01  1.02800E-01  1.97000E-03     0.48270     0.52270     0.00000     0.00030    -0.00512  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1096720970
